"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "712_P-1-S" "712_P-1-M" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-M" "712_S-1-S" "712_S-1-M" "712_S-3-S" "713_P-3-M" "713_S-1-S" "713_S-3-S" "713_S-3-M" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S2_1-5" "716_S2_10-14" "716_S3_10-14" "717_P1_10-14" "717_P2_1-5" "717_P2_10-14" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S3_1-5"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.65_88.41_5.13" 0.49772665 0 0 0 0 0 0 0 0.1878928 0 0.6663426 0 0.23153508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.095959656 0 0 0 0.07484496 0 0 0 0 0 0 0.5725475 0 0.08917086 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4619024 0.331783 0 0 0
"20120600_P3S_2" 37.4151 0 1.699994 0 0.8301408 0 0 0 5.538589 0 24.34375 1.1572542 12.560466 0.13681899 0 0 0 0.95858693 0 0 0 0 0 0 0 0 0 12.17932 13.043882 0.085877866 0 0.62329066 0.28367496 0 0.7061366 3.883711 0.2349141 0 8.703822 5.024598 0.81351185 0.18236105 0 0 0.6762369 0 0 0 0 0 0 0.26390335 2.3668766 0 5.936046 1.5688007 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63" 0.50837594 0 0 0 0.84633607 0 0 0 2.6152935 0.086125255 2.0591943 0.19710065 0.42542863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.515588 0.3008282 0.08858216 0.08277673 0.7299221 0.06981989 0 0.41319695 0.32011348 0.12969957 0 1.2441398 0.36800274 0.065474056 0 0 0 0.14695764 0 0 0 0 0 0 0 0 0 2.6028287 0.3175035 0 0 0
"Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23" 5.8571544 0 1.3108087 0 1.6300344 0.08691951 0 0.068673395 0.9125709 0.06171053 3.468529 0.59648484 1.7978543 0 0 0 0 0.24461935 0 0 0 0 0 0 0 0 0 1.3736647 5.935632 0.26844728 0.07474469 1.0287982 0.29346567 0 1.1773466 0.33176848 0 0 2.3717334 3.787566 0.39087152 0.18484756 0 0.17934129 0.28345042 0 0 0 0 0 0 0.29680863 0.42790082 0 3.2270527 0.3682524 0.060878377 0 0
"20111000_P1S_5" 9.240039 0 2.2143965 0 1.2565781 0.46331978 0 0 8.302175 0 2.807902 1.4632174 2.7080083 0 0 0 0 0.36759636 0 0 0 0 0 0 0 0 0 4.4542446 4.9513245 0.22899348 0 1.4108001 0.7533896 0.14746511 3.0305696 0.39746398 0.3779616 0 12.557185 2.9608154 0.93829876 1.5659219 0 0 1.5106422 0 0 0.13617685 0 0.2734826 0 0.26607534 0.38916978 0 10.479557 0.9764716 0 0 0
"20110700_P1S_11" 27.911814 0 3.8804367 0.087358415 0.7749672 3.1479065 0 0 34.935287 0.5530443 41.633984 6.266656 6.3730154 0.1072093 0 0 0 0.6268102 0 0 0 0.11740138 0 0 0 0 0 23.19424 12.364413 1.1243562 2.2650704 4.139471 0.8160625 0 22.205349 8.516537 0.21514103 0.19380254 23.139795 9.907311 4.2004757 5.990545 0 0.42905152 7.7778263 0.25043377 0 0.11934082 0.36620384 0 0 0.6295445 0 0 4.6841235 3.4417255 0 0 0
"PMOU01" 1.8018465 0 0.14929165 0 0.066743635 0 0 0 3.8537326 0 0.92990726 0 0.23627667 0 0 0 0 0.08475771 0 0.07294819 0 0 0 0 0 0 0 1.0084842 1.6869161 0.12318508 0 0.06980288 0.08615711 0 0.34981534 0.7114025 0.18306996 0 6.7136774 0.2887148 0.104424484 0.14567028 0 0 0.4603476 0 0 0 0 0.3064615 0 0 0 0 0.8538454 0.066774406 0 0 0
"20110600_P3S_13" 13.822015 0 1.2124711 0 1.0537704 0 0 0 7.5207744 0 10.529483 0.19278897 3.7217202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.6096644 1.2627752 0 0 0.59271854 0 0 1.638269 0.15365227 0 0 4.8460035 2.254153 0.53349495 0 0 0 0.49142045 0 0 0 0 0 0 0.13865434 0.24303915 0 5.0469513 1.6171404 0 0 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71" 5.0464454 0 0.10294662 0 0.79252535 0 0 0 36.21754 0 3.2126625 0.1575713 17.954388 0 0 0 0 0.068325534 0 0 0 0 0 0 0 0 0 0 0 0 0 6.1367884 0 0 22.240582 0.10544762 0 0 26.777666 5.308965 2.6938808 0 0 0 2.9790525 0 0 0 0 0 0 0 0 0 6.9972615 6.602632 0 0 0
"20110600_P3S_9" 3.299319 0 0.11131401 0 0.60779905 0 0 0 6.5731144 0 14.0166 0.16145873 3.0484037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.8403416 0 0 0 0.2266528 0 0 1.8331796 0 0 0 4.659917 0.071865015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4346396 0 0 0 0
