"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_20-24" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P2_30-34" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_20-24" "716_S2_30-34" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_10-14" "717_S3_20-24"
"20120800_E3X_29" 0 0 0.20884939 0.117128186 0.30520684 0.37934256 0.3534511 0.12531713 0.122218475 0 0 0 0 0 0 0 0.28958258 0.27619335 0 0 0.5005617 0.5114303 0.07379869 0.40835136 0 0 0 0 0 0 0 0 0 0 0 3.7217612 0.4784195 0 0 0 0.30227906 0.8468162 0 0.07320892 2.4365013 2.52232 2.3465633 0 0 0 0 0 0 0 0 0 0 0 0 0.16854832 0.58977634 0.16410865 0.24944066 0.091913104 0 0.6658101 0 0.11998811 0 0 0 0 0 0 0 0.15304106 0.2786554 0.12214359 0.76391816 0 0 0.19697438 0.6589294 0 0 0 0 0 0 0 0 0.09512409 0.14110756 0.36286405 0 0.09285861 0.43950862 0 0 0 0 0 0 0 0 0 0.05823995 0 0.2277408 0 0.059290778 0.5595669 0 0 0 0 0 0
"20120800_E1X_21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5597179 0 0 0 0 0 0 0 0 0 1.2939824 6.4144015 0 0 0 0 0.88106406 0 0 1.2893335 0.54172045 2.750803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8551593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_4" 0 0 0.06370254 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06444635 0.11015241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4522277 9.09558 0 0 0 0 7.7505836 0 0 3.9908543 2.4775176 0.9913046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18129577 0.11125695 0 0 0.0816503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.107915685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300038461_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.676995 0 0 0 0 10.476147 0.92660713 0.09413808 0.13609041 1.7803711 2.7175179 0.23472485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47739598 0 0 0 0.5809332 0 0 0 0 0 0 0 0 0 0.34480295 1.8309195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037090_15" 0 0 0.38905454 0 0 0.57128954 0 0 0.11340451 0 0 0 0 0 0 0 0.22849642 1.2228831 0 0 0.7097897 0 0 0.43453377 0 0 0 0 0 0 0 0 0 0 0.118189596 9.728305 3.6456864 0 0 0 0.39006877 3.26269 0 0.14373034 6.2023067 7.9906197 6.0597715 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53279185 0.5708224 1.635542 0 0.16119327 0.52514917 0 0 0 0 0 0 0 0 0 0.099657424 0 0.22568677 0.17490235 0 0 0.08928409 0.11637218 0 0 0 0 0 0 0 0 0.060201544 0.1280338 0.1622165 0 0.079379864 0.24704258 0 0 0 0 0 0 0 0 0 0 0 0.060912706 0 0 0.102812134 0 0 0 0 0 0
"3300037132_13" 0 0 0 0 0.085309856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07279591 0 0 0 0 0.19654436 0 0 0 0 0 0 0 0.059167564 0 0.8387315 0.098186724 0 0 0 0.3266381 4.2559495 0 0 1.7485812 2.667932 0.12049034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06361433 0 0 0.07197915 0 0 0 0 0 0 0 0 0 0 0 0.13236226 0 0 0.05605284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLNS01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.066799894 0 0 0 0 0.0866994 0 0 0.18012868 0.10883677 7.7862854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4303223 0.07157371 0.09232337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.2997494 4.0962715 0 0.093456246 9.586709 0.4427502 0.14924027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.078569785 0 0 0 0 0 0 0 0 0
"20120700_E1X_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33883724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6696581 0.38612548 0 0 0.8314374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.110666454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41071895 0 0 0 0 0 0 0 0 0
"20120800_E2X_5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.3581777 22.074717 0 0 0 0 2.009267 0 0 4.8342695 9.334716 13.369188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
