"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-2-M" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-X" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-3-X1" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_20-24" "714_S1_30-34" "714_S3_1-5" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_30-34" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_30-34" "716_P3_1-5" "716_P3_30-34" "716_S1_20-24" "716_S1_30-34" "716_S2_30-34" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_P3_20-24" "717_S2_30-34" "717_S3_20-24"
"3300037155_22" 0 0 0 0 0 0.101865366 0 0 0 0 0 0 0 0 0 0 0.43465045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48462704 0.13503535 0 0 0 0 0.27952725 0 0 0 0 0.6416148 0 0 0 0 0 0 0 0.32108015 0 0 0 0 7.659751 0 0.087880634 0 0.07395405 0 0.09518996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037155_12" 0 0 0 0 0.066093594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.088007584 0 0 0 0 0 0.1843967 0 0 0.22767682 0.37126735 0.10147987 0 0 0 0 0 0 0.056267884 0 0 0 0.080165535 0 10.257652 0 0 0 0 0 0 0.124240495 0 0 0 0 0 0 0 0 0 0 0.08799974 0.28758815 0 0 0.10477011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_25" 0 0 0 0 0 0 0 0 0 0 1.3815551 0.26292542 0.059810355 0 0 0 0 0 0 0 0 0 0 0.39630446 1.1495802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12955669 0.083664946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3175681 0 0 0 0 0 0 0 0 0 0 0.15647514 0.3948206 0 0
"3300037155_10" 0 0 0 0 0 0 0 0 0 0 27.319967 30.551504 0 0 0 0 0 0 0 0 0 0 0 0 3.8824267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79302335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08452217 0 0 0 0 0 0 0 0 0 0 1.6049157 0 0 0
"20120700_P3D_23" 0 0 0 0.22259028 0 0 0 0 0 0 0.47060513 4.414501 0 0 0 0 0 0 0.17721477 0 0 0 0 0 3.885552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17295574 0 0 0 1.3778505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09349638 0 0 0 0 0 0 0 0 0.9516527 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_32" 0 0 0 0 0 0 0 0 0 0 1.2273394 0.31917214 0 0 0 0 0 0 0 0 0 0 0 0 2.144435 0 0 0 0 0 0 0 0 0.20758279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22222391 0.3805667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.299984 0 0 0
"20110800_P2D_12" 0 0 0 0 0 0 0 0 0 0 2.8951833 10.413725 0 0 0 0 0 0 0 0 0 0 0 0 1.651541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.1177583 2.9184325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9376014 0 0 0 0 0 0 0 0 0 0 0.28044957 0.056452792 0 0
"20120700_P3D_130" 0 0 0 0 0 0 0 0 0 0 0.08491194 3.5734346 0 0 0 0 0 0 0 0 0 0 0 0 4.9947424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19373624 3.6902616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06793481 0 0 0 0 0 0 0 0 0 0 1.3001419 0 0 0
"20120700_P3D_5" 0 0 0 0 0 0 0 0 0 0 6.613466 0.26966822 0 0 0 0 0 0 0 0 0 0 0 0 16.505775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.740792 0.31116447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.312786 0 0 0 0 0 0 0 0 0 0 0.19431038 0 0 0
"3300037076_20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2623057 14.812655 0 0 0 0 1.988917 0 0 3.446888 4.349298 14.755453 0 0 0 0 0 0 0 0 0 0 0 0 145.74933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
