"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-X0" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "714_E1_1-5" "714_E1_5-9" "714_E2_1-5" "714_P1_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMJF01" 1.607712 2.5769765 0.11462354 0.10653375 0.24197948 0 1.2802495 0.3290697 1.694959 0 0 0 0.14612503 0.2199972 1.4001547 0.29211542 0 0 0 0.64310557 1.1501561 0.9182169 0 0 1.4226625 0.14456536 0 0 0 0 0 0 0.64780116 1.3452172 0.34136498 0.1779654 0 0 0 0.07540424 0.900184 1.9806348 1.2980494 0.14734916 0.14395164 1.5819427 0.5780352 1.068235 0.59331954 0.4975457 0.2698053 0.85964125 0.13216741
"PMDZ01" 1.602255 0.1356848 0 0 0 0 0 0 0.103566825 0 0 0 0 0.15294617 2.278705 0 0 0 0 0.80242354 0.22347143 0 0 0 0 0 0 0 0 0 0 0 0 0.68492657 0 0 0 0 0 0 0.40493923 0 0 0 0.35578033 0 0 0.22872622 0 0 0.27799895 0 0
"PMBQ01" 0.19000876 0.19141346 0 0 0 0 0.19468775 0.10736597 0.23966782 0 0 0 0.08036591 0 0.44130808 0.12505217 0 0 0 0.44039387 0.4148645 0.24201487 0.070234954 0 0 0.06664459 0 0 0 0 0 0 0.23506111 0.37623632 0.12562591 0.1476746 0 0.2938411 0.17483102 0.09322811 0 0.06721538 0.1280541 0.07203266 0 0.32746035 0.1952165 0.64425004 0.24401812 0.2079484 0.43630248 0.43730956 0.14235546
"20120700_E3M_5" 0.09624537 0.14085938 0 0 0 0 0.22132984 0.13948983 0 0 0 0 0 0.11728185 1.0350659 0 0 0 0 0.07992724 0.22309005 0 0 0 0.071776494 0 0 0 0 0 0 0 0 0.2711047 0 0 0.27952093 0 0 0 0.68166935 0.096429214 0 0 0 0.24201573 0 0.30899322 0.26760527 0 1.1923959 0.534042 0
"PMBU01" 0.55826336 0.18774462 0 0 0 0 0.15993647 0 0 0 0 0 0 0.11980025 1.1100047 0 0 0 0 0.46956876 0.17911988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10184535 0 0 0 0.10819111 0 0 0.07787559 0 0 2.4795952 0.299213 0
"PMCN01" 4.105514 0.18885748 0 0.60260177 0 0 1.5160652 0 0.07460434 0.077629164 0.5827044 0.4342501 0 0.22368245 0.67054677 0 0.37472054 0 0 0.3444778 0 0 0 0 0 0 0 0 0.3804156 0 0.5752507 0 0 1.1621116 0 0 0.11766107 0 0 0 0.275138 0 0 0 1.2583199 0 0 0.8873602 0 0 0.71136504 0 0
"Fen.Unlabelled.R1.T3.F4.trimmomatic.megahit_bin.27_72.03_1.57" 2.7788002 0.2595494 0 1.0617043 0 0 0.82069457 0 0.21073174 0 1.3613739 1.1767349 0 0.40239874 0.62828416 0 0.43245474 0 0 0.3277063 0 0 0.08105881 0 0.08471748 0 0 0 0 0 0.09410338 0 0 1.0274497 0 0 0.92521054 0 0 0 0.5249629 0.20265244 0 0 1.2546594 0 0 1.3340724 0 0 0.76208 0 0
"Fen.Unlabelled.R1.T1.F4.trimmomatic.metaspades_bin.21_75.31_0.26" 0.25129062 0.07180636 0 0.061317638 0 0 0.8028686 0 0 0 0.60521454 0.09899244 0 0.4838065 0.3067234 0 0 0 0 0.067300916 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6471276 0 0 1.6750749 0 0 0 0.5844165 0.24038592 0 0 0.38269863 0 0 0.47192428 0 0 0.35397723 0 0
"Fen.Unlabelled.R4.T3.F4.trimmomatic.megahit_bin.1_91.07_1.12" 0.07093992 0 0 0.07168638 0 0 0.15330549 0 0 0 0.11747901 0.07274971 0 0.0951203 0.43554768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23626114 0 0 0.15798758 0 0 0 0.13158743 0 0 0 0.22380532 0 0 0.4752407 0 0 0.6381341 0 0
"PMCC01" 1.1582474 0.987899 0 0.15523265 0 0 1.1630044 0.36698848 0.31496796 0 0 0 0.19264588 0.15655962 0.962385 0.23933794 0 0 0 0.5355397 0.32822046 0.4279054 0 0 0.37217242 0.08631841 0 0 0 0 0 0 0.16995764 0.37940383 0.20563668 0.116415076 0.07513713 0.13170366 0 0 0.5532659 0.4668804 0.2619157 0.17127118 0.15084252 0.8571997 0.22083959 0.6628155 0.28745607 0.13556115 0.45442584 0.2934916 0
