"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-2-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-X0" "713_S-2-S" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_P3_30-34" "714_S1_1-5" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_20-24" "715_S2_10-14" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.157_84.48_2.02" 0 0 0 0 0 0 0 0 0 0 0 0.17017534 0 0 1.4180591 0 0 0.26652905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13708198 0 0 0 0.34351748 0 0 2.031864 2.3895898 0 0 0 0 0 0 0 0 0.75396544 0.15296888 0 0.1284249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29" 0.31421557 0 0.15923813 0.073960446 0 0.13699743 0.13590293 0 0 0 0 1.9842454 0.18052863 0 3.496481 0.2721476 0 0.17699105 0 0 0 0 0 0 0 0 0.098464325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23838438 0 0 2.756956 1.478109 0.28238678 0.30300054 0.5356977 0.30655593 0 2.693167 3.9993129 0.36793336 0 0 0 0 0 0 0 2.550919 1.2915056 0 0.08142103 0.19737394 0 0 0.06260949 0.5196011 0 0 0 0 0 0.1153706 0 0 0 0 0 0.22015354 0 0.061210208 0 0 1.1525726 0.22574338 0 0 0 0 0 0
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45" 5.4338975 0.14927122 2.2409575 0.24400784 0 1.0174537 2.1027083 0 0 0 0 9.569157 2.288527 0 10.165554 3.5631738 0 3.261645 0.3725913 0 0 0 0 0 0 0 1.7025611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31602794 0 0 5.0130377 10.837805 6.1033063 4.327288 3.0169153 4.3035226 0 7.273779 6.9299245 5.945617 0.1139632 0 0 0 0 0 0 8.549048 9.027798 0 1.5968949 3.7989202 0 0 0.8372115 6.2904906 0 0 0.10565703 0 0 0.7055218 0 0 0 0 0 3.297739 0 0.72067547 0.082168646 0 6.8710923 3.2801073 0.09755461 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.50_91.45_2.99" 0 0 0.105044365 0 0 0 0 0 0 0 0 0.27381897 0 0 0.3132735 0 0 0.16477555 0 0 0 0 0 0 0 0 7.2272477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7360976 2.2043557 0 15.352913 12.498851 0.062328994 0 0 0 0 0 0 0 0 0 0 2.2461708 5.343571 0 0 0 1.1399564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32066652 0.45139045 0 0 0 0 0 0
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28" 1.863186 0.16085267 1.9573333 0.6983114 0 2.178794 0.90324605 0 0 0 0 1.5415022 0.42444068 0 2.3400812 0.4694129 0 1.4291588 0.44401127 0 0 0 0 0 0 0 0.7713797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7669163 3.894728 1.0418589 1.1853718 2.4871128 1.0155046 0.08047271 3.6641624 1.9386027 0.33075503 0.06285586 0 0 0 0 0 0 1.1224861 0.57366973 0 0.27263075 0.5930736 0.14332938 0 0.3408833 0.42005557 0 0 0 0 0 0 0 0 0 0 0 0.83110964 0 0.32271573 0.08384336 0 0.55499876 1.4752305 0.15513647 0 0 0 0 0
"20170700_S34_32" 2.0297797 1.2809575 1.8709066 1.6107601 0.38555613 2.0240135 1.2452832 1.7133274 0.31720272 0.10040293 4.321577 1.3133677 1.2484463 0.43561766 1.4469415 0.7990326 1.4058951 1.1713493 1.0799253 0.3589904 0.17898916 0.09554628 3.1839118 0.36524007 0.59646565 0.6392225 0.82550836 0.5965245 0.07512918 0.20745362 0.34629104 3.2045023 0.8832527 0.5842021 0.061899763 0.13918297 0.961283 1.5633883 0.12171512 0.074923344 3.3853898 2.6878448 0.3419403 0.37462142 0.32240352 0.40498227 1.2078538 1.814104 1.0519682 3.3555856 1.1050744 1.1015004 0.86053807 1.0219902 0.7705121 1.7940227 1.7940196 0.8847015 0.7884038 0.2254077 0.95175916 0.123310246 0.6726812 0.65150005 0.103039674 1.6631032 1.4156729 1.2072705 1.1707798 1.0849532 0.98951447 0.37740162 0.4148599 0.9235345 0.57390577 0.58781016 0.96494895 0.59681565 14.164469 0.90916574 4.1619234 0.16617142 0.64450043 0.6487675 2.200704 1.4310848 1.0344014 1.4037876 1.1100386 0.43642575 2.2109616 0.9559671 0.7799565 0.50542647 0.25706595 0.4340584 0.4616198 9.256195
"20150700_P13_8" 0 0.08920555 2.9911005 0.78447664 0 0 0 0 0 0 0 0 0.22156478 0 0 0.3998748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28493437 42.035046 40.914295 3.9053307 0 0 0 0 0.5404208 2.2002592 0.19891407 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08279403 0 0 0 0 0 0 0 0 0 0 0 0 0.4347959 0 1.5994309 0 0 0 0 0 0 0 0 0 0
"20110800_P3S_8" 25.403555 1.032344 8.02446 0.18728441 0 9.538007 5.266044 0 0 0 0 7.132737 4.0273476 0 3.3122253 8.417219 0 3.807231 0.36498454 0 0 0 0 0 0 0 3.7551336 0 0 0 0 0 0.07621616 0 0 0 0 0 0 0 0 0 0.5735492 0 0 0.6306296 0.14834498 0 2.208343 3.7715116 7.160353 1.3223462 3.2459848 16.49089 0.3075641 19.999428 1.8607093 4.7623067 0 0 0 0 0 0 0 11.044399 13.553062 0 2.244355 5.059036 0 0 0.6317974 7.770061 1.828826 0 0.427331 0 0 0.57019156 0 0 0 0 0 1.4016728 0 5.9497433 0 0 50.091656 15.191345 2.390087 0.07546663 0 0.48764366 0 0
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88" 4.0693016 0.6652353 2.0011926 0.081338204 0 1.2629576 1.7617897 0 0 0 0 4.5019875 1.1913208 0 0.36769864 0.8440054 0 1.0225779 0.10180931 0 0 0 0 0 0.104215465 0 0.83216405 0 0.13778865 0 0 0 0.8720571 0.08212936 0 0 0 0.159348 0.10046792 0 0 0 0.593662 0 0 0.3683855 0.5176872 0.19538921 0.20237279 0.13648498 0.80358255 2.4257848 1.360906 4.2118983 0.42129126 1.4497808 0.21913524 0.6594464 0.09722048 0.0676604 0 0.06641591 0 0 0 1.7220516 1.14668 0 3.1516914 2.9008486 0.19131088 0 1.2607046 3.944899 0.22177427 0 0.7440349 0 0 0.92339444 3.7006238 0.15310225 0.13261488 0 0 1.1390367 0 0.5863358 0 0 4.289862 2.3894374 0.23515181 0.45428672 0 0.48351836 0 0
"PMST01" 26.374195 1.0997194 1.8114628 0 0 2.4535172 1.2041532 0 0 0 0 5.448401 0.9864983 0 4.0758924 0.9266149 0 1.2284845 0.12390428 0 0 0 0 0 0 0 1.0453391 0 0.06899144 0 0 0 0.54954207 0 0 0 0 0.21599299 0 0 0 0 0.3951942 0 0 0.21385482 0.1558531 0 0.77531797 0.753164 1.2677368 1.2274729 2.521226 5.6261964 0.31187937 4.9649296 0.7503697 0.963464 0.061199166 0 0 0 0 0 0 5.779531 4.2762957 0 1.4910719 2.657553 0.11505521 0 1.044784 3.2543561 0.25803664 0 0.46155798 0 0 0.49320462 2.5373783 0.076797016 0 0 0 0.8222232 0 0.3620511 0 0 9.071706 4.845504 0.4872076 0.2501261 0 0.17510329 0 0
