"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-D" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"PLSR01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2807888 0.23576489 0.09765799 0 0.097750135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.967862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.096530065 0.4066661 0 0 0.15682209 0.19614306 0 0 0 0 0.29629004 0.15546545 0 0 0 0 0 0 0 0 0 0 0.806175 0.25859657 0.3875013 0 0 0 0 0 0 0.90165925 0.76333255 3.2535887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48848537 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1308997 0
"PLTK01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.9746273 2.5384095 0.07860852 0 0.12512094 0 0 0 0 0 0 0 0 0 0 0 0 0 0.073786095 0.1183087 3.8051245 0 0.38084948 0 0 0.09437903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9354415 0.15669884 0 0 1.1740292 0.87623084 0.11785504 0 0 0.37307024 0.40038612 0.84838945 0 0 0 0.23320644 0 0 0 0 0 0 0.16210303 0.5222426 0.91209596 0 0 0 0 0 0 0.14471678 0.81400514 0.12690745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0441355 0 0 0.15655522 0 0 0 0.06574436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0937352 0 0 0 0 0 0 0.21230443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0977774 0 0 0.057795785 0.16713504 0
"PMWT01" 0 0 0.101288654 0 0 0 0 0 0 0.3178449 2.0559485 0.26020712 0 0.86900455 3.5156777 0.46573067 10.775061 6.015678 13.545006 3.910791 17.821852 0 1.3162986 0 0 0 0 0 1.1966192 0.964342 1.1444148 2.6637776 0.68424964 0 2.5416317 14.835723 26.246534 0.7406444 18.31943 0.72280794 0.40599227 4.1234107 3.9433155 0 0 0 0 0 0 0 0 0 0 0 0 2.0015118 0.95787734 1.1935762 6.9496546 26.127317 14.887362 4.4810047 0.6980517 13.6838045 13.808384 6.759943 0.9174144 6.2621737 12.358419 8.234215 4.7676406 5.9791236 0 0 0.45501125 0.27340734 0 0.09698838 0 0 3.659213 9.623172 6.400448 16.722279 3.1319902 0.8551312 13.29332 12.274042 13.6409645 0.6964941 10.569503 26.464481 6.239097 2.8688748 0 0 0 0 0 0 0 0.5708829 1.1916035 1.448382 0.81558836 2.009593 0.74945116 1.8623047 1.5990504 8.185544 9.546281 6.170588 2.2492976 9.251812 11.410684 0.73467845 5.3409114 4.0447073 0 0 0 0 0 0 0 0 2.336076 0.4963055 1.4073023 1.1963174 2.2067394 0.18315244 0.4408338 0.982029 0.53375 1.4476204 14.276361 6.4600897 5.00423 0.33258507 33.787857 5.6511474 6.9676228 9.373568 8.763893 1.4337802 0 0 0 0 0 0.60758376 0.7604728 0.22527763 0.6313492 0 0.114692435 0 2.2508452 18.15 20.041803 3.5297046 8.07153 7.955707 1.0364203
"20160700_S13_16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96067715 3.0219026 0 0 0.17864263 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12824516 1.2667645 0.6417355 0 0.2612197 0 0 0.29375598 0.2770503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49797 6.1162457 5.8986583 0.06223526 0 1.6211909 0.11344108 0 0 0 0.614226 0.2086759 0.9108143 0.2791261 0 0 0 1.0408196 0 0 0 0 0 1.847307 0.2376839 0.14359213 0 0 0.45090297 0.82757777 0 0 0.26077592 1.2187963 0.20518495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08413695 0 0 0 0.10753256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25.566458 0.15720713 0.10752385 0 13.626287 0.16130817 0 0.8351233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09576362 2.952429 0.1965623 0.101526156 0 0.056717847 0
"20120700_S1D_66" 0 0.11495891 0 0 0.122962065 0 0 0 0 0 0 0 0 0 0 0 6.7842574 2.2684782 2.6891315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9441662 0 0.06120746 0 0 0.1392567 0.12535468 0 0.43590593 0 0 0 0 0 0.14148037 0 0 0 0 0 0 0 0 0.63479 0 0 0 0.19375637 2.2187924 0.07148972 0 0 0 1.5130806 1.113763 0 0 0 0 0 0 0.061283235 0 0 0 0 0.69401586 1.0405387 0 0 0 0 0 0 0 3.804655 9.524991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23286217 0 0 0.48241493 1.5254216 0 0.1981765 0.08821833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4314871 0 0 0 0 0 0 0 0 0 0 0 0 0.21357694 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3618103 0
"20170700_S33_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5551435 0.8704899 2.987655 0 10.215128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16139624 0.40931314 0 24.612244 0.15806812 0.089197315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34934446 0.17187925 1.502087 0 0.31914803 0.6010957 0 0 0.6680077 4.0185037 3.3375735 0.7040727 1.5415757 0 0 0 0 0 0 0 0 0 1.0474495 5.0982795 3.1802106 0 0.067851454 1.5026246 11.903017 1.0372494 0.25075108 12.715073 40.876854 0.10414853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0301646 12.47646 2.2832298 0.098925725 5.820829 0 0 0.9514711 0.8827896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5580308 0.26622862 0.09500493 0 0 7.251652 0.36698803 0 13.757778 12.771219 0.2516651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5725509 19.318483 0
"20120600_S3D_1" 0 0.08256912 0 0.107821114 3.214127 0 0 0 0 0 0 0 0 0 0 3.3033493 144.96469 328.8746 11.716685 0.05734662 7.9265366 0 0 0.16661213 0.14280814 0 0 0 0 0 0 0 0 0 1.4259042 2.9621043 41.832558 1.1614152 60.596786 0.47757712 1.1097696 4.5674405 4.644778 0.326611 1.2591841 0 0 0 0 0 0 0 0 0 0 0 0 0 4.310485 26.256588 2.2180192 0.4183442 0.07860772 6.583809 36.761772 2.150785 0.43937805 5.574352 41.842735 95.54874 17.244965 6.116706 0 0 0 0 0.056954328 2.1676536 0.08473554 0 0 8.025515 22.560822 108.363205 0.71695465 0.76070195 2.5054576 13.871284 7.389751 1.4063525 25.308771 195.09793 1.8779175 0.25828525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.02856 109.92095 31.334827 1.3251922 18.796698 5.034169 0.15600261 5.6435876 6.6970625 0 0.1101141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6183853 35.091785 0.9339309 1.1138846 0 51.563942 2.539284 0 18.911913 5.484493 0.3220236 0 0 0 0 0 0 0 0 0 0 0 0 1.7124481 15.807563 0.085168466 0.8445047 6.513808 43.724545 0
"20130700_S3M_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9411668 10.597393 0.89385706 0.18573888 0 5.299834 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07646737 0.34933594 0.762766 0 5.283643 0 0.7670259 0.3405304 0.347395 0 0 0 0 0 0 0 0 0 0 0 0 1.8080077 0 0 0 2.9380205 0.20874284 0 0 0.35285324 0.14574842 0 0 5.161354 20.69912 9.056849 0.71881217 6.3029475 0 0 0 0 0 0 0 0 0 0.55708367 2.4628599 3.493663 0 0 0.43209156 13.818946 0.68640053 0.54336673 26.007204 90.35176 0.59730893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.40881202 2.592544 0 0 0.92485 0 0 0.24325092 0.23095809 0 0 0 0 0 0 0 0 0 0 0 0 0.6918373 0 0 0 0 0.11361129 0.18567829 0 0 0.34197268 33.735313 1.0092597 0 12.391224 2.4418414 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1364678 0 0 0 1.7392302 1.834513 0
"20120700_S1D_43" 0.1615798 0.08623159 0 0.085727185 0 0 0 0 0 0 0.3121086 0 0 0 0 1.6474524 79.88391 5.2455516 7.9384055 1.1625028 16.148071 0 0 0 0 0 0 0 0 0 0 0 0 0 0.88545394 1.9665045 22.001862 0.44790238 5.188713 0 0.09617555 0.24256247 0.22693282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5712067 6.5292497 1.0804428 0.5389782 0 2.217433 3.1755173 0.7074363 0.10774337 0.1466827 0.703106 1.875308 1.214392 0.34755012 0 0 0 0 0 0 0 0 0 1.9038289 3.6617937 6.537031 0.3261297 0.2323682 0.9175008 3.6235723 1.1688243 0.29659003 2.0610454 10.936648 5.2690406 0.1499468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.0329356 15.481522 6.846679 0.56023103 24.589876 7.08286 0.62070477 3.7922344 0.36028638 0 0 0 0 0 0 0 0.06319263 0 0 0 0 0 0 0 0 0 1.0611349 5.7105975 1.0138175 0.9739659 0 0.4378571 0.06999887 0 38.552853 19.137821 0.40993327 0 0 0 0 0 0 0 0 0 0 0 0 0.98152417 10.506314 0.8363372 0.6788341 1.7720991 11.919935 0.6432928
"20111000_S1D_14" 0.77224404 0.9719726 0 1.0498441 0.34068558 0 0 0 0.06870135 0 0 0 0 0 0 0.1474923 2.6391232 0.33402684 0.8986608 0.07590644 0.59580785 0 0 0.16438192 0.32182556 0 0 0 0 0 0 0 0 0 0 0.08233497 1.0408732 0 2.8809197 0 0 0.11948952 0.10946466 0.14174493 0.09259511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.553624 0 0.11980567 0.459196 0 0 0 0.11506895 0.06459347 0 0.06108771 0 0 0 0 0.24866472 0.16784643 0 0 0 0.14491956 0.44047496 2.2369897 0.1700733 0 0.08877711 0.27835125 2.5654747 0.19714285 6.8572264 12.302423 0.907118 0.1844692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.364759 6.6670957 11.382706 0.22199382 2.1489522 0.57519776 0 2.3028874 0.51190645 0.08672905 0.070294544 0 0 0.06551911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10420026 0 0 0 0 0 5.6318974 5.22413 0.10758666 0 0 0.41428542 0 0 0 0 0 0 0 0 0 0 0.14683719 0.2929626 0.22349322 1.9680009 1.9734353 0
