"genome" "711_E-1-S" "711_E-1-M" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-M" "712_E-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-D" "712_P-3-D" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_20-24" "715_S3_20-24" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_30-34" "716_P1_30-34" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S2_1-5" "716_S2_10-14" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_P3D_141" 0 0 0 0 0 0 0.25957426 0 0 0.16236149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1480542 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060267255 0 0 0 0 0 0 1.0850116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_9" 0 0 0 0 0 0 0 0 0 1.5471653 2.8383186 0 0 0 0.11604723 0 0 0 0 0 0 0 0 0 3.3830056 0.5047239 2.6750371 0 0.34258673 0 0 0 0 0 0 0.17840406 0 0 0 0 0 0 0 0 0 0 1.7096186 0.3474893 0 0 0 0 0.3186041 0 0 0 0 0.35023203 0 0 0 0 0 0 0 0.45704597 0 0 0.20586003 0.29084346 0 0 0 0 0.14065984 0.7017565 0.22083172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4880855 0 0 0 0 0 0 0 0 0 0.11741104 0 0 0 0 0 0 0.47311887 0 0 0 0 0 0.2516471 0.9675989
"20120500_P17_2" 0 0 0 0 0 0 0 0 0 1.2689787 8.3882475 0.25589317 0.34319827 0.13903141 0 0 0 0 0 0 0 0 0 0.055739466 58.452465 1.5912185 0.5345223 0 0 0.22307593 0 0.12819235 0.14922747 0.1265442 0 0 0 0 0 0 0 0 0 0 0 0 7.8243194 8.430166 0.3584051 0 0 0 0 0.5159025 0.15291512 0.088719934 0.28664413 0.7208445 0 0 0 0 0 0 0 0 0 0 0 0.15070629 0.06178834 0.09655948 0 0.06654042 1.1924345 3.579251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14672185 0.12496096 2.721928 0.06616366 0.07239127 0 1.1807371 0.14841469 0.56888753 0.72660744 0.17502691 0.2225035 0 0 0 0 0 0.07010013 0.08322703 0.3045725 0.06066276 0.2469511 0 0 1.0941612 0.10142774 0
"PKXJ01" 0 0 0 0 0 0 0 0 0.780501 23.037483 0.27074653 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5902967 0 5.2464223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10925771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36956635 0.10008829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35337123 0 0 0 0 0 0 0 0 0 0 0 0 0 6.622632 0 0 0 0 0 0 0
"20111000_P1D_14" 0 0 0 0 0 1.0303731 0 0 1.1955088 0 0 0 0 0 0 0 0 0 0.10512491 0.2056231 0 0 0 0 0 0 0.14195539 0 0 0 0 0 0 0 0.13407551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16290098 0 0 0 0.95968777 0 0 0 5.918829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08013898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09635592 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_39" 0 0 0 0 0 0 0 0 0.07174439 0.15930693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.194977 0 0 0 0 0 0 0 0 0 0 0 0.15956134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29330078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13296658 0 0 0 0 0 0 0
"20111000_P2D_16" 0 0.1114839 0.27802753 0.47359264 0.67088956 0 0 0.6030203 0.12041735 3.8738887 0 0 0 0 0 0 0 0.5889403 0.1308668 0.16200106 0.7261276 0 0.3649608 0 0 0 0.61000174 0 0.10615698 0 0 0 0 0 0.2798744 0.28508332 0.20952152 0.13742727 0.429314 0.38695368 0.189672 0.77160776 0.2262023 0.060445797 0 0.1292196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057611763 0.45043162 0 0.19049706 1.4838612 0 0 0 0 0 0 0 0 0 0 0 0 0.086571015 0 0.119852915 0.056089178 0 0 0 0 0 0.22068371 0.64498556 0.5043405 0.46960586 0 0 0 0 0 2.468306 0 0 0 0 0 0 0 0 0 0.05582475 0.2776887 0 0 0 0 0 0 0 0 0 0
"20110800_P1D_29" 0 0 0.08161687 0.07433728 0.18019988 0 0 0.11307118 0 14.6122055 0 0 0 0 0 0 0 0.124190025 0.05586071 0.0716863 0.4830577 0.056325436 0.22287284 0 0 0 2.0627272 0 0 0 0 0 0 0 0 0 0 0.7183627 1.0814762 0 0.056205623 2.3647208 0 0.26617995 0.14642277 0.11661214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13060953 0 2.384612 0 0 0 0 0 0 0 0 0 0 0.06638158 0.09318673 0 0 0 0 0 0 0 0 0.06920036 0.07298396 0.08077543 0 0 0 0 0 0.10566081 0 0 0 0 0 0 0 0.11126492 0.10183307 0 0.11494461 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_140" 0 0 0 0 0 0 0 0 0.1244114 2.0168066 0 0 0 0 0 0 0 0 0 0 0.056850847 0 0 0 0 0 3.2960927 0 0 0 0 0 0 0 0 0 0 0.6519879 0 0 0 1.3149474 0 0.3725765 0.37719187 0.3348225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07267999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6878364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E2D_8" 0 0 0 0 0 0 0 0 3.3033767 8.087952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.364346 0 0 0 0 0 0 0 0 0 0 0 0.16687578 0 0 0.094155885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5218742 30.658875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
