"genome" "711_E-1-M" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-D" "712_E-2-S" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-X0" "713_E-1-X1" "713_E-2-X1" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E3_20-24" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_1-5" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20110800_P2D_8" 0 0 0 0 0 0.13371629 0 0 0.22648624 8.890715 0 1.4037688 8.558211 0 0 0 0 0 0 0 0 0 0 0 1.4267296 4.3229175 0 0.09039606 3.9697824 0 0.12268958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5171942 0.17057979 0.32523766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.384615 0 1.4694397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14524083 0 0.3286451 1.1067221 0 0 2.6791432 0 0 0 0 0 0 0 0 0 0 0 0 0.9546712 0.1371053 0.1105385 1.0240927 0.2682204 0.06488964 0 1.6765301 12.865356 0 0 0 0 0 0 0 0 0 0 0 0 0.18776415 0 0.36844733 3.731832 0 0 3.4679928 0 0 0 0 0 0 0
"20130700_P1Y_3" 0 0 0 0 0 0 0 0 0.22417954 6.335198 0 0.07355375 14.979222 0 0 0 0 0 0 0 0 0 0 0 0 19.19944 0 0 20.524376 0 0 0.46547416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36.62595 0 22.13862 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31931055 0 0 0 0 0 0 0.64850456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9783521 0 0 1.4720881 0 0 0 0 0 0 0 0 0 0 0 0 0.8212668 0.09346063 0 0.6844542 12.1241665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.6505485 0 22.49581 7.6348386 0 0 0 0 0 0 0 0 0 0
"20160700_S23_14" 0 0 0 0 0 0 0 0 0.09087141 4.207144 0 0 17.548296 0 0.2850179 0 0 0 2.061067 0 0 0 0 0 0 5.9124427 0 0 5.5683775 0 0 0 0 0 0 0 0.86440575 0 0.07537999 0 0 0 0 0 0 0 0 0 0 3.3065705 0 0.5759472 0 0 0.071486935 0 0 0 0 0 0 3.312378 6.2606072 1.0130863 0.10932573 0 0 0 0 0 0 0 19.725683 0.19220445 0 0 0 0 0 0.58719724 0.055993598 0 1.7988404 1.917692 0 0 0 0 0 0 0 0 8.748036 0 0 2.228906 0 0 0 0 0 0 0 0 0 0 0 0 3.4142067 0.4818326 0 5.567872 2.8685067 0 0 1.315936 0.60885906 0.8539106 2.0869813 0 0 0.23665906 38.393806 1.6325313 0 2.879686 0.44316804 0 0 4.0137434 0 1.6571515 2.384396 0 0 0 0.10129408 0 0 0 0.675502 0.09033082 0
"20110700_P2D_26" 0 0 0 0 0 1.9020717 0 0.09942988 1.0569274 11.780279 0.34160003 1.0620902 35.221397 0.4737741 0.9631081 1.6499593 0 0 0.12129226 0 0 0 0 0 0 4.46387 0 0 2.0499976 0 0.0758331 0.08353565 0.11316581 0.14427964 0 0 0.108043715 0 0.26373982 1.8494581 1.8265476 0 0 0 0 0 0 0 0 8.4965315 0 2.1095781 0.15199383 0.23106685 0 0.09322828 0 0.18415965 0 0 0 0.97654784 0.95851994 0.7658131 8.601786 12.161778 0 0 0 0 0 0 0.292963 0.25432542 0 0 0 0 0.4901388 0.7189574 0.26717442 0.301233 1.738307 4.429733 0 0 0 0 0 0.23059745 0.3010997 0.26438236 1.0049182 0 0 0.107468516 0.124834776 0 0.17980671 0 0 0 0 0 0 0 0 0.05744235 2.3996372 0.60349435 0.3330881 0.51408964 7.2008905 0.25990036 1.6668932 1.6236237 4.1999764 3.0260363 0.11364685 5.467114 4.0853434 0.31486735 2.5471506 0.41532737 0.079445794 0.21454416 0 0 0.09331891 1.773023 0 0.75285625 1.2482656 1.083708 3.8854856 2.3821034 0.5367469 0 0.23879126 0 0.5393246 0.33339635 0
"20110700_P2D_37" 0 0 0 0 0 0.14325547 0.14763987 0 1.3182423 13.620939 0 0.14296731 13.468676 0 0 0 0 0 0 0 0 0 0 0 0 0.81336015 0 0 1.9919393 0 0 0.17934607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29662654 0.11871769 3.1781387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8822045 0 0 0.14088318 0 0 0 0 0 0 0 0 0 0 0 0 2.5512462 0.37398207 0 0.76721483 0.14838225 0.083994426 0 0.24847345 4.593769 0 0 0 0 0 0 0 0 0 0 0 0 4.580695 0 0.503651 1.8952078 0 0 0.2654369 0 0 0 0 0 0 0
"PLWZ01" 0 0 0 0 0 0.102233425 0.5074064 0 0.925302 4.3917394 0 1.3295766 24.179289 0 0 0 0 0 0 0 0 0 0 0 0.15118003 10.706435 0 0 16.250786 0 0 6.218247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1104305 0.16674401 1.6891464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7557226 0 0.39254525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4102156 0 0 1.1113614 0 0 0 0 0 0 0 0 0 0 0 0 3.3148623 0.4791223 0.23292415 6.371685 0.90110475 0.05678695 0 0.40535867 5.059919 0 0 0 0 0 0 0 0 0 0 0 0 5.501227 0 1.7543689 3.9742968 0 0.22737841 1.3531226 0 0 0 0 0 0 0
"20111000_P2M_3" 0 0 0 0 0 0 0 0 0 0 0 0 1.4851916 0 0 0 0 0 0 0 0 0 0 0 0 0.09351765 0 0 31.640461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0679701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3983886 0 0 0.5878751 0.072375044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26.761019 0.8434462 0 0 0 0 0 0 0 0 0 0
"20111000_P2D_13" 0 0 0 0 0 0.08966632 0 0 0 0.17399779 0 0.07711044 24.846066 0 0 0 0 0 0 0 0 0 0 0 0 50.11586 0 0 47.058197 0 0.09084402 0 0 0 0 0 0.11957021 0 0 0.07037894 0.06504774 0 0 0 0 0 0 0 0 17.327543 0 15.783061 0 0 0 0 0 0 0 0 0 0 0.05733039 0 0.20213749 40.89826 0 0 0 0 0 0 0.38881263 0 0 0 0 0 0 0 0 0 0 0.51754427 0 0 0 0 0 0 0 0 0.6274265 0 0 0.20771684 0 0 0 0 0 0 0 0 0 0 0 0 4.8519626 0.7144444 0 0.07766045 10.100946 0 0 0 0.11068715 0.19948179 0 3.213597 0.46045372 0 0.8080625 0 0 0 0.5429626 0 0 1.7659619 0 0.41249853 0.22676596 0 0 0.07820524 0 0 0 0 0 0 0
"20110700_P2D_30" 0 0 0 0 0 0 0.8919924 0 0 17.419424 0 0 29.159008 0 0 0 0 0 0 0 0 0 0 0 0 19.930538 0 0 5.7633986 0 0 0.6328045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.9329977 0 1.1041499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.310628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41039887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1660438 0.29515088 0 0.55914694 7.6967735 0 0 0.56833327 4.639862 0 0 0 0 0 0 0 0 0 0 0 0 0.3945593 0 0.36570722 12.079567 0 0 3.5719814 0 0 0 0 0 0 0
"20160700_P15_16" 0 0 0 0 0 0.12427652 0 0 0.27679223 0.68829316 0 0.19692548 16.375658 0 0 0 0 0 0 0 0 0 0 0 0.15473036 2.3133676 0 0 1.9083966 0 0.10881936 0.0933216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6828771 0 0.42474318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.95017827 0 0.35581565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.72084564 0 0 0.32423764 0 0 0 0 0 0 0 0 0 0 0 0 12.471747 2.1456146 0.08819668 1.0831349 0.94487053 0 0 0.4242683 2.912113 0 0 0 0 0 0 0 0 0 0 0 0 2.4594243 0 0.076106414 0.95606226 0 0.08064188 0.2942517 0 0 0 0 0 0 0
