"genome" "711_E-1-S" "711_E-1-M" "711_E-2-M" "711_E-2-D" "711_E-3-D" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-D" "712_E-2-M" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-2-X1" "713_E-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_E2_20-24" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_E1_20-24" "716_E3_10-14" "716_E3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20140700_S21_3" 0 0 0 0 0 0 0 0 0 0 0 0 2.4386365 0.98562163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17852266 0 0 0 1.4326268 0 0 0 0 0 0 0 0.30765176 0 0 0 0 0.21739146 0 10.834883 2.7421818 0.07807515 0 0 0 0 0 0 0 0.9789533 0 0 19.419655 0.6791177 0 3.4027786 7.0418468 7.205776 0 0 0 0 0 0 0 0 0 0 0 0 0 3.9075644 0 0 0 0 0.05961083 0.058658812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.332487 0 0 0 2.1791296 0.30882487 0.14677848 3.7719102 0 0 0 0 0 0 0.08601377 0 0 0 0 6.458824 0 0 0 5.3284464 0 0
"20140700_S31_6" 0 0 0 0 0 0 0 0 0 0 0 0 17.446402 0.5202745 0.070596576 0.34059903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8655064 5.2984614 0.2097513 0.31691226 0 16.335554 0 0 0 0 0 0 0 3.380452 0.1349427 0 0 0 4.0495644 0 29.48519 2.1086671 0.2540825 0.110518925 0 0 0 0 0 0 15.895862 0.09945917 0.3015918 38.75808 0 0 25.899166 7.5974727 0.8084175 0 0 0 0 0 0 0 0 0 0 0 0 0 15.71503 0 0 0 0 0.28997892 0.2752501 0 0 0 0 0 0 0 0 0.16001125 0 0 0 0 0 17.823675 0 0 0 7.3294573 0.21269524 0.15812214 1.4845512 0 0 0 0 0 0 0 0 0 0 0 36.66555 0.07439967 0 0.15990265 19.854761 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.15_76.90_1.72" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32676786 0 0 0.752982 0 0 0 0 0 0 0 0 0 0.07659635 0 0 0 0 0 0 0 0.06060736 0 0 0 0 0 0 0.20973776 0 0 0 0 0 0 0 0 0 0 0 0 0.9300298 0 0 1.9138165 1.5754336 0 0 0 0.8256477 0 0 0 0.08933173 0.05852745 0 2.061473 6.433513 0.6389795 0 0 0 0 0 0 0 0 0 0 0 0.17067784 0 0 0 0 0 0 0 0 0 0 0.4167964 0 0 0 0.55314994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16030733 0 0 0 0.55159825 0 0
"20130700_C2M_2" 0 0 0.25797436 0 0 5.976783 1.1050501 2.0215218 0 2.4204245 0.5905765 0 0.41009834 1.0775228 5.3768077 1.6402388 0 2.4741504 0 0 0 0 2.3945754 0 0 0 0.925934 0 0.32480475 0 0 0.12941845 0.19078796 3.486618 0 0.5033805 0 0 0 0 0 0.82106435 0 1.1067948 1.953408 0.36207616 0.3309634 0 0.10107544 0.092129506 9.230351 3.1467185 0.957667 0.69542307 1.9419435 0.056811377 0 0 0 0.057025816 1.3843502 1.0090982 1.4073547 2.2338786 1.9852289 1.3433516 2.063838 28.904749 19.38676 0.07856619 0 0 0 0.07800589 0.92056936 1.0289128 0.4943087 1.0873853 2.413753 0.06898601 0 0 1.2173251 0.48861697 0.32437825 1.5554119 0.05886693 0.05960536 0 0 0 0 0.56124717 0.33179888 0 2.0388966 2.77235 0.08348879 0 0.9599354 4.171487 0.09677519 0 5.6714315 2.7356439 0.2905022 0 1.8601477 49.427696 2.9584591 8.417787 1.6059619 0 0 0.30220968 0.22935489 0 0 0 14.663859 2.058282 0.29248422 2.1925724 0.38534763 0.056450807 0 10.125406 1.0115082 0
"20130700_S3M_11" 0 0 0 0 0 0.8572848 0.24077144 0.22642216 0.0655354 0 0.08367988 0 0 0.43952256 0 0 0 0 0 0 0 0 0.63644695 0.06477832 0 0.109765515 0.065071724 0 0.24754648 0 0 0.42137808 0 1.3964431 0 0 0 0 0 0 0 0.23562346 0 0.20624705 0.13367096 0 0 0 0.3654742 0 4.5146775 7.643964 0.4161113 0.07909004 0 0 0 0 0 4.2733393 2.8584762 0 0 1.9049633 0.21972543 0 0.117601745 5.711125 8.115759 0 0 0.12824437 0.17744036 0.10744852 0.1271479 0.090568274 0.6651958 10.724199 0.18513046 0 0.2746198 0.15175945 0.31896806 0 0 4.229077 0 0 0.06839187 0 0 0 0.80942905 0.18350317 1.0470711 1.179916 0.63739574 0.30693418 0 0.17235431 2.192695 0.29563826 0.08259478 1.9977231 0 0 0 0.7697214 39.350536 2.9919746 4.646508 0 0 0 0.10351993 6.098456 0 0 0 0.25497618 0.11821133 0 0.3919384 0 0 0 3.3822167 0.5139597 0
"3300037110_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07550558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.5615711 0.8632067 0.26705122 0.058592286 0 0 0 0 0 0 0 0 0 0 0.100138985 0 0 0.18143013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0932532 3.6068072 0 0.14321634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45128947 0 0
"20140700_S31_9" 0 0 0 0 0 0 0 0 0 0 0 0 0.3073499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49354786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4739091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.951449 1.1410158 0.24309011 0 0 0.19070092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0221972 0 0 0 4.2164574 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.387197 0 0
"20110600_P3S_5" 0 0 0 0 0 0.22960897 0 0.08721954 0 0 0 0 0.13600962 0 0 0 0 0 0 0 0 0 5.029172 0 0 5.2760334 0.06991258 0 0 0 0.31358284 0 0 0 0 0.30099696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17526251 0 0 0 0 0 0 0 0 0 0 0 0 0.63557214 0 0 4.583351 0.59547716 0 0 0 7.4194746 0.9287671 0 0 0.10461647 0 0 0.34077165 0.36605436 0 0 0 0 0 0 0 0 0 0 0 0 5.3986244 0.16552894 0 0 0 0 0 0 0.09884673 0 0 1.3474599 0 0 0 24.690811 0 0.13358344 0 0 0 0 0 0 0 0 0 0.39289907 0 0 0 0 0 0 1.8944865 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.311_71.88_3.42" 0 0 0 0 0 0 0 0.11698891 0 0 0 0 0.09478571 0 0 0 0 0 0 0 0 0 0 0 0 0.25637206 0 0 0.06795438 0 0 0 0 0 0 0.18045929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1577493 0 0 0 0 0 0 0 0 0 0 0 0 0.73710126 0 0 2.5637658 0.39948758 0 0 0 1.1195321 0 0 0 0.11624358 0 0 0.50318694 0.09408729 0 0 0 0 0 0 0 0 0 0 0 0 0.13844162 0 0 0 0 0 0 0 0 0 0 0.40642953 0 0 0 3.5869787 0 0 0 0 0 0 0 0 0 0 0 0.076539695 0 0 0.06635732 0 0 0 3.908961 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91" 0 0 0 0 0 0 0.062428262 0.347508 0 0.97081167 0 0 0.11553626 0 0 0 0 0 0 0 0 0 1.1507404 0.3377296 0 1.2529465 0.7995793 0 0.43770763 0.2260887 0.082609825 0 0 0 0 1.0071405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.60899395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.166548 0 0 0 0 0.77873194 2.1011658 3.154679 0.105246484 0.18102977 0.9657352 0 0.11183961 1.3245162 1.0659891 0 0 0 0 0 0 0 0 0 0 0 1.6569129 1.0002087 0 0.4548648 0.057823405 0 0 0 0.5240474 0 0 0.07789273 0 0 0 7.3252015 0 0 0 0 0 0 0.4532454 0 0 0 0 1.8344767 0.14457265 0 0 0 0 0 1.2422478 0 0
