"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_P-3-D" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-3-X1" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_5-9" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P2_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"3300037226_12" 0 0 0 0 0 0 0 0 0.27667782 0 0 0 0 0 0 0 0 0.44173813 0 0 0 0 0.08028364 0 0.09322764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15691923 0.38160673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08913706 0 0 0.28011775 0 0 0 0 0 0 0 0 0 0 0.07903627 0 0.27032533 0 0 0.09772682 0 0 0 0 0 0 0
"3300036913_19" 0 0.20363747 3.483845 0 0.083034985 6.5777917 0.137526 0.20663448 1.9748458 0 0 0 0 0 0 0 0 0.16036089 3.2751641 0.73029536 0.14469373 6.5749674 1.1210469 0 5.3144193 0 0 0 0 0 0 0 0 0 0 0.38646117 0.48064566 1.54217 0 0 0 0.4926204 0.18993978 0.18978772 0.15673937 0.3787162 3.043157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0988291 0.3127568 0 0.08147152 0.1788095 2.9293118 0 0 0 0 0 0 0 0 0 0 0 0 2.20552 0.2596255 7.2166057 10.072299 0 0.08958117 1.7641203 5.146102 0 0 0 0 0 0 0 0 0 0 1.4222245 6.266789 13.2433605 0 1.8225237 9.898127 0 0 0 0 0 0 0 0 0 0 0.37655923 1.965428 5.714969 0 0.24004453 7.9142056 0 0 0 0 0 0 0
"20140700_E15_15" 0 0 0.2799412 0 0.342902 0.16625088 0 0 0 0 0 0 0 0 0 0 0 0.2803412 2.5231626 0.10397657 0 0.07506919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.119730964 0.25808397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27652085 4.402763 11.361947 0 0.8416844 1.8747838 0 0 0 0 0 0 0 0 0 0 0 0 0.115163304 0 0 0 0 0 0.17195101 0.11708767 0 0 0 0 0 0 0 0 0 0 0 0.06303785 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_12" 0 0.092561 0.5845454 0.062304407 0.78396183 0.11512261 0 0 0.2262686 0 0 0 0 0.1482087 0.4122743 0 0.5074379 0 0.52809584 0 0 0.1471291 0 0 0.19137579 0 0 0 0 1.6474792 0.17299385 0.280915 0 0.4273392 0.32849818 0.18959172 0.30964777 0.1064911 0 0 0 0 0.16928583 0 0 0.23619148 0 0 0 0 0 0 0.19667637 0.05757084 0 0 1.3970298 1.148227 0 0.26378945 0.60132164 0.27439734 0.47094497 0 0 4.33113 0.86091435 0 0.5273031 0.24281561 0 0 0 2.46426 0.3473506 0.14353314 0 0.5949955 0 0 0 0.070800826 0.46011734 0 0.41536602 0.37393808 0 0 0.104639076 0.9032637 0 0.13196208 0.08012769 0.08656109 0 0.62823457 0.17414893 0.5803228 0.4246599 0 0.79679364 0.5452806 0.60913146 0 0.27301976 0.17421567 0 0.16049458 0.39337817 0.45442778 0 0.1328839 0.7983807 0.12087775 0.886346 0.20612562 0 0 0.19964573 0 0.1122812 0 0 0.74656695 1.3035871 0.7513871 0 1.0249369 0.0967649
"PMEE01" 4.11241 16.941383 42.799927 6.933716 44.24431 23.577297 8.637195 13.653297 14.917534 0 0 0 0 0 0.54841095 2.2836814 0 26.519356 16.57203 5.66198 3.2184749 27.440407 2.261862 1.0574328 15.000311 0 0 0 0 0 4.2661157 0 0.8963082 0 0 26.19443 23.229765 11.842339 4.042625 0.62396187 1.306269 2.1614325 5.370403 2.197442 5.3987756 11.896627 3.188623 8.138057 8.833525 1.067156 0 0 0 0 0 0 0 0.6303036 0.7922949 0 0 0 0 0.5353937 6.1754518 43.75633 14.491461 1.5665694 12.412464 25.127602 0 0 0 0 0.123624146 2.0905406 0 0 0 0 0 0 17.950602 1.8713129 53.5416 12.77625 0.67241776 10.557987 10.2141075 12.898164 0 0 0 0 0 0 0.19614446 0 0 1.317452 18.150023 28.025433 25.569117 0.7141804 17.783772 7.942848 0 0 0 0 0 0 0 0 0 0.13575996 5.778528 18.225676 17.510687 1.2265892 6.5934997 10.431831 0 0 0 0 0 0 0.14701131
"20120600_E2D_39" 0.3422864 1.3006957 0.9955782 0.668419 5.528964 0.2654701 0.22264445 0.6836514 0.21953975 0 0 0 0 0 0 0.1180896 0 0.6815358 0.15662295 0.43309817 0.18657632 0.42792454 0.08869552 0 0.3621495 0 0 0 0 0 0.11753293 0 0 0 0 2.3115509 2.0499458 0.4119351 0 0 0 0 0.08620466 0.24717708 0 0.9913543 0 0.05916934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.57922405 2.015373 0.12817001 0.1372692 2.2344592 0.24304253 0 0 0 0 0 0 0 0 0 0 0 0 0.2621196 0 0.26503107 0 0 0.1501178 0.284998 0.38823974 0 0 0 0 0 0 0 0 0 0 1.4331981 0.4111254 0.1721241 0 1.0166473 0 0 0 0 0 0 0 0 0 0 0 0 0.35784143 0.15041225 0 0.093096256 0 0 0 0 0 0 0 0
"20140700_E14_1" 0 0.05617211 0.49232706 0 1.2265604 0 0.1655424 1.5844166 0 0 0 0 0 0 0 0 0 1.365729 1.0681008 0.056384075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07675978 0.22220217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12091872 2.0385957 39.127724 3.724353 0 0.3839525 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29016224 0 0 0 0 0 0.63388467 2.1396441 0 0 0 0 0 0 0 0 0 0 0.60073745 0 0 0 0.094526045 0 0 0 0 0 0 0 0 0 0 0 0 0.84588933 0.9597237 0 0 0 0 0 0 0 0 0 0
"PMGM01" 0.26408982 0.37114483 0.5401993 0.5747364 3.3242245 0.17882764 0.14547639 0.18452632 0.1778389 0 0.10119381 0 2.2928698 1.0505762 3.7666607 0.49814355 0.16279206 2.5321195 0.26105234 0.64369166 0.15986 0.26873243 0 0 0.15895666 0 0 0.1640946 0.085352466 10.513262 0.42712882 4.2027674 0.44310486 0 0 0.38944924 1.5192394 0.44846487 0 0 0.12071635 0 0.07470567 0 0 0.625274 0 0 0 0 0 0.08912344 0 0.12801771 0 0.1606184 6.979577 3.703895 0.30727288 0 0.13352753 0.073042475 0 0.63686466 1.8519142 12.191996 2.5899808 0.08010373 2.3620694 0.6106903 0.06849602 0 0.6731343 5.0306625 0.53645265 0.3336878 0 0.6628013 0.06295155 0.509946 0.58069474 0.29035395 0.37671274 0 0.5818338 0.33292648 0 0.18088907 0.53340983 0.69932723 0 1.0960749 0.3607645 0.061217587 0.07001427 1.2731129 0.21958861 1.192386 0.76631033 0.14359553 0.8622584 0.5430171 0.37515593 0.07563731 0.744192 0.23000409 0 0.2453818 0.06751753 0 0 0 0.070473015 0.15562929 0.07246026 0.287071 0 0.5623937 1.3259423 0 0.08076208 0 0 1.0343395 0 0 0 0.58553404 0.120757826
"20160700_E25_7" 0 0 0.085583955 0 0.44707566 0 0 0 0 0 0 0 0.42237172 0.43120658 0.121334046 0 0 0.7308657 0 0.2127761 0 0 0 0 0 0 0 0 0 1.3088386 0 0.09243495 0 0 0 0 0.5411345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12452349 0 0 0 0 1.1164317 0.22327071 0 0 0 0 0 0.083016515 0.71952426 2.965394 0.20545363 0 1.0575925 0.066494696 0 0 0 0.40592998 0 0 0 0 0 0 0 0 0.064481996 0 0.07503105 0 0 0.060781367 0 0 0 0.06285364 0 0 0 0.064962424 0 0.11571937 0.11494362 0 0.09847049 0 0 0 0.09923406 0 0 0.13316041 0 0 0 0 0 0 0 0 0 0.40883437 0.14150588 0 0 0 0 0.59258 0 0 0 0 0
"20100900_E3D_5" 0.11528259 0.7731432 2.9467251 0.13378981 0.52901393 0.27602682 0.54437417 1.4055537 0.8516808 0 0 0 0 0 0 0 0 8.930615 0.17170507 0.073820524 0.093627684 0.6760047 0 0 0.5871158 0 0 0 0 0 0 0 0 0 0 0.43382362 0.3504698 0.11811053 0 0 0 0.057403367 0.090694524 0 0 0.38963205 0.1275929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0808204 2.864623 3.1257493 0.20049635 0.17676768 0.6101399 0.23072469 0 0 0 0 0 0 0 0 0 0 0 0 0.17061217 0 0.55998355 0.09162586 0 0.15109554 0.25675863 0.23977059 0 0 0 0 0 0 0 0 0 0 0.21887325 0.18368684 0.065606855 0 0.28730533 0.1240427 0 0 0 0 0 0 0 0 0 0 0 0.29215682 0.4184756 0 0 0 0 0 0 0 0 0 0
