"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-3-S" "711_E-3-M" "711_P-1-S" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-2-S" "713_E-2-M" "713_E-3-S" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20170700_E11_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.062134296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3356484 4.7625647 0.27128658 0 0.070868656 0 0.10207278 0 0 0 0 0 0 0 0 0 0 0.07794797 0 0 0 0 4.0839086 0 0 0 0.53738505 0 0 0 0 0 0 0 0 0 0 0 0 1.7045962 0 0 0 0 0.93631077 0.07030752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5784307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13296516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13215654 0 0 0 0 0 0
"3300037134_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.93322545 31.293966 0.23295306 0 0 0 0 0 0 0 0 0 0.100153565 0 0 0 0 0.16170226 2.4170978 0.3434574 0 0.35024375 0 0.36384457 0 0 0 0 0 0 0 0 0.8091037 0 6.108305 1.4723963 0.11864101 0 0 1.5680768 0 0 0 2.2271066 4.471491 0.26772374 0 0 0 0 0 0 0 0 0 0 2.960341 0 0.05997498 0 0 14.870891 8.995678 0.16490762 0 0.55928826 7.5509315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.519578 0 0 0 0.18237239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.78267 0 0 0 0.24465582 2.0903554 0.105046816 0 0.60607773 0 0 0 0 0 0 0 0 0 0 0 5.223387 0 0 0.0709761 0.68074906 0 0
"3300038457_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.331232 0.833453 0.26128128 0 0 0 0 0 0 0 0 0.30909875 0 0 0 0 0 0 0.1263142 0 1.2562593 0 0 0 0 0 0 0 0 0 0 2.4266376 4.0214806 0 0 0 0 0 0 0 0 0 0 0.13045895 2.991942 0.40169197 0 0 0 0 0 0 0 0 0 0.24902284 0.24589929 0.13283978 0 0 0.3368047 2.9616141 0.1396835 0 0.4571004 1.5695417 0.32175842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07108276 0 0 0 2.1861238 0 0 0 0 0 0 0 0 0 0 0 0.44092306 0 0 0 0 0 0 0 0 0 0.9671391 0 0 3.4765232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06544921 0.07249947 0
"20120600_E2D_28" 0 0.15166907 0 0.1936038 2.012074 0 0.07638459 0 0 0 0 0 0.56254625 0 0.0664008 0 1.9951397 0 1.569411 0.1778898 0 0.08451859 0 0 0 0 0 0 0 0 0.08389657 1.2317551 1.6186459 0 3.2501273 0 0.12186214 0 0 0.34741294 0.28220293 0 0 0.15223095 0.06518684 0 0 0.44182017 1.5293069 0.48547113 0 0 0.9345081 1.6408052 0.3631171 0 3.30803 1.3309 0.09776178 0 0 0 0 0.12714729 0 0 0.6662669 0.061920036 0 1.4873357 0.9760929 1.5943203 0 0 1.7619168 2.3247926 0.16236949 0.19868933 15.999863 11.859868 0 0 0.4795763 0.16295898 0 0.3617804 0 0 0 0 0 0 0 0 0 7.214435 0.9591693 0 0 1.570139 0 0 0.16031714 0.17863207 0.38583493 0.20781896 0 0 0 0 0 0 0 0 0 0 0.0667611 0.09417312 0.07861339 0 0 0 0 0 2.92341 0.36875367 0 0 0.083382994 0 0.08655172 0 0 0 0 0 0 0.4065492 0 0 1.4334589 0.8158363 0
"20120600_S2M_9" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4277574 2.8047836 2.6130583 0.49037138 0 0 0 0 0 0.059929594 0 0 0 0 0 0 0 0.79295367 5.617237 1.6202847 0.07135573 2.2373266 0 0.49313954 0 0 0 0 0 0 0 0 0 0 1.0535039 0.49591362 0 0 0 5.0405397 0.63705915 0.18755803 0 2.5997438 3.3962302 3.3378458 0.18137759 0 0 0 0 0 0 0 0 0 5.436505 3.4657652 0.9441046 0.06566318 0 3.5553663 4.2496104 0 0.1719272 2.6028588 7.053898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.856682 0.20617183 0 0 7.65058 0 0 0.5065613 0.5146221 0 0 0 0 0 0 0 0 0 0 0 0 1.0084656 0 0 0 0 0 0 0 4.0098825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7403362 0.8628934 0
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70" 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2480824 13.163701 3.9993505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7384992 1.9470899 2.4304512 0 0.15545009 0 0.05780612 0 0 0 0 0 0 0 0 0 0 3.4377527 51.29804 0.22086751 0.35882202 0 5.6621313 0.40627983 0.0862805 0 0 0.1322702 0.3545009 0 0 0 0 0 0 0 0 0 0 0.83851206 0.60259444 0.18646736 0 0 0.329306 0.07583278 0 0 0.18567352 0.37924004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29510552 0 0 0 0.2155095 0 0 0.07132937 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2757062 4.7904315 0 0.076323204 0 0.45973957 0 0 0.096068926 0 0 0 0 0 0 0 0 0 0 0 0.2879389 1.1105092 0 0.09187287 0 0 0
"20120600_S3D_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 14.101837 322.5214 171.67673 7.5122457 0.2015758 57.310043 0 0 0 0 0 0 0.07659484 0 0 0 0 12.338912 69.07607 95.279144 2.3440154 42.958935 0.8955243 3.768831 2.9260101 2.7810023 0 0 0 0 0 0 8.279467 0 108.25033 225.87244 40.977722 4.9238787 1.3653866 86.46951 19.206469 3.6252062 1.0203265 21.561098 45.87957 50.10695 8.807663 1.9113734 0 0 0 0 0 0 0 0 83.65665 43.109497 24.092855 1.1825026 1.620073 105.658676 168.25461 7.1954665 3.4332178 78.03819 247.63129 2.4441214 0.23106529 0 0 0 0 0 0 0 0 0 0 0 0 0 37.968056 20.95074 2.1364055 1.7593368 61.56085 1.8883952 0.4685427 13.540652 10.274773 0 0 0 0 0 0 0 0.1043568 0 0 0 0 76.39595 34.02126 2.7389076 2.891659 5.70952 170.58578 10.3109 0.08267728 56.17484 4.3749228 0.32369524 0 0 0 0 0 0 0 0 0 33.78112 14.2494755 0.3407743 2.7337775 6.6125355 10.188387 0
"20140700_S11_5" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9236027 34.454674 5.988964 0.69442445 0 2.5067441 0 0 0 0 0 0 0 0 0 0 0 4.3275957 26.102463 32.932102 0.7821349 3.439153 0 0.7268897 0.13870078 0.13366947 0 0 0 0 0 0 11.367538 0 27.46377 36.154453 2.1803708 0.40142804 0.07816728 66.35495 3.5406177 1.047008 0.16863637 2.721222 6.198113 3.939179 0.16457403 0 0 0 0 0 0 0 0 0 35.91323 4.5483975 5.944795 0.09960219 0.15123989 16.41231 12.817215 0.39345518 0.3670774 7.384255 15.488925 0.09955916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.39797 0.40502772 0.08133539 0.05846347 11.387403 0.07540027 0 0.7462361 0.68656695 0 0 0 0 0 0 0 0.17538024 0 0 0 0 4.257061 0.0894015 0.17859258 0.17862187 0.34288147 8.169422 0.7411695 0 30.249525 0.08917375 0 0 0 0 0 0 0 0 0 0 6.0125976 0.49003273 0 0.27971786 4.9952393 0 0
"20170700_E11_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30224046 0 0 0 0 0.5840797 0 0 0 0 0 0 0 0 0 0 0 2.8877265 21.92109 2.4559517 0.15312098 0.17360348 0 0.13691671 0 0 0 0 0 0 0 0 0 0 10.812829 7.8361554 0 0 0 28.056833 0.15605795 0.124490134 0 0.12888362 0 0 0 0 0 0 0 0 0 0 0 0 2.5656533 0 0 0 0 0.19405146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9241822 0 0 0 0 0 0 0 0.32644886 0 0 0 0 0 0 0 0 0 0 0 0 0.07911496 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21564193 0 0 0 0 0 0
"Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29" 0.089626044 0 0 0.093309775 0 0 0 0 0 0 0 0 0 4.2699924 16.64545 9.764464 0.81904584 0 1.6533766 0 0 0 0 0 0 0 0 0 0 0 0.29376444 1.6346499 2.037361 0 0.9087161 0 0.42249447 0.07457566 0.06633476 0 0 0 0 0 0 0 0 1.0850849 1.9638909 0.07426165 0 0 1.0747875 0.25530165 0 0 0.9292961 1.7950608 1.0658749 0.17102726 0 0 0 0 0 0 0 0 0 1.8955965 0.6940647 0.64322835 0 0 1.8377949 1.1956381 0.38835406 0.15514307 1.1320757 2.0803895 0.25848278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.7218275 1.2078922 1.3089234 0 7.199591 0.45553586 0 0.78326243 0.056404125 0 0 0 0 0 0 0 0 0 0 0 0 1.948538 1.6896198 0.14997452 0.26455316 0 0.50483316 0.060498312 0 4.80534 0.5143367 0 0 0 0 0 0 0 0 0 0 2.564794 3.2071998 0.15085083 0.18535404 2.0642464 0.8471004 0
