"genome" "711_S-1-S" "711_S-1-M" "711_S-2-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_S-1-S" "713_S-1-M" "713_S-1-X0" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-3-S" "713_S-3-M" "713_S-3-D" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_S1_1-5" "715_S2_10-14" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "717_S2_1-5" "717_S2_30-34" "717_S3_1-5"
"20110800_S1S_1" 2.5978692 0 0 6.5371895 3.87846 0.2650718 0 0.388612 2.3031414 1.1727575 0 0 6.41853 0.06520715 0 1.1952008 0 0 1.7201464 0 0 1.1073418 0 0.8388062 0.5034745 0 1.5144992 0.05824475 0.10092884 0.10806527 0.6111492 1.5700889 0.089838065 0 2.0120687 0 0.68204665
"3300037549_16" 2.0800304 0 0 1.1994255 0.73319495 0.1032459 0 0.08219496 0.5045421 0.8417506 0.29831806 0 1.7056999 0 0 0 0 0 0.17258193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24160428 0 0
"Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27" 4.393781 0 0 5.4049087 2.5658484 0.21639691 0 0.20238036 1.025794 2.9141688 0.274778 0 7.7498183 0.080846384 0.08716301 0.14132537 0 0 0.8927035 0 0 0.3480063 0 0.105465 0.057548255 0 0.1444042 0 0 0 0.21464072 0.6193685 0 0 1.3403939 0 0.07416899
"20110800_S1S_9" 0.15245518 0 0 4.7253013 5.019365 0 0 0 0.18499821 0.5075134 0 0 3.2500825 0 0 0.06894498 0 0 1.4737232 0 0 0.3657779 0 0 0 0 0.557269 0 0 0 0 0 0 0 0.36708924 0 0
"20130700_S2S_8" 21.872723 0 0.10349025 18.767822 16.209517 0.42681888 0.08234793 0.9102038 11.933535 5.2448707 0.40728292 0.12288064 58.553257 0.43949592 0.47860053 1.5712792 0 0 1.4328127 0 0 4.9610004 0 0.091889866 0 0 0.16500303 0 0.12970556 0.2646002 0.5562217 21.692474 0 0 4.7582006 0 0.17016709
"20160700_E21_3" 6.259039 0 0 5.815782 0.68319917 0 0 0.11841756 2.796275 0.4052985 0 0 3.1001098 0 0 0.118733495 0 0 0.10976214 0 0 0.38542533 0 0.07357022 0 0 0.15466382 0 0 0.12711728 0.07003293 3.122376 0 0 1.8420918 0 0
"20120700_S1S_3" 4.5997057 0 0 23.154644 5.592245 0.60437465 0 0.5123794 5.678945 2.9676821 0.12218729 0 12.944693 0.09823531 0.09372979 2.3819776 0 0 2.2881851 0 0.056008596 2.5291648 0 0.49439126 0.09033899 0 2.5066953 0 0.15229702 0.18139216 0.3618313 1.855795 0 0 4.4512243 0 0.24765602
"20110800_S1S_6" 32.664677 0.1393098 0.12186407 32.27337 6.2799187 0.40593642 0 1.495356 21.65342 3.3094363 0.25663802 0 17.848745 0.19465326 0.20262142 10.277455 0.09353142 0.070274815 5.114598 0.06615142 0.19784968 15.576692 0.21188875 2.444474 0.79593456 0 2.8260176 0 0.39669222 0.46238443 2.2507749 39.717823 0 0.15949824 15.000786 0 2.1023965
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.260_94.67_5.63" 1.2512788 0 0 0.53580314 0 0 0 0 0.7998988 0 0 0 0.17379023 0 0 0 0 0 0 0 0 0 0 0.07644079 0 0 0 0 0 0 0 0.71801245 0 0 0 0 0.065741815
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.328_92.09_2.03" 0.15082595 0 0 0.1761463 0 0 0 0 0.56844616 0 0 0 0.056958992 0 0 0 0 0 0 0 0 0.071876846 0 0 0 0 0 0 0 0 0 0.26460043 0 0 0 0 0.118567936
"Bog.None.R2.T0.trimmomatic.megahit_bin.356_99.38_2.70" 1.4017016 0 0 1.9975085 0.124181926 0 0 0 2.1759984 0.07097738 0 0 1.0560485 0 0 0.13834248 0 0 0.059533656 0 0 0.08246319 0 0.25069806 0 0 0 0.15833601 0 0 0 1.0780264 0.06447695 0 0.09877947 0 0.1815379
"20110800_S3S_9" 3.3843246 0 0 2.9557886 0.84164256 0 0 0.070476025 1.533773 0.058918208 0 0 0.64951205 0 0 0 0 0 0 0 0 0.28860375 0 0 0 0 0 0 0 0 0 4.3206854 0 0 1.1738657 0 0
"20160700_E21_11" 5.1165366 0 0 0.59563583 0.14483428 0 0 0 1.8849614 1.45919 0.1463177 0 5.0989556 0 0 0.17917116 0 0 0.1392487 0 0 0.20225345 0 0 0 0 0 0 0.05971336 0.08299245 0 6.812866 0 0 1.0828463 0 0.08603813
"20110800_S1S_13" 0.4006475 0 0 0.5563262 0.14942266 0 0 0.083806284 0.58282447 0.06060472 0 0 0.17826208 0 0 0 0 0 0.2086506 0 0 0 0 0 0 0 0 0 0 0 0 0.26646078 0 0 0 0 0
"Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.8_92.23_3.04" 2.7055247 0 0 1.9945651 0.50146574 0 0 0 0.986731 0.31921604 0 0 1.0187603 0 0 0 0 0 0.21686335 0 0 0.16979757 0 0 0 0 0 0 0 0 0.11681496 2.0435457 0 0 1.8205761 0 0
"Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.57_88.81_1.01" 9.154164 0 0 12.857923 4.2542963 0.11447906 0 0.29910758 5.0817842 0.53531677 0 0 2.3142533 0 0.06819725 0.30159336 0 0 0.56308013 0 0 1.8720231 0 0.14063585 0 0 0.11531789 0 0.070191644 0.07071602 0.07454255 10.897246 0 0 1.7311388 0 0
"Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.65_85.94_3.20" 0.13257578 0 0 0.09607641 0 0 0 0 0.1307102 0 0 0 0 0 0 0 0 0 0.082728155 0 0 0 0 0 0 0.11890588 0 0 0 0 0 0 0 0 0.29955584 0 0
"20110800_S3S_26" 0.28447232 0 0 1.4618899 0.10812037 0 0 0.16141962 0.18414202 0 0 0 0.10565503 0 0 0 0 0 0 0 0 0.83334506 0 0.48715016 0 0 0 0 0 0 0 0.6509151 0 0 0.45566255 0 0
"Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.46_85.62_3.11" 2.6372054 0 0 4.3185964 0.12629993 0 0 0 1.7328185 0.28143775 0 0 0.18831782 0 0 0.42550078 0 0 0.38963744 0 0 0.67492574 0 0.5552545 0.11117751 0 0.28295034 0 0 0 0.7375884 0.79813325 0 0 2.1242678 0 0.3077354
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.27_84.99_8.62" 0.06876029 0 0 0.19624594 0.0684922 0 0 0 0.11178419 0 0 0 0.18620716 0 0 0 0 0 0 0 0 0 0 0.2844757 0 0 0.11073856 0 0 0 0 0 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17" 0.09968718 0 0 1.2988633 2.623425 0 0 0 0.23052178 0 0 0 1.267642 0 0 0.3193019 0 0 0.30819693 0 0 1.1397231 0 0 0 0 0.7182245 0 0 0 0.0721742 0 0 0 0.81186825 0 0.14983375
"Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94" 11.620474 0 0 10.567443 2.781666 0.06512688 0 0.1970322 5.0289507 1.9612962 0.23171082 0 34.910965 0.114868365 0.12565638 1.1027402 0 0 0.42925096 0 0 1.5888112 0 0.6653181 0 0 0.83783066 0 0.09843164 0.20169275 0.8582063 8.961151 0 0 14.364405 0.09718409 0.28292972
"Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.83_91.54_6.45" 1.2244992 0.10140637 0 3.3241956 6.215644 0 0 0 1.127498 1.2287909 0 0 0.38629717 0 0 0.4541873 0 0 1.2759141 0 0 0.30374014 0 0 0 0 0.44689414 0 0 0 0.21009538 0 0 0 2.8702579 0 0.062572144
"20110800_S3S_13" 1.0167401 0 0 4.4222007 1.3396484 0 0 0 0.31001192 0.8121374 0 0 2.814365 0 0 0 0 0 2.0085132 0 0 1.4586947 0 0 0 0 0.11697328 0 0 0 0 0.1434502 0 0 1.0486693 0 0.08196433
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.11_87.40_5.27" 0.98541045 0 0 1.6778953 0.11843582 0 0 0 1.9988968 0.11759307 0 0 0.08707887 0 0 0.26489463 0 0 0.06387428 0 0 0.37663868 0 0.9221467 0.07285959 0 0.11322818 0 0 0 0.33570305 2.5436146 0 0.066901006 1.292638 0 0.6450383
