"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_S3D_8" 0 0 0 0 0.086469464 0 0 0 0 0.4035891 0.12533939 4.3616114 0 12.512346 9.321364 0 0 0 0 1.6704355 0 0.3670431 2.636844 0.22123641 0 0 0 0 0.35781187 0 0 0.07571351 0.82573575 1.1301682 0 0 0 0 0 0.49797982 4.515301 6.802544 0 0.06271187 0.17606969 7.6411037 0 1.5267043 0.3151884 1.0799272 3.5193982 0 0 0.14668256 2.6957808 0 0 0.060265247 0.25031215 0 1.0956271 0.60973775 0 0 0.79319793 3.3906887 0 0.17921272 0.110507764
"PLTT01" 0 0.118176885 0 8.684599 1.296892 0.36392143 0.103658125 0 10.50503 0.16264708 0.32973927 0 0 0.20154776 0.13741158 0 0.41029778 2.068553 0.07434848 0 0.07216508 6.9096093 1.244271 0.12691818 0 0 0.54467624 0.48764217 0.6556688 0 0 0.30963045 0.56900805 0 0 0 0.08323739 0 0 0.15117429 2.3559785 0.7354007 0 2.2991846 0.25785145 0 0 0.30516738 0.26450175 0.712328 0.5802524 0 3.917651 0 0 0 0 0 0 0.15554237 0.2576204 0 0 4.126379 0 0 0 0.09876505 0.26414105
"20120700_S1D_12" 0 0 0.1482087 0.4122743 0 0.5074379 0 0 1.6474792 0.17299385 0.280915 0 0 0.4273392 0.32849818 0 0 0.19667637 0.05757084 0 0 1.3970298 1.148227 0 0 0.26378945 0.60132164 0.27439734 0.47094497 0 0 2.46426 0.3473506 0.14353314 0 0 0.5949955 0 0 0 0 0.070800826 0 0.13196208 0.08012769 0.08656109 0 0.62823457 0.17414893 0.5803228 0.4246599 0 0.16049458 0.39337817 0.45442778 0 0 0.1328839 0.7983807 0.12087775 0.886346 0.20612562 0 0.74656695 1.3035871 0.7513871 0 1.0249369 0.0967649
"20120700_S1D_70" 0 1.5308828 2.036917 2.9283423 0 0.7921059 0 0 2.525774 0.078963645 1.4839356 0.11949141 0 0.8754016 0.66852504 0 0 0.44252142 0 0 0 1.4983864 0.7108177 0 0 0.09618759 1.9636914 0.80057496 0.22388609 0 0.30908644 1.7951422 0.20010622 0 0 0 0.6974082 0 0 0.27258044 0.4503123 0.50573313 0 0.7504402 0.94168043 0.06254353 0 1.5238739 0 0 0.119965985 0 0.39568374 0.35078558 0.157682 0 0 0 0 0 0.41070467 0 0 0.7985845 0.35311794 0.23951204 0 0.8169074 0
"3300037207_8" 0 1.649022 2.2641342 12.601847 7.0170197 4.9683266 0 0 7.728698 2.238736 8.598248 1.7285067 0 2.2153914 1.8927667 0 0.26547217 2.8421283 2.5337703 0.19235042 0 7.0080466 6.546172 3.4624429 0.060195446 1.580492 3.2223172 2.8981385 3.3810527 0 1.8467115 10.944915 5.091913 3.7231886 0 0.91845775 6.718457 0 0.5933998 6.974619 1.2445253 2.2157838 0 5.0838037 5.2091665 1.1939934 0.26405624 10.164998 3.4399674 3.4904575 3.8227916 0 3.4086292 4.077544 2.365961 0 4.1446185 2.792654 4.0346856 3.018656 7.211627 4.896587 0 4.321606 4.6437635 4.4900837 0.17996715 6.84662 6.4511814
"PLGY01" 0 0 0 32.825302 123.477295 1.7582783 0.07540303 0 4.7281904 104.71334 6.0572476 120.44914 0 12.261261 10.297133 0.12664114 0.07156635 0 32.574413 35.234573 0.64981174 3.3079903 13.661426 64.981995 0 0 0 3.4713361 2.9270744 0.21682547 0.20829809 8.464948 35.17941 165.24092 0 0 36.415905 0 0.084497966 2.3321617 3.9075015 4.141388 0 0.5640235 31.303585 67.72187 0 33.100697 132.60867 125.60867 84.395645 0 0.44778332 2.5427442 15.334122 0 0.06613934 7.2645345 144.11316 0.16548753 15.941031 169.8893 0 0.9307885 5.224694 29.16153 0 9.232301 118.04993
"20120700_S1D_59" 0 1.0641744 4.5862255 5.5841055 3.1162314 2.5990498 0.17258775 0.08349903 4.6155972 1.0645841 4.278819 1.1060475 0 3.5196884 2.3167555 0 0 0.7649018 4.3637395 0.17687412 0 1.9643362 3.0777555 0.7464312 0 0 0.68078756 1.4606276 1.6355671 0 0.9187244 3.3022423 2.89521 1.9620829 0 0 4.542199 0 0 0 1.4079425 1.0320709 0 0.5118878 1.9437714 0.6901767 0 2.423619 1.2579516 3.9761233 2.872841 0 2.256714 1.5748127 1.0612384 0 0 0 0.617542 0 3.2122633 1.5886816 0 5.90258 3.9150755 2.9050999 0 2.6131763 0.64884424
"20110700_S2D_21" 0 0.1741577 1.0667565 4.6550083 7.1085563 1.477358 0 0 1.3950601 1.3408203 2.899144 1.7333272 0 5.724633 3.4971724 0 0 0.13110402 1.5535045 0.38848782 0 0.8007884 2.5863478 2.0281315 0 0.08850273 0.28152546 2.3709104 1.3370398 0 0 1.1316999 13.079426 7.743226 0 0 3.8266685 0 0 0.5878059 2.8786519 2.6933062 0 1.5280167 5.252307 21.824862 0 4.404011 4.4726553 2.4181356 1.8321487 0 0.16112313 2.3767495 1.1796292 0 0.182523 2.7372277 2.0519848 0 0.77542806 1.9064511 0 1.265876 4.021344 1.8222598 0 1.3032542 0.22752666
"20120700_S1D_115" 0 2.8964942 0.32022142 1.6201884 0.72586733 0.9234327 0 0 1.8137933 0.6374127 0.8267142 0.3450011 0 3.409525 3.3056276 0 0.5545388 0.7804295 0.59748226 0.14330284 0 1.7545097 1.0182426 0.7433714 0 0.3201722 1.1744345 1.3492612 2.2997944 0 0.18778937 1.578328 0.8100845 0.42135823 0 0.15884715 2.159608 0 0.07517482 1.5354325 1.7082713 0.7361769 0 0.33867675 0.7516456 2.7569635 0.43209517 0.984317 0.30963254 0.6352129 1.538042 0 2.597526 0.5600448 0.70645726 0 1.4303111 8.790239 5.420827 0.25434667 1.0814631 0.4654052 0 0.9698546 7.275754 2.1106503 0 1.4330351 0.4157708
"20120700_S3X_18" 0 0 0.12849642 1.6735277 2.1274872 1.5055515 0 0 0.6907508 12.414955 0.730718 36.30425 0 34.802784 35.875435 0 0 0.29253387 0.7180706 1.7440623 0 1.0075947 1.7326635 6.2552633 0 0 0.13197166 8.259946 7.007581 0 0 0.91092765 2.7424235 9.765884 0 0 2.027639 0 0 0 0.11035115 1.615354 0 0.09496034 0.44693863 6.910907 0 0.54432154 2.6217532 1.5706738 4.1620097 0 0.29594296 0.88805425 0.64908725 0 0 2.28102 3.652127 0 0.536387 3.192034 0 0.10063828 1.930989 2.196848 0 0.47724506 2.5167518
"20120700_S1X_2" 0 0 0 27.333326 30.087034 1.1834937 0 0 1.7009497 112.31374 16.597145 245.51393 0 47.03925 45.62644 0 0.16113691 0.06039075 16.503408 45.485985 0.4172356 3.8592863 19.04285 118.92986 0 0 0 10.89367 10.445331 0.15315838 0 3.8303876 32.299797 134.52013 0 0 92.936226 0 0.0669526 0.25810784 3.7244043 20.519976 0 0.18265632 35.288994 300.66238 0 35.457092 65.95133 130.57895 225.8492 0 0.9968328 4.529673 53.304474 0 0.351406 47.62654 327.41873 0.09768493 2.6333914 54.04147 0 0.7052975 41.02613 107.400475 0 5.6067595 37.324505
