"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23838438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1153706 0 0 0 0 0 0 0 0 0 0 0 0 0
"20160700_P15_13" 0 0 0 0 0 0 0 0 0 0 0 0 0.06306148 0 0 0 0 0 0 0 0 0 0 0 0.14702627 0 0 0 0.46657676 0 0 0 0 0 0 0 0 1.1202211 0.10141598 0 0 0 0 0 0 0 0 0 0 0 0 0.4418475 0 0 0 0.30764624 0 0 0 0 0 0 0 0 0 0 0.07840156 0 0
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31602794 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10565703 0 0 0 0.7055218 0 0 0 0 0 0 0 0 0 0 0 0 0
"PMLV01" 0.24395919 0.26313815 0 0 0 0 0 0 0 0 0.20792946 0 0.16781034 0 0 0 0 0 0.28513464 0 0 0 0 0 0.53604853 0.15705933 0.08413115 0.3577451 1.083868 0 0 0.3111331 0 0 0 0.1969115 0.17670497 0.4067211 0.387848 2.187323 0 0 0 0 0 0 0 0 0 0 0 0.4919895 0 0.7714305 0.28777456 0.06309953 0.36691868 0.1594853 0 0.2945622 0.54809535 0 0.11383813 0 0.10135487 0 0.19446582 0.7391411 0
"20120500_P17_2" 0.25589317 0.34319827 0.13903141 0 0 0 0 0 0 0 0.22307593 0 0.12819235 0.14922747 0.1265442 0 0.3584051 0 0 0 0 0 0 0 0.5159025 0.15291512 0.088719934 0.28664413 0.7208445 0 0 0 0 0.15070629 0.06178834 0.09655948 0 0.06654042 1.1924345 3.579251 0 0 0 0 0 0 0 0 0 0 0 1.1807371 0.14841469 0 0 0.56888753 0.72660744 0 0 0.17502691 0.2225035 0 0.2469511 0 0 0 1.0941612 0.10142774 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.15_76.90_1.72" 0 0 0 0 0 0 0 0 0 0 0 0 0.07659635 0 0 0.06060736 0 0 0 0 0 0 0 0 0.20973776 0 0 0 0 0 0 0 0 0 0.9300298 0 0 1.9138165 1.5754336 0 0 0 0 0 0 0 0 0 0 0 0 0.4167964 0 0 0 0.55314994 0 0 0 0 0 0 0.16030733 0 0 0 0.55159825 0 0
"20110700_P1S_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11934082 0 0 0 0.36620384 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2M_2" 0.41009834 1.0775228 5.3768077 1.6402388 0 2.4741504 0 0.12941845 0.19078796 0 3.486618 0 0.5033805 0 0 1.1067948 1.953408 0.36207616 0.3309634 0 0.10107544 0.092129506 0 0 9.230351 3.1467185 0.957667 0.69542307 1.9419435 1.3843502 1.0090982 1.4073547 0 0 2.2338786 1.9852289 1.3433516 2.063838 28.904749 19.38676 0.07856619 0 1.2173251 0.48861697 0.32437825 0 1.5554119 0.05886693 0 0.05960536 0 5.6714315 2.7356439 0.2905022 0 1.8601477 49.427696 2.9584591 0 8.417787 1.6059619 0 2.1925724 0.38534763 0.056450807 0 10.125406 1.0115082 0
"20110800_P3S_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07621616 0 0 0 0 0 0 0 0 0 0.5735492 0 0 0.6306296 0.14834498 0 0 0 0 0 0 0 0 0 0 0 0 0.427331 0 0 0 0.57019156 0 0 0 0 0 0 0.07546663 0 0 0 0.48764366 0 0
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88" 0 0 0 0 0 0 0 0 0 0 0 0 0.104215465 0 0 0.13778865 0 0 0 0 0 0 0 0 0.8720571 0.08212936 0 0 0 0.10046792 0 0 0 0 0.593662 0 0 0.3683855 0.5176872 0.19538921 0 0 0.0676604 0 0 0 0.06641591 0 0 0 0 0.7440349 0 0 0 0.92339444 3.7006238 0.15310225 0 0.13261488 0 0 0.45428672 0 0 0 0.48351836 0 0
