"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-2-D" "712_S-3-S" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-2-S" "713_S-2-M" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_S1_1-5" "715_S2_10-14" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"20140700_S21_3" 2.4386365 0.98562163 0 0 0 0 0.17852266 0 0 1.4326268 0.30765176 0 0 0.21739146 0 10.834883 2.7421818 0.07807515 0 0 0.9789533 0 0 19.419655 0.6791177 0 3.4027786 7.0418468 7.205776 0 3.9075644 0 0.05961083 0.058658812 15.332487 0 0 0 2.1791296 0.30882487 0.14677848 3.7719102 6.458824 0 0 0 5.3284464 0
"20140700_S31_6" 17.446402 0.5202745 0.070596576 0.34059903 0 0.8655064 5.2984614 0.2097513 0.31691226 16.335554 3.380452 0.1349427 0 4.0495644 0 29.48519 2.1086671 0.2540825 0.110518925 0 15.895862 0.09945917 0.3015918 38.75808 0 0 25.899166 7.5974727 0.8084175 0 15.71503 0 0.28997892 0.2752501 17.823675 0 0 0 7.3294573 0.21269524 0.15812214 1.4845512 36.66555 0.07439967 0 0.15990265 19.854761 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.9_79.17_4.70" 0 0 0 0 0 0 0 0 0 0.13923825 0 0 0 0 0 0.24371673 0 0 0 0 0.09838251 0 0 0 0 0 0 0 0 0 0.4403131 0 0 0 0.15398118 0 0 0 0 0 0 0 0.14874518 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.344_98.63_5.75" 1.5890423 0 0 0 0 0 0 0 0 2.4232047 0.34313646 0 0 0 0 3.6116917 0 0 0 0 0.35300055 0 0 1.7551111 0 0 0.4850923 0.2839839 0 0 2.2346916 0 0 0 11.598269 0 0 0 0.08214571 0 0 0.15651827 3.8152716 0 0 0 1.9657199 0
"20160700_S11_6" 0.6759318 0.26360714 0 0 0.44147572 0.17074117 1.9164827 0.30305713 0.56209713 1.1324323 3.418402 0.8336787 0 7.9615717 0.071271524 17.419353 2.2136548 0.110759445 0 0 6.1090207 0 0.06612705 10.303728 4.210776 0.07356687 3.6530254 4.814097 6.4430957 0 4.9690976 0 0.08381835 0.10191052 42.347294 0 0 0 0 0.109003946 0 4.1707945 1.7357157 0.21072406 0 0 5.554575 0.21667504
"20160700_E23_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11461497 0 0 0 0 0 0 0 0 0 0 0 0.20855168 1.0854754 0 0.08968294 0 0 0 0.11978827 0 0 0 0 0 0 0 0 0 0 0 0.07456965 0.064523704
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.58_85.62_4.48" 3.0284388 0 0 0 0 0 0 0 0 1.416068 0 0 0 0 0 0.8621992 0 0 0 0 0 0 0 0.23389646 0 0 2.6996646 0.08014781 0 0 0.2267451 0 0 0 0.8138503 0 0 0 0 0 0 0 1.5434053 0 0 0 0.6314162 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.272_80.28_7.13" 0.110543504 0 0 0 0 0 0.06711715 0 0 0.26226646 0 0 0 0 0 0.7185601 0 0 0 0 0.072506964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48345432 0
"20140700_S21_18" 1.8880869 0 0 0.06832198 0 1.5739973 17.071915 0.12448274 1.4118663 2.3153977 0 0 0 2.4735966 0 10.3576355 1.3773898 0.07647741 0 0 2.8800066 0 0 65.963745 0.15599403 0.11578389 1.7707453 7.5058813 4.200228 0 10.070425 0 0.18424824 0.27890798 0.11920029 0 0 0 0.41529474 0 0.06759341 1.5033147 0.43994176 0 0 0 14.2670765 0
"20140700_S21_12" 2.3448062 0 0 0 0 0 0.4013457 0 0.31406796 2.8605924 0 0 0 0.41407913 0 15.402714 0.5959876 0 0 0 1.1211597 0 0 15.2656975 0 0 0.7257062 2.5692577 0 0 3.6227736 0 0 0.06989256 14.462401 0 0 0 0.7491618 0 0 0.24939479 0.6329714 0 0 0 7.8428607 0
"20110700_P1S_2" 0.12644202 0 0 0 0 0 0 0 0 0.17834897 0.092112504 0 0 0 0 1.1644834 0 0 0 0 0 0 0 0.22525544 0 0 0 0 0 0 0 0 0 0 1.7936318 0 0 0 0.22239919 0.44805324 0 0.0628344 0.07928496 0 0 0 0.3403112 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.162_97.41_2.35" 0.59409463 0 0 0 0 0.10991029 0.7892167 0 0.3249976 0.7285249 0.07972362 0 0 0.5807538 0 1.548108 0.069001265 0 0 0 2.2899108 0 0 0.68855304 0.21858248 0 1.2113316 0.8742304 0.08941886 0 1.4933864 0.23477384 0 0 2.520055 0 0 0 0.13894016 1.5602387 0 0.57958835 1.2825253 0 0 0 1.8099282 0
