"genome" "711_S-1-S" "711_S-1-M" "712_S-1-S" "712_S-1-M" "712_S-2-D" "712_S-3-S" "713_S-1-S" "713_S-2-S" "713_S-3-S" "714_S1_1-5" "714_S2_1-5" "714_S2_5-9" "714_S3_1-5" "714_S3_5-9" "715_S1_1-5" "715_S2_10-14" "715_S3_30-34" "716_S1_1-5" "716_S2_1-5" "716_S2_20-24" "716_S3_10-14" "717_S2_1-5" "717_S3_1-5"
"Bog.None.R1.T0.trimmomatic.megahit_bin.25_70.90_0.94" 0.86880285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6552394 0 0 0 0
"Fen.Labelled.R1.T3.F2.trimmomatic.megahit_bin.7_75.84_0.00" 0.385372 0 0 0 0 0.22064348 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.247_70.69_0.00" 12.441654 0 1.1497736 0.6168738 0.16187778 2.5010493 0.06122937 0.3005775 0.55135417 0.15264066 0.52076405 0 0.58544886 0 0 0 0 0.08401241 2.915115 0 0 0.9945173 0
"Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.103_98.32_1.01" 8.748575 0 0 0 0 0.95296043 0.13860436 0 0.07883769 0 0 0 0.7965726 0 0 0 0 0.3040193 0.059937194 0 0 0.5184629 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.19_85.66_3.93" 1.2409129 0 0 0 0 0.33548608 0 0 0 0 0 0 0.6230967 0 0 0 0 1.2230667 0 0 0 4.825988 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.314_85.82_2.79" 0.8463474 0 0 0.08340603 0 0.35017836 0.06445804 0 0 0 0 0.20946787 0 0 0 0 0 0 0.07656792 0 0 0 0
"Bog.None.R2.T0.trimmomatic.megahit_bin.75_88.18_7.24" 4.373552 0 0 0 0 0.4826202 0 0 0.06926126 0 0 0 0 0 0 0 0 0.08927107 0 0 0 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.233_80.97_3.18" 0.41948888 0 0 0 0 0.9600263 0 0 0.1829563 0 0 0 0.23145859 0 0 0 0 0 0 0 0 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.347_81.27_8.23" 0.23776498 0 0.1686993 0 0 0.17527668 0 0 0 0.075648494 0.26518697 0 0.25766194 0 0.13778363 0 0 0 0.5974261 0 0 0.06613995 0.14635739
"Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.88_97.22_2.03" 1.6840258 0 0 0 0 0.713964 0 0 0 0 0 0 0 0 0 0 0 0 0.061682563 0 0 0 0
"20110800_S3S_23" 5.902554 0 0 0.24503386 0 6.394804 0.8496326 0 0.92204404 0.8638717 2.9827542 0 2.226297 0 0 0 0 0.27262837 6.9906893 0 0 2.9551356 0.5213434
"Bog.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.90_96.67_0.48" 0.5313982 0 0 0 0 0.44157302 0 0 0 0 0 0.34444112 0 0 0 0 0 0 0.10626269 0 0 0 0
"Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.123_80.03_3.65" 0.8700526 0 0 0 0 0.7931021 0 0 0.10928071 0 0 0 0 0 0 0 0 0 0 0 0 0.08535526 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75" 1.7611872 0.07239086 0 0 0 0.13288198 0.50919884 0 0.18095152 0 0 0 0.5889909 0.09852029 0 0.095530294 0 0.880487 0 0 0 1.8558851 0.094825774
"20110800_S3S_24" 24.239471 0 0 0 0 6.2786036 0.31301928 0 3.0056698 0.6060369 2.0618815 0 1.7597506 0 0.07397514 0 0 1.3201556 21.549938 0 0 4.542904 0.58334935
"Bog.None.R2.T0.trimmomatic.megahit_bin.66_95.61_5.83" 14.388811 0 0 0 0 3.6597116 0 0 1.5150957 0 0 0 6.4676843 0.1507297 0 0 0 0 0 0 0 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.201_94.78_1.81" 0.5768705 0 0.76126075 0.19577986 0 0.7431149 0.061395284 0.10433793 1.2484396 0.0929126 6.4362726 0 0.18134554 0.11850488 0.07163983 0 0 0.40706405 1.3487766 0 0 0.80881804 0.66378856
"20150700_S21_10" 7.19294 0 0.3885729 0 0 2.631272 0.08912125 0 1.1805931 0.9037375 3.5569637 0 1.8518026 0.11645534 0.2638398 0 0.09358305 5.881968 8.225536 0.06819672 0.088834494 7.4367704 1.0762829
"Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.129_89.36_9.06" 5.3238072 0 0.21529266 0.21140608 0 2.4891772 0.15556808 0.07472763 1.8165798 0.0778438 0.19125475 0 0.88885474 0.1496962 0.061468005 0 0 0.4611152 0.19984438 0 0 1.3097007 0.1332158
"Bog.None.R2.T0.trimmomatic.megahit_bin.194_91.91_4.74" 0.6574809 0 0 0 0 0.96006477 0.09319347 0 0.09525008 0 0 0 0.30677164 0.2357811 0 0 0 0.22587635 0.80833054 0 0 1.4331739 0
"Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.132_70.89_4.33" 0.29395002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24143603 0 0 0 0 0
"Palsa.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.54_78.93_5.43" 0.12388399 0 0 0 0 0 0 0 0 0.0631877 0.5225319 0 0.13341054 0 0 0 0 0 0.18528646 0 0 0.5093029 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.343_79.15_3.48" 0.29230684 0 0 0 0 0.08381102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07368132 0
