"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"PLSR01" 0 0.2807888 0.23576489 0.09765799 0 0.097750135 0 0 2.967862 0 0 0 0 0 0 0 0.096530065 0.4066661 0 0 0.15682209 0.19614306 0 0 0 0 0.29629004 0.15546545 0 0.806175 0.25859657 0.3875013 0 0 0 0 0 0 0.90165925 0.76333255 3.2535887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48848537 0 0 0 0 0 0 0 0.1308997 0
"PMGM01" 0 2.2928698 1.0505762 3.7666607 0.49814355 0.16279206 0.1640946 0.085352466 10.513262 0.42712882 4.2027674 0.44310486 0 0 0 0 0.08912344 0 0.12801771 0 0.1606184 6.979577 3.703895 0.30727288 0 0 0.13352753 0.073042475 0 0 0.6731343 5.0306625 0.53645265 0.3336878 0 0 0.6628013 0 0.06295155 0.509946 0.58069474 0.29035395 0 1.0960749 0.3607645 0.061217587 0.07001427 1.2731129 0.21958861 1.192386 0.76631033 0 0.2453818 0.06751753 0 0 0 0 0.070473015 0.15562929 0.07246026 0.287071 0 1.0343395 0 0 0 0.58553404 0.120757826
"20160700_E25_7" 0 0.42237172 0.43120658 0.121334046 0 0 0 0 1.3088386 0 0.09243495 0 0 0 0 0 0.12452349 0 0 0 0 1.1164317 0.22327071 0 0 0 0 0 0 0 0 0.40592998 0 0 0 0 0 0 0 0 0 0 0 0.06285364 0 0 0 0.064962424 0 0.11571937 0.11494362 0 0.13316041 0 0 0 0 0 0 0 0 0 0 0.59258 0 0 0 0 0
"PLTK01" 0 3.9746273 2.5384095 0.07860852 0 0.12512094 0.073786095 0.1183087 3.8051245 0 0.38084948 0 0 0.09437903 0 0 0.9354415 0.15669884 0 0 1.1740292 0.87623084 0.11785504 0 0 0.37307024 0.40038612 0.84838945 0 0.16210303 0.5222426 0.91209596 0 0 0 0 0 0 0.14471678 0.81400514 0.12690745 0 0 1.0441355 0 0 0.15655522 0 0 0 0.06574436 0 1.0937352 0 0 0 0 0 0 0.21230443 0 0 0 2.0977774 0 0 0.057795785 0.16713504 0
"3300038457_7" 0 5.331232 0.833453 0.26128128 0 0 0 0 0.1263142 0 1.2562593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13045895 2.991942 0.40169197 0 0.24902284 0.24589929 0.13283978 0 0 0.3368047 2.9616141 0.1396835 0 0.4571004 1.5695417 0.32175842 0 0.07108276 0 0 0 2.1861238 0 0 0 0 0 0 0 0 0 0.9671391 0 0 3.4765232 0 0 0 0 0 0 0.06544921 0.07249947 0
"PMWT01" 0.46573067 10.775061 6.015678 13.545006 3.910791 17.821852 2.5416317 14.835723 26.246534 0.7406444 18.31943 0.72280794 0.40599227 4.1234107 3.9433155 6.9496546 26.127317 14.887362 4.4810047 0.6980517 13.6838045 13.808384 6.759943 0.9174144 6.2621737 12.358419 8.234215 4.7676406 5.9791236 9.623172 6.400448 16.722279 3.1319902 0.8551312 13.29332 12.274042 13.6409645 0.6964941 10.569503 26.464481 6.239097 2.8688748 8.185544 9.546281 6.170588 2.2492976 9.251812 11.410684 0.73467845 5.3409114 4.0447073 1.4476204 14.276361 6.4600897 5.00423 0.33258507 33.787857 5.6511474 6.9676228 9.373568 8.763893 1.4337802 2.2508452 18.15 20.041803 3.5297046 8.07153 7.955707 1.0364203
"20120600_E2D_28" 0 0.0664008 0 1.9951397 0 1.569411 0.08389657 1.2317551 1.6186459 0 3.2501273 0 0.12186214 0 0 0.44182017 1.5293069 0.48547113 0 0 0.9345081 1.6408052 0.3631171 0 3.30803 1.3309 0.09776178 0 0 1.4873357 0.9760929 1.5943203 0 0 1.7619168 2.3247926 0.16236949 0.19868933 15.999863 11.859868 0 0 7.214435 0.9591693 0 0 1.570139 0 0 0.16031714 0.17863207 0.0667611 0.09417312 0.07861339 0 0 0 0 0 2.92341 0.36875367 0 0 0.4065492 0 0 1.4334589 0.8158363 0
"20160700_S13_16" 0 0.96067715 3.0219026 0 0 0.17864263 0.12824516 1.2667645 0.6417355 0 0.2612197 0 0 0.29375598 0.2770503 0.49797 6.1162457 5.8986583 0.06223526 0 1.6211909 0.11344108 0 0 0 0.614226 0.2086759 0.9108143 0.2791261 1.847307 0.2376839 0.14359213 0 0 0.45090297 0.82757777 0 0 0.26077592 1.2187963 0.20518495 0 0.08413695 0 0 0 0.10753256 0 0 0 0 0 25.566458 0.15720713 0.10752385 0 13.626287 0.16130817 0 0.8351233 0 0 0.09576362 2.952429 0.1965623 0.101526156 0 0.056717847 0
"20120700_S1D_66" 0 6.7842574 2.2684782 2.6891315 0 0 0 0 2.9441662 0 0.06120746 0 0 0.1392567 0.12535468 0 0.63479 0 0 0 0.19375637 2.2187924 0.07148972 0 0 0 1.5130806 1.113763 0 0 0.69401586 1.0405387 0 0 0 0 0 0 0 3.804655 9.524991 0 0 0.23286217 0 0 0.48241493 1.5254216 0 0.1981765 0.08821833 0 0.4314871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3618103 0
"20120600_S2M_9" 1.4277574 2.8047836 2.6130583 0.49037138 0 0 0.79295367 5.617237 1.6202847 0.07135573 2.2373266 0 0.49313954 0 0 1.0535039 0.49591362 0 0 0 5.0405397 0.63705915 0.18755803 0 2.5997438 3.3962302 3.3378458 0.18137759 0 5.436505 3.4657652 0.9441046 0.06566318 0 3.5553663 4.2496104 0 0.1719272 2.6028588 7.053898 0 0 4.856682 0.20617183 0 0 7.65058 0 0 0.5065613 0.5146221 1.0084656 0 0 0 0 0 0 0 4.0098825 0 0 0 0 0 0 0.7403362 0.8628934 0
