"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"3300037134_11" 0.93322545 31.293966 0.23295306 0 0 0 0.16170226 2.4170978 0.3434574 0 0.35024375 0 0.36384457 0 0 6.108305 1.4723963 0.11864101 0 0 1.5680768 0 0 0 2.2271066 4.471491 0.26772374 0 0 2.960341 0 0.05997498 0 0 14.870891 8.995678 0.16490762 0 0.55928826 7.5509315 0 0 1.519578 0 0 0.18237239 0 0 0 3.78267 0 0 0 0.24465582 2.0903554 0.105046816 0 0.60607773 0 5.223387 0 0 0.0709761 0.68074906 0
"Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.5_81.58_0.43" 3.8312676 0.668867 0 0 0 0 1.8321742 6.3064604 0.264459 0 0.62259036 0 1.8212839 0 0 4.339355 0.34886795 0 0 0 3.5335178 0.07614634 0.086069405 0 1.5450922 0.07295644 0 0 0 2.7228487 0.09703717 0 0 0 3.4403634 0.13658024 0 0.35362807 0 0.4014504 0 0 1.5906621 0 0 1.2820526 0 0.07713999 0.07006769 1.1299963 0 0 0 2.1884449 0.41552138 0 0 0 0 4.718287 0 0 0 0.41847464 0
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78" 7.6428723 1.9866918 0.2885865 0.19699623 0 0.0653478 6.009351 9.354153 2.4348686 0.08713282 1.322842 0 3.5768821 0.10225828 0.0983773 6.699097 4.3248568 0 0.060785268 0 13.540412 0.39911723 0.22488369 0 3.4336743 2.3584354 0.27349374 0.3349224 0.17569019 7.283132 0.59278566 0.45044893 0 0 2.9131458 0.9057677 0 0.7841351 1.4587059 3.8869584 0 0 3.4322646 0.14865232 0 3.7361815 0.19473267 0.42872113 0.32536772 2.0886757 0 0.06490423 0.06513949 1.0294374 1.1067705 0.07840833 0 0.9792281 0 3.3427591 0.07797839 0 0 0.94163877 0
"20120700_S1D_96" 5.98003 2.4239287 0.07073237 0.11397672 0 0 1.3319377 8.19855 2.162569 0.103047095 0.77620417 0 3.3675835 0 0 12.290386 2.6479104 0 0 0 11.731516 0.20938577 0.15993342 0 13.609496 2.573198 0.14554773 0.057647284 0 7.075541 1.0104169 0.2815086 0 0 11.724368 1.6421399 0 0.9621205 6.7650046 3.3622415 0 0 9.509423 0.069305375 0 0.42865947 0 0.7648771 0.65164405 12.14886 0 0 0 0 1.6595633 0 0 3.2012386 0 6.9119687 0 0 0 5.537818 0
"20120600_S1S_4" 23.280481 4.272142 0.3510824 0.6462821 0 2.8334858 11.056484 100.85581 26.621964 0.8223868 7.707775 0.13599554 15.080535 0.18474853 0.15655416 65.46544 37.451965 0.35732368 0.4477694 0.06068729 180.82376 1.7009766 0.99372596 0.17107947 41.822456 4.6786933 0.45763755 0.25487527 0.059722606 40.30949 2.870357 2.7633235 0.09070428 0.09357609 64.30349 33.681255 0.6178264 17.16235 21.721916 15.413114 0.09608316 0 29.558691 0.36073816 0.08072715 0.123424605 0 0.71899205 0.94389147 37.469955 0 0.24250007 0.20325713 14.553182 0.36673534 0.52052057 0 3.4898365 0 90.0518 0.42574123 0.13371587 0.88637793 18.754831 0
"Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.68_86.32_3.16" 0.37969378 1.173212 0 0 0 0 0.2553123 1.5076122 0.6153419 0 0.11150487 0 0.055808734 0 0 6.6382756 2.2027683 0 0 0 5.4837713 0 0 0 0.28002983 0 0 0 0 2.7583797 0.078523606 0 0 0 2.0099928 0.22420874 0 0 0.16945486 0.16516739 0 0 1.055052 0 0 0.09594628 0 0 0 7.027889 0 0 0 0 0.16958849 0 0 0 0 5.2366066 0 0 0 0 0
"Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1723369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07196048 0 0 0 0 0
"20110800_S1S_3" 1.5469834 0.13271345 0 0 0 0 1.3134718 0.9148082 0.07803765 0 0 0 0.8813919 0 0 0 0 0 0 0 0.3976496 0 0 0 0.21463458 0 0 0 0 0.23953357 0 0 0 0 0.2963003 0 0 0.25463116 0.079516195 0 0 0 1.0900227 0 0 0 0 0.081542216 0 0.06037309 0 0 0 0.34722826 0 0 0 0.06281585 0 0.7782304 0 0 0 1.1316928 0
"20110800_S3S_4" 4.75857 0.101793 0 0 0 0 1.2588764 26.259443 0.07818588 0 0.27438316 0 3.4464953 0 0 7.498931 0.15097307 0 0 0 1.0241141 0 0 0 0.5396764 0 0 0 0 6.6125827 0 0 0 0 4.0091968 2.3047884 0 0.6303218 0 0.33575988 0 0 5.504682 0 0 0 0 0 0 1.4057441 0 0 0 2.8687887 0 0 0 0 0 4.576857 0 0 0 0.11974756 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.267_72.59_8.57" 0 0 0 0 0 0 0.21065813 0.7219818 0.09241153 0 0 0 0.056708887 0 0 0.14737287 0 0 0 0 0.15909831 0 0 0 0 0 0 0 0 0.36463442 0 0 0 0 0.094236664 0 0.09996612 0 0.13502042 0.22155695 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22848311 0 0 0 0.12794693 0 0.29623815 0.08471567 0 0 0 0
