trait	tree	distance	cluster_size
black	1	0.0897728695	2
black	1	0.0224044125	2
black	1	0.045513726	2
black	1	0.0111751405	1
black	1	0.0188532735	1
black	1	0.021830319	1
black	1	0.0174568395	1
black	1	0.007724778	1
black	1	0.027473285	1
black	1	0.0180190995	1
black	1	0.086351529	1
black	1	0.0474328	1
black	1	0.0106890075	1
black	1	0.0119810445	1
black	1	0.1486613325	1
black	1	0.005402911	1
black	1	0.018962198	1
black	1	0.0087704325	1
black	1	0.094312613	1
black	1	0.3207777705	1
black	1	0.0501409845	1
black	1	0.044938133	1
black	1	0.024129051	1
black	1	0.076144389	1
black	1	0.022789568	1
black	1	0.065876459	1
black	1	0.032643475	1
black	1	0.019912899	1
black	1	0.034896014	1
black	1	0.075125372	1
black	1	0.1735937155	1
