trait	tree	distance	cluster_size
brown	1	0.0263958145	2
brown	1	0.0250801405	2
brown	1	0.010458654	1
brown	1	0.0111947645	1
brown	1	0.063105479	1
brown	1	0.0243063745	1
brown	1	0.028963355	1
brown	1	0.029693526	1
brown	1	0.0148328545	1
brown	1	0.095248441	1
brown	1	0.011629006	1
brown	1	0.0270774085	1
brown	1	0.0156870475	1
brown	1	0.0287552655	1
brown	1	0.020022399	1
brown	1	0.160108293	1
brown	1	0.0168819285	1
brown	1	0.041306869	1
brown	1	0.004108073	1
brown	1	0.037237181	1
brown	1	0.0120041655	1
brown	1	0.053133521	1
brown	1	0.0294718055	1
brown	1	0.0178421215	1
brown	1	0.0375891105	1
brown	1	0.012588911	1
brown	1	0.0294916235	1
brown	1	0.0230963155	1
brown	1	0.0816892765	1
brown	1	0.034421289	1
brown	1	0.0126099035	1
brown	1	0.012680323	1
brown	1	0.018534528	1
brown	1	0.0300368445	1
brown	1	0.0053421925	1
brown	1	0.0051664465	1
brown	1	0.010052514	1
brown	1	0.035506923	1
brown	1	0.0289907425	1
brown	1	0.0221047235	1
brown	1	0.0217357585	1
brown	1	0.054792808	1
brown	1	0.042899069	1
brown	1	0.4970933105	1
brown	1	0.0502277955	1
brown	1	0.009956644	1
brown	1	0.0417207465	1
brown	1	0.0382989835	1
brown	1	0.0247460975	1
brown	1	0.035550993	1
brown	1	0.052573775	1
brown	1	0.035288082	1
brown	1	0.0189214595	1
brown	1	0.017595118	1
brown	1	0.0113787065	1
brown	1	0.013954561	1
brown	1	0.0101784485	1
brown	1	0.0106728445	1
brown	1	0.012598887	1
brown	1	0.016607179	1
brown	1	0.031771429	1
brown	1	0.0113322445	1
brown	1	0.015179394	1
brown	1	0.03995231	1
brown	1	0.0516781685	1
brown	1	0.0072141435	1
brown	1	0.020458908	1
