trait	tree	distance	cluster_size
grey	1	0.122196768666667	3
grey	1	0.20905517	2
grey	1	0.0161871195	2
grey	1	0.0264328075	2
grey	1	0.032067466	3
grey	1	0.050511719	2
grey	1	0.055591376	2
grey	1	1.3031859335	2
grey	1	0.053399796	2
grey	1	0.0708315865	2
grey	1	0.049384129	2
grey	1	0.008544498	1
grey	1	0.0224049315	1
grey	1	0.0155209465	1
grey	1	0.0224289975	1
grey	1	0.0153956865	1
grey	1	0.0117111895	1
grey	1	0.0963936355	1
grey	1	0.0390105175	1
grey	1	0.0209438605	1
grey	1	0.026410774	1
grey	1	0.005719553	1
grey	1	0.0167754105	1
grey	1	0.009739851	1
grey	1	0.0252269405	1
grey	1	0.018752832	1
grey	1	0.011499707	1
grey	1	0.118358315	1
grey	1	0.005702421	1
grey	1	0.28236377	1
grey	1	0.0286998475	1
grey	1	0.026082584	1
grey	1	0.0557251245	1
grey	1	0.0104981215	1
grey	1	0.0645943265	1
grey	1	0.089257712	1
grey	1	0.3022893935	1
grey	1	0.303077375	1
grey	1	0.050642754	1
grey	1	0.0198874055	1
grey	1	0.0344772425	1
grey	1	0.033640376	1
grey	1	0.0204594055	1
grey	1	0.036743099	1
grey	1	0.0473170565	1
grey	1	0.040133946	1
grey	1	0.039903312	1
grey	1	0.0071379795	1
grey	1	0.0444271185	1
grey	1	0.0570640875	1
grey	1	0.003528221	1
grey	1	0.0053567165	1
grey	1	0.0437257145	1
grey	1	0.017066483	1
grey	1	0.0254012115	1
grey	1	0.0516970435	1
grey	1	0.019692192	1
grey	1	0.025865663	1
grey	1	0.008421831	1
grey	1	0.0260710275	1
grey	1	0.0323766855	1
grey	1	0.020087685	1
grey	1	0.0242502075	1
grey	1	0.0041252475	1
grey	1	0.0168751695	1
grey	1	0.0188346145	1
grey	1	0.0454257665	1
grey	1	0.028472693	1
grey	1	0.034582259	1
grey	1	0.014208017	1
grey	1	0.019371657	1
grey	1	0.0200981245	1
grey	1	0.034089259	1
grey	1	0.0394343275	1
grey	1	0.017123852	1
grey	1	0.0649998	1
grey	1	0.0160832115	1
grey	1	0.043931956	1
grey	1	0.020908344	1
grey	1	0.221057288	1
grey	1	0.0945663775	1
grey	1	0.078020879	1
grey	1	0.06447217	1
grey	1	0.0238915	1
grey	1	0.3872272785	1
grey	1	0.0615256285	1
grey	1	0.183318402	1
grey	1	0.008536452	1
grey	1	0.009966716	1
grey	1	0.027018129	1
grey	1	0.2031653985	1
grey	1	0.0362729845	1
grey	1	0.269924822	1
grey	1	0.1396008425	1
grey	1	0.0167524735	1
grey	1	0.147316444	1
grey	1	0.018327056	1
grey	1	0.035538499	1
grey	1	0.029540939	1
grey	1	0.023033558	1
grey	1	0.0484438155	1
grey	1	0.0769015115	1
grey	1	0.0261308095	1
grey	1	0.056089382	1
grey	1	0.027986122	1
grey	1	0.213445892	1
grey	1	0.010270663	1
grey	1	0.2480334065	1
grey	1	0.426862539	1
grey	1	0.4486890785	1
grey	1	0.0328659475	1
grey	1	0.038029359	1
grey	1	0.0047576915	1
