trait	tree	distance	cluster_size
magenta	1	0.0404977904	5
magenta	1	0.024174679	1
magenta	1	0.0250045105	1
magenta	1	0.0545814785	1
magenta	1	0.0201732715	1
magenta	1	0.0129924045	1
magenta	1	0.021673317	1
magenta	1	0.026079353	1
magenta	1	0.110306906	1
magenta	1	0.087759646	1
magenta	1	0.005793205	1
magenta	1	0.009156866	1
magenta	1	0.0870785085	1
magenta	1	0.012509648	1
magenta	1	0.0094202035	1
magenta	1	0.028523982	1
magenta	1	0.0120244025	1
magenta	1	0.108020834	1
magenta	1	0.0198827825	1
magenta	1	0.0125831215	1
magenta	1	0.021806997	1
magenta	1	0.1212502725	1
magenta	1	0.029728496	1
magenta	1	0.017459318	1
magenta	1	0.015957692	1
magenta	1	0.012216687	1
magenta	1	0.067366708	1
magenta	1	0.0232245665	1
