trait	tree	distance	cluster_size
pink	1	0.139716542	2
pink	1	0.10142034	2
pink	1	0.163698991	2
pink	1	0.0926253615	2
pink	1	0.0178714875	2
pink	1	0.1105673065	2
pink	1	0.064066816	2
pink	1	0.0319652665	1
pink	1	0.024520056	1
pink	1	0.541977923	1
pink	1	0.1258332465	1
pink	1	0.077193816	1
pink	1	0.0408697205	1
pink	1	0.0190398075	1
pink	1	0.0304629515	1
pink	1	0.0351800015	1
pink	1	0.058887159	1
pink	1	0.0614902875	1
pink	1	0.0275357985	1
pink	1	0.045243668	1
pink	1	0.031498961	1
pink	1	0.0223021095	1
pink	1	0.028331419	1
pink	1	0.0239642635	1
pink	1	0.023907148	1
pink	1	0.0383140315	1
