trait	tree	distance	cluster_size
purple	1	0.0200826525	1
purple	1	0.023766666	1
purple	1	0.171670769	1
purple	1	0.0442503535	1
purple	1	0.0268093325	1
purple	1	0.248509684	1
purple	1	0.0132916345	1
purple	1	0.0987442815	1
purple	1	0.010614903	1
purple	1	0.0453714305	1
purple	1	0.0119386465	1
purple	1	0.072297967	1
purple	1	0.0161927245	1
purple	1	0.0333221125	1
purple	1	0.1746748255	1
purple	1	0.0649341645	1
purple	1	0.010678774	1
purple	1	0.1720532615	1
purple	1	0.02593545	1
purple	1	0.0137666475	1
purple	1	0.068996953	1
purple	1	0.0506221355	1
purple	1	0.0254924575	1
purple	1	0.0519297105	1
purple	1	0.1004075315	1
