trait	tree	distance	cluster_size
red	1	0.062113355	2
red	1	0.062313065	2
red	1	0.021159135	2
red	1	0.0258185055	1
red	1	0.034983173	1
red	1	0.0224124545	1
red	1	0.0235432705	1
red	1	0.0170650415	1
red	1	0.0699985055	1
red	1	0.038019989	1
red	1	0.073797182	1
red	1	0.059987948	1
red	1	0.020496733	1
red	1	0.039645215	1
red	1	0.025989863	1
red	1	0.028443164	1
red	1	0.026857364	1
red	1	0.072389528	1
red	1	0.014545845	1
red	1	0.141599539	1
red	1	0.257036401	1
red	1	0.0373200865	1
red	1	0.0513586155	1
red	1	0.0155665135	1
red	1	0.0573050345	1
red	1	0.0509886525	1
red	1	0.057435541	1
red	1	0.155930645	1
red	1	0.025481125	1
red	1	0.0300057845	1
red	1	0.054428042	1
red	1	0.0318771425	1
red	1	0.037475591	1
red	1	0.369142856	1
red	1	0.0641262185	1
red	1	0.0366422815	1
red	1	0.0340323335	1
red	1	0.056033185	1
red	1	0.0263124845	1
red	1	0.0283174605	1
red	1	0.0604222765	1
