trait	tree	distance	cluster_size
turquoise	1	0.032163816	2
turquoise	1	0.062294916	2
turquoise	1	0.0357434165	2
turquoise	1	0.026044982	2
turquoise	1	0.952849303333333	3
turquoise	1	0.011509325	1
turquoise	1	0.0321346725	1
turquoise	1	0.0342365335	1
turquoise	1	0.020134604	1
turquoise	1	0.0219032005	1
turquoise	1	0.0056242215	1
turquoise	1	0.012412998	1
turquoise	1	0.056276704	1
turquoise	1	0.070080111	1
turquoise	1	0.02454329	1
turquoise	1	0.0489594895	1
turquoise	1	0.1003812735	1
turquoise	1	0.3161163455	1
turquoise	1	0.011498249	1
turquoise	1	0.0614395225	1
turquoise	1	0.0101393665	1
turquoise	1	0.012302848	1
turquoise	1	0.0574976095	1
turquoise	1	0.1158070025	1
turquoise	1	0.2035661695	1
turquoise	1	0.033525581	1
turquoise	1	0.016817988	1
turquoise	1	0.0799217745	1
turquoise	1	0.023769577	1
turquoise	1	0.092241015	1
turquoise	1	0.0127067505	1
turquoise	1	0.0209100215	1
turquoise	1	0.3523225365	1
turquoise	1	0.0147571975	1
turquoise	1	0.0089397295	1
turquoise	1	0.009459195	1
turquoise	1	0.017699612	1
turquoise	1	0.0062332105	1
turquoise	1	0.0215508605	1
turquoise	1	0.0395461825	1
turquoise	1	0.0284739515	1
turquoise	1	0.020995599	1
turquoise	1	0.07140499	1
turquoise	1	0.058056086	1
turquoise	1	0.0141517935	1
turquoise	1	0.0162274545	1
turquoise	1	0.015164189	1
turquoise	1	0.031366066	1
turquoise	1	0.0307039795	1
turquoise	1	0.074296233	1
turquoise	1	0.047720466	1
turquoise	1	0.0180058985	1
turquoise	1	0.0267167355	1
turquoise	1	0.169056637	1
turquoise	1	0.034909399	1
turquoise	1	0.033707829	1
turquoise	1	0.21201644	1
turquoise	1	0.030668049	1
turquoise	1	0.0152108405	1
turquoise	1	0.2069409595	1
turquoise	1	0.080986077	1
turquoise	1	0.022739541	1
turquoise	1	0.038655483	1
turquoise	1	0.1306246185	1
turquoise	1	0.2588225115	1
turquoise	1	0.057372932	1
turquoise	1	0.216636202	1
turquoise	1	0.025405638	1
turquoise	1	0.055939509	1
turquoise	1	0.014365171	1
turquoise	1	0.020716814	1
turquoise	1	0.013441229	1
turquoise	1	0.092215092	1
turquoise	1	0.128634051	1
turquoise	1	0.028228366	1
turquoise	1	0.046649415	1
turquoise	1	0.0301359645	1
turquoise	1	0.0245882125	1
turquoise	1	0.018061445	1
turquoise	1	0.121448951	1
turquoise	1	0.074443636	1
turquoise	1	0.0424997575	1
turquoise	1	0.1615561765	1
turquoise	1	0.0600414905	1
turquoise	1	0.0811447035	1
turquoise	1	0.037602454	1
turquoise	1	0.0553637575	1
turquoise	1	0.026206872	1
turquoise	1	0.028907278	1
turquoise	1	0.008436022	1
turquoise	1	0.0470741425	1
turquoise	1	0.024504387	1
turquoise	1	0.057896076	1
turquoise	1	0.035232114	1
turquoise	1	0.0290427985	1
turquoise	1	0.0774523215	1
turquoise	1	0.0253203495	1
turquoise	1	0.0423778825	1
turquoise	1	0.0633865305	1
turquoise	1	0.038844158	1
turquoise	1	0.021626383	1
turquoise	1	0.028634545	1
turquoise	1	0.2919922275	1
turquoise	1	0.053522989	1
