"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMIU01" 0.43182728 1.0437078 0.11058956 0 0 0.27106726 0.15067923 0 0.5795659 0.05811636 0 0 0 0.37583053 0.11128542 0.083751716 0.44578412 0.34489688 0.44352105 0.38389853 0 0 0.31828946 1.016902 0.13352999 0 0 0.5079749 0.11469146 0 0 0 0 0 0 0 0 0 0 0.11752372 0.20053074 0.11846374 0.18204167 0 0 0 0.156623 0 0.15343824 0.18856686 0.26628017 0 1.8425468 0.34853792 0.07919506 0 0.14299273 0 0.2457722 0.21409997
"3300037226_12" 0 0 0 0 0 0 0 0 0.27667782 0.44173813 0 0 0 0 0.08028364 0 0.09322764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15691923 0.38160673 0 0 0 0 0 0 0 0.08913706 0 0 0.28011775 0.07903627 0 0.27032533 0 0 0.09772682
"3300037365_14" 0.34609643 1.4217056 0.3490073 0.7947391 0.0635302 0.7851098 3.7680385 0.6391894 7.898694 0 0.11058659 0.5441737 0.39721724 12.490624 1.0797558 1.109516 14.098223 0.05993096 0 0 0.2015794 0 0.07942371 1.5422362 1.1162102 1.4902203 1.7035388 0.26667193 6.081592 0.3381219 0 0 0 0 0 0 0 0 0.0727883 0.8234093 1.5524317 2.5532305 7.13355 0.7817346 2.8447878 0.8941035 3.0463116 0.38525423 0.1778382 1.0271971 5.636297 0 0.43526223 6.705047 6.3309627 2.566365 2.4929066 1.2150241 1.8161442 15.173357
"20120600_E3D_41" 0.41252756 2.3320582 0.111039415 0.38751054 0.68240887 0.5080019 0.32234326 0.5228171 2.9209187 0.092444964 0 0.16577332 0.28528875 1.1761348 0.10153582 0.2209138 0.8853516 0 0.058032047 0 0 0 0.3504851 1.1357863 2.1341736 0 0 2.3386316 0.84155273 0 0 0 0 0 0 0 0 0 0.33099198 2.2502956 0.5361044 1.3001361 0.76917946 0 0.6041191 0.8857524 0.4567881 0.1347389 0.9993913 0.97242546 0.6079613 0.104702316 2.7867067 1.6588869 0.97858167 1.0336261 1.1344291 0.5229125 3.785624 0.75245786
"20110800_E3D_13" 0 0 1.9392118 0 0 0.63276273 0 0 1.4402502 0 0.21449496 0 0 2.966274 0.3494795 0 4.053279 0 0 0 4.343576 1.5458342 0 0 0.121256046 0.7509033 2.7153013 0 2.1055648 2.456982 1.0159128 0 0 0 0 0.28058687 0 0 0.0792267 0.32711694 0 3.258563 5.686001 0 0 0.08647609 1.3455691 0 0.28443092 2.7874 4.704773 0 0.21197097 12.62754 0.06642907 0.27332464 1.1889338 0 0 7.8620386
"PMCS01" 3.0470333 2.0463126 0 0 0 0 0.34900856 0.37086353 4.5102897 0 0 0 0 1.8817365 0.4975195 2.2903345 3.4536445 0 0 0 0.32919854 0 2.9520109 4.1479163 1.113659 0.20932879 0.085018784 1.2570964 1.6379815 0.11666079 0 0 0 0 0 0 0 0 0 0.2066693 0.5231935 0.585357 1.4181399 0 0.33806783 0.2886056 0.3948608 0 1.38114 1.7164433 1.424601 0 4.7957363 2.3087206 0.8424417 1.0231984 1.3840758 0.55806506 2.0917628 1.8644542
"3300038473_8" 1.6121502 0.27622005 0.106347464 0 0 0 0 0 0.20752156 0 0 0 0 0.26870167 0.1675041 0.345478 0.49448094 0.09086145 0.07139405 0.086167 0 0 1.4074526 6.2282605 0.71443176 0 0 0 0.093170606 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08203734 0 0 0.10089879 0 0 0.12737511 0.146156 0 0 2.6650577 0.21306452 0 0 0 0.2852097 1.8308971 0.64005935
"20120800_E2D_13" 0 0.257039 0 0.18166062 0.17630504 0.99370843 0.26361293 0.061200112 0.50566834 0 0 0.1506226 0.12056973 0.9564976 0.32080996 0.14573379 0.7289766 0 0 0 0.51301104 0 0 0.10659411 0.14581527 0.34896594 0.07343796 0.30885485 0.27372244 0 0 0 0 0 0 0 0 0 0 0.5134697 0.4935007 1.1999761 1.5268472 0 0.24853344 0.14791128 1.0934116 0.22829121 0.1779164 0.44220608 1.2137856 0 0.28661108 0.97935563 0.6151694 0.32263625 0.3973814 0.121273905 0.14435494 0.44290954
"20100900_E1D_4" 0.8205011 2.983655 0.30799627 0.08319901 0 0 1.1421964 2.213315 14.434469 0 0.29857257 0 0 10.489939 2.3784275 1.4549397 19.154774 0 0 0 0.08023134 0 0.26337287 0.860471 9.399623 3.0969846 2.0984662 2.039597 8.057561 0.5710921 0.30000228 0.06769863 0 0 0 0 0 0 0 1.5570724 1.4656126 7.22133 11.043206 0 1.5962614 2.6567953 12.893999 0.3955575 2.0032942 3.4847727 12.102528 0.18889602 7.890979 28.536879 11.052779 10.938775 15.430279 0.23069333 1.5854318 36.79507
"20120600_E1D_37" 3.9239626 3.9558525 7.1694307 0.78242284 0.6007678 8.838411 10.545591 2.3383765 7.8835506 1.0694294 3.0068364 1.2294362 0.92966753 9.438359 1.4247237 1.2454445 10.177447 1.11363 0.7990598 2.1104717 0.13787502 0 1.5178338 4.1267447 3.4340346 0.44256836 0.3613522 3.5430431 2.6253333 0 0 0 0.11674408 0 0 0 0.29709908 0.05690945 3.9787736 3.4581087 7.4364686 7.685723 6.002495 0 1.0035292 0.7394175 2.2902486 0.14453255 4.075827 4.5663614 4.73794 0 7.8689833 8.992464 6.9006257 3.5861673 6.6494784 0.6340054 4.779917 8.967214
