"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20130700_C1D_1" 0 0 0 0 0 0 1.375396 0.6043423 0 1.2720088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26454508 0.39887783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09278261 0.18115331 0 0 0 0
"20140700_E14_1" 0 0.05617211 0.49232706 0 1.2265604 0 0.1655424 1.5844166 0 1.365729 1.0681008 0.056384075 0 0 0 0 0 0.07675978 0.22220217 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12091872 2.0385957 39.127724 3.724353 0 0.3839525 0 0.29016224 0 0 0 0 0 0.63388467 2.1396441 0 0.60073745 0 0 0 0.094526045 0 0 0.84588933 0.9597237 0 0 0
"20120700_S1D_59" 0 0 0.19158931 0 0.3738325 0 0 0 0 0.23143709 1.3395056 0 0 0 0 0 0 0.15081702 0.32093012 0.11777996 0 0 0 0 0 0 0 0 0 0.24989867 0.17367075 0 0 0.49550894 7.2564607 0.8603593 0 0.54001856 0.06709535 0 0 0 0 0 0 0 0.17830807 0 0.08750399 0 0.061125856 0 0 0 0 0 0.0714012 0 0 0
"PMGM01" 0.26408982 0.37114483 0.5401993 0.5747364 3.3242245 0.17882764 0.14547639 0.18452632 0.1778389 2.5321195 0.26105234 0.64369166 0.15986 0.26873243 0 0 0.15895666 0.38944924 1.5192394 0.44846487 0 0 0.12071635 0 0.07470567 0 0 0.625274 0 0 0 0 0.63686466 1.8519142 12.191996 2.5899808 0.08010373 2.3620694 0.6106903 0.37671274 0 0.5818338 0.33292648 0 0.18088907 0.53340983 0.69932723 0.14359553 0.8622584 0.5430171 0.37515593 0.07563731 0.744192 0.23000409 0 0.5623937 1.3259423 0 0.08076208 0
"20160700_E25_7" 0 0 0.085583955 0 0.44707566 0 0 0 0 0.7308657 0 0.2127761 0 0 0 0 0 0 0.5411345 0 0 0 0 0 0 0 0 0 0 0 0 0 0.083016515 0.71952426 2.965394 0.20545363 0 1.0575925 0.066494696 0.064481996 0 0.07503105 0 0 0.060781367 0 0 0 0.09847049 0 0 0 0.09923406 0 0 0.40883437 0.14150588 0 0 0
"20100900_E3D_5" 0.11528259 0.7731432 2.9467251 0.13378981 0.52901393 0.27602682 0.54437417 1.4055537 0.8516808 8.930615 0.17170507 0.073820524 0.093627684 0.6760047 0 0 0.5871158 0.43382362 0.3504698 0.11811053 0 0 0 0.057403367 0.090694524 0 0 0.38963205 0.1275929 0 0 0 1.0808204 2.864623 3.1257493 0.20049635 0.17676768 0.6101399 0.23072469 0.17061217 0 0.55998355 0.09162586 0 0.15109554 0.25675863 0.23977059 0 0.21887325 0.18368684 0.065606855 0 0.28730533 0.1240427 0 0.29215682 0.4184756 0 0 0
"20120600_E1D_42" 0.12123286 0.7260461 0.19142763 0 0.17983441 0.31699842 0 2.2402024 0 4.910412 0.12540932 0 0 0.16692352 0 0 0 0.10058492 0.29726535 0.37888846 0.099150516 0 0 0.1768966 0 0 0 0.15579729 0 0 0 0 0.12991129 2.3770595 43.361008 4.2911997 0 0 0.31879783 0.5637947 0 0.08490246 0 0 0.38783076 0.360115 0 0 0 0 0 0 0.361703 0 0 0.56154263 0.58879834 0 1.9616128 0
"PMKK01" 0 0.32176462 0 0.18001455 0.67621744 0 0.09604616 0.2441159 0 0.33347848 0 0.7690629 0 0 0 0.06846565 0 0.11909903 0.5613588 0 0 0 0 0.102308184 0 0 0 0.33553594 0 0 0 0 0.064580575 0.35088092 0.32954037 0 0 0.73243403 0 0.2710367 0 0 0 0 0.18736608 0.11447159 0 0 0.087179594 0 0 0 0.12165779 0 0 1.7043831 0.2323889 0.06190457 0.38798738 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88" 0 0 0 0 0.096 0 0.10516836 0.06060641 0 0.092895046 0.058983035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.076423526 0.2572859 0.7748441 0.23324718 0 0.05827845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061243296 0 0 0 0
"PLTW01" 0.3000584 0.8171423 1.3726861 0.45662534 7.4741287 0.5968926 0.0888086 0.3838524 0.7242636 2.7145913 2.0431812 0.40971777 0.122779176 0.9476849 0.16353744 0 0.7924332 0.96920866 1.2693651 0.55218405 0 0 0.059587933 0.057171054 0.2483585 0 0 0.76896024 0.3218495 0 0 0 0.400394 1.8796843 29.491503 6.158523 0.16097374 3.690574 1.8948307 1.6046964 0 1.4564153 0.9840476 0 0.15738103 1.7607998 1.3467547 0 1.3004448 0.7355844 1.5646402 0.098859705 1.2168701 0.5619592 0.080959454 0.8286475 1.8882601 0.0577564 0.48632824 0.32966715
