"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120700_S1D_12" 0 0.092561 0.5845454 0.062304407 0.78396183 0.11512261 0 0 0.2262686 0 0.52809584 0 0 0.1471291 0 0 0.19137579 0.18959172 0.30964777 0.1064911 0 0 0 0 0.16928583 0 0 0.23619148 0 0 0 0 0 0 4.33113 0.86091435 0 0.5273031 0.24281561 0.46011734 0 0.41536602 0.37393808 0 0 0.104639076 0.9032637 0 0.79679364 0.5452806 0.60913146 0 0.27301976 0.17421567 0 0 0.19964573 0 0.1122812 0
"PLGY01" 0.82069755 2.8167593 3.2317429 1.6753217 13.657009 5.511908 0.24530943 0.22921504 2.1757002 0.8179992 10.619523 1.227699 0.7489597 5.7401686 0.183736 0 2.8638477 5.3754997 5.80192 2.7957156 0.4070102 0 0.20142561 0.18670073 1.0165957 0.26069355 1.6689507 1.8156748 0.75586855 0.954566 1.3266853 0.25647545 0 0.11255977 3.0671008 2.0872533 0.36188817 3.4050639 13.315249 2.9283912 0 3.7534285 1.5118624 0 0.4848066 0.6612968 1.3692902 0.080685705 2.694338 4.58015 3.3841848 0.19291939 2.6019616 1.3291231 0.12053263 0.6794411 0.58326113 0.121487595 0.9072335 0.7022392
"20120600_E2D_39" 0.3422864 1.3006957 0.9955782 0.668419 5.528964 0.2654701 0.22264445 0.6836514 0.21953975 0.6815358 0.15662295 0.43309817 0.18657632 0.42792454 0.08869552 0 0.3621495 2.3115509 2.0499458 0.4119351 0 0 0 0 0.08620466 0.24717708 0 0.9913543 0 0.05916934 0 0 0 0.57922405 2.015373 0.12817001 0.1372692 2.2344592 0.24304253 0.2621196 0 0.26503107 0 0 0.1501178 0.284998 0.38823974 0 1.4331981 0.4111254 0.1721241 0 1.0166473 0 0 0.35784143 0.15041225 0 0.093096256 0
"20110700_S2D_21" 0.22741368 0.71806014 1.0620112 0.6908708 2.8294713 1.6524069 0.26270142 0.20110561 0.9018553 0.096569605 0.1581359 0.5809857 0.64503384 1.3963097 0.07447691 0 0.8216104 1.2045957 2.4766736 1.5065038 0 0 0 0.06303492 0.4113983 0 0 0.80327326 0.4459997 0 0 0 0 0 0.19563904 0.19517717 0 0.26400307 0.9017993 0.4026956 0.09447415 2.0960531 0.8324566 0 0 0.0657712 0.36655658 0.07751562 1.0225326 1.8812157 2.9331222 0 1.1212626 1.5103502 0.09730091 0.29874843 0.29976067 0 0.17215972 0
"20120600_E1D_41" 0 0.23619674 0.5222 0.34380662 2.7771556 0.76524514 0 0.4263172 0.12348411 1.6360399 0.86680365 0.24760488 0 0.28056332 0 0 0.21690741 2.0412796 2.8377838 1.5977988 0 0 0 0 0.05872826 0 0 0.25799453 0 0 0 0 0 0.9598434 3.4655538 3.1226785 0 1.6465894 1.3126619 1.1434885 0 0.4991965 0.40770048 0 0.074804 1.910433 0.8543267 0 0.7796519 0.63153565 0.31048718 0 0.4302944 0.10913976 0 0.8043157 1.513657 0 0.1506828 0
"20120600_E2D_28" 0 0.15166907 0 0.1936038 2.012074 0 0 0.07638459 0 0.1778898 0 0.08451859 0 0 0 0 0 0.34741294 0.28220293 0 0 0 0 0.15223095 0 0 0 0.06518684 0 0 0 0 0 0 0.12714729 0 0 0.6662669 0.061920036 0.4795763 0 0.16295898 0 0 0 0.3617804 0 0 0.38583493 0 0 0 0.20781896 0 0 0 0.083382994 0 0.08655172 0
"20120700_S1X_2" 0.07727332 3.9063675 23.992245 2.3590508 11.340256 41.98461 0 0 20.701221 0.11764041 37.186382 6.0707417 1.3712957 31.500208 1.2593983 0 18.913132 32.761803 35.13289 45.541283 0.9697086 0.35210636 0 0.53724974 7.677627 0.88450664 1.6943341 7.3285403 15.029391 1.1081953 1.6279919 0.20814182 0 0 2.587722 4.118513 1.1249961 11.033634 101.14749 20.633274 0.09078342 35.053013 27.379616 0 0.26683623 2.1058087 10.587514 0 18.403896 22.702482 29.103256 0 22.096449 21.896282 0 0.32352456 0.6306056 0 1.3171415 22.049355
"20140700_E14_11" 0 0.14436802 3.8822243 0.4786268 8.594319 2.3889227 0 0 0.4390263 1.6956224 14.723069 0.9676731 0.09879758 1.1719147 0 0 0.773854 4.3632274 4.7399287 4.871269 0.07868552 0 0 0 0.08902189 0 0 0.4051458 0.15081474 0 0 0 0 0.07104295 40.074406 10.292167 0.288383 8.45771 12.187359 2.4222026 0 1.9605507 0.8647012 0 0 1.7265198 2.0081801 0 2.074916 1.0175308 0.49554333 0 1.869613 0.18951164 0 0 0.43865985 0 0 0.12179731
"20110800_S1D_5" 0 0.074475676 4.462134 0.55251354 4.9540877 3.3187456 0 0 0.8916599 0 2.6850514 0.75647557 0.22150208 4.5650816 0.11805183 0 2.8136382 1.1432213 1.4402646 1.5936775 0.49074987 0 0 0 0.4946762 0.3019535 0.9032844 0.09766892 0.5900981 0.46505702 0.9586335 0 0 0 0.340262 0.68134755 0.10809891 2.7047713 7.33515 1.3407024 0 1.7763021 1.572421 0 0 0.15562378 0.6594273 0 1.3803437 3.3699515 4.118259 0 0.5127047 2.159553 0 0 0 0 0 1.3532583
"20110800_E3D_9" 0.102001585 2.3637655 9.832014 3.4050932 15.610086 21.563707 0 0 6.792489 0.08464845 35.07052 4.890582 2.1657784 19.630613 0.86205554 0 14.908172 15.747036 15.9653845 16.608418 26.725761 4.820813 0 0.55989754 3.2548447 3.8094153 6.318365 2.6378405 3.7643318 8.8945465 14.670374 0.63140327 0 0 2.4870677 6.266033 0.606226 5.8203473 30.876568 8.620759 0 16.304363 12.7957735 0 0.19398798 2.3049188 6.2763224 0.08036141 9.71823 12.149389 13.026459 0 9.093042 10.451454 0 0.09176057 0.33729827 0 1.3200336 5.4673514
"20110800_S1M_17" 0 0.05979074 0 0 0.12269194 0 0 0 0 0 0 0.08767396 0 0 0 0 0 0.9658508 1.2102898 0.25684357 0 0 0 0 0 0 0 0.39610812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09927334 0
"20120600_S3D_1" 0 0.08256912 0 0.107821114 3.214127 0 0 0 0 0 0 0.16661213 0.14280814 0 0 0 0 0.326611 1.2591841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.056954328 2.1676536 0.08473554 0 0 0 0 0 0 0 0 0 0.1101141 0 0 0 0 0 0 0 0 0 0 0
"20140700_S15_2" 0 0.091401555 0 0 0.7712348 0 0 0 0 0 0 0.1655839 0 0 0 0 0 1.273832 2.6977358 0.63356054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8844513 2.2311206 0 0 0 0 0 0 0 0 0 0.0624518 0 0 0 0 0 0 0 0 0 0.13464522 0
"20170700_S34_13" 0 0.8084574 0 0.14609921 6.222727 0.71445984 0 0 0 0 0 0.5079733 0.062005192 0.2956986 0 0 0.07261101 0.7142997 1.946477 1.3060073 0 0 0 0 0 0 0 0.57422227 0 0 0 0 0 0 8.479548 0.40736115 0 2.0039058 8.142967 0.25968906 0 0 0 0 0 0 0 0 0.9296561 0.13564172 0 0 0.4289538 0 0 0 0 0 0.23008992 0
"20120600_E2D_21" 0 1.0026822 0 0.40950316 10.06728 0.42775944 0 0 0 0 0 0.45323145 0 0.2609934 0 0 0.072509274 0.8221806 0.68879926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13702857 7.0489516 0.06617416 0 0 0 0 0 0 0 0 0 0.13117559 0 0 0 0 0 0 0 0 0 0 0
"20110800_E1D_4" 0 0 3.6035776 0.6133617 0.633627 0.099845886 0 0.1465836 0 0.50525695 0.80913955 0 0 0 0 0 0 0.20201601 0.14392039 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10928385 1.218878 2.3160913 0 0.33678365 0 1.1182913 0 0.6848559 0.32733852 0 0.4040133 0.5094386 0.6004751 0 0.7143811 1.0527122 0.2432883 0 0 0.09992635 0 0.15961926 0.12519503 0 0 0
"20120700_S2X_13" 0 0.50964135 0.6822823 0.097760156 1.2225724 0.661954 0.10146562 0.3420095 0.68714803 0.114150696 0.5917453 0.21723402 0.08175983 0.3666366 0 0 0.22275156 0.68286157 0.64061224 0.4437054 0.06523294 0 0 0 0.15548287 0 0 0.3751276 0.19469321 0 0 0 0 0 0.76984316 0.118509226 0 0.1746292 0.80345553 0.99347895 0.063026465 0.92193097 0.3382625 0 0 0.1039771 0.08373248 0 1.565599 0.69683033 0.2193795 0 0.7993892 0.20820597 0 0.112383775 0.16951564 0 0.11900022 0.08652773
"20110700_P2D_8" 0 0 0 0.06507293 0.07681574 0.12504974 0 0 0.120600834 0 0 0.07143609 0 0.4139269 0 0 0.15325867 0.060247503 0.060067516 0.20266815 0.08610006 0 0 0 0 0 0 0 0 0.08525631 0 0 0 0 0.14939764 0.057470396 0 0 1.9538922 0 0 0 0 0 0.08792588 0.11224013 0 0 0 0 0 0 0 0 0.078312114 0.057565097 0 0 0 0
"20130700_P1Y_10" 0 0.070661545 0 0 0.335113 0 0 0 0 0 0 0 0 0 0 0 0 0.30347344 0.31272426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08817106 0 0 0.09333142 0 0 0 0.07605889 0 0 0 0 0 0 0
"20140700_E14_2" 0.61616325 2.561537 10.543626 1.7988032 7.3785977 9.475905 2.3702009 3.0952146 3.5982165 6.8501754 14.614225 3.6416173 1.7102104 10.509286 0.6686787 0.33560696 6.1002636 6.8874755 12.264613 15.287711 0.63867086 0.7164501 0.35423383 1.5983273 1.0591927 0.14009021 1.2700986 3.1491706 2.6636417 0.6358273 2.2635782 1.1021122 1.9215968 11.317548 67.307755 14.51344 1.8002785 6.9555144 25.715338 4.6272993 0.85799706 5.2987423 3.7432444 0.06535011 3.2125518 6.539625 7.5622935 0.4819276 5.9077387 5.4059534 5.6922317 0.09748823 3.332919 3.346186 0.78158414 2.5351708 4.14752 0.20699793 1.2096884 3.1673691
"20110800_S1D_14" 0 0 0 0 0.08130129 0.23020296 0 0 0 0 0.16167979 0.12619658 0 0.13491394 0 0 0 0.9272703 0.66345817 0.5025332 0 0 0 0 0 0 0.060517788 0 0 0 0.083691895 0 0 0 0.4942833 0.29368958 0 0 0.35367808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_114" 0.09558322 0.3176178 0.9062573 0.058011975 0.823442 0.24961817 0 0 0.097166084 0.44145393 1.3829359 0 0 0.17076243 0 0 0.10124981 0.8250398 0.767867 0.30187428 0.18200694 0 0 0 0 0 0.092427656 0.07721287 0 0.06616719 0.08298961 0 0 0.105482206 10.192331 1.9171059 0 0.3830694 1.0519193 0.15901041 0 0.06525724 0.079745084 0 0 0.60968447 0.44142497 0 0.40110448 0.07101189 0.085439436 0 0.11221488 0 0 0.12325071 0.12917104 0 0.08287468 0
