"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"3300037155_22" 0 0 0 0 0 0.101865366 0 0 0 0 0.43465045 0 0 0 0 0 0 0 0 0 0.48462704 0.13503535 0 0 0 0 0.27952725 0 0 0 0 0.6416148 0 0 0 0.32108015 0 0 0 0.07395405 0 0.09518996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2939824 6.4144015 0 0 0 0 0.88106406 0 0 1.2893335 0.54172045 2.750803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037155_12" 0 0 0 0 0.066093594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.088007584 0 0 0 0 0 0.1843967 0 0 0.22767682 0.37126735 0.10147987 0 0 0.056267884 0 0 0 0.080165535 0 0 0 0.124240495 0 0 0 0 0 0 0.08799974 0.28758815 0 0 0.10477011 0 0 0 0 0 0
"PLNS01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.066799894 0 0 0 0 0.0866994 0 0 0.18012868 0.10883677 7.7862854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E1X_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37924793 0 0.08103596 0 0 0 0 0 0 0 0 0.55716085 0 0 0 0.6401558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09494018 0 0 0.10443842 0 0 0.068671614
"20120700_E1X_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33883724 0 0 0 0 0 0 0 0 0 0 0.6696581 0.38612548 0 0 0.8314374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.110666454 0 0 0 0 0 0 0 0 0 0.41071895 0 0 0
"20110800_E2D_31" 0.20051293 0.30323574 0.08182323 0.26633653 0.9228319 0.4951498 0.45723683 0.4537899 0.16138588 0.65489745 0.1692028 0.30732352 0.23528007 0.6273425 0 0.10178591 0.33293536 0.41832647 0.5091064 0.27169928 3.081777 1.9211395 0 0.07281575 0.07111034 0.4311786 2.1214736 0.18537083 0.06528355 1.9710677 2.8233109 1.5918006 0.3227894 0.7105831 0.6469844 0.91235375 0.26283878 0.27269793 0.2357189 0.14708705 0.06977952 0.1301585 0.07867739 0 0.5539804 0.28084913 0.19385841 0.081834994 0.13764156 0.098254144 0.28870383 0 0.12114052 0.086821884 0.25011894 0.54112744 0.09863462 0.17173636 0.28095075 0
"20111000_P1D_14" 0 0 0 0 0 0 1.0303731 0 0 0 0 0.10512491 0.2056231 0 0 0 0 0.13407551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16290098 0 0 0 0.95968777 0 0 0 0 0 0 0.08013898 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09635592 0 0
"20110800_E3D_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5544726 23.295246 0 0 0 0 24.191597 0 0 27.781734 34.805157 58.890766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037076_20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2623057 14.812655 0 0 0 0 1.988917 0 0 3.446888 4.349298 14.755453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
