"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PLND01" 0 0 0 0 0 0 0 0.07136843 0.32345563 0 0 0 0 0 0 0 0 0 0 0 3.053359 0 0 0 0 2.760293 0.3956525 0 0 0.17631736 0.68279934 0.095336296 0 0 0 0 0 0 0 0 0.4559169 0 0 0 0.3085336 0 0.0728543 0.4087625 0 0 0 0 0 0 0 0
"PMXQ01" 0.10709788 0.23466797 0 0 0.059576005 0 0 0 0.39916617 0 2.1579847 0 0 0.17684816 0 0 0.12274251 0 0 0 6.9754834 0 0 0 0 8.884023 2.9870806 0.13629141 0.10415276 2.8167858 2.5737212 0.43971512 0.113189556 14.265668 0 0 0.08269638 0 0 0 0 0 0 0.057937562 1.736401 0 0 0.29537478 0 0 0 0 0 0 0 0
"20110800_E1D_5" 1.3582504 0.40353927 0 0.06822754 0.23433004 0.077504456 0 0.27316973 0.72154886 0 12.583992 0.1589712 0.071459204 0.30651912 0 0 0.10765799 0 0 0 3.8191252 1.5853935 0 0 0 3.0366583 0.5272262 0.87613857 0.10898945 0.25522122 0.51554894 0.16027768 0 6.0091906 0 0 0.18226421 0 0 0 0.07576051 0 0 0 3.0169759 0 0 0.27844036 0 0.073894985 0 0 0 0.08408229 0 0
"20140700_E15_14" 0.5508708 0.16366495 0 0 0.6200422 0.20209432 0 0 0.54658157 0 3.3335412 0.16320902 0.06754706 0.2104085 0 0 0.12500376 0 0 0.11318024 7.315453 1.4161011 0 0 0 1.230739 1.39752 0.16719986 0.07774501 2.0988371 6.2231956 0.6997725 0.11162288 22.020596 0 0.08560042 0.17981343 0 0 0.06585654 0.4105967 0 0 0.21553366 1.441608 0.13454807 0.0983776 0.7470897 0 0.39464593 0 0 0 0 0 0
"3300038461_16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.109342 0 0 0 0 3.7008488 0.215257 0 0 0.35483778 0.63872254 0.06385783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4303223 0.07157371 0.09232337 0 0 0 0 0 0 0 0 3.2997494 4.0962715 0 0.093456246 9.586709 0.4427502 0.14924027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.078569785 0 0 0
"PLNE01" 0 0 0 0 0.07151666 0 0 0 0.27958915 0 0.74465877 0 0 0 0 0 0 0 0 0 1.4540006 0.20230445 0 0 0 3.8718834 1.1400763 0 0 0.5995334 1.3897442 0 0 0.98546433 0 0 0 0 0 0 0 0 0 0 0.061465476 0 0 0 0 0 0 0 0 0 0 0
"3300038461_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.676995 0 0 0 0 10.476147 0.92660713 0.09413808 0.13609041 1.7803711 2.7175179 0.23472485 0 0 0 0 0 0 0 0 0.47739598 0 0 0 0.5809332 0 0.34480295 1.8309195 0 0 0 0 0 0 0 0
"PLYC01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14500828 0.07598726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P28_14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.547766 0.08608167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_55" 0 0 0 0 0 0 0 0.12775743 0 0 0 0 0 0 0 0 0 0 0 0 7.6593256 1.5194542 0 0 0 0.4882181 1.7061878 0 0 10.445263 5.264569 0.7397295 0 0.09809305 0 0 0 0 0 0 0 0 0.07498014 0 0 0 0 0 0 0 0 0.06425206 0.0687793 0 0 0
"20120800_E2D_22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.108496 0 0 0 0 0.77234685 0 0 0 1.1942177 3.555045 0.14414372 0 0 0 0 0 0 0 0 0 0 0 0 0.31806046 0 0 0 0 0 0 0 0 0 0 0
"20120800_E2D_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.606365 0 0 0 0 0.65205437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55060804 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27567276 0 0 0 0 0 1.0895908 0 0 0 0 2.5593588 0.22723904 0 0 2.500619 1.3728346 0.24198511 0 0 0 0 0 0 0 0 0 0 0 0 0.06567393 0 0 0.14751518 0 0 0.10351055 0.190689 0.26943997 0 0 0
"20120800_E1X_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3437003 0 0 0 0 1.961543 2.706136 0 0 4.162741 1.4197382 0.105832055 0 0 0 0 0 0 0 0 0 0 0 0 0.21197994 0 0 0.14674923 0 0 0 0.07750598 0.074738085 0 0 0
"20130700_E1X_5" 0 0.0909607 0.6534309 0 0.07155788 0.8131826 0.068563625 0.05868305 0.40754727 0.15530552 3.976061 0.09471565 0 0.9117988 0 0 0.7388822 0.071478315 0.10651828 0.19558966 20.550293 0 0 0.10000835 0 0.33002117 0.8965375 0.14736392 0.24305695 2.7808943 2.10985 0.4275759 0.1835946 12.942863 0 0 0.58597666 0.14739439 0 0.33707568 0.5382075 0 0 0.17987181 0.5246177 0.19495425 0.59029484 0.70678055 0.23389757 0.7425829 0.068835065 0.13756968 0.27098092 0 0.15705432 0.77064174
"20120800_E2D_10" 0 0 0 0 0 0 0 0 0.07125532 0 1.4404048 0 0 0.122189105 0 0 0.056171305 0 0 0 24.513718 2.8571465 0 0 0 4.507172 0.746629 0.07835041 0.06397256 16.374313 4.748835 0.37400562 0 1.2929065 0 0 0 0 0 0 0 0 0 0 1.4556566 0 0 0.09267272 0 0 0 0 0 0 0 0
"20120800_E2D_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.62753695 0 0 0 0 0.9363211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2686028 0 0 0 0 0 0 0 0 0 0 0
"20130700_E2X_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3025521 0 0 0 0 0 0.7127095 0 0 0 0 6.642897 0.48365536 0 0 0.22548687 0.15016596 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10269804 0 0 0.12961192 0 0 0 0 0.08212459 0 0 0
"20120800_E3D_2" 0 0.069997996 0.29112375 0.08149301 0.16585714 0.114132196 0.09497438 0.13482659 0.40310672 0 6.0508986 0.20404676 0.21243243 1.0700552 3.0536046 0 1.0136969 0 0 0 11.867496 1.5368521 0.057252 0 0.064882554 14.07855 3.8867457 0.18018971 1.0199866 10.168956 5.459782 0.42602336 0.23979725 2.400616 0.06978017 0.16044459 0.15504684 0.33709 0.10173399 0.49405605 2.411779 0.3031972 0.7190723 0.789983 11.420869 0.12215232 0.4265406 13.385768 0 1.5759972 0.6124768 3.5030286 2.7366602 0 0 0.86977357
"3300038461_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.724292 2.1997592 0.124796785 0.058911018 0.15011448 0.56271833 0.34130207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300038461_5" 0 0 0 0 0 0 0 0 0.17331648 0 0 0 0 0.07521591 1.6042169 0.06873905 0.09614187 0 0 0 1.2225481 0.097612046 0 0 0 3.4812083 0.47254568 0 0.28213122 0.20839475 0.43611082 0.0943087 0 0 0 0 0 0 0 0 0.26557472 0 0 0 2.029307 0 0 3.383633 0 1.6564885 0 0.2045615 1.5517336 0 0 1.3470787
"20170700_S34_25" 0 0 0 0 0 0 0 0 0 0 2.1678855 0 0 0 0.13775703 0 0 0 0 0 0.574172 0.38276565 0 0 0 1.5054936 0.34549052 0 0 1.3718361 1.3499082 0.43498144 0 1.5192331 0 0 0 0 0 0 0.058220007 0 0 0 0.46675053 0 0 0.33830526 0 0 0 0 0 0 0 0
"PLBS01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_64" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
