"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMJF01" 1.607712 2.5769765 0.11462354 0.10653375 0.24197948 0 1.2802495 0.3290697 1.694959 0 0 0 0 0.14612503 0.2199972 1.4001547 0.29211542 0 0 0 0 0 0.64310557 1.1501561 0.9182169 0 0 1.4226625 0.14456536 0 0 0 0 0 0 0 0 0 0.64780116 1.3452172 0.34136498 0.1779654 0 0 0 0.07540424 0.900184 1.9806348 1.2980494 0.14734916 0.14395164 1.5819427 0.5780352 1.068235 0.59331954 0.4975457 0.2698053 0.85964125 0.13216741
"PMDZ01" 1.602255 0.1356848 0 0 0 0 0 0 0.103566825 0 0 0 0 0 0.15294617 2.278705 0 0 0 0 0 0 0.80242354 0.22347143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.68492657 0 0 0 0 0 0 0.40493923 0 0 0 0.35578033 0 0 0.22872622 0 0 0.27799895 0 0
"PMBQ01" 0.19000876 0.19141346 0 0 0 0 0.19468775 0.10736597 0.23966782 0 0 0 0 0.08036591 0 0.44130808 0.12505217 0 0 0 0 0 0.44039387 0.4148645 0.24201487 0.070234954 0 0 0.06664459 0 0 0 0 0 0 0 0 0 0.23506111 0.37623632 0.12562591 0.1476746 0 0.2938411 0.17483102 0.09322811 0 0.06721538 0.1280541 0.07203266 0 0.32746035 0.1952165 0.64425004 0.24401812 0.2079484 0.43630248 0.43730956 0.14235546
"20110800_E2D_12" 1.2702421 1.3518457 0.5683106 2.4152324 1.3616477 0.6000491 1.3753566 1.0654874 1.3916517 0.12620075 0.090514585 0.4727025 0.92978454 1.6664301 0.2605585 1.1295164 1.3707358 0.9874694 1.2212764 0.45755142 1.3166043 1.2599945 0.76392347 0.63973916 1.3166043 0.7175826 1.9015781 1.2030466 0.59937435 2.0813098 2.2973537 1.127338 0 0 0.10887818 0.06727896 0.0673454 0.48227873 2.0686975 2.5551913 1.6504306 1.4324774 0 1.6514137 0.9017893 0.68907624 0.93923897 2.2882512 1.8999032 1.1736227 0.17572863 1.631693 1.453613 1.7530149 1.3485608 1.046674 0.82644373 1.2080243 0.5429878
"PMBU01" 0.55826336 0.18774462 0 0 0 0 0.15993647 0 0 0 0 0 0 0 0.11980025 1.1100047 0 0 0 0 0 0 0.46956876 0.17911988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10184535 0 0 0 0.10819111 0 0 0.07787559 0 0 2.4795952 0.299213 0
"Fen.Labelled.R1.T1.F4.trimmomatic.metaspades_bin.45_92.53_1.84" 1.0073463 0.18964417 0 0 0 0 0 0 0 0 0 0 0 0 0.11440958 0.615213 0 0 0 0 0 0 0.3085211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42246592 0 0 0 0 0 1.489116 0.13809745 0
"20120600_E3D_33" 0.2140379 0.177142 0 0 0 0 0 0 0.17404906 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06486667 0.062948555 0.14015561 0 0 0.5830467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07555459 0 0 0 1.812213 0.06818822 1.58384 0.47016752 0.105833255 0.32638577 2.4001305 0
"20120700_E2X_1" 0.09819202 0 0 0 0 0 0 0 0 0 0 0 0 0 0.35789672 0.41554806 0 0 0 0 0 0 0.10532481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08268891 0 0 0 0.85085875 0 0 0 0 0 0.65905017 0 0
"PMDX01" 0.1715024 1.3351605 0.31993186 1.0540887 2.359023 0.12667365 0.20329496 0.3564137 0.48474434 0 0 1.1807133 0.10793353 0.9320209 0.085277475 0.3807139 0.87714595 0 0.4310476 0 0 0 0.18376711 0.37094942 0.6654407 0 0.108233735 1.5632463 0.4068758 0 0 0 0 0.05959632 0 0 0 0 1.2757058 0.62896866 0.8633779 0.8867099 0 1.5920362 0.9273569 0.64176315 0.28860226 0.77132714 0.63309073 1.380576 0 1.2473005 0.57709086 0.27030206 3.5748625 1.2820951 0.53615236 2.8915298 0.3553099
"PMCC01" 1.1582474 0.987899 0 0.15523265 0 0 1.1630044 0.36698848 0.31496796 0 0 0 0 0.19264588 0.15655962 0.962385 0.23933794 0 0 0 0 0 0.5355397 0.32822046 0.4279054 0 0 0.37217242 0.08631841 0 0 0 0 0 0 0 0 0 0.16995764 0.37940383 0.20563668 0.116415076 0.07513713 0.13170366 0 0 0.5532659 0.4668804 0.2619157 0.17127118 0.15084252 0.8571997 0.22083959 0.6628155 0.28745607 0.13556115 0.45442584 0.2934916 0
