"genome" "711_E-1-S" "711_E-2-S" "711_E-2-M" "711_E-3-S" "712_E-2-D" "712_E-3-M" "712_E-3-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-M" "713_E-2-X1" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "715_E2_1-5" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PLMA01" 0.09986255 0 0.07747025 0 0.15285116 0 0.07695591 0.51125044 1.6587145 0.15851255 0.06502475 0.06947691 0.7942474 0.18371591 32.331787 0 0 0.06325544 0 0 0 0.16428906 0.127051
"20130700_E3Z_8" 0 0 0 0 0 0 0 0.47503406 5.350054 0 0.25564215 0 0.15197232 0.8173368 108.35948 0 0 0 0 0 0 0 0
"20130700_E3Z_10" 0 0 0 0 0 0 0 0 0.17414652 0 0 0 0 0 7.3751187 0 0 0 0 0 0 0 0
"PKWP01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.547214 0 0 0 0 0 0 0 0
"PLZO01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8790018 0 0 0 0 0 0 0 0
"3300037089_14" 0 0 0 0 0 0 0 0 0 0 1.3137225 0 0 0 1.7174435 0 0 0 0 0 0 0 0
"20130700_E3Z_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6603767 0 0 0 0 0 0 0 0
"20120800_E3X_18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4170496 0 0 0 0 0 0 0 0
"PLYD01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4510823 0 0 0 0 0 0 0 0
"20120500_P36_7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17976634 0 0 0 0 0 0 0 0
"PLYZ01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07837025 0 0 0 0 0 0 0 0
"20120700_P3D_89" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22954342 0 0 0 0 0 0 0 0
"PNBE01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.447738 0 0 0 0 0 0 0 0
"20120500_P19_12" 0 0 0 0 0 0 0 0 0.08573991 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20111000_P3M_16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3368836 0 0 0 0 0 0 0 0
"20120700_P3D_97" 0 0 0 0 0 0 0 0 0 0 0.15950893 0 0 0.07763234 0.3719007 0 0 0 0 0 0 0 0
"3300036886_17" 0 0 0 0 0 0 0 0 0.16702229 0 0 0 0 0 1.2197104 0 0 0 0 0 0 0 0
"20111000_P3M_32" 0 0 0 0 0 0 0 0 1.2551173 0 0 0 0.2392455 0.34152526 3.057567 0 0 0 0 0 0 0 0
"3300036886_10" 0 0 0 0 0 0 0 0.566755 2.28295 0 0 0 0.15527467 0.16545281 5.025343 0 0 0 0 0 0 0 0
"20120800_E2X_11" 0 0 0 0 0 0 0 0 0.10090207 0 0.2605581 0 0.1729903 0 2.4998906 0 0 0 0 0.07176758 0 0 0
"20111000_P3M_21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.81692684 0 0 0 0 0 0 0 0
"20130700_E3Z_1" 0 0 0 0 0 0 0 0.619561 1.5213823 0 2.3737047 0 0.2223605 0.25213265 46.825417 0 0 0 0 0 0 0 0
"20110700_P2D_9" 0 0 0.07463894 0 0 0 0 0 0 0 0 0 0 0 0.05591827 0 0 0 0 0 0 0 0
"20130700_E3Z_5" 0 0.06077959 0 0.05725002 0 0.06206534 0.055761725 0.13343781 1.0164578 0 0.1597968 0 0.296813 0.46933803 10.017861 0.08474105 0.06656741 0 0.06002712 0 0.075955555 0 0.12865578
"20120500_P25_12" 0 0 0 0 0 0 0 0 0.079553336 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_119" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08262391 0 0 0 0 0 0 0 0
"20130700_E3Z_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37059748 0 0 0 0 0 0 0 0
"20120700_P3D_46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23921825 0 0 0 0 0 0 0 0
"20110800_P1M_19" 0 0 0 0 0 0 0 0 0 0 1.1603066 0 0 0 0.6885711 0 0 0 0 0 0 0 0
"20111000_P3M_9" 0 0 0 0 0 0 0 0 0.0865962 0 0 0 0 0 0.78794336 0 0 0 0 0 0 0 0
