"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"3300036913_19" 0 0.20363747 3.483845 0 0.083034985 6.5777917 0.137526 0.20663448 1.9748458 0.16036089 3.2751641 0.73029536 0.14469373 6.5749674 1.1210469 0 5.3144193 0.38646117 0.48064566 1.54217 0 0 0 0.4926204 0.18993978 0.18978772 0.15673937 0.3787162 3.043157 0 0 0 0 0.0988291 0.3127568 0 0.08147152 0.1788095 2.9293118 2.20552 0.2596255 7.2166057 10.072299 0 0.08958117 1.7641203 5.146102 0 1.4222245 6.266789 13.2433605 0 1.8225237 9.898127 0.37655923 1.965428 5.714969 0 0.24004453 7.9142056
"20100900_E1D_13" 0.6420761 1.8975437 0.46788368 0.9495764 0.54265666 14.462893 0.2138063 0.20017792 8.901524 0.056663238 0.30034888 2.9922462 1.1010686 15.661102 0.99283934 0.061540995 9.445176 2.2795358 1.8886524 9.800069 0.21160723 0.073057234 0.16910504 0.8624925 1.156166 0.0686024 0.092489965 1.0768548 4.7867055 0 0 0 0 0 0 0 0.088943236 0 25.796198 0.8315719 0.33428666 4.1032124 4.164736 0 0.15073268 0.08745007 0.21644986 0.07330076 0.71264267 5.4078236 7.0132265 0 2.5858166 14.166104 0.24492666 0.2803126 0.396618 0.19709049 1.9336941 8.65912
"20130700_C1D_16" 0 0 0.69537103 0.106449746 0.060311478 2.5531309 0 0.062393554 1.9299877 0.0601928 0 1.4581894 0.19407493 9.93195 0.059054945 0 3.9245353 0.3405375 0.26672426 1.3631499 0 0 0 0 0.17025235 0 0 0 7.684391 0 0 0 0 0 4.429448 0 0 0 3.4256263 0 0 0.24732453 0.09817454 0 0 0 0 0 0 0.101992026 1.0624305 0 0.07979346 1.1624149 0 0.09064211 0.08989361 0 0.17502914 1.0569432
"3300037224_12" 0 0 0.22236736 0 0 0.34041485 0 0 0.16844803 0 8.847088 0 0 2.3189647 0 0 1.1826867 0 0 0 0 0 0 0 0 0 0 0 0.5206168 0 0 0 0 0 0.37195665 0 0 0 0.2637936 0.07572907 0 0.47814247 0.25287175 0 0 0 0.57538855 0 0 0.25940546 0.60187423 0 0.12360418 0.28076422 0 0 0.08448606 0 0 0.9414227
"3300037105_13" 0 0.5670437 3.6631005 0.12826997 0.2008459 2.880439 0.10020164 1.2219378 2.0251555 2.3271344 0.16077816 0.5073495 0.13100274 9.385697 0.45442793 0 6.6860538 0.4766355 1.4802221 0.63309467 0 0 0 0.6394911 1.6469002 0 0.07674441 0.86005 1.1871542 0 0 0 0 0 0.195314 0.119816884 0 0 1.6018023 4.031345 0.2286867 7.8550344 7.0368247 0 0.38636708 1.0582899 3.373883 0 0.17392412 4.146859 3.2226713 0 7.6751056 6.942763 0.38161913 1.1601281 4.207091 0 0.8947464 3.921407
"3300037109_9" 0.06434055 0 0.1739279 0 0 0.18328981 0 0 0 0 0.4770337 0 0 0 0 0 0 0 0 0.32417008 0 0 0 0 0 0 0 0.10794119 0 0 0 0 0 0 0 0 0 0 0.48061123 0 0.21618973 0 0 0 0 0 0 0 0.073076256 0 0 0 0.14392187 0 0.06622468 0 0 0 0 0
"20130700_C1D_8" 0.23848644 0.35561585 0.09691806 0 0 2.7724857 0.62999004 0.18306214 1.93617 1.4056122 0 0.5725104 0.05659471 3.417787 0.22440967 0 2.0785112 0.2376229 0.46795496 0.7564654 0 0 0 0.39162874 0 0 0 0.19522057 1.1764752 0 0 0 0.9230078 0.16559367 0 0 0.20186909 0 3.2056696 0.50787765 0.8681364 0.8635207 0.3796943 0 0.19011852 0 0.09363594 0 0 0.7757336 1.3347304 0 0.8748722 1.399051 2.6878908 0 0.0639134 0 0 1.7644428
"20150700_E14_4" 0 0 0.21258156 0 0.06574873 0.3666181 0 0 0.17745732 0.072197326 0.49018884 0.08607176 0.08634827 0.3755993 0 0 0.24825318 0.109619364 0.12501758 0.13991097 0 0 0 0 0 0 0 0 0.072630845 0 0 0 0 0 0.20814382 0 0 0 0.2968815 0.119637266 0 0.109933935 0.08605541 0 0 0 0.063098885 0 0.09038041 0.14563882 0.14280182 0 0.08756003 0.13325886 0.087840766 0 0.060884804 0 0 0.22207433
"20160700_S11_6" 0 0.077483945 0 0 0 0.09350385 0 0 0.13013957 0 0 0 0 0.12960932 0 0 0.18344878 0 0 0 0 0 0 0 0 0 0 0 0.10615176 0 0 0 0 0 0 0 0 0 0.09051354 0 0 0.09370166 0 0 0 0 0 0 0 0.08302536 0 0 0.085665345 0.1865685 0 0 0 0 0 0.32798088
"20130700_S2Y_8" 0.11951544 0.27429917 1.3663378 0.46484855 1.0234727 2.0590973 0.27254346 0.337076 1.0341876 0.26151088 3.6447241 0.48342082 0.33284295 1.4863509 0.72562075 0.16141576 1.3408217 0.45122543 0.54472715 0.74763644 1.1686009 1.814173 0.08570715 0.23851264 0.1613576 0.7062739 0.97298986 0.29754052 0.6952427 0.4059826 0.43876973 0.7831503 0.06716764 0.21177138 0.945364 2.2240832 0.08539335 0.34097922 1.37156 0.7712783 0.2754074 1.8033755 1.4913123 0 0.27129313 0.47994423 1.3531688 0.0785722 0.75580233 1.3120601 3.245743 0 0.80750406 2.264221 0.31710678 0.85593784 0.6832976 0.09428713 0.31752855 1.2731965
"3300036929_5" 2.2984595 4.2259855 19.775566 0.395719 1.3446963 25.624847 3.547472 3.7187848 11.311938 2.7433937 12.472789 5.0492554 1.1808307 29.97876 5.4267454 1.4454317 24.56049 5.1686306 6.606959 8.430489 0.7095234 0.43504596 1.4305136 8.2073145 3.5300488 1.6412345 1.4334995 4.7889414 12.400429 0.21821271 0.14328256 0.15621327 0.74819 2.3493576 6.723573 0.96631455 0.68524426 1.4060962 16.95661 15.189254 3.69657 31.662771 24.511742 0 2.943384 15.026417 19.54535 0.31407157 7.823459 16.685017 28.912203 0 22.82293 23.454536 4.9014716 8.43946 13.347521 0.63775885 5.164896 18.580688
"20110600_S1D_11" 0.40445864 0.8973815 4.3910074 0.23121035 0.62966967 3.2367425 0.88263035 0.7658527 4.6626844 0.79907244 11.423197 1.1657208 0.32353193 5.1994934 1.4458308 0.3500864 5.3720765 2.1772144 2.804487 3.4799774 0.6797121 0.49387476 0.24858905 1.0830431 1.0325487 0.60443765 0.6144058 0.9018468 2.9819613 0.18419056 0.20695499 0.19635463 0.39601132 1.0913209 9.384839 1.5685397 0.26375124 0.7276409 11.70248 3.111852 0.74291664 5.367298 4.0237045 0 0.5172786 1.6261398 3.9870493 0.0726559 2.7585895 3.980064 5.2164836 0 4.2243996 5.1827927 0.81410563 1.3430766 2.0851529 0.15114005 1.1793725 4.161505
"20150700_E14_13" 0.219678 0.28159234 0.97727233 0 0.15707977 1.1067083 0.4168579 0.27960038 0.8680071 0.5571494 1.8790382 0.27816027 0.10738554 1.3250344 0.34410983 0.13822721 1.1962839 0.47208503 0.59239703 0.6270022 0.071706794 0 0.113607235 0.42344823 0.22169176 0.13551237 0.08586413 0.2745158 0.57919496 0 0 0 0.33138067 0.80360055 2.23659 0.19084096 0.06521653 0.18468526 1.3350072 0.60970455 0.2695053 0.90810585 0.7578811 0 0.23054579 0.4154315 1.0574638 0 0.5959397 0.8900495 0.99912405 0 1.0556319 1.0060023 0.39712977 0.49176648 0.72215325 0.062090583 0.37485635 0.9632638
