"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120800_E2X_5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.3581777 22.074717 0 0 0 0 2.009267 0 0 4.8342695 9.334716 13.369188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E2D_6" 0 0 0 0 0.061537728 0 0.09322233 0 0 0 0 0.083948776 0 0 0 0 0 0 0 0 1.1492436 7.115727 0 0 0 0 2.4641042 0 0 1.2990131 2.378733 3.172919 0 0.06682178 0 0 0 0 0 0 0 0 0 0 0.06121985 0 0 0 0 0 0 0 0 0 0.10805773 0.12573701 0 0 0 0
"20120800_E3X_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5555894 2.758823 0 0 0 0 0.20727941 0 0 1.3127857 1.2742786 4.7180204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120500_P19_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55346084 3.0556254 0 0 0 0 0.5475847 0 0 1.6484905 2.5310507 5.677788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLLH01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.70823604 0.44782436 0 0 0 0 0 0 0 1.6949489 1.6423705 3.1342912 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.100034766 0 0 0 0 0 0 0 0 0 0.06197203 0 0 0
"20110800_E2D_34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.092405505 0 0 0 0 0 0 0 0.2702742 0.0867211 0.05932357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300036886_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.566755 2.28295 0 0 0 0 0 0 0 0.15527467 0.16545281 5.025343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E2D_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.265975 0.5055571 0 0 0 0 0.5648247 0 0 3.787406 2.0343232 3.0145125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLLM01" 0 0.14659657 0.10538632 0.15003651 0.20184289 0.11451219 0.12676883 0.14802618 0.66291887 0 0 0 0.059613857 0.7650859 0.23341133 0.14722301 0.7794952 0 0 0 4.9080825 0.64063656 0.13140202 0 0.17837064 0.5451588 0.80505675 0.07604885 0.44196397 0.8920742 0.24545792 0.11363766 0 0 0 0.098124765 0 0 0.13849232 0.14698261 0.2881128 0.24640088 1.0931367 0 0.14232819 0.1993221 0.8131654 0 0.17461236 0.37162042 1.337612 0 0.23497084 1.0665208 0.44123653 0.911764 0.89410436 0.21954833 0.2319689 0.529287
"20110800_E2D_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4431815 7.2889624 0 0 0 0 4.102311 0 0 5.2476277 5.672896 3.811463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
