"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20140700_E15_15" 0 0 0.2799412 0 0.342902 0.16625088 0 0 0 0.2803412 2.5231626 0.10397657 0 0.07506919 0 0 0 0 0.119730964 0.25808397 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27652085 4.402763 11.361947 0 0.8416844 1.8747838 0.115163304 0 0 0 0 0.17195101 0.11708767 0 0 0.06303785 0 0 0 0 0 0 0 0 0
"20120800_E1D_15" 0.123357624 0.24595787 5.574782 0.25343615 1.0309861 2.7239122 0.4882331 0.78874314 0.95501006 4.2070127 49.10639 0.809182 0.33971143 1.7065742 0.20496014 0 1.211801 2.1839516 2.1529462 5.5058727 3.793044 1.8285248 0 0.058085777 0.10784899 0.12288755 0.8228856 0.3075536 0.4665111 1.3847532 1.9429011 0 0.29945153 0.58082247 16.261604 10.82918 0.41943282 1.6075444 12.66109 0.8034466 0.22948952 0.90026665 0.7548071 0.14250682 2.2313516 2.6220922 0 1.3468902 1.8059051 0.6507812 0.4375167 0.7932497 0.27397737 0.7933499 1.1421446 0 0.14055783 0.6191412
"20130700_C1Y_5" 0 0 0.23596212 0 0.18043728 0.41909936 0 0 0.08649477 0.40972823 1.186644 0.15028083 0.114788234 0.23026998 0 0 0.16715199 0.07185433 0.10744676 0.15242234 0 0 0 0 0 0 0 0 0 0 0 0 0.19951035 0.30308208 0.47963205 0.1514036 0.059666917 0.13952687 0.43665674 0.0694136 0 0 0.05883162 0 0.057254992 0.14191055 0 0.11353683 0.115093604 0 0.108542405 0.0900001 0 0.14067817 0.07034285 0 0 0.104792945
"PLTZ01" 0 0 0.9973973 0 0 0 0.09509499 0.069962785 0.071715206 0.3355927 1.8270566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20097175 0.39378124 1.7858975 0.13598013 0.061044704 0.11862343 1.2850928 0 0 0 0.2308791 0 0.06686 0.08950604 0 0 0 0.06524886 0 0 0 0.075222686 0.29657945 0 0 0
"3300037049_8" 0 0.06387024 0.06357778 0.4709046 0.34151396 0 0 0.14050093 0 0.060052577 3.3269167 0.098232284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.86310226 20.3946 0 0.43148276 0.16945831 0.15112707 0 0 0.056392517 0.1295176 0.21455136 0.24249466 0 0.08099852 0 0 0 0 0 0.52847105 0.1022767 0 0.1311106 0
"20170700_E14_6" 0 0 0 0 0 0.106121585 0 0 0.06989102 0 0.3128966 0 0 0.15270905 0 0 0.10273818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06474529 0.060528263 0 0 0.0873971 0 0 0 0 0 0 0 0 0 0 0 0 0.0568555 0 0 0 0 0 0.08023173
"20120800_E1D_8" 0.10636854 0.24123237 0.8135484 0.25884408 0.5898595 0.6993117 0.24657579 0.24743964 0.83114773 0.24962193 18.075174 0.30940136 0.21532404 1.1014998 0.37190744 0.1106462 1.0551398 0.31993392 0.3611119 0.3753399 3.3907495 1.1358851 0.06657581 0.21472089 0.1549383 1.7583039 3.2327445 0.24209306 0.5301107 0.5575279 0.6955167 0.7721559 0.10527496 0.26099536 1.8476833 69.49417 0.057113897 0.2180395 0.9557518 0.5542968 0.2257195 0.9157362 0.90481937 0.17915334 0.377924 1.9131317 0 0.51943475 0.7523375 1.522906 0.7042645 1.0327821 0.26099393 0.53878504 0.58613473 0.06296209 0.26138055 0.8130382
"20140700_E15_18" 0 0 1.8325801 0 0.5447422 0 0 0.07076236 0 2.087281 6.1483626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.257341 11.145383 0.100737564 1.3067456 0 0.17168617 0 0.12253981 0.0777323 0.1395345 0.96622723 1.7064673 0 0 0 0.32125443 0 0 0 0.20449279 0.0994569 0 0 0
"20140700_E15_1" 0 0 0 0 0.058274034 0 0 0 0 0 0.4135102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24760297 0 0 0 0 0 0.10741897 0.12172492 30.597298 0 0.06328603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C1X_8" 0 0 0 0 0.17471924 0 0 0 0 0 4.741135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13042764 0.18917952 0 0.4070646 0.44647193 0 0 0 0 8.895408 0 0 0 0 0 0 0 0 0 0 0 0.09911761 0 0 0 0 0 0 0 0 0 0
