"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20170700_E15_8" 0 0 0.6574062 0 0.4905573 0.081963204 0 0.12702274 0 0.13160248 4.776157 0 0 0.16921438 0 0.16199553 0.062283833 0.13475639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0215836 1.351605 0 0.09478199 0.07160364 0.260415 0 0.16293293 0.16783369 0.0666822 0.31936127 0.68039 0 0.16294122 0.065787695 0.05954351 0.2623161 0 0 0.30443928 0.3437585 0 0 0
"20130700_C2M_16" 0 0 0 0 0 0 0 0 0 0.09454585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5435569 0.23223516 0 0.13197528 0 0 0 0 0 0 0 0.057072125 0 0 0 0 0 0 0 0 0 0 0 0
"20160700_E25_7" 0 0 0.085583955 0 0.44707566 0 0 0 0 0.7308657 0 0.2127761 0 0 0 0 0 0.5411345 0 0 0 0 0 0 0 0 0 0 0 0 0.083016515 0.71952426 2.965394 0.20545363 0 1.0575925 0.066494696 0.064481996 0 0.07503105 0 0.060781367 0 0 0 0.09847049 0 0 0.09923406 0 0 0.40883437 0.14150588 0 0 0
"PLTK01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23320644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_S23_3" 0 0.37464508 1.1643416 0 2.820627 0.11296366 0 0 0 0.1689956 0.19374228 0.11118892 0 0.13095552 0 0.072050475 0.39356014 0.32191825 0.20589675 0 0 0 0 0 0 0.12988867 0.11099225 0 0 0 0 0 4.05529 0.21067731 0 2.4007623 0.7310816 0.50751424 0 0.54489803 0.7187367 0 0.1570397 0.1540821 0 0.92270976 0.2689117 1.5123149 0.52537245 0 0 0 0.55652505 0 0.14661606 0
"20140700_S11_7" 0.16963486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4465105 0 0 0 0 0 0 0 0 0 0 0.07947485 0 0 0 0 0.2300128 0 0 0 0 0.113652594 0 0 0 0 0 0 0 0 0 0.21506196 0 0 0
"3300037132_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.696244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2M_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLTZ01" 0 0 0.9973973 0 0 0 0.09509499 0.069962785 0.071715206 0.3355927 1.8270566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20097175 0.39378124 1.7858975 0.13598013 0.061044704 0.11862343 1.2850928 0 0 0 0.2308791 0 0.06686 0.08950604 0 0 0 0.06524886 0 0 0 0.075222686 0.29657945 0 0 0
"20120800_E1D_21" 0.10490302 0.18750134 0.35459498 0.12454035 0.50215626 0.23081425 0.1762529 0.29009482 0.17106679 0.33021206 0.6942633 0.1346697 0.22202739 0.26041734 0.12024748 0.1795684 0.2840641 0.30114684 0.14630598 0.54970694 0.88901967 0.11685069 0.16748287 0.1384156 1.591862 0.15360984 0 0.6663871 1.2777847 0.44104582 0 0.14625692 1.4045038 2.5157468 0.0754755 0.36756703 0.3798713 0.2956925 0.15194865 0.30955863 0.22265404 0.39095697 0.31856078 0.18769982 0.07046698 0.22447865 0.17703606 0.116687894 0.15867878 0.13797386 0.1801249 0.25956038 0.28792253 0.13215724 0.25509033 0.14601566
"20120700_S1D_61" 0.06273971 0 0 0.07434231 0.12592411 0.0915022 0 0 0 0 0.08936571 0.08572823 0.24451464 0.13986012 0.06085713 0.06871166 0.06424034 0 0 0.15119892 0 0 0 0 0.19395262 0 0 0.16450913 0.11435118 0 0 0 0.28602865 0.43953326 0 0 0.16960445 0.089460835 0.06364674 0.09052036 0.05676739 0.11509026 0.101580255 0 0 0.059713446 0 0 0 0 0.12149829 0.057937685 0.07264477 0.099444665 0 0
"20120700_S1D_77" 0 0 0 0 0.065424964 0.14721872 0 0 0.06778422 0.057618167 0 0 0 0.17294666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06871855 1.2121658 0.42072517 0 0 0.85241205 0.21305062 0 0.19657539 0 0 0 0 0 0 0 0 0 0 0 0.077294834 0.1397115 0 0 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.32_99.32_2.03" 0 0 0 0 0 0 0 0 0 0.09953963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.59072715 0.29145318 0 0 0.090075135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20170700_S35_19" 0 0.10671135 0.59048617 0.14993292 1.2418659 0 0.2835303 0.55552286 0.059689026 1.4269731 0.57913685 0.24795607 0.13824038 0.05807681 0 0.068092585 0.14091177 0.5797569 0.12306982 0 0 0 0 0 0.114693776 0.12372832 0 0 0 0.055898856 1.1110154 3.3234096 6.439328 2.0503314 0.22999597 2.249115 0.19039351 0.38515985 0 0 0.11357923 0.3910825 0.4120762 0.5041743 0 0.4360069 0.073236436 0 0.09050665 0 0.07122461 0.61288685 0.44202265 0 0 0
"3300037185_7" 0 0 0 0 0 0 0 0 0 0 0.51063067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24317157 0.29914242 0.626899 0.43827677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_102" 0 0 0 0 0.1978655 0 0 0 0 0.10901909 0.07889148 0 0 0 0 0 0 0 0 0 0.14318694 0 0 0 0.17316864 0 0 0 0.06935491 0 0.06454216 0.25452083 1.6337297 0.45814824 0 0.1355099 0 0 0 0 0 0 0.088210545 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120600_E1D_6" 0 0 0.28630722 0 0.6475296 0 0 0 0 2.469482 0.19650121 0.23411708 0 0 0 0 0.06262093 0.8912938 0.05729677 0 0 0 0 0 0 0 0 0 0 0 0.089931294 1.867961 6.065524 1.2198168 0 9.030535 0.15631878 0.5942278 0 0.07840773 0 0.8940533 0.6255167 0.30258432 0 0.25853303 0 0 0 0 0 1.1122382 0.34788263 0 0 0
"20130700_C1Y_13" 0 0 0.18803857 0 0.0678466 0.16033903 0 0 0.11029011 0.08138663 1.5236678 0 0 0.1757117 0 0.15907721 0.099642225 0.14457656 0.14670809 0 0.48689407 0 0 0 0.19864114 0 0 0.07534113 0.08871801 0 0.24742389 1.9485356 3.5652921 0.79547596 0 0.6951159 0.5542244 0.107265055 0 0.104667686 0.07550349 0 0.08847446 0.13395967 0 0.1160726 0.18261975 0.09533462 0.10067841 0.20496604 0 0 0.1131318 0 0 0.1960156
"20140700_S12_11" 0 0.33466247 1.8366796 0.6229957 2.4697878 1.6929473 0.071867764 0.8352328 0.5087164 2.273668 8.884264 0.2873654 0.082070574 0.6389065 0 0.38161215 0.43688518 0.5786123 0.7838108 0.62853354 0.2151498 0 0 0 0.4269937 0.21003209 0 0.51492894 0.44709462 0 0.24852802 1.8501219 25.935297 9.697296 0.18485883 3.3121574 2.5462992 1.1787746 0 0.61298406 0.90760064 0.41276968 2.8810303 0.77593434 0 1.329089 0.480779 0.82477283 0.5353858 0.18574451 0 0.7990654 0.7961792 0 0.17718092 0
"20120700_P3D_101" 0.12108255 0 0 0 0 0 0 0 0 0.09746726 0.6185086 0 0 0 0 0 0 0 0 0.3672138 0.28203657 0 0 0 0.08149723 0 0 0.73951715 0.85674864 0.0968822 0 0.103071034 1.0853028 0.8422828 0 0.08560032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.126_96.49_2.19" 0 0 0.06398379 0 0.57174945 0 0 0 0.064675145 0.22615527 0.8913393 0 0 0 0 0 0.1563585 0.20515728 0 0 0 0 0 0 0 0.09156525 0 0 0 0 0.06447253 0 3.296415 1.9064857 0 0.28846204 0 0.063916825 0 0.06962371 0 0 0.32924038 0 0 0.23557791 0 0 0.11781304 0 0 0 0 0 0.06739658 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86" 0 0 0.06672316 0.10888226 0.4621381 0 0 0.17776966 0 0.3382254 0.1945759 0.109395795 0.14604731 0 0 0 0.16685311 0.22142696 0 0 0 0 0 0 0 0 0 0 0 0 0.13904902 0.36673045 2.7630858 0.69048697 0.07957717 0.5230929 0.0996204 0.07425325 0 0 0 0.21907695 0.25473395 0.10532971 0 0 0 0 0 0 0 0.23749407 0.06380713 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.277_97.34_4.31" 0 0 0 0 0 0 0 0 0 0 0.06279003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4764484 0.4395726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120600_S2D_6" 0.06654343 0.46462175 1.1050736 0.15882947 4.948535 0.5052984 0.058846552 0.8545083 0.40666094 6.3569856 0.765023 0.26377016 0.09745515 1.075217 0 0.6457442 1.200258 2.173765 0.43631384 0 0.12435982 0 0.08329133 0.17692284 0.8759983 1.0983139 0.1307531 0.3141169 0.28336355 1.0439457 0.2155555 2.6012635 7.546741 1.2388994 0.12304852 1.9562209 1.4855577 1.4312271 0 2.4173083 0.73675644 0.87462735 1.176892 0.6243312 0 1.2394313 0.9314251 0.8044504 0.3690748 0.6069575 0.27322507 2.7705956 1.4787205 0 0.31039047 0.14212295
"20160700_E25_11" 0 0 0 0 0 0 0 0 0 0.12741797 0.14075433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09527603 1.0552835 10.846601 1.4403322 0 0.2808464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_79" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_63" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19593748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C2X_10" 0 0 0 0 0 0.19544685 0 0 0 0 1.1531962 0 0 0 0 0 0 0 0.0797275 0 0 0 0 0 0 0 0 0 0 0 0.32084212 0.31570044 1.4081775 0 0 0 0.55478024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037359_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29023334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037196_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.78_85.95_1.00" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17521872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLSL01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_27" 0 0.27018 0.12614328 0 0.2338789 0.07744623 0 0.06749266 0.11063713 0.19584566 0 0 0 0.063909315 0 0 0.4414127 0.55771834 0.43524635 0 0 0 0 0 0 0.06835547 0 0 0 0 0 0.08758215 0.5361485 0.20513484 0 0.12224826 0.45190954 0.098001346 0 0 0 0 0 0 0 0.083195515 0.059745055 0 0.14280783 0 0 0.09775092 0.056336533 0 0.16323602 0
"20120700_S1D_31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.058470514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fen.Labelled.R2.T3.F4.trimmomatic.metaspades_bin.73_90.14_2.82" 0 0 0 0 0 0 0 0.117632695 0 0.86914074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2438509 0.1290654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24924137 0 0 0 0
"20170700_S35_4" 0.10410026 0.13723232 0 0 0.106787086 0 0.089249395 0.16433206 0.06760148 0.7013648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08648228 0 0 0 0 0 0.10705461 0.4378705 0 0 0 0 0.24214941 0 0.084938295 0 0 0 0 0 0.07334022 0 0 0.059612203 0 0.29057953 1.0608277 0 0 0.10116196 0
"PLSW01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_99.00_0.81" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
