"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120800_E3X_29" 0 0 0.20884939 0.117128186 0.30520684 0.37934256 0.3534511 0.12531713 0.122218475 0.28958258 0.27619335 0 0 0.5005617 0.5114303 0.07379869 0.40835136 0 0 0 3.7217612 0.4784195 0 0 0 0.30227906 0.8468162 0 0.07320892 2.4365013 2.52232 2.3465633 0.16854832 0.58977634 0.16410865 0.24944066 0.091913104 0 0.6658101 0.15304106 0.2786554 0.12214359 0.76391816 0 0 0.19697438 0.6589294 0 0.09512409 0.14110756 0.36286405 0 0.09285861 0.43950862 0.05823995 0 0.2277408 0 0.059290778 0.5595669
"20110800_E3D_4" 0 0 0.06370254 0 0 0 0 0 0 0.06444635 0.11015241 0 0 0 0 0 0 0 0 0 1.4522277 9.09558 0 0 0 0 7.7505836 0 0 3.9908543 2.4775176 0.9913046 0 0 0.18129577 0.11125695 0 0 0.0816503 0 0 0 0 0 0.107915685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300038461_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.676995 0 0 0 0 10.476147 0.92660713 0.09413808 0.13609041 1.7803711 2.7175179 0.23472485 0 0 0 0 0 0 0 0 0 0 0.47739598 0 0 0 0.5809332 0 0 0.34480295 1.8309195 0 0 0 0 0 0 0 0 0
"3300037090_15" 0 0 0.38905454 0 0 0.57128954 0 0 0.11340451 0.22849642 1.2228831 0 0 0.7097897 0 0 0.43453377 0 0 0.118189596 9.728305 3.6456864 0 0 0 0.39006877 3.26269 0 0.14373034 6.2023067 7.9906197 6.0597715 0 0.53279185 0.5708224 1.635542 0 0.16119327 0.52514917 0.099657424 0 0.22568677 0.17490235 0 0 0.08928409 0.11637218 0 0.060201544 0.1280338 0.1622165 0 0.079379864 0.24704258 0 0 0.060912706 0 0 0.102812134
"3300038461_16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.109342 0 0 0 0 3.7008488 0.215257 0 0 0.35483778 0.63872254 0.06385783 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037132_13" 0 0 0 0 0.085309856 0 0 0 0 0 0 0 0 0.07279591 0 0 0 0 0.059167564 0 0.8387315 0.098186724 0 0 0 0.3266381 4.2559495 0 0 1.7485812 2.667932 0.12049034 0 0 0 0 0 0 0 0 0 0 0.06361433 0 0 0.07197915 0 0 0 0 0.13236226 0 0 0.05605284 0 0 0 0 0 0
"20110800_E3D_36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4303223 0.07157371 0.09232337 0 0 0 0 0 0 0 0 3.2997494 4.0962715 0 0.093456246 9.586709 0.4427502 0.14924027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.078569785 0 0 0
"20110800_E3D_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8972564 0.48272163 0 0 0 0.1737668 2.4115448 0 0 2.934301 2.4354532 1.0413184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_P3D_99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29289773 0 0 0.18168478 0.22236376 0.060687102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E2D_22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.108496 0 0 0 0 0.77234685 0 0 0 1.1942177 3.555045 0.14414372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31806046 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S3X_18" 0 0 0 0 0 0 0 0 0 0 1.2340177 0 0 0 0 0 0 0 0 0 0.14698157 0 0 0 0 0 0.5223232 0 0 0.2503982 2.5041301 0.111503646 0 0 0 0.8117052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110800_E3D_5" 0 0.10417397 0 0 0.092290744 0.08555728 0 0 0.52385104 0 1.7303771 0 0 0.14970636 0 0 0.12697558 0 0 0.056248195 1.9710644 0.5513417 0 0 0 1.0515323 3.7110841 0.099362604 0 7.0084877 16.641592 1.4764569 0 0 0.09536737 6.2638907 0 0 0.25292426 0 0 0 0 0 0 0 0.44630706 0 0 0.15155761 0.41490787 0 0 0.06117139 0 0 0 0 0 0
"20120700_P3D_55" 0 0 0 0 0 0 0 0.12775743 0 0 0 0 0 0 0 0 0 0 0 0 7.6593256 1.5194542 0 0 0 0.4882181 1.7061878 0 0 10.445263 5.264569 0.7397295 0 0 0 0.09809305 0 0 0 0 0 0 0 0 0.07498014 0 0 0 0 0 0 0 0 0 0 0.06425206 0.0687793 0 0 0
"20120700_P3D_84" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.077794775 1.0841615 0 0 0 0 5.076278 0 0 0.19027667 0.27611735 0.7364977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
