"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"PMEE01" 4.11241 16.941383 42.799927 6.933716 44.24431 23.577297 8.637195 13.653297 14.917534 26.519356 16.57203 5.66198 3.2184749 27.440407 2.261862 1.0574328 15.000311 26.19443 23.229765 11.842339 4.042625 0.62396187 1.306269 2.1614325 5.370403 2.197442 5.3987756 11.896627 3.188623 8.138057 8.833525 1.067156 0.5353937 6.1754518 43.75633 14.491461 1.5665694 12.412464 25.127602 17.950602 1.8713129 53.5416 12.77625 0.67241776 10.557987 10.2141075 12.898164 1.317452 18.150023 28.025433 25.569117 0.7141804 17.783772 7.942848 5.778528 18.225676 17.510687 1.2265892 6.5934997 10.431831
"PMNG01" 1.5004817 4.0416565 2.932596 3.3901756 3.9355254 1.0414423 2.8272848 4.170179 3.3716018 2.0366583 0.5820214 0.8379837 0.68503016 4.0369105 0.75364155 1.2064472 4.6258817 1.041722 1.6002338 0.26938912 0.18258357 0 1.1041766 2.215466 3.0761704 0.55261457 0.123836055 2.1480086 1.2060841 0.13511416 0.079746224 0 0 0.32475913 4.3588886 1.8003923 0 0.063693725 0.21161784 6.299407 1.7509824 5.2985077 4.441882 0.13064118 2.9083009 4.425372 3.7634404 0.79053336 3.3528297 3.9698863 3.1961238 0.35106796 5.14631 4.282833 2.8159683 7.206364 5.3855186 0.980055 3.3832517 1.8536901
"PMLO01" 0.6242942 0.75190884 0 0 2.6470292 0 0.119187556 1.1801028 0 4.4738827 0 0.15802738 0 0 0 0 0 0.38801563 0.7827857 0 0 0 0.058205478 0.06973425 0.20553753 0 0 0.918695 0 0 0 0 0.176188 1.1644896 2.4257185 0 0 0.23335716 0 1.4122503 0.09369895 0.14799774 0 0 0.61847484 0.07326748 0 0 0.14651991 0 0 0.080904 0.52923065 0 0.5091504 4.234567 0.47750467 0.1202057 0.59753823 0
"20120600_E1D_25" 0 0 0 0 0 0 0.15250503 0 0.058819775 1.3955525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16767585 0 0 0 0 0 0.43100545 0 0.32548302 0 0 0 0 0 0 0.16423883 0.078928374 0 0 0.1804975 0 0.9212098 0.17924355 0 0 0.07528621 0
"20120600_E2D_33" 0.91672605 4.3678527 3.5821767 0.96389556 16.950617 2.433945 0.53011763 4.420345 1.3738395 13.577609 0.58722776 1.1147435 0.4775678 3.1514747 0.08816528 0.06484786 1.3214918 2.4410305 4.3420453 2.04995 0 0 0.28802353 1.4091125 1.1318672 0 0 2.505562 0.079152256 0 0 0 0.07284057 1.4964582 14.450134 0.9963492 0.13906217 1.3501624 2.5938187 8.578073 0.32391107 3.165206 0.9299535 0 5.2069044 2.34874 0.4909513 0 1.8221468 0.6688416 0 0 3.64788 0.09005656 0.6425032 3.3304222 1.9155545 0.13364998 2.960364 0
"20120600_E2D_24" 0.8999652 1.9761401 2.382477 2.0932624 6.694979 1.4526033 1.4962952 2.6012223 1.9589379 2.1603525 0.29789382 0.8482742 0.80232525 1.7152163 0.120062135 0.12765263 1.229003 1.9950761 2.8463154 0.8865412 0.14620143 0.14985341 0.2993197 0.34113103 1.266334 0.060717523 0.1233331 2.872107 0.6457251 0.24094741 0.29393473 0.0786855 0.53940856 1.3795874 8.019668 1.8060873 0.3712679 1.2066655 1.6619047 4.1592402 0.76638895 3.6767566 1.2262331 0 2.1204586 3.8477674 1.5448786 0.24560545 2.4795187 3.1678731 1.384015 0 2.5170093 1.5998689 1.5260575 4.6832476 3.51604 0.17960182 2.0704978 0.65413904
"20120600_E3D_49" 0.5774094 2.0120146 2.2302046 0.71926445 2.14753 1.4098393 1.2366136 1.5716114 2.03373 1.5899562 0.83405805 0.4948133 0.47539 1.5953834 0.179791 0.11185784 1.6499146 1.0127726 1.2957448 0.644525 0 0 0.13613625 0.5364813 0.9749653 0 0 1.404693 0.63437086 0 0 0 0.1882802 1.2734895 3.2784119 1.2698725 0.084192 0.2737651 0.516764 2.04842 0.5432096 3.059056 1.7524225 0.06296207 1.0027438 1.3168052 1.3183677 0.19901869 1.3567805 1.6345583 1.171381 0 2.4500585 1.803695 1.2273273 1.8860607 1.7900362 0.18492952 1.3107605 1.0028558
"20120600_E3D_20" 1.2568333 2.6647663 4.6078806 0.83587784 1.5473601 2.7860851 4.0684705 2.8455567 3.5680869 2.6784234 1.4693915 1.1670859 0.72524124 3.8266368 0.58707446 0.840562 3.3537767 2.16821 2.7418847 2.0184987 0.16037717 0 0.48395896 1.0029271 1.4216288 0.22456403 0.061377686 1.3200444 1.0597535 0 0 0 0.3725361 3.299774 6.5678415 0.64173126 0.48508695 0.2595965 4.112935 3.2468812 4.268172 4.2642508 2.8170216 0.11797651 2.3791628 2.0591283 3.0367224 0.380164 2.3646035 4.7964187 2.5339355 0.060887616 3.203702 3.1830986 3.6265547 2.5987856 3.048184 0.6404128 1.6948304 1.3357339
"20100900_E3D_12" 2.0270252 6.603494 6.4630704 2.7378166 4.737715 4.913419 1.1767399 4.413826 6.9126987 7.875698 2.1147556 2.461816 0.65623236 11.325225 1.3413174 0.33892044 9.634027 2.2959433 3.389628 2.464578 1.5259163 1.4275165 0.65184504 1.7561 4.1311793 0.20846884 0.5125803 4.04433 3.0852838 0.51566035 0.64911485 0 0.63326186 2.531262 33.44156 1.467705 0.3455697 8.221276 13.923837 4.922106 0.7413379 6.435206 3.6873188 0.07383902 3.2407572 5.7842884 8.867791 0.50340414 5.5893636 5.9577913 8.434196 0.14412242 5.5462966 9.761505 0.46424222 12.049901 6.01746 0.57791376 5.58537 9.170043
"20120600_E2D_16" 0.062149942 1.4886237 5.1534615 3.1548223 5.902113 4.28038 0.4867463 0.8601857 2.3384783 0.72969747 1.0813727 0.9346173 1.4613419 3.8558135 0.13107564 0 1.9328016 2.098224 1.9905937 1.692941 0 0.27451107 0 0.057850517 0.8553992 0 0.2569156 1.8568681 0.40155876 0.33378816 0.22658394 0.058733687 0 0 1.0049342 2.6829545 0 0 3.5481122 4.475014 1.1669034 4.5674763 3.056442 0 3.1463795 3.3964708 1.6980071 0.24669152 2.9169078 3.6909919 2.3328416 0 1.9802647 0.85691255 2.3530643 1.7892147 1.3277973 0 0.60147905 0.22022367
