RCBC,site1,site2
-0.5718,101,110
0.354,101,109
0.193,101,108
-0.122,101,107
-1,101,106
-0.9154,101,105
-0.9434,101,104
-0.933,101,103
-0.9998,101,102
-0.934,100,118
-1,100,117
-0.8032,100,116
-0.9598,100,115
-1,100,114
0.0319,100,113
-1,100,112
-1,100,111
-0.8006,100,110
-1,100,109
-1,100,108
-1,100,107
-0.8582,100,106
0.097,100,105
-0.7794,100,104
0.0337000000000001,100,103
-0.9272,100,102
-0.9372,100,101
-1,99,118
0.0274000000000001,99,117
-1,99,116
-1,99,115
0.0304,99,114
-0.9662,99,113
0.4689,99,112
0.308,99,111
0.2653,99,110
0.5504,99,109
0.4941,99,108
0.4128,99,107
-1,99,106
-0.9684,99,105
-1,99,104
-0.9662,99,103
-1,99,102
-1,99,101
0.0283,99,100
-1,98,118
0.0296000000000001,98,117
-0.9534,98,116
-0.9542,98,115
0.0324,98,114
-0.9652,98,113
0.4675,98,112
0.317,98,111
0.2679,98,110
0.5457,98,109
0.4998,98,108
0.4094,98,107
-1,98,106
-0.9712,98,105
-1,98,104
-0.964,98,103
-0.981,98,102
-0.973,98,101
0.0317000000000001,98,100
-0.9712,98,99
0.7778,97,118
-1,97,117
0.8306,97,116
0.283,97,115
-1,97,114
0.574,97,113
-0.972,97,112
-0.9884,97,111
-0.6294,97,110
-0.9728,97,109
-0.9264,97,108
-0.818,97,107
0.9434,97,106
0.7118,97,105
0.8896,97,104
0.5711,97,103
0.6094,97,102
0.4264,97,101
-1,97,100
0.5818,97,99
0.5798,97,98
0.000199999999999978,96,118
-1,96,117
0.3342,96,116
-0.2682,96,115
-1,96,114
0.3914,96,113
-0.9986,96,112
-1,96,111
-0.8328,96,110
-0.881,96,109
-0.8162,96,108
-0.8812,96,107
0.4468,96,106
0.2632,96,105
0.4838,96,104
0.383,96,103
-0.0192,96,102
-0.1498,96,101
-1,96,100
0.3892,96,99
0.3885,96,98
-1,96,97
0.2625,95,118
0.0631999999999999,95,117
0.1236,95,116
0.0962000000000001,95,115
0.0605,95,114
0.0302,95,113
