RCBC,site1,site2
-0.9996,101,126
-0.9992,101,125
-0.9958,101,124
-1,101,123
-0.9984,101,122
-0.707,101,121
0.746,101,120
0.616,101,119
0.8918,101,118
0.967,101,117
0.8434,101,116
0.1174,101,115
0.9416,101,114
0.3282,101,113
0.302,101,112
0.3246,101,111
-0.1866,101,110
0.3152,101,109
0.4436,101,108
0.3254,101,107
0.3153,101,106
-0.9232,101,105
-0.9782,101,104
-0.8316,101,103
-0.9998,101,102
0.222,100,163
-1,100,162
-1,100,161
-1,100,160
-1,100,159
-1,100,158
0.0834999999999999,100,157
0.0336000000000001,100,156
0.0329999999999999,100,155
0.0178,100,154
0.107,100,153
0.0179,100,152
-1,100,151
-1,100,150
-0.9682,100,149
-1,100,148
-0.955,100,147
-0.976,100,146
0.2548,100,145
-1,100,144
-1,100,143
-1,100,142
-1,100,141
-1,100,140
0.1918,100,139
-1,100,138
-1,100,137
-1,100,136
0.1585,100,135
0.0904,100,134
0.0345,100,133
0.0205,100,132
0.3321,100,131
0.0556000000000001,100,130
0.0187999999999999,100,129
0.0506,100,128
0.0672999999999999,100,127
-1,100,126
-1,100,125
-1,100,124
-1,100,123
-1,100,122
-0.9642,100,121
-1,100,120
-1,100,119
-1,100,118
-1,100,117
0.5781,100,116
-1,100,115
-1,100,114
-1,100,113
-0.5884,100,112
0.0353000000000001,100,111
0.177,100,110
0.0365,100,109
0.0563,100,108
0.0351999999999999,100,107
0.036,100,106
-1,100,105
-1,100,104
-0.9838,100,103
-1,100,102
-1,100,101
0.9368,99,163
0.0185999999999999,99,162
-0.1022,99,161
0.9662,99,160
-0.273,99,159
-1,99,158
-0.2958,99,157
-0.8244,99,156
0.345,99,155
0.1877,99,154
-0.099,99,153
0.1967,99,152
-0.9052,99,151
-0.906,99,150
-0.764,99,149
-0.9984,99,148
-0.9198,99,147
-0.8488,99,146
0.9532,99,145
0.808,99,144
0.7708,99,143
0.6638,99,142
-0.1886,99,141
0.6848,99,140
-0.2982,99,139
0.9592,99,138
-1,99,137
-0.1324,99,136
-0.3912,99,135
0.0102,99,134
-0.8136,99,133
0.1854,99,132
0.94,99,131
0.4835,99,130
0.2009,99,129
0.4797,99,128
0.5794,99,127
-0.9006,99,126
-0.9906,99,125
-0.905,99,124
-0.9856,99,123
-0.9992,99,122
-0.695,99,121
0.6458,99,120
0.0992,99,119
0.8196,99,118
0.787,99,117
0.6696,99,116
-0.1492,99,115
0.829,99,114
0.137,99,113
0.3506,99,112
0.3513,99,111
-0.1164,99,110
0.3472,99,109
0.4823,99,108
0.3435,99,107
0.3541,99,106
-0.9704,99,105
-0.984,99,104
-1,99,103
-0.9848,99,102
-0.9972,99,101
-0.892,99,100
0.9688,98,163
0.9998,98,162
1,98,161
0.9958,98,160
0.6768,98,159
0.9402,98,158
-1,98,157
0.981,98,156
-1,98,155
0.8104,98,154
0.9014,98,153
0.9078,98,152
-1,98,151
-1,98,150
0.8874,98,149
-1,98,148
-1,98,147
-1,98,146
0.8728,98,145
1,98,144
1,98,143
0.9912,98,142
0.8752,98,141
0.9994,98,140
0.8654,98,139
1,98,138
0.9988,98,137
0.9656,98,136
0.9998,98,135
-1,98,134
0.959,98,133
0.8824,98,132
0.9956,98,131
-1,98,130
0.885,98,129
-1,98,128
-1,98,127
-1,98,126
0.546,98,125
0.8174,98,124
0.9884,98,123
0.9786,98,122
0.929,98,121
0.9914,98,120
0.984,98,119
0.8658,98,118
0.996,98,117
0.893,98,116
0.9984,98,115
0.9712,98,114
0.9964,98,113
0.995,98,112
-1,98,111
0.9598,98,110
-1,98,109
0.846,98,108
0.9816,98,107
-1,98,106
0.885,98,105
0.7518,98,104
-1,98,103
0.9562,98,102
0.986,98,101
0.476,98,100
0.9756,98,99
0.9956,97,163
0.994,97,162
1,97,161
1,97,160
0.9998,97,159
0.9852,97,158
-1,97,157
0.9768,97,156
0.9428,97,155
0.8974,97,154
0.8868,97,153
0.9252,97,152
-1,97,151
-1,97,150
0.9178,97,149
-1,97,148
-1,97,147
-1,97,146
0.995,97,145
1,97,144
1,97,143
1,97,142
1,97,141
0.9918,97,140
0.9528,97,139
1,97,138
1,97,137
0.9984,97,136
0.9998,97,135
0.9542,97,134
0.9646,97,133
0.9192,97,132
0.7302,97,131
0.9762,97,130
0.9184,97,129
0.9864,97,128
0.9932,97,127
-1,97,126
-1,97,125
-1,97,124
0.979,97,123
0.9674,97,122
0.9298,97,121
0.997,97,120
0.9958,97,119
0.9826,97,118
0.991,97,117
0.599,97,116
0.9994,97,115
0.9768,97,114
0.9688,97,113
-1,97,112
-1,97,111
0.9882,97,110
-1,97,109
0.858,97,108
0.96,97,107
-1,97,106
0.947,105,163
0.7794,105,162
0.2928,105,161
0.7664,105,160
-1,105,159
-1,105,158
-0.671,105,157
-0.5624,105,156
0.4263,105,155
0.2416,105,154
0.1552,105,153
0.233,105,152
-0.9712,105,151
-0.9244,105,150
-0.6426,105,149
-0.9956,105,148
-0.7918,105,147
-0.7442,105,146
0.9644,105,145
0.9394,105,144
0.962,105,143
-0.0466,105,142
0.6914,105,141
0.58,105,140
-0.7004,105,139
0.88,105,138
0.6844,105,137
-1,105,136
-0.2006,105,135
0.286,105,134
-0.5548,105,133
0.2367,105,132
0.3862,105,131
0.5739,105,130
0.2437,105,129
0.5763,105,128
0.6809,105,127
-0.9014,105,126
-0.9944,105,125
-0.9728,105,124
-0.968,105,123
-0.9742,105,122
-0.5882,105,121
0.874,105,120
0.8748,105,119
0.6194,105,118
0.8948,105,117
0.716,105,116
-0.4254,105,115
0.9232,105,114
0.6044,105,113
0.316,105,112
0.4323,105,111
0.132,105,110
0.4335,105,109
0.5771,105,108
0.4275,105,107
0.4285,105,106
0.8036,104,163
-1,104,162
-0.3996,104,161
-1,104,160
-1,104,159
-1,104,158
-0.6344,104,157
-0.6088,104,156
0.2901,104,155
0.1612,104,154
-0.2168,104,153
0.1582,104,152
-0.768,104,151
-0.9938,104,150
-0.8178,104,149
-0.94,104,148
-0.908,104,147
-0.851,104,146
0.8266,104,145
0.2892,104,144
0.7872,104,143
-0.169,104,142
-1,104,141
-0.1374,104,140
-0.7482,104,139
-1,104,138
-1,104,137
-1,104,136
-0.3458,104,135
-0.1532,104,134
-0.6222,104,133
0.1663,104,132
0.5204,104,131
0.404,104,130
0.1628,104,129
0.4024,104,128
-0.153,104,127
-0.8182,104,126
-0.9852,104,125
-0.8612,104,124
-0.9084,104,123
-0.9942,104,122
-0.7768,104,121
-1,104,120
-1,104,119
0.2954,104,118
-1,104,117
0.2988,104,116
-1,104,115
-1,104,114
-1,104,113
-0.0314,104,112
0.2934,104,111
-0.0528,104,110
0.2911,104,109
0.4161,104,108
0.2906,104,107
0.2823,104,106
-0.9996,104,105
-1,103,163
-1,103,162
-1,103,161
-1,103,160
-1,103,159
-1,103,158
0.1728,103,157
0.0714999999999999,103,156
0.0681,103,155
0.0348999999999999,103,154
0.1959,103,153
0.0341,103,152
-0.8892,103,151
-1,103,150
-0.9548,103,149
-0.9206,103,148
-1,103,147
-0.9586,103,146
-1,103,145
-1,103,144
-1,103,143
-1,103,142
-1,103,141
-1,103,140
-0.4932,103,139
-1,103,138
-1,103,137
-1,103,136
0.2929,103,135
0.1688,103,134
0.0725,103,133
0.0345,103,132
0.5484,103,131
0.1063,103,130
0.0324,103,129
0.1051,103,128
0.1321,103,127
-0.8722,103,126
-1,103,125
-1,103,124
-0.8106,103,123
-1,103,122
-0.9404,103,121
-1,103,120
-1,103,119
-1,103,118
-1,103,117
0.5612,103,116
-1,103,115
-1,103,114
-1,103,113
-0.2774,103,112
0.0724,103,111
0.3125,103,110
0.071,103,109
0.0986,103,108
0.0728,103,107
0.0717000000000001,103,106
-1,103,105
-1,103,104
0.964,102,163
-1,102,162
0.0434000000000001,102,161
0.8996,102,160
-1,102,159
-1,102,158
-0.6784,102,157
-0.7468,102,156
0.3519,102,155
0.1964,102,154
-0.1334,102,153
0.1902,102,152
-0.9976,102,151
-0.8484,102,150
-0.7722,102,149
-0.9966,102,148
-0.8424,102,147
-0.8478,102,146
0.9698,102,145
0.9048,102,144
0.7486,102,143
0.4148,102,142
-1,102,141
0.815,102,140
-0.461,102,139
0.8752,102,138
-1,102,137
-1,102,136
-0.3712,102,135
0.00839999999999996,102,134
-0.751,102,133
0.1862,102,132
0.7196,102,131
0.4786,102,130
0.1975,102,129
0.4839,102,128
0.578,102,127
-0.9904,102,126
-0.9938,102,125
-0.9966,102,124
-0.9998,102,123
-0.9812,102,122
-0.716,102,121
-1,102,120
-1,102,119
0.8618,102,118
0.8896,102,117
0.8274,102,116
-1,102,115
0.8614,102,114
-1,102,113
0.1288,102,112
0.348,102,111
-0.14,102,110
0.3468,102,109
0.4732,102,108
0.3501,102,107
0.3376,102,106
-0.9998,102,105
-0.9432,102,104
-0.83,102,103
0.9738,101,163
-1,101,162
-0.125,101,161
0.9764,101,160
-1,101,159
-1,101,158
-0.484,101,157
-0.8568,101,156
0.3166,101,155
0.1736,101,154
-0.0522,101,153
0.1722,101,152
-0.9978,101,151
-0.857,101,150
-0.7622,101,149
-0.9942,101,148
-0.847,101,147
-0.8542,101,146
0.9854,101,145
0.9222,101,144
0.8506,101,143
0.813,101,142
-1,101,141
0.7958,101,140
-0.318,101,139
0.9634,101,138
-1,101,137
0.7682,101,136
-0.5722,101,135
0.0678000000000001,101,134
-0.8556,101,133
0.1739,101,132
0.9092,101,131
0.4343,101,130
0.1788,101,129
0.4335,101,128
0.5482,101,127
0.4525,11,86
-1,11,85
-1,11,84
-0.9646,11,83
0.3151,11,82
0.2973,11,81
0.0705,11,80
-1,11,79
0.6057,11,78
0.0828,11,77
0.018,11,76
-1,11,75
-1,11,74
-1,11,73
-1,11,72
-1,11,71
-1,11,70
-1,11,69
-1,11,68
-1,11,67
-1,11,66
-1,11,65
-1,11,64
-1,11,63
-1,11,62
-1,11,61
-0.9614,11,60
-1,11,59
0.0334000000000001,11,58
0.1318,11,57
0.0884,11,56
0.0851999999999999,11,55
0.0559000000000001,11,54
0.1384,11,53
0.0533999999999999,11,52
0.0531999999999999,11,51
0.0141,11,50
0.0161,11,49
0.0871999999999999,11,48
-1,11,47
0.2772,11,46
0.3323,11,45
0.3014,11,44
-1,11,43
-1,11,42
0.1251,11,41
-1,11,40
-1,11,39
-1,11,38
-1,11,37
0.5181,11,36
-1,11,35
-1,11,34
0.0346,11,33
-1,11,32
-1,11,31
-1,11,30
-0.9632,11,29
0.2421,11,28
0.0184,11,27
0.0343,11,26
0.2607,11,25
0.0688,11,24
0.1971,11,23
-1,11,22
0.2338,11,21
-1,11,20
-1,11,19
-1,11,18
-1,11,17
-1,11,16
-1,11,15
-1,11,14
-0.9626,11,13
-1,11,12
-1,10,163
-1,10,162
-0.1176,10,161
-1,10,160
-1,10,159
0.9328,10,158
-0.86,10,157
-0.9184,10,156
-0.9246,10,155
0.0382,10,154
-1,10,153
0.0375000000000001,10,152
0.2279,10,151
0.101,10,150
0.0344,10,149
0.1987,10,148
0.1012,10,147
0.1014,10,146
-1,10,145
-1,10,144
-1,10,143
0.5766,10,142
-1,10,141
-1,10,140
-1,10,139
-1,10,138
-1,10,137
-1,10,136
-1,10,135
-0.9324,10,134
-0.9212,10,133
0.0356000000000001,10,132
-0.2502,10,131
-0.877,10,130
0.0387,10,129
-0.8854,10,128
-0.8296,10,127
0.2615,10,126
-0.7188,10,125
-0.5152,10,124
-0.5514,10,123
-0.6168,10,122
0.0336000000000001,10,121
-1,10,120
-1,10,119
0.2532,10,118
0.9096,10,117
0.8328,10,116
-1,10,115
-1,10,114
0.6664,10,113
0.4567,10,112
0.0706,10,111
-1,10,110
0.0698000000000001,10,109
0.1017,10,108
0.0704,10,107
0.069,10,106
-0.4708,10,105
-0.6732,10,104
0.0671999999999999,10,103
-0.604,10,102
-0.6254,10,101
0.0349999999999999,10,100
-0.582,10,99
0.8644,10,98
0.9512,10,97
-1,10,96
-1,10,95
-0.2992,10,94
-1,10,93
0.3008,10,92
0.4862,10,91
-1,10,90
-1,10,89
0.7796,10,88
0.595,10,87
0.6882,10,86
-0.8082,10,85
0.132,10,84
0.0336000000000001,10,83
-0.3066,10,82
-1,10,81
0.1395,10,80
0.8207,10,79
0.8448,10,78
0.1642,10,77
0.0344,10,76
-1,10,75
-1,10,74
-1,10,73
-1,10,72
-1,10,71
-1,10,70
-1,10,69
0.9242,10,68
0.9025,10,67
-1,10,66
-1,10,65
-1,10,64
0.9316,10,63
0.7632,10,62
0.7107,10,61
0.0361,10,60
-0.0466,10,59
0.0706,10,58
0.2632,10,57
0.1718,10,56
0.1725,10,55
0.1005,10,54
0.2609,10,53
0.0965,10,52
0.1097,10,51
0.0330999999999999,10,50
0.0374000000000001,10,49
0.1651,10,48
0.2006,10,47
-0.3932,10,46
-1,10,45
-1,10,44
-1,10,43
-1,10,42
-0.7898,10,41
-1,10,40
-1,10,39
-1,10,38
0.9678,10,37
0.776,10,36
0.7776,10,35
0.0694999999999999,10,34
-0.922,10,33
-0.6464,10,32
0.0680000000000001,10,31
0.5538,10,30
0.0319,10,29
0.4355,10,28
0.0326,10,27
0.0748,10,26
-0.466,10,25
0.1411,10,24
-0.654,10,23
0.7338,10,22
0.4218,10,21
-1,10,20
-1,10,19
0.8346,10,18
-1,10,17
0.8244,10,16
0.405,10,15
-0.4828,10,14
0.0356000000000001,10,13
-0.4592,10,12
0.0299,10,11
0.9744,9,163
-1,9,162
0.3434,9,161
-1,9,160
-1,9,159
0.471,9,158
-0.4008,9,157
0.3241,9,156
0.3187,9,155
0.1765,9,154
0.6965,9,153
0.1667,9,152
-1,9,151
-0.8766,9,150
-0.7882,9,149
-0.9958,9,148
-0.8622,9,147
-0.8804,9,146
0.9792,9,145
0.941,9,144
0.2956,9,143
0.4228,9,142
-1,9,141
0.9076,9,140
-0.2166,9,139
-1,9,138
-1,9,137
-1,9,136
0.1458,9,135
0.1274,9,134
0.3299,9,133
0.176,9,132
0.7978,9,131
0.4491,9,130
0.1734,9,129
0.4437,9,128
0.5476,9,127
-0.9998,9,126
-0.9954,9,125
-1,9,124
-0.9896,9,123
-0.8692,9,122
-0.7354,9,121
-1,9,120
-1,9,119
0.9048,9,118
0.949,9,117
0.8024,110,163
-0.6188,110,162
-0.1574,110,161
0.9438,110,160
-1,110,159
0.9562,110,158
-0.616,110,157
-0.8154,110,156
-1,110,155
-0.7654,110,154
-0.9998,110,153
-0.7098,110,152
0.345,110,151
0.4431,110,150
0.1707,110,149
0.2202,110,148
0.4289,110,147
0.4417,110,146
0.7694,110,145
-0.1828,110,144
0.8806,110,143
0.4702,110,142
-1,110,141
-0.388,110,140
-0.7868,110,139
0.9188,110,138
-1,110,137
0.9072,110,136
-0.5518,110,135
-0.9858,110,134
-0.854,110,133
-0.741,110,132
-0.3052,110,131
-1,110,130
-0.7244,110,129
-1,110,128
-0.8688,110,127
0.4256,110,126
0.3394,110,125
0.0992,110,124
-0.2688,110,123
-0.2892,110,122
0.1746,110,121
0.805,110,120
0.1368,110,119
0.8428,110,118
0.9426,110,117
0.232,110,116
0.5786,110,115
0.3764,110,114
0.6848,110,113
0.2358,110,112
-1,110,111
-1,109,163
-1,109,162
-1,109,161
-1,109,160
-1,109,159
-1,109,158
0.1683,109,157
-0.9002,109,156
-0.896,109,155
-0.9528,109,154
-1,109,153
-0.9522,109,152
0.2296,109,151
0.1074,109,150
0.0347,109,149
0.1996,109,148
0.0993999999999999,109,147
0.1066,109,146
-1,109,145
-1,109,144
-1,109,143
-1,109,142
-1,109,141
-1,109,140
-0.5924,109,139
-1,109,138
-1,109,137
-1,109,136
-0.6144,109,135
-0.7766,109,134
-0.8896,109,133
-0.948,109,132
-1,109,131
-0.8618,109,130
-0.953,109,129
-0.894,109,128
-1,109,127
0.2649,109,126
0.2405,109,125
0.4002,109,124
0.3759,109,123
0.3166,109,122
0.0337000000000001,109,121
-1,109,120
-1,109,119
-1,109,118
-1,109,117
-1,109,116
-1,109,115
-1,109,114
-1,109,113
-0.5646,109,112
-1,109,111
-1,109,110
0.8826,108,163
0.6354,108,162
-0.2816,108,161
0.8628,108,160
0.7684,108,159
-1,108,158
0.2405,108,157
-0.8224,108,156
-0.8324,108,155
-0.9226,108,154
-0.9022,108,153
-0.9034,108,152
0.3216,108,151
0.146,108,150
0.0497000000000001,108,149
0.2852,108,148
0.1481,108,147
0.1518,108,146
0.8036,108,145
0.6964,108,144
0.6312,108,143
0.3298,108,142
0.3906,108,141
-1,108,140
-0.496,108,139
0.8224,108,138
0.8236,108,137
-1,108,136
-0.4306,108,135
-0.6438,108,134
-0.8302,108,133
-0.9058,108,132
-0.3692,108,131
-0.7662,108,130
-0.9104,108,129
-0.8264,108,128
-0.806,108,127
0.3719,108,126
0.3218,108,125
0.534,108,124
0.5165,108,123
0.4403,108,122
0.0576000000000001,108,121
0.8864,108,120
0.779,108,119
0.8426,108,118
-1,108,117
-0.3198,108,116
0.7938,108,115
0.7226,108,114
0.0306,108,113
-0.2446,108,112
-0.9224,108,111
-0.759,108,110
-1,108,109
0.8118,107,163
-1,107,162
-0.2852,107,161
0.9728,107,160
0.9388,107,159
-1,107,158
0.1691,107,157
0.0732999999999999,107,156
0.0652999999999999,107,155
0.0334000000000001,107,154
-0.7634,107,153
0.036,107,152
0.2287,107,151
0.1052,107,150
0.0304,107,149
0.1936,107,148
0.1014,107,147
0.0999000000000001,107,146
0.8142,107,145
0.8166,107,144
0.89,107,143
0.64,107,142
0.7006,107,141
-1,107,140
0.3478,107,139
0.962,107,138
0.9588,107,137
-1,107,136
-0.6636,107,135
0.1672,107,134
0.0696000000000001,107,133
0.0347999999999999,107,132
-0.1644,107,131
-0.823,107,130
0.0347,107,129
-0.8452,107,128
-0.8122,107,127
0.2601,107,126
0.2291,107,125
0.4079,107,124
0.3771,107,123
0.3212,107,122
0.034,107,121
0.7328,107,120
-1,107,119
0.7296,107,118
-1,107,117
0.4158,107,116
0.72,107,115
0.6986,107,114
0.4666,107,113
-0.4208,107,112
-0.9106,107,111
-0.552,107,110
-0.9186,107,109
-1,107,108
-1,106,163
-1,106,162
-0.1306,106,161
-1,106,160
-1,106,159
-1,106,158
-0.796,106,157
0.0660000000000001,106,156
0.069,106,155
0.0363,106,154
0.1946,106,153
0.0353000000000001,106,152
0.229,106,151
0.0978000000000001,106,150
0.0371999999999999,106,149
0.2075,106,148
0.1061,106,147
0.1022,106,146
-1,106,145
-1,106,144
0.906,106,143
-1,106,142
-1,106,141
-1,106,140
-0.637,106,139
-1,106,138
-1,106,137
-1,106,136
0.2932,106,135
0.169,106,134
0.0686,106,133
0.0333000000000001,106,132
-0.5874,106,131
0.1052,106,130
0.0371999999999999,106,129
0.1038,106,128
0.1353,106,127
0.254,106,126
0.2282,106,125
0.4053,106,124
-0.5146,106,123
-0.59,106,122
0.0365,106,121
-1,106,120
-1,106,119
-1,106,118
-1,106,117
0.2638,106,116
-1,106,115
-1,106,114
0.6552,106,113
-0.3508,106,112
0.0693999999999999,106,111
-0.6124,106,110
0.0688,106,109
0.1019,106,108
0.0720000000000001,106,107
0.8094,116,141
0.3712,116,140
-0.1474,116,139
0.9734,116,138
0.946,116,137
0.2428,116,136
0.8552,116,135
0.0638000000000001,116,134
0.3468,116,133
0.0509999999999999,116,132
0.4396,116,131
0.2194,116,130
0.0489999999999999,116,129
0.464,116,128
0.4236,116,127
0.8788,116,126
0.5956,116,125
0.9062,116,124
0.8962,116,123
0.6672,116,122
0.5869,116,121
0.517,116,120
0.45,116,119
0.8374,116,118
0.784,116,117
0.7174,115,163
0.7962,115,162
0.9568,115,161
1,115,160
0.9752,115,159
0.9968,115,158
-1,115,157
0.621,115,156
0.455,115,155
0.4528,115,154
-1,115,153
0.5174,115,152
-1,115,151
-1,115,150
0.5102,115,149
-0.1462,115,148
0.234,115,147
0.3662,115,146
0.6422,115,145
0.9774,115,144
0.8066,115,143
1,115,142
1,115,141
0.9968,115,140
-1,115,139
0.9952,115,138
0.9996,115,137
0.9834,115,136
0.907,115,135
-1,115,134
0.5684,115,133
0.4966,115,132
0.773,115,131
0.5668,115,130
0.482,115,129
0.3254,115,128
0.771,115,127
-1,115,126
-1,115,125
-1,115,124
0.095,115,123
-0.0444,115,122
0.505,115,121
0.9362,115,120
0.9522,115,119
0.1804,115,118
0.9964,115,117
0.6878,115,116
0.7818,114,163
0.8338,114,162
0.993,114,161
0.9938,114,160
0.8462,114,159
0.8822,114,158
-1,114,157
0.7114,114,156
-1,114,155
0.4584,114,154
-1,114,153
0.6374,114,152
0.9066,114,151
-1,114,150
0.5844,114,149
0.4986,114,148
-1,114,147
0.638,114,146
0.8362,114,145
0.8762,114,144
0.9998,114,143
0.9546,114,142
0.7526,114,141
0.5378,114,140
-1,114,139
0.9914,114,138
0.9882,114,137
0.8814,114,136
0.9748,114,135
-1,114,134
0.653,114,133
0.5586,114,132
0.9124,114,131
-1,114,130
0.5622,114,129
-1,114,128
0.4722,114,127
0.9288,114,126
0.8554,114,125
0.9278,114,124
0.9144,114,123
0.7698,114,122
0.6898,114,121
0.8334,114,120
0.6074,114,119
0.7448,114,118
0.8444,114,117
