RCBC,site1,site2
-1,10,55
-1,10,54
0.62,10,53
0.7718,10,52
0.775,10,51
0.7748,10,50
-0.00680000000000003,10,49
0.7176,10,48
0.7808,10,47
0.7994,10,46
1,10,45
0.7758,10,44
0.0296000000000001,10,43
-1,10,42
0.6782,10,41
0.7854,10,40
-1,10,39
-1,10,38
0.6884,10,37
0.7386,10,36
-0.3742,10,35
0.923,10,34
-1,10,33
-0.0856,10,32
-1,10,31
0.7762,10,30
0.00419999999999998,10,29
-1,10,28
-1,10,27
0.7772,10,26
0.7618,10,25
0.3758,10,24
1,10,23
0.3944,10,22
0.8548,10,21
0.9978,10,20
0.8896,10,19
0.7764,10,18
0.9982,10,17
0.8176,10,16
-1,10,15
0.7686,10,14
0.8894,10,13
0.7568,10,12
0.7714,10,11
0.4527,9,95
-0.6398,9,94
-0.4306,9,93
-0.2016,9,92
-0.2322,9,91
-0.4582,9,90
-0.3986,9,89
-1,9,88
1,9,87
0.595,9,86
-0.6678,9,85
0.5734,9,84
-1,9,83
-0.6696,9,82
-0.4636,9,81
-0.3512,9,80
-0.6838,9,79
-1,9,78
-0.6874,9,77
-0.6488,9,76
-0.4044,9,75
1,9,74
0.7262,9,73
-0.1658,9,72
-0.6668,9,71
0.7542,9,70
0.6758,9,69
-1,9,68
-0.1274,9,67
0.899,9,66
-0.139,9,65
-0.2172,9,64
-0.2296,9,63
-0.1402,9,62
0.1558,9,61
-1,9,60
-1,9,59
-0.1636,9,58
-0.3326,9,57
0.4585,9,56
0.2896,9,55
0.0596000000000001,9,54
-0.67,9,53
-0.402,9,52
-0.4768,9,51
-0.2682,9,50
0.4528,9,49
-0.6684,9,48
-0.4574,9,47
0.9924,9,46
-1,11,66
0.0504,11,65
0.0541,11,64
-1,11,63
0.0548999999999999,11,62
-1,11,61
-0.7618,11,60
-0.6942,11,59
0.0508999999999999,11,58
0.0541,11,57
0.0525,11,56
-1,11,55
-1,11,54
-0.8884,11,53
-0.8838,11,52
-0.8936,11,51
0.0515000000000001,11,50
0.0532999999999999,11,49
-0.8866,11,48
-1,11,47
0.4551,11,46
-1,11,45
0.0518000000000001,11,44
0.0517000000000001,11,43
-1,11,42
-0.8826,11,41
-0.8928,11,40
-0.9528,11,39
-1,11,38
0.0568,11,37
-0.8898,11,36
-1,11,35
-0.5882,11,34
-1,11,33
0.3091,11,32
0.1627,11,31
0.054,11,30
0.2634,11,29
0.2088,11,28
0.1099,11,27
-0.8922,11,26
-0.9,11,25
0.0559000000000001,11,24
-1,11,23
-0.8814,11,22
0.1059,11,21
-1,11,20
-0.6298,11,19
0.0497000000000001,11,18
-1,11,17
-0.691,11,16
0.1648,11,15
0.0537000000000001,11,14
0.0536000000000001,11,13
-0.8926,11,12
0.8876,10,95
0.4754,10,94
-1,10,93
0.7788,10,92
0.7812,10,91
0.9892,10,90
0.7764,10,89
-1,10,88
1,10,87
0.9912,10,86
0.8897,10,85
0.8904,10,84
0.882,10,83
0.5502,10,82
-1,10,81
0.7904,10,80
0.6662,10,79
-1,10,78
0.728,10,77
0.4758,10,76
-1,10,75
1,10,74
0.7984,10,73
0.7722,10,72
0.989,10,71
-1,10,70
0.7724,10,69
0.8618,10,68
0.402,10,67
0.1326,10,66
0.7826,10,65
0.769,10,64
0.9606,10,63
0.8905,10,62
0.7686,10,61
0.8432,10,60
0.4014,10,59
0.783,10,58
0.761,10,57
0.7736,10,56
-0.8234,12,78
-0.8848,12,77
-0.8868,12,76
-0.8566,12,75
-1,12,74
-1,12,73
0.0566,12,72
-0.4804,12,71
-1,12,70
-1,12,69
