RCBC,site1,site2
0.8676,1,60
-1,1,59
1,1,58
1,1,57
1,1,56
0.9998,1,55
1,1,54
1,1,53
1,1,52
1,1,51
-1,1,50
-1,1,49
0.9972,1,48
0.9998,1,47
0.9998,1,46
1,1,45
0.9424,1,44
0.9998,1,43
1,1,42
1,1,41
-1,1,40
0.5594,1,39
0.995,1,38
1,1,37
0.9982,1,36
0.9968,1,35
1,1,34
0.9996,1,33
-0.3752,1,32
0.9978,1,31
0.9992,1,30
0.8516,1,29
0.89,1,28
0.9922,1,27
0.9512,1,26
1,1,25
0.999,1,24
-1,1,23
-1,1,22
0.966,1,21
1,1,20
0.9996,1,19
0.7194,1,18
1,1,17
1,1,16
0.9998,1,15
0.9386,1,14
1,1,13
-1,1,12
0.4338,1,11
0.9644,1,10
1,1,9
1,1,8
1,1,7
1,1,6
0.9924,1,5
1,1,4
1,1,3
0.994,1,2
0.9508,10,20
0.8934,10,19
0.948,10,18
0.7922,10,17
0.917,10,16
0.9338,10,15
0.794,10,14
0.536,10,13
0.0719000000000001,10,12
0.1339,10,11
0.6884,9,76
0.6848,9,75
-0.4102,9,74
0.966,9,73
0.9986,9,72
0.976,9,71
0.7978,9,70
0.9972,9,69
0.6882,9,68
-0.7824,9,67
0.8438,9,66
0.966,9,65
0.4582,9,64
-0.134,9,63
0.97,9,62
0.9924,9,61
0.6864,9,60
0.5234,9,59
0.1956,9,58
0.9628,9,57
0.8916,9,56
0.969,9,55
0.38,9,54
0.763,9,53
0.9976,9,52
0.8436,9,51
0.6894,9,50
-1,9,49
0.985,9,48
0.6022,9,47
0.6816,9,46
0.9904,9,45
0.4946,9,44
0.8216,9,43
1,9,42
1,9,41
0.5688,9,40
0.3438,9,39
0.3074,9,38
0.6302,9,37
0.6556,9,36
-0.8972,9,35
0.865,9,34
0.9424,9,33
-0.9472,9,32
0.1412,9,31
0.9334,9,30
0.8938,9,29
-0.1124,9,28
0.847,11,14
0.5176,11,13
-0.7418,11,12
0.0357000000000001,10,76
0.0326,10,75
0.8945,10,74
0.858,10,73
-1,10,72
0.9492,10,71
-1,10,70
-1,10,69
0.0356000000000001,10,68
0.8384,10,67
0.83,10,66
0.8494,10,65
0.8112,10,64
0.8826,10,63
0.918,10,62
-1,10,61
0.0358000000000001,10,60
0.0728,10,59
0.8506,10,58
0.8646,10,57
0.8854,10,56
0.8778,10,55
0.922,10,54
0.9376,10,53
0.9512,10,52
0.7694,10,51
0.0637000000000001,10,50
0.0698000000000001,10,49
-0.8908,10,48
0.4596,10,47
-0.1152,10,46
0.9241,10,45
-0.4904,10,44
-1,10,43
0.201,10,42
0.6774,10,41
0.0653999999999999,10,40
0.0354000000000001,10,39
0.3436,10,38
0.5524,10,37
0.6338,10,36
0.8804,10,35
0.7568,10,34
0.7212,10,33
0.3644,10,32
0.9689,10,31
0.8994,10,30
0.9706,10,29
0.405,10,28
0.4698,10,27
0.54,10,26
0.6884,10,25
0.859,10,24
0.0687,10,23
0.0722,10,22
-1,10,21
0.3982,11,73
-0.1428,11,72
0.1994,11,71
0.8176,11,70
0.9066,11,69
-0.8606,11,68
-0.1528,11,67
0.3412,11,66
-0.6912,11,65
0.2854,11,64
-0.069,11,63
0.3602,11,62
-0.078,11,61
-0.8684,11,60
-0.7982,11,59
-0.2264,11,58
0.069,11,57
0.7258,11,56
0.9326,11,55
-0.07,11,54
0.0431999999999999,11,53
0.6718,11,52
0.4942,11,51
-0.766,11,50
-0.8,11,49
-0.7614,11,48
-0.1614,11,47
0.6524,11,46
0.781,11,45
-0.4068,11,44
-0.2558,11,43
0.9076,11,42
0.898,11,41
-0.75,11,40
0.0692999999999999,11,39
-0.3862,11,38
-0.504,11,37
-0.5492,11,36
0.0466,11,35
0.428,11,34
-0.7698,11,33
-0.6462,11,32
-0.2298,11,31
-0.084,11,30
-0.3504,11,29
-0.6946,11,28
-0.4468,11,27
-0.233,11,26
0.0908,11,25
-0.2424,11,24
-0.7726,11,23
-0.7952,11,22
-0.9758,11,21
0.2506,11,20
-0.139,11,19
-0.4096,11,18
0.4122,11,17
0.2498,11,16
0.294,11,15
-0.9466,12,68
0.361,12,67
-1,12,66
-0.0244,12,65
0.2736,12,64
0.3186,12,63
-1,12,62
-1,12,61
-0.9502,12,60
-0.9984,12,59
-1,12,58
-1,12,57
-1,12,56
-1,12,55
0.4694,12,54
0.4756,12,53
-1,12,52
-1,12,51
-0.966,12,50
-1,12,49
-1,12,48
-0.1706,12,47
-1,12,46
-1,12,45
-1,12,44
-1,12,43
-1,12,42
-1,12,41
-0.9968,12,40
-0.9846,12,39
-1,12,38
-1,12,37
-1,12,36
0.0904,12,35
-1,12,34
-1,12,33
-0.4904,12,32
0.3658,12,31
-1,12,30
-1,12,29
-1,12,28
-1,12,27
-1,12,26
-1,12,25
-1,12,24
-0.958,12,23
-0.9812,12,22
0.1637,12,21
-1,12,20
-1,12,19
0.1244,12,18
-1,12,17
-1,12,16
-1,12,15
-0.3706,12,14
-1,12,13
-0.862,11,76
-0.862,11,75
-0.1242,11,74
0.9982,13,64
0.9998,13,63
1,13,62
0.9988,13,61
0.6562,13,60
-1,13,59
0.9828,13,58
0.9968,13,57
0.9872,13,56
0.9428,13,55
0.9958,13,54
0.9974,13,53
1,13,52
0.995,13,51
-1,13,50
-1,13,49
0.7948,13,48
0.8808,13,47
0.786,13,46
0.9588,13,45
-0.0284,13,44
0.3264,13,43
0.8192,13,42
0.9844,13,41
-1,13,40
0.282,13,39
0.795,13,38
0.9024,13,37
0.915,13,36
0.7846,13,35
1,13,34
0.9518,13,33
0.1368,13,32
0.9986,13,31
0.9992,13,30
0.9468,13,29
0.3888,13,28
0.8998,13,27
0.01,13,26
0.9984,13,25
0.923,13,24
-1,13,23
-1,13,22
0.7136,13,21
0.9792,13,20
0.9998,13,19
0.0926,13,18
0.9922,13,17
1,13,16
0.9878,13,15
-0.0352,13,14
-0.9394,12,76
-0.9458,12,75
0.1006,12,74
-1,12,73
-1,12,72
-1,12,71
-1,12,70
-1,12,69
0.9622,14,61
0.0471999999999999,14,60
-0.1224,14,59
0.4952,14,58
0.4598,14,57
-0.5938,14,56
0.8954,14,55
-0.2268,14,54
0.53,14,53
0.9196,14,52
0.2376,14,51
0.0893999999999999,14,50
-1,14,49
0.9632,14,48
-0.7466,14,47
-0.2256,14,46
0.7158,14,45
-0.9984,14,44
-0.6426,14,43
0.4184,14,42
0.6372,14,41
-0.2026,14,40
-0.4818,14,39
0.3726,14,38
-0.051,14,37
-0.304,14,36
-0.303,14,35
0.1384,14,34
0.1332,14,33
-0.6132,14,32
0.5092,14,31
0.5826,14,30
0.9762,14,29
-0.7656,14,28
-0.3566,14,27
-0.4198,14,26
0.8178,14,25
0.9134,14,24
0.1756,14,23
0.0598000000000001,14,22
0.9422,14,21
-0.9644,14,20
0.9998,14,19
0.457,14,18
-0.3282,14,17
0.7524,14,16
0.9,14,15
0.6542,13,76
0.6492,13,75
0.7152,13,74
0.9998,13,73
1,13,72
1,13,71
0.8834,13,70
0.999,13,69
0.3872,13,68
0.9912,13,67
0.9998,13,66
0.9952,13,65
-1,15,59
0.9936,15,58
0.964,15,57
0.7184,15,56
0.979,15,55
0.9824,15,54
0.9938,15,53
0.944,15,52
0.9262,15,51
-1,15,50
-1,15,49
0.976,15,48
0.7562,15,47
0.7278,15,46
0.9326,15,45
0.5574,15,44
0.901,15,43
0.9938,15,42
0.9924,15,41
-1,15,40
0.2462,15,39
0.3432,15,38
0.6956,15,37
0.8322,15,36
0.7768,15,35
0.9454,15,34
0.9858,15,33
0.1356,15,32
1,15,31
0.998,15,30
0.9882,15,29
-0.2572,15,28
0.9116,15,27
0.665,15,26
0.9986,15,25
0.9992,15,24
-1,15,23
-1,15,22
0.7376,15,21
0.8532,15,20
1,15,19
-0.5868,15,18
0.959,15,17
0.6686,15,16
0.0416000000000001,14,76
0.0454000000000001,14,75
-0.7498,14,74
0.4834,14,73
0.9986,14,72
0.8742,14,71
-0.3898,14,70
-1,14,69
0.0336000000000001,14,68
-0.8104,14,67
0.6024,14,66
0.9992,14,65
-0.5082,14,64
-0.6222,14,63
0.7374,14,62
0.8972,16,58
0.997,16,57
0.9714,16,56
0.9436,16,55
0.9644,16,54
0.9962,16,53
0.9968,16,52
0.9998,16,51
-1,16,50
-1,16,49
0.9756,16,48
0.9538,16,47
0.8272,16,46
0.426,16,45
0.8392,16,44
0.9938,16,43
1,16,42
0.9998,16,41
-1,16,40
0.4514,16,39
0.5146,16,38
0.8088,16,37
0.8132,16,36
0.8036,16,35
1,16,34
0.9724,16,33
-0.8666,16,32
0.984,16,31
0.9864,16,30
0.8158,16,29
0.3524,16,28
0.5454,16,27
-0.5284,16,26
0.9994,16,25
0.8782,16,24
-1,16,23
-1,16,22
0.8942,16,21
0.9802,16,20
0.974,16,19
-0.5512,16,18
0.9992,16,17
0.7664,15,76
0.7524,15,75
0.906,15,74
0.929,15,73
1,15,72
0.998,15,71
0.7054,15,70
0.995,15,69
0.3456,15,68
0.9558,15,67
0.9818,15,66
0.8056,15,65
0.8222,15,64
0.979,15,63
0.9978,15,62
0.99,15,61
0.745,15,60
0.1486,17,58
0.938,17,57
0.8926,17,56
0.9782,17,55
-0.686,17,54
0.5112,17,53
1,17,52
0.903,17,51
0.485,17,50
-1,17,49
0.9842,17,48
0.2034,17,47
0.4798,17,46
0.988,17,45
0.3836,17,44
0.8038,17,43
0.9998,17,42
0.9998,17,41
-1,17,40
0.361,17,39
0.247,17,38
0.5238,17,37
0.4962,17,36
-0.5858,17,35
0.9958,17,34
0.8764,17,33
-0.9872,17,32
0.9016,17,31
0.9894,17,30
0.981,17,29
-0.3484,17,28
0.3326,17,27
-0.9892,17,26
0.9858,17,25
0.9184,17,24
0.4854,17,23
-1,17,22
0.8442,17,21
-0.9846,17,20
0.9994,17,19
-0.6304,17,18
0.7904,16,76
0.7758,16,75
0.8068,16,74
0.9998,16,73
0.9996,16,72
1,16,71
0.9956,16,70
1,16,69
0.5646,16,68
0.9218,16,67
0.9998,16,66
0.8456,16,65
0.9956,16,64
0.9966,16,63
1,16,62
0.8796,16,61
0.7678,16,60
-1,16,59
0.6706,18,59
0.19,18,58
0.3642,18,57
-0.4508,18,56
0.865,18,55
-0.5816,18,54
-0.1896,18,53
-0.408,18,52
-0.4402,18,51
0.6702,18,50
0.4176,18,49
0.7468,18,48
-0.651,18,47
0.3878,18,46
0.2826,18,45
-0.3268,18,44
-0.1404,18,43
0.815,18,42
0.7242,18,41
0.33,18,40
-0.6942,18,39
-0.2988,18,38
-0.4862,18,37
-0.2724,18,36
-0.9174,18,35
-0.427,18,34
-0.3038,18,33
-0.079,18,32
-0.7502,18,31
-0.837,18,30
-0.075,18,29
-0.9432,18,28
-0.1052,18,27
-0.2376,18,26
0.5586,18,25
0.1448,18,24
0.7698,18,23
0.7816,18,22
-0.1932,18,21
-0.8996,18,20
-1,18,19
0.6606,17,76
0.6594,17,75
-0.9988,17,74
0.9998,17,73
1,17,72
0.9922,17,71
0.825,17,70
1,17,69
0.5934,17,68
-0.729,17,67
0.9842,17,66
0.8208,17,65
-0.2984,17,64
0.3338,17,63
0.9914,17,62
0.9976,17,61
0.6722,17,60
-1,17,59
0.985,19,61
0.7994,19,60
-1,19,59
1,19,58
1,19,57
0.845,19,56
0.9966,19,55
0.9998,19,54
0.9994,19,53
0.806,19,52
0.998,19,51
-1,19,50
-1,19,49
0.9976,19,48
0.9898,19,47
0.9994,19,46
1,19,45
0.9728,19,44
0.9962,19,43
0.9998,19,42
1,19,41
-1,19,40
0.214,19,39
0.6832,19,38
0.8914,19,37
0.8808,19,36
0.9934,19,35
0.9876,19,34
0.9986,19,33
0.3306,19,32
1,19,31
0.9958,19,30
0.9938,19,29
0.0726,19,28
0.9934,19,27
0.997,19,26
1,19,25
1,19,24
-1,19,23
-1,19,22
0.7322,19,21
0.9928,19,20
0.7701,18,76
0.7773,18,75
-0.8472,18,74
-0.5214,18,73
0.4544,18,72
0.4572,18,71
-0.0642,18,70
0.342,18,69
0.7721,18,68
-0.584,18,67
-0.3376,18,66
0.5964,18,65
-0.7104,18,64
-0.554,18,63
-0.1392,18,62
-0.6816,18,61
0.772,18,60
0.9974,2,45
0.9216,2,44
1,2,43
1,2,42
1,2,41
-1,2,40
0.7106,2,39
0.8176,2,38
0.9304,2,37
0.93,2,36
0.2702,2,35
0.6656,2,34
0.988,2,33
-1,2,32
-0.9746,2,31
-0.0802,2,30
-0.4658,2,29
0.682,2,28
0.7894,2,27
-0.1614,2,26
0.9792,2,25
0.9686,2,24
-1,2,23
-1,2,22
0.9886,2,21
0.8372,2,20
0.8868,2,19
-0.3188,2,18
0.9226,2,17
0.997,2,16
0.846,2,15
0.0212000000000001,2,14
0.9916,2,13
-1,2,12
0.7746,2,11
0.8616,2,10
0.7166,2,9
0.9678,2,8
1,2,7
0.9116,2,6
0.984,2,5
0.9988,2,4
0.817,2,3
0.8838,1,76
0.8782,1,75
0.9996,1,74
1,1,73
1,1,72
1,1,71
0.9994,1,70
1,1,69
0.6818,1,68
1,1,67
1,1,66
0.9986,1,65
1,1,64
1,1,63
1,1,62
0.9978,1,61
-0.5042,20,64
-0.1938,20,63
0.9508,20,62
0.9712,20,61
0.5098,20,60
0.2078,20,59
-0.744,20,58
0.7728,20,57
0.486,20,56
0.9398,20,55
-0.9412,20,54
0.1232,20,53
0.9656,20,52
0.592,20,51
0.4166,20,50
-1,20,49
0.9892,20,48
0.0092000000000001,20,47
-0.0876,20,46
0.9616,20,45
0.0471999999999999,20,44
0.6142,20,43
0.9972,20,42
0.9998,20,41
0.2198,20,40
0.193,20,39
-0.097,20,38
0.1748,20,37
0.1584,20,36
-0.9252,20,35
0.9212,20,34
0.7056,20,33
-0.9876,20,32
0.5276,20,31
0.919,20,30
0.916,20,29
-0.3846,20,28
-0.303,20,27
-0.9976,20,26
0.9382,20,25
0.8554,20,24
0.4874,20,23
0.2868,20,22
0.7938,20,21
0.8108,19,76
0.7994,19,75
0.9918,19,74
0.9802,19,73
0.9992,19,72
1,19,71
0.866,19,70
0.9828,19,69
0.418,19,68
0.9952,19,67
0.9996,19,66
0.9916,19,65
0.994,19,64
0.9992,19,63
0.9998,19,62
0.0893999999999999,21,68
0.716,21,67
0.95,21,66
-0.2876,21,65
0.754,21,64
0.7656,21,63
0.9514,21,62
0.685,21,61
0.0871999999999999,21,60
0.168,21,59
0.6032,21,58
0.8298,21,57
0.9858,21,56
0.9802,21,55
0.7736,21,54
0.8622,21,53
0.9784,21,52
0.9518,21,51
0.1656,21,50
0.1716,21,49
-0.8404,21,48
0.398,21,47
0.5132,21,46
0.9102,21,45
-0.3706,21,44
0.0668,21,43
0.8416,21,42
0.9562,21,41
0.1712,21,40
0.0887,21,39
-0.2452,21,38
-0.3754,21,37
-0.384,21,36
0.3248,21,35
0.9548,21,34
-0.55,21,33
-0.566,21,32
0.7148,21,31
0.8176,21,30
0.5316,21,29
-0.8124,21,28
-0.3078,21,27
-0.0198,21,26
0.8262,21,25
0.6244,21,24
0.169,21,23
0.1649,21,22
0.5086,20,76
0.5046,20,75
-0.9996,20,74
0.9878,20,73
0.9986,20,72
0.9152,20,71
0.52,20,70
0.9996,20,69
0.4976,20,68
-0.9936,20,67
0.8562,20,66
0.856,20,65
-1,22,73
-1,22,72
-1,22,71
-1,22,70
-1,22,69
-0.9766,22,68
0.7728,22,67
-1,22,66
0.3768,22,65
0.72,22,64
0.584,22,63
-1,22,62
-1,22,61
