RCBC,site1,site2
0.0501,10,14
0.0924,10,13
0.0508999999999999,10,12
0.0258,10,11
0.0502,9,105
-1,9,104
-0.8254,9,103
0.487,9,102
0.4484,9,101
-0.323,9,100
1,9,99
1,9,98
0.405,9,97
1,9,96
1,9,95
1,9,94
0.9986,9,93
1,9,92
0.4956,9,91
0.3098,9,90
-1,9,89
0.4862,9,88
0.552,9,87
0.537,9,86
0.138,9,85
-0.1862,9,84
0.3282,9,83
-0.0116000000000001,9,82
-0.2878,9,81
0.9942,9,80
1,9,79
1,9,78
1,9,77
-0.9508,9,76
1,9,75
1,9,74
1,9,73
0.9188,9,72
0.8504,9,71
0.3066,9,70
0.5062,9,69
0.499,9,68
-0.1054,9,67
0.499,9,66
0.6494,9,65
0.9722,9,64
1,9,63
0.9066,9,62
0.8684,9,61
1,9,60
1,9,59
0.7252,9,58
0.9998,9,57
1,9,56
0.7596,9,55
-0.5922,9,54
0.397,9,53
-1,9,52
-1,9,51
-0.6162,9,50
0.6836,9,49
-1,9,48
-0.00139999999999996,9,47
0.2656,9,46
0.36,9,45
0.4964,9,44
0.4922,9,43
0.94,9,42
-1,9,41
0.9944,9,40
0.252,9,39
-0.1242,9,38
-1,9,37
-1,9,36
0.1046,9,35
0.1656,9,34
-0.1084,9,33
-0.3614,9,32
0.1018,9,31
1,9,30
-0.9616,9,29
0.2978,9,28
0.3468,9,27
0.4822,9,26
0.4848,9,25
-0.092,9,24
0.1248,9,23
1,9,22
0.9302,9,21
0.8834,9,20
1,9,19
0.9008,9,18
0.7254,9,17
1,9,16
0.7194,9,15
-1,9,14
-0.378,9,13
0.0980000000000001,9,12
0.5086,9,11
0.497,9,10
0.9896,8,105
0.9684,8,104
0.9982,8,103
0.7888,8,102
0.9964,8,101
-1,8,100
1,8,99
0.9858,8,98
-1,8,97
1,8,96
1,8,95
0.9956,8,94
1,8,93
-1,104,105
-0.299,103,105
-0.397,103,104
-0.9086,102,105
-0.9134,102,104
-0.6344,102,103
-0.9986,101,105
-1,101,104
-0.1952,101,103
-0.8954,101,102
-0.427,100,105
-0.5912,100,104
-0.9606,100,103
-0.7852,100,102
-0.4238,100,101
0.96,99,105
0.9212,99,104
-1,99,103
0.7268,99,102
0.9968,99,101
0.5484,99,100
0.8174,98,105
0.7744,98,104
0.9494,98,103
0.0706,98,102
0.9274,98,101
0.9358,98,100
0.9998,98,99
0.4984,97,105
0.1984,97,104
-0.0584,97,103
0.3681,97,102
0.51,97,101
0.5218,97,100
-0.478,97,99
-0.662,97,98
0.8366,96,105
0.8586,96,104
0.5204,96,103
-0.1696,96,102
0.8516,96,101
-0.3354,96,100
0.8498,96,99
1,96,98
-0.00180000000000002,96,97
0.9526,95,105
0.9588,95,104
0.367,95,103
0.4142,95,102
0.9854,95,101
0.2984,95,100
1,95,99
1,95,98
0.7508,95,97
0.7408,95,96
0.7523,94,105
0.6161,94,104
0.449,94,103
0.3745,94,102
0.7503,94,101
0.495,94,100
0.9992,94,99
0.6806,94,98
0.1136,94,97
0.9912,94,96
0.9266,94,95
-1,93,105
-1,93,104
-0.7562,93,103
0.6568,93,102
0.24,93,101
-1,93,100
1,93,99
1,93,98
0.00360000000000005,93,97
0.986,93,96
1,93,95
0.9826,93,94
0.8938,92,105
0.7514,92,104
0.6704,92,103
0.595,92,102
0.947,92,101
-1,92,100
1,92,99
1,92,98
0.6226,92,97
1,92,96
1,92,95
-0.878,92,94
1,92,93
-0.9434,91,105
-0.907,91,104
-0.336,91,103
-0.9784,91,102
-0.9658,91,101
-0.4298,91,100
0.6686,91,99
0.5366,91,98
0.4692,91,97
0.3054,91,96
0.6782,91,95
0.7522,91,94
0.3832,91,93
0.8602,91,92
-0.9994,90,105
-1,90,104
-0.4384,90,103
-0.9072,90,102
-0.9892,90,101
-0.5906,90,100
0.9878,90,99
0.8326,90,98
0.2264,90,97
-1,11,33
-0.8522,11,32
0.2093,11,31
-1,11,30
0.2779,11,29
-0.9812,11,28
-0.9788,11,27
0.0241,11,26
-0.9494,11,25
-0.8908,11,24
-0.936,11,23
-1,11,22
0.2422,11,21
0.4352,11,20
0.5638,11,19
0.2126,11,18
0.5256,11,17
-1,11,16
0.2106,11,15
0.0465,11,14
-1,11,13
-1,11,12
0.0716000000000001,10,105
0.05,10,104
-1,10,103
0.0266999999999999,10,102
0.0716000000000001,10,101
-1,10,100
-1,10,99
0.7474,10,98
-1,10,97
-1,10,96
0.8792,10,95
0.3657,10,94
-1,10,93
-1,10,92
0.0730999999999999,10,91
0.0505,10,90
0.0732999999999999,10,89
0.0228999999999999,10,88
0.1424,10,87
0.1905,10,86
-1,10,85
0.1426,10,84
0.1922,10,83
0.0944,10,82
-1,10,81
-1,10,80
-1,10,79
-1,10,78
-1,10,77
-1,10,76
-1,10,75
0.7484,10,74
-1,10,73
-1,10,72
0.2619,10,71
0.2187,10,70
0.0230999999999999,10,69
0.0233000000000001,10,68
0.0685,10,67
0.026,10,66
0.0471999999999999,10,65
-1,10,64
0.609,10,63
0.167,10,62
0.2632,10,61
-1,10,60
-1,10,59
0.2145,10,58
-1,10,57
0.5639,10,56
0.3629,10,55
0.1677,10,54
0.0484,10,53
0.0464,10,52
0.1845,10,51
-1,10,50
0.0717000000000001,10,49
0.0517000000000001,10,48
-1,10,47
0.0492999999999999,10,46
0.0486,10,45
0.0236000000000001,10,44
0.0245,10,43
-1,10,42
0.0485,10,41
0.4791,10,40
0.114,10,39
0.0732999999999999,10,38
0.0943000000000001,10,37
-1,10,36
0.0748,10,35
0.0505,10,34
0.1168,10,33
0.0948,10,32
0.2149,10,31
0.7514,10,30
0.2729,10,29
0.0466,10,28
0.0477000000000001,10,27
0.0255000000000001,10,26
0.0216000000000001,10,25
0.071,10,24
0.0484,10,23
-1,10,22
0.2361,10,21
-1,10,20
0.7854,10,19
0.2166,10,18
0.5309,10,17
-1,10,16
0.211,10,15
-1,12,53
-0.8214,12,52
-0.428,12,51
0.2744,12,50
-0.9376,12,49
-0.8522,12,48
-0.8746,12,47
