RCBC,site1,site2
0.8146,103,179
0.9834,103,178
0.7676,103,177
0.9104,103,176
0.973,103,175
0.7398,103,174
0.7314,103,173
-0.0600000000000001,103,172
0.8838,103,171
0.6194,103,170
0.3611,103,169
0.6658,103,168
0.8463,103,167
0.8076,103,166
-0.5314,103,165
0.3734,103,164
0.754,103,163
0.7443,103,162
0.1324,103,161
0.844,103,160
0.8483,103,159
0.7462,103,158
0.3654,103,157
0.858,103,156
0.7164,103,155
0.7413,103,154
0.5933,103,153
0.3665,103,152
0.5997,103,151
0.9242,103,150
0.6844,103,149
0.8468,103,148
0.8492,103,147
0.5966,103,146
0.5928,103,145
0.844,103,144
0.4246,103,143
0.59,103,142
0.597,103,141
0.7501,103,140
0.7514,103,139
0.9041,103,138
0.8164,103,137
0.7449,103,136
0.5985,103,135
0.5968,103,134
0.7844,103,133
0.813,103,132
0.7464,103,131
0.8485,103,130
0.3564,103,129
0.5927,103,128
0.9059,103,127
0.7504,103,126
0.7438,103,125
0.3561,103,124
0.497,103,123
0.9212,103,122
0.9449,103,121
0.7433,103,120
0.9037,103,119
0.7566,103,118
0.1064,103,117
0.9596,103,116
0.9834,103,115
0.8542,103,114
0.8294,103,113
0.868,103,112
0.94,103,111
0.6614,103,110
0.798,103,109
0.9356,103,108
0.7932,103,107
0.9264,103,106
0.6016,103,105
0.7509,103,104
0.7462,102,206
0.7126,102,205
0.824,102,204
0.6102,102,203
0.8634,102,202
0.604,102,201
0.3978,102,200
0.6912,102,199
0.9025,102,198
0.8374,102,197
0.3286,102,196
0.6782,102,195
0.3604,102,194
0.693,102,193
0.9039,102,192
0.7468,102,191
0.3505,102,190
0.9036,102,189
0.7463,102,188
0.749,102,187
0.5951,102,186
0.9411,102,185
0.9816,102,184
0.9836,102,183
0.9688,102,182
0.8432,102,181
0.8272,102,180
0.6626,102,179
0.9666,102,178
0.598,102,177
0.808,102,176
0.9792,102,175
0.7416,102,174
0.016,102,173
0.498,102,172
0.9302,102,171
0.6064,102,170
0.3559,102,169
0.6698,102,168
0.8494,102,167
0.812,102,166
-0.7668,102,165
0.3566,102,164
0.7521,102,163
0.746,102,162
0.1248,102,161
0.8466,102,160
0.8462,102,159
0.7461,102,158
0.3541,102,157
0.916,102,156
0.7068,102,155
0.7521,102,154
0.601,102,153
0.361,102,152
0.5937,102,151
-0.3858,102,150
-0.3042,102,149
0.6044,102,148
0.7412,102,147
0.5961,102,146
0.0406,102,145
0.5644,102,144
-0.2184,102,143
0.5991,102,142
0.5973,102,141
0.7527,102,140
0.755,102,139
0.9091,102,138
0.651,102,137
0.7486,102,136
0.6012,102,135
0.6033,102,134
0.6516,102,133
0.801,102,132
0.7503,102,131
0.8381,102,130
0.3539,102,129
0.5927,102,128
0.8996,102,127
0.7466,102,126
0.7436,102,125
0.3655,102,124
0.845,102,123
0.9649,102,122
0.9462,102,121
0.7433,102,120
0.2112,102,119
0.0666,102,118
-0.13,102,117
0.9366,102,116
0.9712,102,115
0.8494,102,114
0.666,102,113
0.5104,102,112
0.8366,102,111
0.681,102,110
0.3918,102,109
0.8618,102,108
0.7492,102,107
0.7356,102,106
0.307,102,105
0.7457,102,104
-0.885,102,103
0.5504,101,206
0.3284,101,205
0.6946,101,204
0.5836,101,203
0.7456,101,202
0.5364,101,201
0.2016,101,200
0.525,101,199
0.8366,101,198
0.7617,101,197
0.161,101,196
0.5264,101,195
0.2903,101,194
0.4998,101,193
0.8431,101,192
0.6622,101,191
0.2899,101,190
0.8403,101,189
0.6593,101,188
0.6579,101,187
0.5028,101,186
0.8948,101,185
0.9559,101,184
0.9861,101,183
0.9706,101,182
0.7625,101,181
0.5852,101,180
0.3416,101,179
0.9274,101,178
0.5576,101,177
0.6366,101,176
0.9324,101,175
0.5936,101,174
-0.076,101,173
0.2858,101,172
0.81,101,171
0.4182,101,170
0.2922,101,169
0.522,101,168
0.7694,101,167
0.6808,101,166
-0.8734,101,165
0.1718,101,164
0.6552,101,163
0.6499,101,162
-0.0568,101,161
0.7656,101,160
0.7625,101,159
0.6542,101,158
0.2891,101,157
0.9242,101,156
0.8883,101,155
0.6579,101,154
0.5028,101,153
0.2952,101,152
0.496,101,151
0.3938,101,150
-0.3462,101,149
0.4982,101,148
0.6432,101,147
0.5055,101,146
0.0189999999999999,101,145
0.2114,101,144
-0.2952,101,143
0.5073,101,142
0.5032,101,141
0.6552,101,140
0.659,101,139
0.8358,101,138
0.57,101,137
0.6522,101,136
0.5049,101,135
0.5017,101,134
0.4846,101,133
0.6636,101,132
0.6548,101,131
0.7654,101,130
0.2953,101,129
0.5071,101,128
0.835,101,127
0.6612,101,126
0.6514,101,125
0.2933,101,124
0.7646,101,123
0.9251,101,122
0.8929,101,121
0.6619,101,120
0.6046,101,119
-0.123,101,118
-0.3756,101,117
0.8394,101,116
0.9206,101,115
0.7428,101,114
0.5562,101,113
0.0833999999999999,101,112
0.7094,101,111
0.5184,101,110
0.3874,101,109
0.7664,101,108
0.5304,101,107
0.2662,101,106
0.1178,101,105
0.6609,101,104
-0.9216,101,103
-0.9998,101,102
-0.0659999999999999,100,206
0.3754,100,205
0.0314000000000001,100,204
0.1096,100,203
0.195,100,202
0.1652,100,201
-0.3146,100,200
-0.017,100,199
0.5777,100,198
0.4866,100,197
-0.4794,100,196
-0.0464,100,195
0.1519,100,194
-0.0314,100,193
0.5796,100,192
0.3902,100,191
0.152,100,190
0.5802,100,189
0.3957,100,188
0.4058,100,187
0.2874,100,186
0.6492,100,185
0.7728,100,184
0.8722,100,183
0.8117,100,182
0.4966,100,181
0.3688,100,180
0.2766,100,179
0.6736,100,178
-0.124,100,177
0.7083,100,176
0.4218,100,175
-0.0377999999999999,100,174
0.4182,100,173
0.178,100,172
0.5772,100,171
-0.2766,100,170
0.1515,100,169
-0.0368000000000001,100,168
0.4899,100,167
0.1838,100,166
-0.9108,100,165
-0.3298,100,164
0.3884,100,163
0.3935,100,162
-0.5,100,161
0.4896,100,160
0.5001,100,159
0.3985,100,158
0.1507,100,157
0.7096,100,156
0.6496,100,155
0.401,100,154
0.2734,100,153
0.145,100,152
0.2856,100,151
0.7618,100,150
0.7133,100,149
0.5068,100,148
0.7104,100,147
0.2916,100,146
0.2826,100,145
0.6495,100,144
0.4936,100,143
0.2748,100,142
0.2918,100,141
0.3952,100,140
0.3938,100,139
0.5792,100,138
-0.521,100,137
0.3986,100,136
0.2809,100,135
0.2863,100,134
0.5795,100,133
0.5818,100,132
0.3945,100,131
0.4905,100,130
0.1526,100,129
0.289,100,128
0.5781,100,127
0.3957,100,126
0.3974,100,125
0.1493,100,124
0.4964,100,123
0.7038,100,122
0.652,100,121
0.3941,100,120
0.574,100,119
0.3996,100,118
-0.4086,100,117
-0.2698,100,116
0.3892,100,115
0.2402,100,114
0.6557,100,113
0.7179,100,112
0.4802,100,111
-0.035,100,110
0.7036,100,109
0.5108,100,108
0.0724,100,107
0.6274,100,106
0.4902,100,105
0.3956,100,104
-0.8302,100,103
-1,100,102
-1,100,101
0.5412,99,206
0.1392,99,205
-0.7244,99,204
0.5393,99,203
0.0606,99,202
0.4778,99,201
-0.5368,99,200
-0.2206,99,199
-0.1316,99,198
-0.28,99,197
0.3084,99,196
-0.2102,99,195
0.1217,99,194
-0.99,99,193
-0.5274,99,192
0.3116,99,191
0.1103,99,190
-0.3184,99,189
0.3097,99,188
0.3136,99,187
0.2146,99,186
0.5455,99,185
0.6547,99,184
0.7815,99,183
0.3752,99,182
0.3995,99,181
0.5939,99,180
0.1894,99,179
-0.858,99,178
0.4724,99,177
-0.696,99,176
-0.7786,99,175
-0.3102,99,174
0.7029,99,173
0.1236,99,172
0.473,99,171
-0.5924,99,170
-0.7852,99,169
-0.3636,99,168
-0.7276,99,167
-0.481,99,166
0.1618,99,165
-0.8238,99,164
-0.5432,99,163
-0.6972,99,162
-0.9008,99,161
-0.7148,99,160
-0.452,99,159
0.3107,99,158
0.117,108,119
-0.0622,108,118
0.3056,108,117
0.939,108,116
0.9844,108,115
0.8564,108,114
0.365,108,113
0.3354,108,112
0.8524,108,111
0.6626,108,110
-0.3948,108,109
-0.9088,107,206
-0.4184,107,205
0.8425,107,204
0.4202,107,203
0.394,107,202
0.4664,107,201
0.479,107,200
0.5783,107,199
0.6705,107,198
0.5756,107,197
-0.1048,107,196
0.5816,107,195
0.1857,107,194
0.5737,107,193
0.6649,107,192
-0.33,107,191
0.1826,107,190
0.6662,107,189
-0.6306,107,188
-0.3108,107,187
-0.415,107,186
0.2128,107,185
0.0682,107,184
0.629,107,183
0.7146,107,182
0.0296000000000001,107,181
-0.9974,107,180
-0.5364,107,179
0.7742,107,178
0.2516,107,177
0.3072,107,176
0.767,107,175
0.7402,107,174
-0.7018,107,173
0.0206,107,172
0.6384,107,171
0.7333,107,170
0.1769,107,169
