RCBC,site1,site2
-0.361,1,96
-0.2006,1,95
0.9685,1,94
1,1,93
-0.5172,1,92
-0.432,1,91
-0.2166,1,90
-0.1038,1,89
-0.41,1,88
-0.5098,1,87
-0.6948,1,86
0.3706,1,85
-0.6912,1,84
-0.1992,1,83
0.9956,1,82
0.3652,1,81
0.3711,1,80
-0.3998,1,79
-0.146,1,78
-0.1514,1,77
-0.3862,1,76
-0.3952,1,75
-0.0872000000000001,1,74
-0.487,1,73
-0.3778,1,72
-0.3912,1,71
-0.365,1,70
-1,1,69
-0.101,1,68
-0.1338,1,67
-0.4116,1,66
-0.592,1,65
-0.106,1,64
0.0691999999999999,1,63
-0.6206,1,62
0.0698000000000001,1,61
0.3693,1,60
-0.098,1,59
-0.4178,1,58
0.9894,1,57
1,1,56
-0.0978,1,55
-0.1162,1,54
-0.4682,1,53
0.2506,1,52
-0.0988,1,51
-0.3088,1,50
-0.6296,1,49
0.376,1,48
-0.358,1,47
-0.277,1,46
0.3784,1,45
0.948,1,44
0.6704,1,43
0.5752,1,42
-0.5376,1,41
-0.5638,1,40
0.8296,1,39
-0.3514,1,38
-0.66,1,37
-0.5012,1,36
-0.986,1,35
0.7728,1,34
0.6732,1,33
-0.3724,1,32
-0.1238,1,31
-0.1366,1,30
-0.088,1,29
-0.0926,1,28
-0.2854,1,27
-0.2864,1,26
0.9986,1,25
0.9791,1,24
-0.5182,1,23
-0.6152,1,22
-0.378,1,21
-0.3766,1,20
-0.1098,1,19
-0.3008,1,18
-0.3874,1,17
-0.3256,1,16
-0.3418,1,15
-0.4452,1,14
0.9688,1,13
0.9964,1,12
0.8736,1,11
0.908,1,10
-0.3872,1,9
-0.9862,1,8
-0.9782,1,7
-0.1036,1,6
0.0824,1,5
-0.4894,1,4
-0.3862,1,3
-0.871,1,2
0.6294,10,46
0.2692,10,45
-0.3104,10,44
0.3922,10,43
0.4518,10,42
0.8155,10,41
0.8115,10,40
0.6864,10,39
0.4742,10,38
0.7351,10,37
0.8101,10,36
0.7403,10,35
0.5696,10,34
0.8952,10,33
0.8059,10,32
0.8079,10,31
0.8134,10,30
0.4762,10,29
0.473,10,28
0.6242,10,27
0.6232,10,26
-1,10,25
0.0775999999999999,10,24
0.8122,10,23
0.8096,10,22
0.4747,10,21
0.8663,10,20
0.5846,10,19
0.7348,10,18
0.8719,10,17
0.869,10,16
0.6327,10,15
0.6303,10,14
-0.1542,10,13
-1,10,12
-1,10,11
-1,9,96
-0.1136,9,95
0.9421,9,94
0.9997,9,93
-0.9486,9,92
-0.971,9,91
-0.6548,9,90
-0.9914,9,89
-0.7938,9,88
-0.6868,9,87
-1,9,86
0.3231,9,85
-0.5306,9,84
-0.1326,9,83
0.984,9,82
0.3253,9,81
0.3196,9,80
-0.945,9,79
-0.9968,9,78
-0.1468,9,77
-0.8754,9,76
-0.984,9,75
-0.9992,9,74
-0.501,9,73
-1,9,72
-1,9,71
-1,9,70
-1,9,69
-0.7754,9,68
-1,9,67
-0.878,9,66
-0.4744,9,65
-0.9338,9,64
-0.9316,9,63
-0.649,9,62
-0.9792,9,61
0.3212,9,60
-0.698,9,59
-1,9,58
-1,9,57
1,9,56
-0.999,9,55
-1,9,54
0.0900000000000001,9,53
-0.4334,9,52
-0.8544,9,51
-0.3176,9,50
-0.7002,9,49
0.323,9,48
-0.9704,9,47
-1,9,46
0.3179,9,45
0.6404,9,44
0.1796,9,43
0.0713999999999999,9,42
-0.9994,9,41
-1,9,40
0.0271999999999999,9,39
-0.8558,9,38
1,11,56
0.9898,11,55
-1,11,54
-1,11,53
0.9714,11,52
0.9998,11,51
0.9984,11,50
0.9722,11,49
0.9274,11,48
0.8392,11,47
-1,11,46
0.9268,11,45
1,11,44
1,11,43
1,11,42
0.9016,11,41
0.813,11,40
0.9414,11,39
0.8608,11,38
-1,11,37
-1,11,36
-1,11,35
1,11,34
0.9974,11,33
-1,11,32
0.5966,11,31
0.5934,11,30
0.8766,11,29
0.8584,11,28
0.8714,11,27
0.9564,11,26
0.9964,11,25
0.786,11,24
0.9638,11,23
-1,11,22
-1,11,21
0.9862,11,20
-1,11,19
0.717,11,18
0.9898,11,17
0.986,11,16
0.8562,11,15
-1,11,14
0.97,11,13
1,11,12
0.6229,10,96
0.4805,10,95
-0.5008,10,94
0.0558000000000001,10,93
0.8172,10,92
0.9078,10,91
0.818,10,90
0.8702,10,89
0.9392,10,88
0.8713,10,87
0.629,10,86
0.2813,10,85
0.2828,10,84
0.4767,10,83
-1,10,82
0.2766,10,81
0.2752,10,80
0.8713,10,79
0.8714,10,78
-0.5022,10,77
0.8704,10,76
