RCBC,site1,site2
-1,1,88
0.0261,1,87
-0.9496,1,86
-0.9514,1,85
0.0734999999999999,1,84
-1,1,83
-0.929,1,82
-1,1,81
-1,1,80
0.0485,1,79
0.0760000000000001,1,78
0.0227999999999999,1,77
-1,1,76
-0.9512,1,75
0.0488,1,74
0.1165,1,73
0.0254000000000001,1,72
0.0766,1,71
-0.9524,1,70
-0.9628,1,69
0.0249999999999999,1,68
-0.8418,1,67
-0.8458,1,66
0.0225,1,65
-1,1,64
0.0250999999999999,1,63
-0.8784,1,62
-1,1,61
0.0235000000000001,1,60
0.0491999999999999,1,59
-0.9518,1,58
0.0251999999999999,1,57
0.0486,1,56
0.1016,1,55
-0.9522,1,54
0.0229999999999999,1,53
-1,1,52
-1,1,51
-1,1,50
0.0739000000000001,1,49
-1,1,48
-1,1,47
0.0283,1,46
0.0237000000000001,1,45
-0.685,1,44
-0.7896,1,43
-1,1,42
0.046,1,41
0.0483,1,40
0.0992999999999999,1,39
-0.9186,1,38
-1,1,37
-1,1,36
0.0239,1,35
-0.7658,1,34
-0.8798,1,33
-1,1,32
0.0243,1,31
0.0945,1,30
-0.9298,1,29
-0.0864,1,28
-1,1,27
0.0468,1,26
0.0703,1,25
0.0503,1,24
0.0469999999999999,1,23
-1,1,22
0.0217000000000001,1,21
-1,1,20
0.0943000000000001,1,19
-1,1,18
-1,1,17
0.2036,1,16
0.122,1,15
-0.9474,1,14
0.0936999999999999,1,13
-0.961,1,12
-0.946,1,11
0.0248999999999999,1,10
-0.8302,1,9
-0.8252,1,8
-0.8282,1,7
-1,1,6
-1,1,5
0.1923,1,4
-0.9558,1,3
0.0244,1,2
-1,11,16
0.116,11,15
-0.9448,11,14
0.0976999999999999,11,13
-0.9594,11,12
0.8253,10,92
0.0944,10,91
0.0456000000000001,10,90
0.1474,10,89
-1,10,88
-0.9502,10,87
0.0277000000000001,10,86
0.0271999999999999,10,85
0.0759000000000001,10,84
0.4096,10,83
0.1435,10,82
0.4162,10,81
-1,10,80
0.0463,10,79
0.0755999999999999,10,78
0.0253000000000001,10,77
-1,10,76
0.0254000000000001,10,75
0.0455000000000001,10,74
0.1165,10,73
0.0257000000000001,10,72
0.0724,10,71
0.0224,10,70
-1,10,69
0.024,10,68
0.2597,10,67
0.2309,10,66
0.0226,10,65
0.4334,10,64
0.0246,10,63
0.1429,10,62
-1,10,61
0.0227999999999999,10,60
0.0461,10,59
0.0254000000000001,10,58
0.024,10,57
0.0445,10,56
0.0923,10,55
0.0257000000000001,10,54
0.0234000000000001,10,53
0.4418,10,52
-1,10,51
-1,10,50
0.0738000000000001,10,49
0.4655,10,48
-1,10,47
0.0250999999999999,10,46
0.0266999999999999,10,45
0.2174,10,44
0.2301,10,43
-1,10,42
0.0451999999999999,10,41
0.0482,10,40
0.0987,10,39
0.1426,10,38
0.3473,10,37
0.9563,10,36
0.024,10,35
0.148,10,34
0.1436,10,33
0.9273,10,32
0.0249999999999999,10,31
0.0931999999999999,10,30
0.0491999999999999,10,29
0.6074,10,28
-1,10,27
0.0496000000000001,10,26
0.0738000000000001,10,25
0.0498000000000001,10,24
0.0472999999999999,10,23
-1,10,22
0.0237000000000001,10,21
0.6214,10,20
0.0960000000000001,10,19
0.5526,10,18
0.9714,10,17
0.9254,10,16
0.1178,10,15
0.0243,10,14
