RCBC,site1,site2
-1,1,71
-1,1,70
0.8192,1,69
0.9996,1,68
0.5508,1,67
0.5978,1,66
0.9994,1,65
0.3762,1,64
1,1,63
1,1,62
1,1,61
0.4278,1,60
0.7322,1,59
1,1,58
1,1,57
-0.7924,1,56
-0.1468,1,55
0.9882,1,54
0.55,1,53
0.5404,1,52
1,1,51
0.9994,1,50
0.9956,1,49
0.9992,1,48
1,1,47
0.9988,1,46
0.9868,1,45
0.8492,1,44
0.9994,1,43
1,1,42
-0.6998,1,41
0.4938,1,40
0.9238,1,39
0.9988,1,38
0.5518,1,37
0.9308,1,36
0.469,1,35
1,1,34
0.4306,1,33
0.7386,1,32
0.5498,1,31
-1,1,30
0.869,1,29
0.5444,1,28
-0.2076,1,27
-1,1,26
1,1,25
0.4308,1,24
0.4396,1,23
-0.185,1,22
0.5252,1,21
0.4306,1,20
1,1,19
0.8054,1,18
0.727,1,17
0.9432,1,16
0.141,1,15
0.4414,1,14
0.9842,1,13
0.8924,1,12
0.4362,1,11
0.077,1,10
0.788,1,9
1,1,8
0.7972,1,7
0.4396,1,6
1,1,5
0.655,1,4
0.434,1,3
0.9998,1,2
-1,10,13
0.2934,10,12
0.1077,10,11
-0.9046,9,83
0.1649,9,82
-0.8262,9,81
-0.4744,9,80
-1,9,79
-1,9,78
-0.996,9,77
-0.444,9,76
-0.1356,9,75
-0.8226,9,74
-1,9,73
0.1682,9,72
-0.746,9,71
-0.6578,9,70
-0.6178,9,69
-0.3204,9,68
-0.7338,9,67
-0.968,9,66
-0.7318,9,65
-0.9394,9,64
-0.1056,9,63
0.8326,9,62
0.635,9,61
-0.994,9,60
-0.4146,9,59
-1,9,58
0.687,9,57
-0.3306,9,56
0.3478,9,55
0.8396,9,54
-0.7508,9,53
-0.7934,9,52
-0.2142,9,51
-1,9,50
0.1472,9,49
0.5676,9,48
0.7246,9,47
0.8792,9,46
0.7418,9,45
-1,9,44
-0.1686,9,43
-0.2724,9,42
0.6746,9,41
-0.996,9,40
-0.7358,9,39
-0.614,9,38
-0.7274,9,37
-0.328,9,36
-0.7656,9,35
-0.5742,9,34
-0.9986,9,33
-0.9736,9,32
0.1568,9,31
-0.734,9,30
-0.8234,9,29
-0.7508,9,28
-0.8296,9,27
-1,9,26
-1,9,25
-1,9,24
-0.9742,9,23
-0.7488,9,22
-0.8102,9,21
-0.9996,9,20
0.5942,9,19
0.5914,9,18
-0.9952,9,17
-1,9,16
-1,11,12
-0.9838,10,83
0.1091,10,82
-0.99,10,81
0.644,10,80
-1,10,79
0.525,10,78
0.5037,10,77
0.5868,10,76
0.5512,10,75
-0.2684,10,74
-1,10,73
0.1107,10,72
-0.9904,10,71
-0.7538,10,70
-0.988,10,69
-1,10,68
0.1105,10,67
0.2028,10,66
-0.9958,10,65
0.3831,10,64
-1,10,63
-1,10,62
-1,10,61
-0.7938,10,60
0.4568,10,59
1,10,58
0.7556,10,57
0.208,10,56
-1,10,55
-1,10,54
-0.838,10,53
-0.9012,10,52
-1,10,51
-1,10,50
0.1736,10,49
-1,10,48
0.888,10,47
-1,10,46
0.3394,10,45
-1,10,44
-1,10,43
-1,10,42
-0.5578,10,41
-0.9588,10,40
-0.9984,10,39
-1,10,38
-0.8306,10,37
-0.9764,10,36
-1,10,35
0.2806,10,34
0.1085,10,33
0.2087,10,32
0.1103,10,31
-0.8348,10,30
-0.9776,10,29
-0.8548,10,28
-0.9956,10,27
0.204,10,26
-1,10,25
-0.5608,10,24
0.1084,10,23
-0.9958,10,22
-0.8794,10,21
0.1119,10,20
-1,10,19
0.2224,10,18
-0.3506,10,17
-1,10,16
-0.004,10,15
0.2077,10,14
0.1606,11,83
-0.9388,11,82
-0.7506,11,81
-1,11,80
-1,11,79
-1,11,78
0.1601,11,77
0.4231,11,76
-1,11,75
-1,11,74
-1,11,73
-0.9508,11,72
0.0827,11,71
-1,11,70
-1,11,69
-1,11,68
0.0290999999999999,11,67
-0.8978,11,66
-1,11,65
0.1135,11,64
-1,11,63
-1,11,62
-1,11,61
0.0800000000000001,11,60
-1,11,59
-1,11,58
-1,11,57
-1,11,56
-1,11,55
-1,11,54
0.0270999999999999,11,53
0.0281,11,52
-1,11,51
-1,11,50
-1,11,49
-1,11,48
-1,11,47
-1,11,46
-1,11,45
-1,11,44
-1,11,43
-1,11,42
-1,11,41
0.1119,11,40
0.1948,11,39
0.244,11,38
0.0266,11,37
0.1879,11,36
0.0764,11,35
-1,11,34
0.0279,11,33
0.0536000000000001,11,32
-0.945,11,31
-0.9494,11,30
-1,11,29
0.0256000000000001,11,28
0.103,11,27
0.0576000000000001,11,26
-1,11,25
0.0840000000000001,11,24
0.0259,11,23
0.107,11,22
0.0269999999999999,11,21
0.028,11,20
-1,11,19
-1,11,18
0.1668,11,17
-1,11,16
-1,11,15
0.0542,11,14
-1,11,13
0.9294,12,83
0.629,12,82
0.7854,12,81
0.7342,12,80
0.7782,12,79
0.829,12,78
0.6362,12,77
0.97,12,76
0.7262,12,75
0.9924,12,74
0.831,12,73
0.62,12,72
-1,12,71
0.0938000000000001,12,70
0.9676,12,69
1,12,68
0.655,12,67
0.4006,12,66
1,12,65
0.1934,12,64
1,12,63
1,12,62
0.999,12,61
0.3684,12,60
0.977,12,59
1,12,58
1,12,57
0.5048,12,56
0.6276,12,55
0.966,12,54
0.6346,12,53
0.5848,12,52
0.9988,12,51
0.9932,12,50
0.9224,12,49
0.9392,12,48
1,12,47
0.9946,12,46
0.7152,12,45
0.9492,12,44
1,12,43
1,12,42
0.3322,12,41
0.6106,12,40
0.9704,12,39
0.9994,12,38
0.6344,12,37
0.9958,12,36
0.5838,12,35
1,12,34
0.3252,12,33
0.6876,12,32
0.6238,12,31
-1,12,30
0.9666,12,29
0.6312,12,28
0.306,12,27
-1,12,26
0.9944,12,25
0.117,12,24
0.3968,12,23
0.0758000000000001,12,22
0.6112,12,21
0.333,12,20
0.9982,12,19
0.3352,12,18
0.6072,12,17
0.912,12,16
0.9826,12,15
-1,12,14
0.9244,12,13
0.3574,14,15
0.911,13,83
0.901,13,82
-1,13,81
-1,13,80
1,13,79
0.8368,13,78
-1,13,77
-0.1956,13,76
1,13,75
-1,13,74
1,13,73
0.9054,13,72
-1,13,71
-1,13,70
0.796,13,69
0.993,13,68
0.8928,13,67
-1,13,66
0.9982,13,65
-1,13,64
0.5678,13,63
1,13,62
1,13,61
-1,13,60
-0.821,13,59
1,13,58
1,13,57
-1,13,56
0.978,13,55
0.9556,13,54
0.911,13,53
0.8964,13,52
1,13,51
1,13,50
0.9982,13,49
1,13,48
-0.9598,13,47
1,13,46
0.9714,13,45
1,13,44
1,13,43
1,13,42
0.4294,13,41
-1,13,40
0.9774,13,39
0.9996,13,38
0.8922,13,37
0.9226,13,36
-1,13,35
1,13,34
0.6184,13,33
-1,13,32
0.8942,13,31
-1,13,30
0.9562,13,29
0.9012,13,28
-1,13,27
-1,13,26
1,13,25
-1,13,24
0.7998,13,23
-1,13,22
0.9036,13,21
0.6962,13,20
0.933,13,19
0.7532,13,18
-1,13,17
0.9938,13,16
0.6156,13,15
-1,13,14
0.7156,15,18
0.636,15,17
0.311,15,16
-0.5156,14,83
0.0508,14,82
0.2604,14,81
-1,14,80
-1,14,79
-1,14,78
-0.9862,14,77
-0.7668,14,76
-1,14,75
-1,14,74
-1,14,73
0.0533999999999999,14,72
0.1586,14,71
0.2599,14,70
-0.5236,14,69
0.1454,14,68
-0.9028,14,67
-0.9806,14,66
-0.2398,14,65
-0.9856,14,64
0.419,14,63
-1,14,62
0.793,14,61
-0.9264,14,60
-0.00800000000000001,14,59
-1,14,58
-1,14,57
-0.6128,14,56
-1,14,55
0.726,14,54
0.0558000000000001,14,53
0.0544,14,52
-1,14,51
-1,14,50
-1,14,49
0.582,14,48
0.6512,14,47
-1,14,46
0.676,14,45
-1,14,44
-1,14,43
-1,14,42
0.8096,14,41
0.2072,14,40
-0.3206,14,39
-0.1952,14,38
0.0546,14,37
0.3419,14,36
0.1546,14,35
-1,14,34
-0.9444,14,33
-0.9522,14,32
0.0567,14,31
0.1542,14,30
-0.449,14,29
0.0536000000000001,14,28
0.2059,14,27
-1,14,26
