RCBC,site1,site2
-0.9524,10,64
-0.9538,10,63
-0.955,10,62
-0.9622,10,61
-0.937,10,60
-1,10,59
-1,10,58
-1,10,57
-1,10,56
-1,10,55
-1,10,54
-1,10,53
-1,10,52
-1,10,51
-1,10,50
-1,10,49
-0.9162,10,48
-1,10,47
-1,10,46
-0.9558,10,45
-0.9294,10,44
-1,10,43
-0.9544,10,42
-0.9548,10,41
-0.9556,10,40
-1,10,39
-1,10,38
-0.9582,10,37
-0.9606,10,36
-0.957,10,35
-0.9284,10,34
-1,10,33
-0.956,10,32
-0.953,10,31
-0.9616,10,30
-0.8204,10,29
-0.9558,10,28
-1,10,27
-0.9586,10,26
-1,10,25
-0.9564,10,24
-0.9606,10,23
-0.938,10,22
-0.8936,10,21
-0.9588,10,20
-1,10,19
-1,10,18
-0.8716,10,17
-1,10,16
-1,10,15
-0.9594,10,14
-1,10,13
-1,10,12
-0.9594,10,11
-0.8214,9,98
-0.9388,9,97
-0.9844,9,96
-0.9314,9,95
-0.6006,9,94
-0.764,9,93
-1,9,92
-1,9,91
-0.9456,9,90
-0.3714,9,89
-1,9,88
-0.4958,9,87
-1,9,86
-0.8878,9,85
-0.9382,9,84
-0.8482,9,83
-0.5832,9,82
-0.5792,9,81
-1,9,80
-0.8136,9,79
-0.9368,9,78
-0.9112,9,77
-0.8332,9,76
-0.8482,9,75
-1,9,74
-0.6676,9,73
-0.9534,9,72
-0.239,9,71
-1,9,70
-1,9,69
-0.586,9,68
-1,9,67
-1,9,66
-0.857,9,65
-0.9284,9,64
-0.9346,9,63
-0.8716,9,62
-0.924,9,61
-0.9084,9,60
-0.848,9,59
0.2878,9,58
0.5556,9,57
-1,9,56
0.2104,9,55
0.174,9,54
-0.9746,11,76
-0.4058,11,75
0.5146,11,74
0.2028,11,73
-0.9592,11,72
-0.8842,11,71
0.4242,11,70
0.4974,11,69
-0.909,11,68
0.4902,11,67
0.3018,11,66
-0.9542,11,65
-0.9582,11,64
-0.9612,11,63
-0.973,11,62
-0.957,11,61
-0.9808,11,60
-0.7206,11,59
0.5232,11,58
0.5294,11,57
0.5586,11,56
-0.8682,11,55
0.3356,11,54
0.4808,11,53
0.0878000000000001,11,52
0.3672,11,51
0.2104,11,50
0.329,11,49
-0.9946,11,48
-0.9248,11,47
-0.4506,11,46
-0.9544,11,45
-0.9792,11,44
-0.7634,11,43
-0.9586,11,42
-0.9568,11,41
-0.9522,11,40
-0.8868,11,39
-0.7362,11,38
-0.96,11,37
-0.9558,11,36
-0.9588,11,35
-0.9918,11,34
-0.8422,11,33
-0.957,11,32
-0.9574,11,31
-0.9564,11,30
-0.8244,11,29
-0.9632,11,28
0.4736,11,27
-0.961,11,26
-0.94,11,25
-0.9548,11,24
-0.9568,11,23
-0.9372,11,22
-0.9414,11,21
-0.9578,11,20
-0.2522,11,19
0.7462,11,18
-0.9972,11,17
0.4156,11,16
0.5894,11,15
-0.9584,11,14
-0.3522,11,13
0.5402,11,12
-0.957,10,98
-0.958,10,97
-1,10,96
-0.9554,10,95
-1,10,94
-1,10,93
-1,10,92
-1,10,91
-0.952,10,90
-1,10,89
-1,10,88
-1,10,87
-1,10,86
-0.9612,10,85
-0.9572,10,84
-0.8492,10,83
-1,10,82
-1,10,81
-1,10,80
-0.9624,10,79
-0.9556,10,78
-1,10,77
-0.9258,10,76
-1,10,75
-1,10,74
-1,10,73
-0.958,10,72
-1,10,71
-1,10,70
-1,10,69
-1,10,68
-1,10,67
-1,10,66
-0.958,10,65
0.9998,12,89
1,12,88
0.9994,12,87
0.9982,12,86
0.2012,12,85
0.551,12,84
-1,12,83
-1,12,82
0.9586,12,81
0.941,12,80
0.245,12,79
0.5538,12,78
0.7974,12,77
-1,12,76
0.9384,12,75
0.999,12,74
0.9974,12,73
0.6922,12,72
1,12,71
1,12,70
0.9936,12,69
0.997,12,68
0.997,12,67
0.9972,12,66
0.87,12,65
0.5508,12,64
0.5324,12,63
-1,12,62
0.4378,12,61
-1,12,60
0.9778,12,59
1,12,58
1,12,57
0.9994,12,56
0.9418,12,55
0.9802,12,54
0.977,12,53
0.996,12,52
1,12,51
0.9998,12,50
0.9998,12,49
0.7952,12,48
0.2754,12,47
0.7768,12,46
0.7348,12,45
-1,12,44
-1,12,43
0.1978,12,42
0.1976,12,41
0.8734,12,40
-1,12,39
1,12,38
0.4104,12,37
0.8486,12,36
0.8684,12,35
-1,12,34
0.8574,12,33
0.2014,12,32
0.7204,12,31
0.8204,12,30
-1,12,29
0.5574,12,28
0.999,12,27
0.5474,12,26
-1,12,25
0.7076,12,24
0.2072,12,23
-1,12,22
-1,12,21
0.7176,12,20
1,12,19
1,12,18
0.7078,12,17
0.89,12,16
0.9998,12,15
0.664,12,14
0.9644,12,13
-0.9584,11,98
-0.9586,11,97
-0.6194,11,96
-0.9636,11,95
-0.8882,11,94
-0.4916,11,93
0.4678,11,92
0.356,11,91
-0.9612,11,90
-0.7996,11,89
0.5412,11,88
-0.8384,11,87
0.1434,11,86
-0.9576,11,85
-0.953,11,84
-0.989,11,83
-0.8596,11,82
-0.8174,11,81
-0.3518,11,80
-0.963,11,79
-0.9588,11,78
-0.8276,11,77
-1,14,19
-1,14,18
-1,14,17
-1,14,16
-1,14,15
-0.7288,13,98
-0.1426,13,97
-0.2024,13,96
0.163,13,95
0.156,13,94
0.00819999999999999,13,93
0.5978,13,92
0.8962,13,91
-0.0972,13,90
0.2274,13,89
0.9882,13,88
-0.1532,13,87
0.5032,13,86
-0.7518,13,85
-0.3894,13,84
-0.2446,13,83
0.7942,13,82
0.1528,13,81
0.781,13,80
-0.69,13,79
-0.3152,13,78
0.5292,13,77
-1,13,76
-0.239,13,75
0.9474,13,74
0.686,13,73
-0.0438,13,72
-0.1612,13,71
0.9382,13,70
1,13,69
-0.7504,13,68
0.7262,13,67
0.8768,13,66
0.3814,13,65
-0.384,13,64
-0.4234,13,63
-1,13,62
-0.6888,13,61
-1,13,60
-0.0682,13,59
0.876,13,58
0.9814,13,57
0.9774,13,56
-0.981,13,55
0.8594,13,54
0.9948,13,53
-0.1102,13,52
-0.26,13,51
0.0716000000000001,13,50
0.7838,13,49
0.0349999999999999,13,48
0.2324,13,47
0.3434,13,46
0.0716000000000001,13,45
0.1584,13,44
0.1206,13,43
-0.7462,13,42
-0.7404,13,41
0.4334,13,40
-1,13,39
0.3404,13,38
-0.6782,13,37
0.313,13,36
0.4602,13,35
-1,13,34
0.5614,13,33
-0.744,13,32
0.0251999999999999,13,31
0.2422,13,30
-1,13,29
-0.322,13,28
0.996,13,27
-0.3864,13,26
0.00459999999999994,13,25
-0.0162,13,24
-0.7284,13,23
-1,13,22
-1,13,21
-0.034,13,20
0.8224,13,19
0.9874,13,18
-0.0302,13,17
0.8778,13,16
0.9232,13,15
-0.1028,13,14
0.2332,12,98
0.6392,12,97
-0.2786,12,96
0.7808,12,95
-1,12,94
0.9416,12,93
0.9968,12,92
0.9946,12,91
0.662,12,90
0.878,15,35
-1,15,34
0.9474,15,33
0.288,15,32
0.7852,15,31
0.8602,15,30
-1,15,29
0.6464,15,28
1,15,27
0.6262,15,26
-1,15,25
0.766,15,24
0.3,15,23
-1,15,22
-1,15,21
0.783,15,20
1,15,19
1,15,18
-1,15,17
0.9054,15,16
-0.96,14,98
-0.9576,14,97
-1,14,96
-0.9612,14,95
-1,14,94
-1,14,93
-1,14,92
-1,14,91
-0.9542,14,90
-1,14,89
-1,14,88
-1,14,87
-1,14,86
-0.9572,14,85
-0.958,14,84
-1,14,83
-0.8472,14,82
-1,14,81
-1,14,80
-0.9566,14,79
-0.9608,14,78
-1,14,77
-1,14,76
-1,14,75
-1,14,74
0.2166,14,73
-0.9614,14,72
-1,14,71
-1,14,70
-1,14,69
-1,14,68
-1,14,67
-1,14,66
-0.9548,14,65
-0.9562,14,64
-0.9604,14,63
-0.9696,14,62
-0.9612,14,61
-0.984,14,60
-1,14,59
-1,14,58
-1,14,57
-1,14,56
-1,14,55
-1,14,54
-1,14,53
-1,14,52
-1,14,51
-1,14,50
-1,14,49
-1,14,48
-1,14,47
-0.4362,14,46
-0.9596,14,45
-0.9802,14,44
-0.772,14,43
-0.9596,14,42
-0.9582,14,41
-0.9564,14,40
