RCBC,site1,site2
0.3677,104,110
0.3679,104,109
0.5864,104,108
0.3733,104,107
0.3643,104,106
0.3686,104,105
0.9962,103,160
-1,103,159
0.8836,103,158
0.7292,103,157
0.192,103,156
-0.4278,103,155
0.5528,103,154
0.3278,103,153
0.3988,103,152
0.3272,103,151
0.488,103,150
-0.9244,103,149
-0.401,103,148
-1,103,147
-0.985,103,146
-0.5466,103,145
-0.3848,103,144
0.9878,103,143
0.9988,103,142
0.9768,103,141
0.7468,103,140
0.8284,103,139
0.8612,103,138
-0.2594,103,137
0.4774,103,136
0.0164,103,135
-0.3632,103,134
0.7971,103,133
-0.4984,103,132
0.3164,103,131
0.5956,103,130
0.5473,103,129
0.321,103,128
0.317,103,127
0.3252,103,126
-0.91,103,125
-0.753,103,124
-0.9342,103,123
-0.9836,103,122
-0.5756,103,121
-0.5312,103,120
-1,103,119
-1,103,118
0.9642,103,117
0.9948,103,116
0.5642,103,115
-1,103,114
0.9974,103,113
0.8788,103,112
0.922,103,111
0.3235,103,110
0.3144,103,109
0.6418,103,108
0.3268,103,107
0.3284,103,106
0.3258,103,105
-0.9718,103,104
-1,102,160
-1,102,159
0.6992,102,158
0.1126,102,157
0.4896,102,156
0.2278,102,155
0.3715,102,154
0.2143,102,153
0.6292,102,152
0.2128,102,151
0.6208,102,150
-0.3262,102,149
-0.5712,102,148
-1,102,147
-0.9368,102,146
-0.981,102,145
-0.8146,102,144
-1,102,143
0.6758,102,142
0.8942,102,141
0.403,102,140
0.838,102,139
0.6822,102,138
-0.2292,102,137
0.5226,102,136
-0.4452,102,135
-0.1586,102,134
0.621,102,133
-0.555,102,132
0.211,102,131
0.7813,102,130
0.3858,102,129
0.2131,102,128
0.2112,102,127
0.2098,102,126
-0.5246,102,125
-0.486,102,124
-0.5684,102,123
-0.7384,102,122
-0.8772,102,121
-0.7982,102,120
-1,102,119
-1,102,118
-1,102,117
0.6402,102,116
-0.216,102,115
-1,102,114
-1,102,113
0.3324,102,112
0.9248,102,111
0.2153,102,110
0.2055,102,109
0.7021,102,108
0.2053,102,107
0.2054,102,106
0.2055,102,105
-0.5226,102,104
-0.9858,102,103
0.9978,101,160
-1,101,159
0.9744,101,158
0.9042,101,157
0.2528,101,156
-0.4368,101,155
0.4519,101,154
0.2506,101,153
0.2748,101,152
0.2565,101,151
0.3494,101,150
-1,101,149
-0.8602,101,148
-0.6946,101,147
-0.9056,101,146
-0.3162,101,145
-0.4154,101,144
0.9954,101,143
0.9996,101,142
0.9826,101,141
0.8944,101,140
0.8566,101,139
0.8652,101,138
0.5924,101,137
0.1882,101,136
0.1646,101,135
0.2082,101,134
0.7048,101,133
0.6032,101,132
0.2557,101,131
0.3052,101,130
0.4452,101,129
0.2535,101,128
0.2596,101,127
0.2482,101,126
-0.9984,101,125
-0.5998,101,124
-0.9952,101,123
-0.919,101,122
-0.3996,101,121
-0.5458,101,120
-1,101,119
-1,101,118
0.9858,101,117
0.998,101,116
0.922,101,115
-1,101,114
0.9992,101,113
0.9738,101,112
0.8376,101,111
0.248,101,110
0.2466,101,109
0.5046,101,108
0.2512,101,107
0.2526,101,106
0.2559,101,105
-0.938,101,104
-0.9698,101,103
-0.725,101,102
0.9768,100,160
0.5324,100,159
0.9638,100,158
0.6352,100,157
0.2702,100,156
-0.1316,100,155
0.5099,100,154
0.2982,100,153
0.4032,100,152
0.3019,100,151
0.4796,100,150
-0.6992,100,149
-0.8612,100,148
-0.835,100,147
-1,100,146
-0.8362,100,145
-0.3436,100,144
0.9452,100,143
0.9904,100,142
0.9918,100,141
0.503,100,140
0.3914,100,139
0.914,100,138
0.6715,100,137
0.604,100,136
0.5068,100,135
-0.0956,100,134
0.7682,100,133
0.6673,100,132
0.3038,100,131
0.4076,100,130
0.5133,100,129
0.3009,100,128
0.2915,100,127
0.3035,100,126
-0.5824,100,125
-0.9586,100,124
-0.8932,100,123
-0.9906,100,122
-0.9486,100,121
-0.4852,100,120
-1,100,119
-1,100,118
0.8922,100,117
0.962,100,116
0.8504,100,115
-1,100,114
0.9916,100,113
0.5026,100,112
0.5246,100,111
0.3,100,110
0.2972,100,109
0.6424,100,108
0.301,100,107
0.3046,100,106
0.2964,100,105
-0.6446,100,104
-0.977,100,103
-0.8764,100,102
-0.7748,100,101
-1,99,160
-1,99,159
-0.1368,99,158
-1,99,157
-1,99,156
0.5232,99,155
0.0873999999999999,99,154
0.0483,99,153
0.1828,99,152
0.05,99,151
0.1756,99,150
-0.7492,99,149
-0.6402,99,148
-0.991,99,147
-1,99,146
-0.861,99,145
-1,99,144
-1,99,143
-1,99,142
0.5328,99,141
0.896,99,140
0.8286,99,139
0.6919,99,138
0.1368,99,137
-1,99,136
-0.9532,109,110
0.8692,108,160
1,108,159
0.3656,108,158
0.7582,108,157
0.4356,108,156
0.951,108,155
0.2231,108,154
-0.7708,108,153
-0.615,108,152
-0.7662,108,151
-0.9884,108,150
0.6092,108,149
0.8496,108,148
0.2277,108,147
0.8226,108,146
0.8476,108,145
0.4795,108,144
0.8286,108,143
0.9922,108,142
0.534,108,141
-0.0748,108,140
-0.4946,108,139
-0.1756,108,138
-0.6046,108,137
0.6836,108,136
0.2984,108,135
0.9452,108,134
-0.5308,108,133
-0.5952,108,132
-0.776,108,131
-0.8276,108,130
-1,108,129
-0.7552,108,128
-0.7992,108,127
-0.7786,108,126
0.621,108,125
0.5828,108,124
0.5754,108,123
0.5876,108,122
0.7186,108,121
0.1209,108,120
0.1074,108,119
0.6218,108,118
0.5698,108,117
1,108,116
0.6932,108,115
0.9994,108,114
0.5908,108,113
0.9986,108,112
-0.4086,108,111
-0.7624,108,110
-0.758,108,109
-1,107,160
-1,107,159
-1,107,158
-1,107,157
-1,107,156
-1,107,155
0.0498000000000001,107,154
-0.9466,107,153
0.0946,107,152
-0.9544,107,151
0.0963000000000001,107,150
0.1645,107,149
0.2984,107,148
0.0431999999999999,107,147
0.2908,107,146
0.2969,107,145
0.12,107,144
-1,107,143
-1,107,142
-1,107,141
-1,107,140
-1,107,139
-1,107,138
-0.889,107,137
-1,107,136
-1,107,135
-1,107,134
-0.8748,107,133
0.0706,107,132
-0.9504,107,131
0.1413,107,130
0.048,107,129
0.0226999999999999,107,128
0.0259,107,127
-0.9538,107,126
0.2784,107,125
0.2778,107,124
0.3025,107,123
0.2962,107,122
0.3631,107,121
0.0216000000000001,107,120
-1,107,119
-1,107,118
-1,107,117
-1,107,116
-1,107,115
-1,107,114
-1,107,113
-1,107,112
-1,107,111
-0.9542,107,110
-0.9466,107,109
-1,107,108
-1,106,160
-1,106,159
-0.5424,106,158
-1,106,157
-1,106,156
-1,106,155
0.0450999999999999,106,154
-0.955,106,153
0.0960000000000001,106,152
-0.9518,106,151
0.0913999999999999,106,150
0.1634,106,149
0.2945,106,148
0.0458000000000001,106,147
0.2818,106,146
0.2982,106,145
0.1141,106,144
-1,106,143
-1,106,142
-1,106,141
-1,106,140
-1,106,139
-1,106,138
-0.8842,106,137
-1,106,136
-1,106,135
0.4006,106,134
-0.8722,106,133
0.0700000000000001,106,132
-0.9552,106,131
0.1411,106,130
0.046,106,129
0.0234000000000001,106,128
0.0236000000000001,106,127
-0.9496,106,126
0.2815,106,125
0.2805,106,124
0.3019,106,123
0.2998,106,122
0.3654,106,121
0.0238,106,120
-1,106,119
-1,106,118
-1,106,117
-1,106,116
-0.2084,106,115
0.7944,106,114
-1,106,113
0.5638,106,112
-0.8832,106,111
-0.958,106,110
-0.9518,106,109
-0.7646,106,108
-0.9548,106,107
-1,105,160
-1,105,159
-1,105,158
-1,105,157
-1,105,156
-1,105,155
0.0459000000000001,105,154
-0.9594,105,153
0.0958000000000001,105,152
-0.957,105,151
0.0933999999999999,105,150
0.1627,105,149
0.3014,105,148
0.0469999999999999,105,147
0.2787,105,146
0.2988,105,145
0.1183,105,144
-1,105,143
-1,105,142
-1,105,141
-1,105,140
-1,105,139
-1,105,138
-0.8748,105,137
-1,105,136
-1,105,135
-1,105,134
-0.8772,105,133
0.0757000000000001,105,132
-0.9542,105,131
0.139,105,130
0.0441,105,129
0.0275000000000001,105,128
0.0246,105,127
-0.9538,105,126
0.2751,105,125
0.2695,105,124
0.3036,105,123
0.2957,105,122
0.3646,105,121
0.0262,105,120
-1,105,119
-1,105,118
-1,105,117
-1,105,116
-0.2124,105,115
-1,105,114
