RCBC,site1,site2
-1,102,144
-1,102,143
-1,102,142
-1,102,141
-0.9594,102,140
-1,102,139
-1,102,138
-1,102,137
-1,102,136
-0.9496,102,135
-0.9454,102,134
-0.9512,102,133
-0.9464,102,132
-1,102,131
-0.9962,102,130
-0.9484,102,129
-0.961,102,128
-0.9894,102,127
0.0419,102,126
0.0799000000000001,102,125
0.3244,102,124
0.0397000000000001,102,123
0.2188,102,122
0.2578,102,121
0.3834,102,120
0.0387,102,119
-1,102,118
-1,102,117
-0.208,102,116
0.6582,102,115
-1,102,114
-1,102,113
0.2558,102,112
-1,102,111
-1,102,110
-1,102,109
-0.9432,102,108
-0.958,102,107
-1,102,106
-0.9584,102,105
-0.9988,102,104
-0.9856,102,103
-0.6456,101,165
-1,101,164
0.8096,101,163
0.6924,101,162
0.1342,101,161
0.18,101,160
0.1864,101,159
0.341,101,158
0.1919,101,157
0.1976,101,156
0.1912,101,155
0.1922,101,154
0.5837,101,153
0.3559,101,152
-0.8628,101,151
-0.8078,101,150
0.2011,101,149
-0.9706,101,148
-0.9664,101,147
-0.1724,101,146
0.7496,101,145
-1,101,144
-0.0884,101,143
0.139,101,142
0.024,101,141
0.102,101,140
-0.3446,101,139
-0.1424,101,138
-0.348,101,137
0.3314,101,136
0.472,101,135
0.4764,101,134
0.1942,101,133
0.19,101,132
0.3692,101,131
0.4881,101,130
0.1941,101,129
0.1986,101,128
0.4804,101,127
0.1933,101,126
-1,101,125
-0.8644,101,124
0.1915,101,123
-0.9458,101,122
-0.8236,101,121
-0.9166,101,120
0.187,101,119
-1,101,118
-0.6476,101,117
-0.2302,101,116
0.5964,101,115
-0.2584,101,114
0.1278,101,113
0.3366,101,112
-1,101,111
0.799,101,110
0.3491,101,109
0.1906,101,108
0.1918,101,107
0.7349,101,106
0.3398,101,105
0.3547,101,104
-0.2294,101,103
0.3442,101,102
-0.483,100,165
0.5336,100,164
0.9892,100,163
0.9332,100,162
0.8792,100,161
0.3216,100,160
0.363,100,159
0.3811,100,158
0.2082,100,157
0.214,100,156
0.2069,100,155
0.2103,100,154
0.62,100,153
0.3778,100,152
-0.8036,100,151
-0.818,100,150
0.2139,100,149
-0.943,100,148
-0.9846,100,147
0.6144,100,146
0.145,100,145
0.7838,100,144
0.6908,100,143
0.86,100,142
0.896,100,141
0.2194,100,140
0.6882,100,139
0.856,100,138
-0.0402,100,137
0.6022,100,136
0.5264,100,135
0.5259,100,134
0.213,100,133
0.2118,100,132
0.5518,100,131
0.5112,100,130
0.2125,100,129
0.2203,100,128
0.5145,100,127
0.2062,100,126
-1,100,125
-0.8534,100,124
0.2075,100,123
-0.823,100,122
-0.6514,100,121
-0.9424,100,120
0.212,100,119
0.76,100,118
0.8804,100,117
0.1978,100,116
-0.0698,100,115
-0.372,100,114
0.65,100,113
-0.589,100,112
0.2028,100,111
0.9508,100,110
0.3728,100,109
0.2087,100,108
0.2137,100,107
0.7811,100,106
0.3815,100,105
0.3756,100,104
-0.134,100,103
0.3863,100,102
-0.979,100,101
-1,99,165
-1,99,164
0.5888,99,163
0.3898,99,162
0.1276,99,161
-1,99,160
-0.414,99,159
0.0804,99,158
0.0378000000000001,99,157
0.038,99,156
0.0381,99,155
0.04,99,154
0.1527,99,153
0.0782,99,152
0.0399,99,151
-0.7624,99,150
0.0411999999999999,99,149
-0.8562,99,148
-1,99,147
-1,99,146
-1,99,145
-1,99,144
0.178,99,143
0.388,99,142
-1,99,141
0.257,99,140
-1,99,139
-1,99,138
-1,99,137
-0.0772,99,136
0.112,99,135
0.1148,99,134
0.0383,99,133
0.0401,99,132
0.3229,99,131
0.1191,99,130
0.0424,99,129
0.0389999999999999,99,128
0.1165,99,127
0.0392999999999999,99,126
-0.9088,99,125
-0.8054,99,124
0.042,99,123
-0.8232,99,122
-0.8072,99,121
-0.7084,99,120
0.0401,99,119
-1,99,118
-1,99,117
-1,99,116
-1,99,115
-1,99,114
-0.0528,99,113
-1,99,112
-1,99,111
0.5432,99,110
0.0774999999999999,99,109
0.0373000000000001,99,108
0.0390999999999999,99,107
0.2182,99,106
0.0763,99,105
0.0810999999999999,99,104
0.1211,99,103
0.0782,99,102
-0.8506,99,101
-1,99,100
-0.8054,98,165
-1,98,164
0.6198,98,163
0.6256,98,162
0.5064,98,161
0.6594,98,160
0.0676000000000001,98,159
0.2269,98,158
0.1159,98,157
0.1153,98,156
0.1149,98,155
0.121,98,154
0.4014,98,153
0.2219,98,152
-0.8928,98,151
-0.892,98,150
0.1113,98,149
-0.9992,98,148
-0.9562,98,147
-0.2652,98,146
-1,98,145
-1,98,144
0.1828,98,143
0.4478,98,142
0.3862,98,141
-0.4462,98,140
0.1212,98,139
0.3136,98,138
-0.102,98,137
0.1572,98,136
0.3128,98,135
0.3119,98,134
0.1211,98,133
0.1231,98,132
0.2996,98,131
0.3141,98,130
0.1144,98,129
0.12,98,128
0.3135,98,127
0.1183,98,126
-0.967,98,125
-0.9804,98,124
0.1232,98,123
-0.9986,98,122
-0.878,98,121
0.0201,107,126
0.0410999999999999,107,125
0.1714,107,124
0.0218,107,123
0.1221,107,122
0.1385,107,121
0.2123,107,120
0.0205,107,119
-1,107,118
-1,107,117
-0.5646,107,116
-1,107,115
-1,107,114
-1,107,113
-1,107,112
-1,107,111
-1,107,110
-1,107,109
-0.9594,107,108
0.6216,106,165
0.5296,106,164
-1,106,163
-0.018,106,162
0.6146,106,161
0.898,106,160
-0.8662,106,159
