RCBC,site1,site2
-0.8866,100,111
0.2336,100,110
-0.8828,100,109
-0.889,100,108
0.1172,100,107
0.0592999999999999,100,106
0.1152,100,105
0.0583,100,104
0.0609999999999999,100,103
-0.8982,100,102
-0.8952,100,101
0.1164,99,117
-0.8236,99,116
-0.8858,99,115
0.0608,99,114
0.117,99,113
-0.8738,99,112
-0.883,99,111
0.2308,99,110
-0.8732,99,109
-0.8826,99,108
0.115,99,107
0.0580000000000001,99,106
0.1155,99,105
0.0586,99,104
0.0625,99,103
-0.8946,99,102
-0.9086,99,101
-0.8846,99,100
0.319,98,117
-0.6708,98,116
-0.7778,98,115
-0.7976,98,114
-0.8204,98,113
-0.8848,98,112
-0.7996,98,111
0.5506,98,110
-0.8356,98,109
-0.807,98,108
0.3186,98,107
0.171,98,106
0.323,98,105
0.1752,98,104
0.1696,98,103
-0.9296,98,102
-0.8564,98,101
-0.8022,98,100
-0.82,98,99
0.1169,97,117
-0.8306,97,116
-0.8868,97,115
0.0580000000000001,97,114
0.1127,97,113
-0.8952,97,112
-0.8848,97,111
0.2294,97,110
-0.8814,97,109
-0.8822,97,108
0.1202,97,107
0.0587,97,106
0.1127,97,105
0.0572999999999999,97,104
0.0557000000000001,97,103
-0.9046,97,102
-0.9034,97,101
-0.8894,97,100
-0.8928,97,99
-0.8472,97,98
0.8476,96,117
0.8528,96,116
0.601,96,115
0.5996,96,114
0.8514,96,113
0.5978,96,112
0.6034,96,111
0.4146,96,110
0.6008,96,109
0.5909,96,108
-0.3486,96,107
0.1512,96,106
0.2158,96,105
0.0724,96,104
0.6011,96,103
0.8514,96,102
0.6122,96,101
0.5971,96,100
0.6047,96,99
0.9441,96,98
0.6037,96,97
0.1093,95,117
-1,95,116
-0.89,95,115
0.0577000000000001,95,114
0.1153,95,113
-0.8852,95,112
-0.8736,95,111
-1,95,110
-0.876,95,109
-0.8888,95,108
0.1201,95,107
0.0567,95,106
0.119,95,105
0.0608,95,104
0.0588,95,103
-1,95,102
-1,95,101
-0.8822,95,100
-0.8836,95,99
-1,95,98
-0.8814,95,97
0.6044,95,96
0.1214,94,117
-1,94,116
-0.8896,94,115
0.0583,94,114
0.1258,94,113
-0.8896,94,112
-0.883,94,111
-1,94,110
-0.8816,94,109
-0.8802,94,108
0.1188,94,107
0.0567,94,106
0.1166,94,105
0.0558000000000001,94,104
0.0609999999999999,94,103
-1,94,102
-1,94,101
-0.8844,94,100
-0.8886,94,99
-1,94,98
-0.8934,94,97
0.6015,94,96
-0.8792,94,95
-0.8944,93,117
-1,93,116
-0.8734,93,115
0.2325,93,114
0.4106,93,113
-0.6646,93,112
-0.5556,93,111
0.7532,93,110
0.0429999999999999,11,24
0.7831,11,23
0.5224,11,22
0.8208,11,21
0.8999,11,20
0.8973,11,19
0.9575,11,18
0.5239,11,17
0.5131,11,16
0.739,11,15
-0.085,11,14
0.1126,11,13
-0.1318,11,12
-1,10,117
-1,10,116
0.7206,10,115
0.9246,10,114
-1,10,113
0.9236,10,112
0.9202,10,111
0.9494,10,110
0.9258,10,109
0.9296,10,108
-1,10,107
0.9248,10,106
0.9266,10,105
0.9276,10,104
0.9244,10,103
-1,10,102
-1,10,101
0.7902,10,100
0.8788,10,99
-1,10,98
0.707,10,97
-1,10,96
0.9264,10,95
0.9198,10,94
0.928,10,93
0.9232,10,92
0.9312,10,91
-1,10,90
-1,10,89
-1,10,88
0.919,10,87
0.9256,10,86
0.9326,10,85
0.9314,10,84
0.9262,10,83
0.9631,10,82
0.925,10,81
0.9288,10,80
0.9308,10,79
-1,10,78
0.9246,10,77
0.9498,10,76
-1,10,75
0.9314,10,74
0.926,10,73
0.934,10,72
0.924,10,71
0.8858,10,70
0.9252,10,69
0.9192,10,68
1,10,67
-1,10,66
-1,10,65
-1,10,64
0.9618,10,63
-1,10,62
-1,10,61
-1,10,60
0.9609,10,59
-1,10,58
0.926,10,57
-1,10,56
-1,10,55
0.8934,10,54
-1,10,53
0.926,10,52
-1,10,51
0.9262,10,50
0.8762,10,49
0.9928,10,48
0.9936,10,47
0.945,10,46
0.5896,10,45
-1,10,44
0.9284,10,43
0.2236,10,42
-1,10,41
0.9164,10,40
0.186,10,39
0.3718,10,38
-1,10,37
-1,10,36
0.9046,10,35
0.9252,10,34
0.922,10,33
0.9226,10,32
0.9228,10,31
-1,10,30
0.7028,10,29
-1,10,28
1,10,27
0.7754,10,26
1,10,25
0.9292,10,24
-1,10,23
0.9218,10,22
-1,10,21
0.942,10,20
0.9264,10,19
-1,10,18
0.914,10,17
0.6558,10,16
-1,10,15
-1,10,14
-1,10,13
0.9254,10,12
0.978,10,11
0.9241,9,117
0.9214,9,116
0.7137,9,115
0.7191,9,114
0.9245,9,113
0.7142,9,112
0.7217,9,111
0.9936,9,110
0.7209,9,109
0.721,9,108
0.6276,9,107
0.3892,9,106
0.4696,9,105
0.7127,9,104
0.7235,9,103
0.9207,9,102
0.772,9,101
0.7227,9,100
0.7101,9,99
0.9811,9,98
0.7087,9,97
-0.8672,116,117
0.1214,115,117
-0.8208,115,116
0.1188,114,117
0.1139,114,116
0.0582,114,115
0.2308,113,117
0.2222,113,116
0.1164,113,115
-0.8472,113,114
0.1186,112,117
-0.8204,112,116
-0.882,112,115
0.0586,112,114
0.1105,112,113
0.1166,111,117
-1,111,116
-0.8838,111,115
0.0619000000000001,111,114
0.116,111,113
-0.8852,111,112
0.3932,110,117
-1,110,116
0.0906,110,115
0.6453,110,114
0.8841,110,113
0.1402,110,112
0.2892,110,111
0.1189,109,117
-1,109,116
-0.8772,109,115
0.0640000000000001,109,114
0.1169,109,113
-0.878,109,112
-0.8768,109,111
-1,109,110
0.1114,108,117
-0.807,108,116
-0.894,108,115
0.0582,108,114
0.1154,108,113
-0.8758,108,112
-0.8772,108,111
-1,108,110
-0.8824,108,109
0.2199,107,117
0.2152,107,116
0.1181,107,115
0.1204,107,114
0.225,107,113
0.1116,107,112
0.1108,107,111
0.8787,107,110
0.1139,107,109
0.1141,107,108
0.115,106,117
0.117,106,116
0.0568,106,115
0.0626,106,114
0.1108,106,113
0.0595000000000001,106,112
0.0590999999999999,106,111
0.6423,106,110
0.0552999999999999,106,109
0.0623,106,108
-1,106,107
0.2206,105,117
0.2206,105,116
0.1134,105,115
0.1154,105,114
0.2214,105,113
0.1172,105,112
0.1191,105,111
0.8851,105,110
0.1204,105,109
0.114,105,108
-0.7698,105,107
0.1163,105,106
0.1184,104,117
0.1191,104,116
0.0609999999999999,104,115
0.0608,104,114
0.115,104,113
0.0541,104,112
0.0589,104,111
0.6384,104,110
0.0589999999999999,104,109
0.0565,104,108
-1,104,107
0.0596000000000001,104,106
-0.8646,104,105
-1,103,117
-1,103,116
0.0620000000000001,103,115
0.0557000000000001,103,114
0.1155,103,113
0.0608,103,112
0.0556000000000001,103,111
-1,103,110
0.0595000000000001,103,109
0.0593999999999999,103,108
0.1178,103,107
0.0589999999999999,103,106
0.1112,103,105
0.0549999999999999,103,104
0.2273,102,117
-0.7388,102,116
-0.825,102,115
0.1125,102,114
-0.7454,102,113
-0.9288,102,112
-0.8246,102,111
0.219,102,110
-0.8438,102,109
-0.835,102,108
0.2191,102,107
0.1172,102,106
0.224,102,105
0.1142,102,104
0.1147,102,103
0.3234,101,117
-0.6952,101,116
-0.793,101,115
0.1719,101,114
-0.6528,101,113
-0.9304,101,112
-0.8238,101,111
0.3548,101,110
-0.8612,101,109
-0.8332,101,108
0.33,101,107
0.1633,101,106
0.316,101,105
0.1698,101,104
0.1701,101,103
-0.9396,101,102
0.1125,100,117
-0.8252,100,116
-0.878,100,115
0.0579000000000001,100,114
0.1138,100,113
-0.8808,100,112
0.115,12,60
0.0615000000000001,12,59
-1,12,58
-0.8856,12,57
-0.8668,12,56
-0.8962,12,55
-0.8774,12,54
0.1695,12,53
0.0558000000000001,12,52
0.1125,12,51
0.0573999999999999,12,50
-1,12,49
-1,12,48
-1,12,47
0.4326,12,46
0.3749,12,45
0.3277,12,44
0.0582,12,43
0.5599,12,42
0.1157,12,41
0.0639000000000001,12,40
0.638,12,39
0.5212,12,38
0.1168,12,37
0.115,12,36
0.1121,12,35
-0.88,12,34
-0.8876,12,33
-0.8904,12,32
0.0569,12,31
-0.922,12,30
0.2783,12,29
0.1181,12,28
-1,12,27
-1,12,26
-1,12,25
-0.875,12,24
0.1113,12,23
0.0598000000000001,12,22
0.2245,12,21
0.1721,12,20
0.1676,12,19
0.2244,12,18
0.0615000000000001,12,17
0.0568,12,16
0.1753,12,15
-0.9136,12,14
-1,12,13
-1,11,117
-1,11,116
-0.6814,11,115
0.5228,11,114
0.7793,11,113
-0.1182,11,112
0.0189999999999999,11,111
0.858,11,110
0.0282,11,109
0.0271999999999999,11,108
0.7771,11,107
0.5102,11,106
0.774,11,105
0.5133,11,104
-0.000199999999999978,11,103
-0.0468,11,102
-0.3266,11,101
-0.5806,11,100
-0.4614,11,99
0.2964,11,98
-0.6862,11,97
0.5344,11,96
0.0346,11,95
0.024,11,94
-1,11,93
0.00859999999999994,11,92
-0.0402,11,91
0.7776,11,90
0.7785,11,89
0.7772,11,88
0.5211,11,87
0.5189,11,86
0.5137,11,85
0.5272,11,84
0.5101,11,83
0.5216,11,82
0.5152,11,81
0.5282,11,80
0.5238,11,79
0.7745,11,78
-0.0758,11,77
-0.8212,11,76
-0.6228,11,75
0.00340000000000007,11,74
0.5212,11,73
0.000399999999999956,11,72
0.0212000000000001,11,71
-0.398,11,70
-0.0610000000000001,11,69
0.5143,11,68
0.9724,11,67
-0.1376,11,66
0.77,11,65
0.7799,11,64
0.5173,11,63
0.9577,11,62
0.9374,11,61
0.7794,11,60
0.5157,11,59
-1,11,58
-0.1794,11,57
0.1236,11,56
-0.0182,11,55
-0.424,11,54
-1,11,53
0.5144,11,52
0.7742,11,51
0.5212,11,50
0.6296,11,49
-0.921,11,48
-0.9928,11,47
0.9672,11,46
0.9214,11,45
0.9538,11,44
0.5184,11,43
0.9994,11,42
0.7768,11,41
0.5197,11,40
0.9986,11,39
0.7712,11,38
0.3336,11,37
0.2158,11,36
0.7714,11,35
-0.018,11,34
-0.0342,11,33
-0.00519999999999998,11,32
-0.153,11,31
-0.161,11,30
-0.598,11,29
0.7758,11,28
1,11,27
-0.5664,11,26
-0.956,11,25
-0.851,13,97
0.9469,13,96
-0.7482,13,95
-0.738,13,94
-0.541,13,93
-0.8284,13,92
-0.837,13,91
0.3293,13,90
0.3204,13,89
0.3219,13,88
0.1759,13,87
-0.8722,13,86
-0.8262,13,85
-0.7716,13,84
-0.762,13,83
0.1685,13,82
0.1732,13,81
0.1748,13,80
0.1705,13,79
0.3194,13,78
0.1717,13,77
-0.8556,13,76
-0.8814,13,75
-0.7584,13,74
-0.7906,13,73
-0.7864,13,72
-0.7374,13,71
-0.4312,13,70
0.1726,13,69
-0.8986,13,68
0.5792,13,67
0.8266,13,66
0.3225,13,65
-0.5804,13,64
0.1744,13,63
-0.504,13,62
-0.502,13,61
-0.7104,13,60
0.1715,13,59
-0.8016,13,58
-0.92,13,57
-0.9618,13,56
-0.964,13,55
-0.9188,13,54
0.4475,13,53
-0.9042,13,52
-1,13,51
-0.7906,13,50
-1,13,49
0.0204,13,48
-0.3274,13,47
0.2844,13,46
0.2438,13,45
0.0933999999999999,13,44
0.1681,13,43
0.7194,13,42
0.3206,13,41
0.1714,13,40
0.8106,13,39
0.6118,13,38
0.3179,13,37
0.3107,13,36
0.3156,13,35
-0.8254,13,34
-0.8436,13,33
-0.8198,13,32
0.1705,13,31
-0.972,13,30
0.6286,13,29
-0.8324,13,28
-1,13,27
-0.449,13,26
0.2818,13,25
-0.7456,13,24
0.312,13,23
0.1694,13,22
0.5543,13,21
0.4482,13,20
0.4456,13,19
-0.144,13,18
-0.7936,13,17
-0.8148,13,16
-0.707,13,15
-1,13,14
0.1171,12,117
-0.8268,12,116
-0.882,12,115
0.0578000000000001,12,114
0.117,12,113
-0.8764,12,112
-0.8846,12,111
-1,12,110
-0.8858,12,109
-0.8812,12,108
0.1139,12,107
0.0598000000000001,12,106
0.1153,12,105
0.0559000000000001,12,104
0.0605,12,103
-0.8978,12,102
-0.9058,12,101
-0.8908,12,100
-0.8778,12,99
-0.834,12,98
-0.8832,12,97
0.5993,12,96
-0.89,12,95
-0.8814,12,94
-1,12,93
-0.881,12,92
-0.8812,12,91
0.1136,12,90
0.1146,12,89
0.1155,12,88
0.0599000000000001,12,87
0.0619000000000001,12,86
0.0580000000000001,12,85
0.0573999999999999,12,84
0.0617000000000001,12,83
0.0590999999999999,12,82
0.0603,12,81
0.0587,12,80
0.0589,12,79
0.1118,12,78
0.0598000000000001,12,77
-1,12,76
-1,12,75
-0.8934,12,74
0.0591999999999999,12,73
-0.878,12,72
-0.8852,12,71
-0.7342,12,70
0.0585,12,69
0.0572999999999999,12,68
0.6729,12,67
0.4237,12,66
0.1183,12,65
0.1176,12,64
0.0567,12,63
0.2199,12,62
0.2695,12,61
0.1681,15,33
0.1749,15,32
0.1739,15,31
-0.5064,15,30
-0.0224,15,29
-1,15,28
1,15,27
0.1754,15,26
0.8504,15,25
0.163,15,24
0.3305,15,23
0.1748,15,22
0.5507,15,21
0.4498,15,20
0.4498,15,19
-0.1628,15,18
-0.701,15,17
-0.9906,15,16
0.2225,14,117
-0.7694,14,116
-0.8102,14,115
0.1165,14,114
-0.6962,14,113
-0.899,14,112
-0.8658,14,111
0.1668,14,110
-0.8934,14,109
-0.876,14,108
0.2184,14,107
0.1132,14,106
0.2181,14,105
0.1068,14,104
0.1181,14,103
-1,14,102
-1,14,101
-0.8294,14,100
-0.8424,14,99
-1,14,98
-0.7986,14,97
0.8473,14,96
-0.8708,14,95
-0.8638,14,94
-0.6536,14,93
-0.9446,14,92
-0.9412,14,91
0.2249,14,90
0.2129,14,89
0.217,14,88
0.1151,14,87
-0.8382,14,86
-0.8456,14,85
-0.8738,14,84
-0.8714,14,83
0.1127,14,82
0.1153,14,81
0.1153,14,80
0.1127,14,79
0.2281,14,78
0.1184,14,77
-1,14,76
-1,14,75
-0.8594,14,74
-0.85,14,73
-0.9006,14,72
-0.8646,14,71
-0.7544,14,70
0.1188,14,69
-0.7984,14,68
0.558,14,67
0.6794,14,66
0.2256,14,65
0.2191,14,64
0.1182,14,63
-0.3998,14,62
-0.2754,14,61
0.2264,14,60
0.1177,14,59
-0.8392,14,58
-0.892,14,57
-0.9616,14,56
-1,14,55
-0.8434,14,54
