RCBC,site1,site2
0.6202,10,34
0.6132,10,33
-0.7424,10,32
0.3338,10,31
0.7428,10,30
1,10,29
-1,10,28
0.8065,10,27
1,10,26
0.5932,10,25
0.8042,10,24
0.606,10,23
0.6138,10,22
0.6004,10,21
0.8042,10,20
0.9694,10,19
0.826,10,18
0.591,10,17
0.9928,10,16
0.9242,10,15
-1,10,14
1,10,13
-0.826,10,12
0.4338,10,11
-0.2792,9,143
0.9972,9,142
0.998,9,141
-0.6444,9,140
-0.4688,9,139
0.9174,9,138
0.4282,9,137
1,9,136
0.868,9,135
-0.1162,9,134
1,9,133
-0.203,9,132
-1,9,131
0.9476,9,130
-0.1048,9,129
-0.072,9,128
0.7606,9,127
0.9996,9,126
0.378,9,125
0.4622,9,124
1,9,123
0.7786,9,122
0.9544,9,121
0.991,9,120
0.9854,9,119
0.9926,9,118
1,9,117
1,9,116
0.211,9,115
0.0668,9,114
0.9982,9,113
0.9996,9,112
-1,9,111
0.9998,9,110
1,9,109
-1,9,108
0.6642,9,107
0.8945,9,106
0.1218,9,105
-0.0352,9,104
-0.1688,9,103
0.6686,9,102
0.6692,9,101
0.1206,9,100
0.6912,9,99
0.6667,9,98
0.3462,9,97
0.9942,9,96
0.183,9,95
0.344,9,94
0.9998,9,93
0.1178,9,92
0.2932,9,91
-0.8074,9,90
0.9908,9,89
0.9032,9,88
0.6661,9,87
-1,9,86
0.6633,9,85
0.999,9,84
0.9988,9,83
0.8374,9,82
0.7296,9,81
0.9876,9,80
0.4762,9,79
-1,9,78
-0.5068,9,77
0.8878,9,76
0.6686,9,75
0.0431999999999999,9,74
0.8342,9,73
0.8882,9,72
1,9,71
0.6612,9,70
0.6659,9,69
0.6659,9,68
0.6617,9,67
0.9914,9,66
0.9864,9,65
0.9342,9,64
0.994,9,63
0.9924,9,62
-0.6796,9,61
0.6666,9,60
0.6642,9,59
0.3336,9,58
-1,9,57
-0.1838,9,56
0.925,9,55
0.3262,9,54
-1,9,53
0.999,9,52
-1,9,51
0.9994,9,50
0.3204,9,49
0.00459999999999994,9,48
-0.0931999999999999,9,47
0.7684,9,46
0.8948,9,45
0.7786,9,44
0.8929,9,43
0.8941,9,42
0.3378,9,41
0.3984,9,40
0.4254,9,39
-1,9,38
0.9746,9,37
-1,9,36
0.6767,9,35
0.3334,9,34
0.3424,9,33
1,9,32
0.1596,9,31
-1,9,30
0.9942,9,29
-1,9,28
0.3386,9,27
1,9,26
0.7722,9,25
0.3282,9,24
0.663,9,23
0.6647,9,22
0.6691,9,21
-0.186,9,20
0.8864,9,19
-0.3448,9,18
0.6656,9,17
0.9806,9,16
0.926,9,15
0.221,9,14
1,9,13
0.6994,9,12
0.0442,9,11
1,9,10
-0.118,8,143
0.0566,8,142
0.116,8,141
-0.2852,8,140
-0.4824,8,139
0.5739,8,138
-0.281,8,137
0.7148,8,136
-0.867,8,135
-0.774,8,134
-1,8,133
-1,8,132
-0.9898,8,131
-1,8,130
-0.2804,8,129
0.0531999999999999,8,128
0.3116,8,127
-0.9206,8,126
-0.269,8,125
-0.0188,8,124
0.3846,8,123
-0.1636,8,122
0.4444,8,121
0.5112,8,120
0.1072,8,119
0.0172000000000001,8,118
0.6714,8,117
0.9192,8,116
-0.486,8,115
-0.8642,8,114
0.8012,8,113
-1,8,112
-0.6622,8,111
0.963,8,110
-1,8,109
-0.9272,8,108
0.1512,8,107
0.286,8,106
-0.1178,8,105
