RCBC,site1,site2
0.0855999999999999,10,98
-0.9598,10,97
-0.9102,10,96
0.6051,10,95
-0.9114,10,94
-0.0744,10,93
0.2057,10,92
0.2017,10,91
0.1983,10,90
0.9868,10,89
0.9294,10,88
-0.6144,10,87
0.4412,10,86
-0.5026,10,85
-0.0202,10,84
0.96,10,83
0.6958,10,82
-0.2812,10,81
-0.1478,10,80
-0.787,10,79
-0.3916,10,78
-0.7712,10,77
-0.9522,10,76
-0.3304,10,75
-0.3826,10,74
-0.1638,10,73
0.3574,10,72
0.1958,10,71
0.0314000000000001,10,70
0.7102,10,69
0.9984,10,68
0.8604,10,67
-0.3622,10,66
0.235,10,65
0.9522,10,64
-0.8362,10,63
-0.7114,10,62
0.947,10,61
0.3742,10,60
0.2025,10,59
0.2002,10,58
0.3656,10,57
-0.4538,10,56
-0.8334,10,55
0.0782,10,54
0.6562,10,53
0.5266,10,52
0.9654,10,51
-0.584,10,50
0.986,10,49
0.2003,10,48
-0.2262,10,47
0.1106,10,46
-0.6658,10,45
0.9016,10,44
0.2072,10,43
-0.458,10,42
0.2027,10,41
0.2048,10,40
0.1997,10,39
0.3667,10,38
0.3715,10,37
0.9998,10,36
0.2055,10,35
0.0469999999999999,10,34
0.345,10,33
0.9942,10,32
0.8724,10,31
0.1942,10,30
-0.8354,10,29
0.2022,10,28
-0.6106,10,27
0.1752,10,26
0.2037,10,25
-0.2554,10,24
-0.9956,10,23
0.2011,10,22
0.2027,10,21
0.1882,10,20
0.2043,10,19
-0.9,10,18
0.198,10,17
-0.775,10,16
-0.963,10,15
0.7254,10,14
0.9998,10,13
0.7615,10,12
-0.6848,10,11
-0.8204,9,129
-0.989,9,128
-1,9,127
-0.953,9,126
-0.713,9,125
-0.7464,9,124
-1,9,123
-0.9942,9,122
-0.3652,9,121
0.3494,9,120
-0.9218,9,119
-0.9988,9,118
0.0918000000000001,9,117
-0.4602,9,116
-0.9942,9,115
0.0911,9,114
-0.915,9,113
-0.9922,9,112
-0.2964,9,111
-0.6458,9,110
-0.7226,9,109
0.6684,9,108
-0.9988,9,107
-0.9958,9,106
-0.974,9,105
-1,9,104
-0.6652,9,103
-0.8856,9,102
0.0396000000000001,9,101
-0.9864,9,100
0.0911999999999999,9,99
-0.8134,9,98
-0.4502,9,97
-0.0412,9,96
-0.7638,9,95
-0.2544,9,94
0.4388,9,93
0.0906,9,92
0.0906,9,91
0.0913999999999999,9,90
0.0278,9,89
-0.4104,9,88
0.085,9,87
-0.8224,9,86
-0.8342,9,85
-0.2252,9,84
0.687,9,83
-0.6834,9,82
-0.953,9,81
-0.00239999999999996,9,80
0.2638,9,79
-0.3666,9,78
-0.3916,9,77
0.0682,9,76
-0.9614,9,75
-0.4212,9,74
-0.1036,9,73
0.284,9,72
0.0873999999999999,9,71
-0.7868,9,70
-0.1098,9,69
-1,9,68
0.876,9,67
-0.982,9,66
-0.1988,9,65
0.8472,9,64
-0.3096,9,63
-0.1236,9,62
0.5206,9,61
-0.4766,9,60
-0.8592,9,59
0.0891,9,58
0.1734,9,57
0.175,9,56
-0.459,9,55
-0.9134,9,54
-0.9972,9,53
-0.4316,9,52
-1,9,51
0.174,9,50
0.7818,9,49
-0.8474,9,48
-0.9966,9,47
-0.3608,9,46
0.537,103,110
0.552,103,109
0.992,103,108
-0.7646,103,107
-0.5294,103,106
-0.2934,103,105
0.7678,103,104
-0.6384,102,129
-0.7624,102,128
-1,102,127
-0.9024,102,126
-0.707,102,125
-0.6844,102,124
0.4244,102,123
-0.8942,102,122
-0.0106000000000001,102,121
0.6038,102,120
-0.9892,102,119
-0.9128,102,118
0.2014,102,117
-0.9784,102,116
-0.7802,102,115
0.2031,102,114
-0.974,102,113
-0.9902,102,112
-0.6456,102,111
-0.7924,102,110
-0.867,102,109
0.7102,102,108
-0.922,102,107
-0.826,102,106
-0.9528,102,105
0.9184,102,104
-0.42,102,103
0.2299,101,129
0.1116,101,128
-1,101,127
0.5536,101,126
0.2944,101,125
0.6212,101,124
1,101,123
0.1838,101,122
-1,101,121
-0.7336,101,120
0.2326,101,119
0.4196,101,118
-0.5604,101,117
0.0684,101,116
0.2268,101,115
0.2289,101,114
0.2302,101,113
-0.308,101,112
0.2234,101,111
-0.3962,101,110
-0.5116,101,109
0.9986,101,108
0.4149,101,107
0.1614,101,106
-0.405,101,105
0.9326,101,104
0.2542,101,103
0.3136,101,102
-0.6536,100,129
-0.9796,100,128
-1,100,127
-0.8732,100,126
-0.4972,100,125
-0.6702,100,124
0.9972,100,123
-0.9952,100,122
-0.545,100,121
0.5798,100,120
-0.7514,100,119
-0.981,100,118
0.1764,100,117
0.249,100,116
-0.9998,100,115
0.1738,100,114
-0.7312,100,113
-1,100,112
-0.8208,100,111
-0.3554,100,110
-0.9728,100,109
0.999,100,108
-0.9492,100,107
-0.9934,100,106
-0.3854,100,105
0.5404,100,104
-0.3972,100,103
-0.911,100,102
0.1758,100,101
0.03,99,129
0.2331,99,128
-1,99,127
0.0851999999999999,99,126
0.1162,99,125
0.2545,99,124
-1,99,123
0.1166,99,122
0.121,99,121
0.3156,99,120
0.0270999999999999,99,119
0.0591999999999999,99,118
0.0314000000000001,99,117
0.2615,99,116
0.1686,99,115
0.0328999999999999,99,114
0.0277000000000001,99,113
0.1115,99,112
0.699,99,111
0.5078,99,110
0.536,99,109
0.9165,99,108
0.0598000000000001,99,107
0.1164,99,106
0.1746,99,105
-1,99,104
0.121,99,103
0.2038,99,102
0.2353,99,101
0.1724,99,100
-0.7992,98,129
-0.9154,98,128
-1,98,127
-0.8982,98,126
-0.7678,98,125
-0.5686,98,124
-1,98,123
-0.7706,98,122
-0.4266,98,121
0.0206,98,120
-0.9136,98,119
-0.8494,98,118
0.1226,98,117
-0.8902,98,116
-0.7696,98,115
0.1202,98,114
-0.9204,98,113
-0.769,98,112
-1,98,111
-0.8992,98,110
-1,98,109
-1,98,108
-0.844,98,107
-0.773,98,106
-0.634,98,105
-1,98,104
-0.8022,98,103
-0.9214,98,102
-0.3302,98,101
-0.8374,98,100
0.1167,98,99
-0.6124,97,129
-0.5892,97,128
-1,97,127
-0.4894,97,126
-0.442,97,125
0.0072000000000001,97,124
0.8486,97,123
-0.3522,97,122
-0.995,97,121
-0.8108,97,120
-0.8648,97,119
-0.538,97,118
-0.6844,97,117
-0.0620000000000001,97,116
-0.225,97,115
0.2108,97,114
-0.8534,97,113
-0.8668,97,112
-0.3818,97,111
-0.8674,97,110
-0.7844,110,128
-1,110,127
-0.5426,110,126
-1,110,125
-0.7166,110,124
0.9804,110,123
-0.4404,110,122
-0.7128,110,121
0.7694,110,120
-0.827,110,119
-0.735,110,118
0.4953,110,117
-0.5362,110,116
0.0868,110,115
0.5073,110,114
-0.7432,110,113
-0.976,110,112
-0.9918,110,111
0.0704,109,129
-0.9862,109,128
0.9974,109,127
-0.4982,109,126
-1,109,125
-0.9744,109,124
0.9998,109,123
-0.8368,109,122
-0.6306,109,121
-0.744,109,120
0.0196000000000001,109,119
-1,109,118
0.5225,109,117
-1,109,116
-0.882,109,115
0.0580000000000001,109,114
0.0258,109,113
-1,109,112
-0.7202,109,111
-1,109,110
0.8254,108,129
0.892,108,128
1,108,127
0.5366,108,126
0.9506,108,125
0.9974,108,124
1,108,123
0.9322,108,122
0.6402,108,121
1,108,120
0.2832,108,119
0.7372,108,118
0.7986,108,117
1,108,116
0.9988,108,115
0.9149,108,114
0.341,108,113
0.9394,108,112
1,108,111
1,108,110
1,108,109
-0.8828,107,129
-0.9838,107,128
-1,107,127
-0.9856,107,126
-0.8118,107,125
-0.8766,107,124
-1,107,123
-0.9914,107,122
0.2207,107,121
0.5329,107,120
-0.923,107,119
-0.9932,107,118
0.0611999999999999,107,117
-0.4828,107,116
-0.9576,107,115
0.0568,107,114
-0.9146,107,113
-0.9802,107,112
-1,107,111
-0.7532,107,110
-0.4314,107,109
0.6148,107,108
-0.758,106,129
-0.993,106,128
-1,106,127
-0.9596,106,126
