RCBC,site1,site2
0.3827,10,34
-1,10,33
0.9894,10,32
0.9179,10,31
0.0367,10,30
-1,10,29
0.0589,10,28
0.0188999999999999,10,27
0.2574,10,26
-1,10,25
0.0206999999999999,10,24
0.0386,10,23
0.0805,10,22
0.0912999999999999,10,21
0.0920000000000001,10,20
-1,10,19
-0.74,10,18
-1,10,17
0.3462,10,16
0.846,10,15
0.0958000000000001,10,14
-0.7746,10,13
-1,10,12
0.0778000000000001,10,11
0.1475,9,143
-0.4434,9,142
-1,9,141
0.5747,9,140
-0.909,9,139
-1,9,138
0.4712,9,137
-0.983,9,136
-0.8574,9,135
0.0694999999999999,9,134
-0.969,9,133
-0.9402,9,132
0.2077,9,131
0.0344,9,130
0.0741000000000001,9,129
0.04,9,128
0.2127,9,127
-0.8124,9,126
-1,9,125
0.2408,9,124
-0.7618,9,123
-1,9,122
-0.253,9,121
0.6046,9,120
-0.0472,9,119
-1,9,118
0.6854,9,117
-0.928,9,116
-0.9858,9,115
-0.9844,9,114
-0.9882,9,113
0.4016,9,112
-0.981,9,111
-0.9338,9,110
-0.8786,9,109
-0.9846,9,108
0.0396000000000001,9,107
0.2171,9,106
-0.7266,9,105
0.2012,9,104
0.4216,9,103
0.1779,9,102
-0.891,9,101
-1,9,100
0.3019,9,99
-0.5664,9,98
-1,9,97
-1,9,96
-0.9786,9,95
0.0387999999999999,9,94
-0.9692,9,93
-0.9624,9,92
-0.9172,9,91
0.1121,9,90
0.0740000000000001,9,89
0.0398000000000001,9,88
0.0732999999999999,9,87
0.1486,9,86
0.0404,9,85
0.0374000000000001,9,84
0.2149,9,83
-0.5596,9,82
0.6319,9,81
-1,9,80
-1,9,79
0.0900000000000001,9,78
-0.6802,9,77
-1,9,76
-1,9,75
0.2762,9,74
0.3733,9,73
-1,9,72
-1,9,71
1,9,70
-0.978,9,69
0.136,9,68
0.2153,9,67
0.0355000000000001,9,66
0.1421,9,65
0.2807,9,64
0.1129,9,63
0.0377000000000001,9,62
-0.8456,9,61
0.347,9,60
0.6144,9,59
-1,9,58
-1,9,57
0.3438,9,56
-0.8184,9,55
0.7276,9,54
0.9992,9,53
0.2164,9,52
-0.1328,9,51
-1,9,50
0.8808,9,49
0.9906,9,48
0.1857,9,47
-0.3494,9,46
0.1026,9,45
0.1145,9,44
0.1099,9,43
0.0789,9,42
0.1463,9,41
0.1457,9,40
0.576,9,39
0.6261,9,38
0.1786,9,37
0.2163,9,36
-1,9,35
0.6257,9,34
-1,9,33
0.9998,9,32
0.9938,9,31
0.0722,9,30
-1,9,29
0.1149,9,28
0.0376000000000001,9,27
0.4549,9,26
-1,9,25
0.0388999999999999,9,24
0.0731999999999999,9,23
0.1481,9,22
0.1833,9,21
0.1783,9,20
-1,9,19
-0.5004,9,18
-0.4458,9,17
0.7468,9,16
0.956,9,15
0.5496,9,14
-0.5956,9,13
-0.9934,9,12
0.1453,9,11
-0.954,9,10
0.0762,8,143
-1,8,142
-1,8,141
0.348,8,140
0.2576,8,139
0.6212,8,138
0.769,8,137
0.0590999999999999,8,136
-0.8132,8,135
0.0383,8,134
-1,8,133
0.0187999999999999,8,132
0.113,8,131
0.0181,8,130
0.0385,8,129
0.0197000000000001,8,128
0.112,8,127
-1,8,126
-1,8,125
0.133,8,124
-1,8,123
-1,8,122
-1,8,121
0.3591,8,120
0.4361,8,119
0.6311,8,118
-1,8,117
-1,8,116
0.0550999999999999,8,115
-0.9242,8,114
-0.8868,8,113
0.2182,8,112
-1,8,111
0.0204,8,110
-1,8,109
-1,8,108
0.0202,8,107
0.1128,8,106
0.1001,8,105
-1,8,104
-1,8,103
0.0980000000000001,8,102
-1,8,101
-1,8,100
0.1692,8,99
0.2821,8,98
-1,8,97
-1,8,96
0.0795999999999999,8,95
0.0174000000000001,8,94
-1,8,93
0.0207999999999999,8,92
0.077,8,91
0.2657,102,115
0.1861,102,114
0.263,102,113
-0.5426,102,112
0.3294,102,111
0.0920000000000001,102,110
-0.639,102,109
-0.414,102,108
0.0939000000000001,102,107
-0.7532,102,106
-0.782,102,105
-1,102,104
-1,102,103
-0.5278,101,143
-0.3566,101,142
0.6526,101,141
-0.3504,101,140
-0.4166,101,139
0.1432,101,138
0.79,101,137
-0.7992,101,136
-0.6256,101,135
0.5291,101,134
-0.834,101,133
-0.6544,101,132
0.252,101,131
0.3068,101,130
-0.1926,101,129
-0.6474,101,128
-0.6144,101,127
-0.8196,101,126
-1,101,125
-0.4662,101,124
-0.207,101,123
-0.6572,101,122
-0.2608,101,121
-0.3428,101,120
-0.3356,101,119
-0.1268,101,118
0.7266,101,117
-1,101,116
-0.8034,101,115
-1,101,114
-0.8162,101,113
0.1894,101,112
-0.777,101,111
-0.5066,101,110
-0.737,101,109
-0.7204,101,108
0.3076,101,107
-0.1984,101,106
-0.6184,101,105
0.2406,101,104
0.3208,101,103
-1,101,102
-1,100,143
0.9584,100,142
0.9814,100,141
0.5546,100,140
0.4516,100,139
0.9834,100,138
0.9658,100,137
-1,100,136
-1,100,135
-1,100,134
-1,100,133
0.8364,100,132
-1,100,131
0.8476,100,130
-1,100,129
0.8472,100,128
-1,100,127
-1,100,126
0.9864,100,125
0.6528,100,124
-0.2224,100,123
0.9858,100,122
-0.2446,100,121
0.9354,100,120
0.9416,100,119
0.9758,100,118
0.9738,100,117
-1,100,116
0.6218,100,115
-1,100,114
-1,100,113
0.95,100,112
-1,100,111
0.8614,100,110
-1,100,109
0.2442,100,108
0.8498,100,107
-1,100,106
-1,100,105
0.05,100,104
0.9722,100,103
-1,100,102
-1,100,101
-0.8414,99,143
-0.9372,99,142
-1,99,141
-0.9988,99,140
-0.239,99,139
-1,99,138
-1,99,137
0.4314,99,136
-0.4652,99,135
0.3024,99,134
-0.3472,99,133
0.1733,99,132
-0.107,99,131
0.1652,99,130
-0.5278,99,129
-0.8558,99,128
-0.8432,99,127
-0.978,99,126
-1,99,125
-0.7366,99,124
-0.9766,99,123
-1,99,122
-0.6816,99,121
-0.997,99,120
-1,99,119
-1,99,118
-0.5188,99,117
0.4373,99,116
0.4348,99,115
0.307,99,114
0.4216,99,113
-0.3306,99,112
0.5304,99,111
0.1659,99,110
-0.4126,99,109
-0.2568,99,108
0.1634,99,107
-0.5968,99,106
-0.745,99,105
-1,99,104
-1,99,103
-0.9978,99,102
-0.9912,99,101
-1,99,100
-0.9962,98,143
-0.939,98,142
-0.1494,98,141
-0.7078,98,140
-0.1998,98,139
-1,98,138
-0.0928,98,137
-0.4996,98,136
-0.7312,98,135
0.4884,98,134
-0.8,98,133
-0.669,98,132
0.1484,98,131
0.28,98,130
-0.4956,98,129
-0.6458,98,128
-0.9764,98,127
-0.9222,98,126
-1,98,125
-0.7314,98,124
-0.1854,98,123
-0.2916,98,122
-0.654,98,121
-0.608,98,120
-0.5396,98,119
-0.836,98,118
-0.587,98,117
-0.6862,98,116
-0.3722,98,115
-0.7924,98,114
-0.3762,98,113
0.0596000000000001,98,112
-0.2298,98,111
-0.5468,98,110
-0.366,98,109
-0.5494,98,108
0.2802,98,107
-0.3076,98,106
-0.6718,98,105
-0.0407999999999999,98,104
-0.198,98,103
-1,98,102
-0.716,98,101
-1,98,100
-1,98,99
-1,97,143
-0.1702,97,142
0.9412,97,141
0.389,97,140
0.8422,97,139
0.8276,97,138
0.6624,97,137
-0.2718,97,136
0.133,97,135
0.3962,97,134
-0.462,97,133
0.1364,97,132
-1,97,131
0.2572,97,130
-1,97,129
0.158,97,128
-0.3372,97,127
0.2322,97,126
0.9656,97,125
0.3336,97,124
0.2646,97,123
0.5974,97,122
-0.3164,97,121
0.4376,97,120
0.5216,97,119
-1,107,137
0.0586,107,136
0.1166,107,135
0.0366,107,134
0.0974999999999999,107,133
0.0184,107,132
0.1113,107,131
0.0207999999999999,107,130
0.0356000000000001,107,129
0.0198,107,128
0.1101,107,127
0.3503,107,126
-1,107,125
0.1326,107,124
0.5343,107,123
-1,107,122
0.2921,107,121
0.3693,107,120
0.4309,107,119
-1,107,118
-1,107,117
0.0559000000000001,107,116
0.0598000000000001,107,115
0.0365,107,114
0.0525,107,113
0.2227,107,112
0.0744,107,111
0.0193000000000001,107,110
0.0887,107,109
0.1146,107,108
-0.4072,106,143
-0.5808,106,142
0.8378,106,141
-0.0936,106,140
0.2164,106,139
-0.0996,106,138
0.7624,106,137
0.3081,106,136
-0.2656,106,135
0.2131,106,134
-0.7036,106,133
0.1167,106,132
-0.874,106,131
-0.8774,106,130
-0.7554,106,129
-0.8744,106,128
-0.5456,106,127
-0.86,106,126
-1,106,125
-0.0716,106,124
0.1226,106,123
0.778,106,122
-0.4624,106,121
0.122,106,120
0.113,106,119
0.2534,106,118
0.5322,106,117
0.3061,106,116
0.3074,106,115
0.2149,106,114
0.3121,106,113
0.7959,106,112
0.3894,106,111
0.1187,106,110
-0.7066,106,109
-0.6242,106,108
0.1162,106,107
-0.6632,105,143
-1,105,142
-1,105,141
-0.3972,105,140
-0.141,105,139
-1,105,138
0.5852,105,137
-0.596,105,136
-0.756,105,135
0.1828,105,134
-0.8334,105,133
-0.8912,105,132
-0.738,105,131
0.0947,105,130
-0.7542,105,129
-0.9278,105,128
-0.6542,105,127
-0.9864,105,126
-1,105,125
-0.414,105,124
-0.098,105,123
0.5838,105,122
-0.6712,105,121
-0.0514,105,120
-0.27,105,119
0.046,105,118
0.3368,105,117
-0.6132,105,116
-0.5824,105,115
-0.7452,105,114
-0.612,105,113
0.7363,105,112
-0.4742,105,111
-0.8922,105,110
-0.7596,105,109
-0.8146,105,108
0.0911999999999999,105,107
-0.9398,105,106
-0.5706,104,143
-0.1544,104,142
0.9656,104,141
0.2488,104,140
0.5214,104,139
-0.574,104,138
0.6902,104,137
0.4388,104,136
-0.1326,104,135
0.4264,104,134
-0.5562,104,133
-0.2614,104,132
0.8522,104,131
0.7391,104,130
-1,104,129
-0.2152,104,128
-1,104,127
-0.5406,104,126
0.8572,104,125
-0.2076,104,124
-0.2236,104,123
0.5352,104,122
-0.3106,104,121
0.409,104,120
0.5668,104,119
0.0185999999999999,104,118
0.4818,104,117
-0.3592,104,116
0.3702,104,115
0.087,104,114
0.45,104,113
0.9072,104,112
0.5158,104,111
0.1486,104,110
-1,104,109
-0.1566,104,108
0.7441,104,107
0.101,104,106
0.1468,104,105
-1,103,143
-0.089,103,142
0.9644,103,141
0.3492,103,140
0.954,103,139
0.0258,103,138
0.7364,103,137
0.6078,103,136
0.208,103,135
0.6396,103,134
-0.472,103,133
-0.232,103,132
0.8054,103,131
0.2924,103,130
-1,103,129
-0.1536,103,128
-0.5482,103,127
0.3268,103,126
0.9664,103,125
-0.2316,103,124
0.4726,103,123
0.6412,103,122
0.1504,103,121
0.3998,103,120
0.6428,103,119
0.3696,103,118
0.5042,103,117
0.1416,103,116
0.6182,103,115
0.2786,103,114
0.6554,103,113
0.9178,103,112
0.7068,103,111
0.196,103,110
0.2092,103,109
0.3194,103,108
0.7272,103,107
0.1716,103,106
0.1924,103,105
0.3124,103,104
-0.924,102,143
-1,102,142
-1,102,141
-1,102,140
-0.65,102,139
-1,102,138
-1,102,137
0.2582,102,136
-0.7124,102,135
0.1875,102,134
-0.4914,102,133
0.0993999999999999,102,132
-0.4854,102,131
0.095,102,130
0.1799,102,129
-0.9182,102,128
-0.9808,102,127
-1,102,126
-1,102,125
-0.879,102,124
-1,102,123
-1,102,122
-0.477,102,121
-1,102,120
-1,102,119
-1,102,118
-0.1548,102,117
0.2516,102,116
0.2119,11,113
-0.6728,11,112
-0.7926,11,111
0.0713999999999999,11,110
-0.6538,11,109
-0.7454,11,108
0.0658000000000001,11,107
