RCBC,site1,site2
-1,10,30
-1,10,29
0.6708,10,28
0.721,10,27
0.7982,10,26
-0.196,10,25
0.8124,10,24
0.149,10,23
0.9608,10,22
-1,10,21
0.4704,10,20
0.9166,10,19
0.4708,10,18
0.4374,10,17
0.9238,10,16
-1,10,15
-1,10,14
0.9708,10,13
0.385,10,12
-1,10,11
-1,9,37
0.893,9,36
0.9976,9,35
-1,9,34
-1,9,33
0.8038,9,32
-1,9,31
-1,9,30
-1,9,29
-1,9,28
1,9,27
0.8476,9,26
-1,9,25
1,9,24
0.7336,9,23
1,9,22
-1,9,21
0.9242,9,20
1,9,19
0.9144,9,18
0.8926,9,17
0.9982,9,16
-1,9,15
-1,9,14
0.0397000000000001,12,23
-1,12,22
0.0762,12,21
0.0373000000000001,12,20
-1,12,19
0.0351999999999999,12,18
0.0395000000000001,12,17
-1,12,16
-1,12,15
-1,12,14
-1,12,13
0.4458,11,37
-0.7274,11,36
-0.0824,11,35
-0.6048,11,34
0.4639,11,33
0.6618,11,32
-0.0628,11,31
-0.7096,11,30
-0.7034,11,29
0.4585,11,28
0.7436,11,27
0.2684,11,26
-0.00639999999999996,11,25
0.667,11,24
-0.839,11,23
0.669,11,22
-1,11,21
-0.6512,11,20
0.3454,11,19
-0.6706,11,18
-0.7194,11,17
0.2262,11,16
-0.9228,11,15
-0.9542,11,14
-1,11,13
-0.7624,11,12
0.6798,10,37
0.4424,10,36
0.8164,10,35
-1,10,34
-1,10,33
0.942,10,32
0.3068,10,31
-0.7286,14,20
-1,14,19
-0.7368,14,18
-0.7836,14,17
-1,14,16
-0.9984,14,15
0.996,13,37
0.9228,13,36
0.9972,13,35
-1,13,34
-1,13,33
1,13,32
0.994,13,31
-1,13,30
-1,13,29
-1,13,28
0.9,13,27
0.9807,13,26
0.6398,13,25
0.9982,13,24
0.8764,13,23
0.9852,13,22
-1,13,21
0.9542,13,20
0.9922,13,19
0.9542,13,18
0.932,13,17
0.88,13,16
-1,13,15
-1,13,14
-1,12,37
0.0387999999999999,12,36
-1,12,35
0.0730999999999999,12,34
0.0795999999999999,12,33
-1,12,32
-1,12,31
-1,12,30
-1,12,29
0.0739000000000001,12,28
-1,12,27
0.0384,12,26
0.2953,12,25
0.1352,12,24
-0.8988,16,22
-1,16,21
0.1906,16,20
0.7808,16,19
0.2012,16,18
0.1736,16,17
0.342,15,37
-0.7792,15,36
-1,15,35
-0.6658,15,34
0.4539,15,33
-1,15,32
-1,15,31
-0.7084,15,30
-0.6918,15,29
0.4527,15,28
0.4928,15,27
0.2672,15,26
-0.017,15,25
0.3848,15,24
-0.8784,15,23
-1,15,22
-1,15,21
-0.7312,15,20
-1,15,19
-0.7418,15,18
-0.7876,15,17
-0.9524,15,16
0.1318,14,37
-0.7788,14,36
-1,14,35
-0.6436,14,34
-0.3632,14,33
-1,14,32
-0.9266,14,31
-0.8082,14,30
-0.7628,14,29
-0.2584,14,28
0.4118,14,27
0.3043,14,26
-0.247,14,25
0.352,14,24
-0.8744,14,23
-1,14,22
-0.919,14,21
0.0765,18,28
-1,18,27
0.0381,18,26
-1,18,25
-1,18,24
-0.9264,18,23
