,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-1,-0.8778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,-1,-0.3298,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.9094,0.0746,-0.9128,0.9782,0.7972,-0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.8106,0.133,-1,-1,-0.2268,-0.938,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.9922,-1,-1,1,1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.9892,-1,-1,1,0.9032,-1,-1,-0.0752,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-1,-0.52,-1,-1,-1,-0.6818,-1,-0.082,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.8802,0.0759000000000001,-0.9264,0.936,0.7368,-0.6954,-0.9234,-0.4144,0.8476,0.385,-0.7624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,-1,-1,1,0.9996,-1,-1,0.7384,0.9996,0.9708,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-1,-0.5684,-1,-1,-1,-0.9952,-1,-1,-1,-1,-0.9542,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-1,-0.59,-1,-1,-1,-0.9532,-1,-1,-1,-1,-0.9228,-1,-1,-0.9984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.6666,-1,-1,-1,0.9854,-0.7018,-1,-0.1792,0.9982,0.9238,0.2262,-1,0.88,-1,-0.9524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.9018,-0.922,-0.9236,0.9664,0.777,-0.6324,0.0387,-0.2972,0.8926,0.4374,-0.7194,0.0395000000000001,0.932,-0.7836,-0.7876,0.1736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.9284,-0.8926,-0.9108,0.9878,0.805,-0.546,0.0378000000000001,-0.1742,0.9144,0.4708,-0.6706,0.0351999999999999,0.9542,-0.7368,-0.7418,0.2012,-0.9338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.997,-1,-1,-1,0.8334,-1,-1,-0.1482,1,0.9166,0.3454,-1,0.9922,-1,-1,0.7808,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.9318,-0.9036,-0.895,0.9918,0.7912,-0.5366,0.0364,-0.1682,0.9242,0.4704,-0.6512,0.0373000000000001,0.9542,-0.7286,-0.7312,0.1906,-0.9278,-0.9232,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-1,-0.8826,-0.8672,-1,-1,-1,0.0810999999999999,-1,-1,-1,-1,0.0762,-1,-0.919,-1,-1,-1,-0.88,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.9912,-1,-1,1,0.999,-0.2354,-1,-0.00719999999999998,1,0.9608,0.669,-1,0.9852,-1,-1,-0.8988,-1,-1,0.9122,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.8208,-0.9158,-0.91,0.8964,0.6512,-0.7764,0.0355000000000001,-0.6044,0.7336,0.149,-0.839,0.0397000000000001,0.8764,-0.8744,-0.8784,-0.098,-0.9206,-0.9264,0.0986,-0.9206,-0.9638,0.3092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.9758,0.3328,-0.2696,1,0.986,0.2376,-1,0.285,1,0.8124,0.667,0.1352,0.9982,0.352,0.3848,0.2662,-1,-1,0.9482,-1,-1,0.7528,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.922,-0.4684,-0.4584,-1,-1,-0.2762,0.3015,-0.4074,-1,-0.196,-0.00639999999999996,0.2953,0.6398,-0.247,-0.017,-0.7568,-1,-1,-0.556,-1,-1,-1,-1,-0.7876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.8884,0.0741000000000001,0.0683,0.964,0.9299,0.3696,0.0399,0.577,0.8476,0.7982,0.2684,0.0384,0.9807,0.3043,0.2672,0.6312,0.0359,0.0381,0.5068,0.0335000000000001,0.075,0.8238,0.0402,0.6514,0.2989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9948,-1,-1,-1,-0.093,0.2248,-1,0.457,1,0.721,0.7436,-1,0.9,0.4118,0.4928,0.2682,-1,-1,0.5172,-1,-1,0.69,-1,0.5172,-1,0.7115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-1,0.1415,0.1518,-1,0.8054,-0.0316,0.0769,0.4466,-1,0.6708,0.4585,0.0739000000000001,-1,-0.2584,0.4527,-0.1036,0.0721000000000001,0.0765,0.7918,0.0760000000000001,0.1464,0.6488,0.0765,-1,-0.1962,0.0806,0.7044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,-0.5754,-1,-1,-1,-0.9866,-1,-0.8868,-1,-1,-0.7034,-1,-1,-0.7628,-0.6918,-1,-1,-0.6024,-1,-1,-1,-1,-1,-0.553,-0.6006,0.2991,-0.6004,-0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-1,-0.4462,-1,-1,-1,-0.7838,-1,-0.8968,-1,-1,-0.7096,-1,-1,-0.8082,-0.7084,-0.9844,-1,-1,-0.5294,-1,-1,-1,-1,-0.047,-0.328,0.328,-0.141,-0.1498,-1,NA,NA,NA,NA,NA,NA,NA,NA
