,711_S-1-S,711_S-1-M,711_S-2-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-3-S,713_S-1-S,713_S-1-M,713_S-1-X0,713_S-2-S,713_S-2-M,713_S-2-D,713_S-3-S,713_S-3-M,713_S-3-D,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S2_1-5,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,715_S1_1-5,715_S2_10-14,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S2_1-5,716_S2_10-14,716_S2_20-24,717_S2_1-5,717_S2_30-34,717_S3_1-5
711_S-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,-1.73788282719685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,0.896590507342641,-0.619171000199667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-S,-0.249521109296595,-2.25035963022223,-0.390045260708956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-M,0.714355071716597,-2.20080856238569,-0.0413133860753826,1.04910917049281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-D,-0.164936181795935,-0.890949548861804,-2.27260180669701,0.226959176868056,0.59204464678014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-X,-2.26519688770462,-1.80496913368579,-2.54951377286911,-2.86913623687147,-2.17612753550367,-4.04619246444439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,-0.274803576528345,0.191769064528717,-0.357860528529242,1.58164260077538,1.53274916734324,-1.10983035303752,-2.92198920790935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,-0.249521109296595,-1.90208085960791,0.656734163535763,NA,0.629156044358921,0.497541899462234,-2.45499712851762,1.08851044433175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-0.160821602906944,-2.54995669877771,-0.736425717395957,-0.393145110738394,-0.509345554633529,1.19515626914218,-3.00055714185293,1.03703639131149,-0.0944316541597973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,0.559232291903873,-0.609062343665344,-1.25734117616472,0.866732348873006,1.07142235766031,0.510175105743675,-3.19467962123656,0.554247556983138,0.744910332026548,1.48174595708438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-2.26519688770462,-1.80496913368579,-2.54951377286911,-2.86913623687147,-2.17612753550367,-4.04619246444439,NA,-2.92198920790935,-2.45499712851762,-3.00055714185293,-3.19467962123656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,2.85273123334929,-1.99633657443501,0.0273866159685658,3.19368300814316,0.514720600941587,0.363172108137317,-1.81846165156937,0.0542237370433847,3.19368300814316,-0.463565445699237,0.179272746902303,-1.81846165156937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,1.34763399687263,-0.759310851271118,-0.85179301298488,1.34883290454705,0.963264627566604,0.358611527733907,-3.05865371205581,0.542233780622656,1.94980431755312,1.48553622807491,0.00214000319681427,-3.05865371205581,1.18812499038105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-D,-0.958514122352057,-0.709510214724737,0.0414058357083582,-0.335326336910678,0.171359996350242,-0.715199620442019,-2.22709914071853,-0.504036110340474,-0.290491846236926,-0.220088721029338,-0.13410227779493,-2.22709914071853,-0.420393297989511,0.874478077801075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,-1.08852157570147,-2.54084205225603,-1.13728480747108,-1.04385817183842,-1.32721710851169,0.151781987274843,-3.03305155632056,0.105693409912788,-0.918567470135652,-1.05846783720275,-0.766500821449624,-3.03305155632056,-1.08534889964004,1.25039871809271,-0.397352215531788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,-1.76565242490107,0.779062767362182,-2.54951377286911,-2.53746149550384,-2.5295166088632,-4.1933727279712,-2.54951377286911,-2.6492125088422,-1.97859823775325,-3.06180379819708,-3.19708763104933,-2.54951377286911,-2.47640939032717,-3.02734572168057,-2.56010316943074,-3.08175867661746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,-1.76565242490107,0.779062767362182,-2.54951377286911,-2.53746149550384,-2.5295166088632,-4.1933727279712,-2.54951377286911,-2.6492125088422,-1.97859823775325,-3.06180379819708,-3.19708763104933,-2.54951377286911,-2.47640939032717,-3.02734572168057,-2.56010316943074,-3.08175867661746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,-0.30013851714316,-2.08289929560331,-0.299638547798439,-0.280150327416125,0.319955221679467,0.914923803915967,-2.920465921812,1.89591547282973,-0.00455919430469609,-0.0849932582799805,1.45090768089239,-2.920465921812,1.7888976212958,1.02503436420652,0.0575797929892242,-0.557170695157295,-2.05779748417641,-2.05779748417641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_5-9,-1.76565242490107,0.779062767362182,-2.54951377286911,-2.53746149550384,-2.5295166088632,-4.1933727279712,-2.54951377286911,-2.6492125088422,-1.97859823775325,-3.06180379819708,-3.19708763104933,-2.54951377286911,-2.47640939032717,-3.02734572168057,-2.56010316943074,-3.08175867661746,NA,NA,-2.05779748417641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_10-14,0.0142193135186199,-0.0912815284490605,-2.43476041611781,0.443838425754098,-0.493278881023963,-1.59199090223402,-2.51644954155151,-0.375127346087294,0.304338734269174,-0.68915667296634,-1.48211127405843,-2.51644954155151,-0.905928755653429,-1.47501504615515,-1.14250398014144,-0.149347540601664,-3.0852464425781,-3.0852464425781,0.614034842267578,-3.0852464425781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,-0.314013762877261,-1.97744917770369,0.544037594271171,0.146997699622104,-0.914326313604712,0.0279247277630483,-2.57856793544852,1.24661355907294,0.632156970355365,-0.86220478147571,-0.0939195769333377,-2.57856793544852,-0.703214606373347,1.07084573200589,-0.312679029532004,-0.788715785510917,-2.07831090426543,-2.07831090426543,-0.485786556124228,-2.07831090426543,0.212719281152011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_20-24,-1.76565242490107,0.779062767362182,-2.54951377286911,-2.53746149550384,-2.5295166088632,-4.1933727279712,-2.54951377286911,-2.6492125088422,-1.97859823775325,-3.06180379819708,-3.19708763104933,-2.54951377286911,-2.47640939032717,-3.02734572168057,-2.56010316943074,-3.08175867661746,NA,NA,-2.05779748417641,NA,-3.0852464425781,-2.07831090426543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_1-5,-0.328600209861157,1.12596716574024,1.07806870225235,0.145879557970291,1.12419163239134,0.53013541038415,-1.96863163633858,1.33126702530613,0.114527316958364,0.390134560826093,0.0433575189504653,-1.96863163633858,-0.441185092743767,0.728136058207819,-0.224403657127516,0.422953193544536,0.247833825709767,0.247833825709767,0.465327268135946,0.247833825709767,2.0429970456145,-0.128290084073307,0.247833825709767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_5-9,-0.135111656752866,0.0911334540772801,-1.2214090934552,-0.281985059930727,-0.495276714603174,-0.826407260835947,-1.91468919733886,-0.549129269276436,0.144519668139401,-0.675067453828405,-1.07401712843764,-1.91468919733886,-0.943177075256092,-1.10918164294892,-1.26984475709736,-0.616748149717375,-1.79607517701525,-1.79607517701525,-0.600236691982451,-1.79607517701525,-0.484935705279363,-0.702631638280607,-1.79607517701525,-0.733524342070184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_10-14,2.56071962084306,0.986455344329876,1.56170748382629,2.89044966194058,3.45616645414531,2.59323073201495,1.14947543651955,3.09870144806322,2.56953594659198,3.36789153531406,1.99793188018638,1.14947543651955,3.46058030106505,2.25954350594502,2.09344040247842,3.05633640680874,1.29994125097982,1.29994125097982,2.71967433813031,1.29994125097982,1.66077542817675,3.34449701559122,1.29994125097982,3.05063728561786,2.18710971949801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_1-5,1.51153057903789,-1.94124581680778,-0.969144021279091,1.31163427701,0.348589175338257,-0.44307207919387,-3.16201107289305,0.584258333900817,2.31803229202359,0.12012483229511,0.323576680136105,-3.16201107289305,1.20398033214054,-0.382769753009195,-0.366841309330359,-0.104081460601859,-2.17521784519939,-2.17521784519939,0.0638224998235655,-2.17521784519939,0.929644400450153,0.0895576141554402,-2.17521784519939,0.715061041865533,-1.15543154438885,3.34422812213991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S2_10-14,-2.11816572746708,-0.51137723524001,-0.675296643805933,-2.01525085843736,-1.87575027021467,-0.679646055143762,-0.903540113482188,-0.907532118853762,-1.97701489897524,-2.4741183164236,-1.77395158865891,-0.903540113482188,-1.72174659494832,0.0960730173233764,-0.933185704892503,-1.52578209972832,-0.718824747671951,-0.718824747671951,-1.68239938944807,-0.718824747671951,-0.503175226008875,-1.60092545278224,-0.718824747671951,-0.748582354490711,0.447971498835776,0.618186975772284,0.261843370116049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S3_20-24,-0.0896323572406587,0.0328613025686006,-0.743491756564084,0.604409582884317,0.864060169634798,-0.271770892523884,-2.99606318107253,0.239646108134803,0.551344661471764,0.420669373261299,-1.15219322622666,-2.99606318107253,-0.637652820937792,1.55581329077085,0.421054856553737,0.686229008858332,-2.62902178296581,-2.62902178296581,1.64803986615017,-2.62902178296581,-0.0818621957060693,0.93507188122008,-2.62902178296581,1.19788301199328,0.53372966235695,2.20673535366264,1.53296445040266,-1.15291214462185,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S3_30-34,0.686596365254244,-0.144197284967944,-0.894232839298079,1.29254625128176,1.19572136864011,-0.550102626641542,-3.15767053877917,0.642685721317875,1.39152280708738,0.736933964352108,-1.26732939337756,-3.15767053877917,-0.218910615199776,0.701548049824719,0.22588951488731,1.06680186534329,-3.01168709183024,-3.01168709183024,1.99417805745497,-3.01168709183024,-0.75074883498694,1.37767697130422,-3.01168709183024,1.50185403637003,-0.130907408732576,2.39816589640537,1.91527083101896,-1.12625683699214,-0.90580303030206,NA,NA,NA,NA,NA,NA,NA,NA
716_S1_1-5,1.21612092941587,-1.43371647313488,0.601773564017996,1.57546326895946,1.36765180922103,0.671634849917278,-2.33178066548896,1.62861144377847,2.44801240150861,0.605714357468878,-0.190550893904805,-2.33178066548896,1.58589042829457,0.917709998222747,-0.882611498476953,1.58339040312187,-0.991818706281329,-0.991818706281329,0.503431028703522,-0.991818706281329,0.783094187389661,0.606927187439318,-0.991818706281329,1.49056271116028,-0.450426477883893,3.00685663064696,1.41024873599025,0.0624400552252075,1.55145797496652,1.81585015957208,NA,NA,NA,NA,NA,NA,NA
716_S2_1-5,0.249961228115216,0.835353104953182,1.63679517406485,0.916400054674369,1.49392934930662,0.35487013179307,-1.99157545913578,-0.438246251513104,1.11426935839758,1.32647873033173,-0.501899014586509,-1.99157545913578,-0.282262437931785,2.4745582989577,-0.0785151438300822,-0.0205683879762268,-1.25901115862874,-1.25901115862874,1.14501565236868,-1.25901115862874,0.0524456375595999,0.286809128862365,-1.25901115862874,-0.254108100674294,0.394282250586451,3.31018707063256,1.85871773142197,-1.98838873452685,-0.628918299069587,-0.0752355593073232,2.19279028157814,NA,NA,NA,NA,NA,NA
716_S2_10-14,-2.11816572746708,-0.837195978898668,-1.18901543699996,-2.01525085843736,-1.87575027021467,-1.2078489217634,-1.36455210724127,-1.25472983965587,-1.97701489897524,-2.4741183164236,-2.02001463221236,-1.36455210724127,-1.72174659494832,-0.469554265589307,-1.35485706372077,-1.52578209972832,-1.15816583313228,-1.15816583313228,-1.68239938944807,-1.15816583313228,-0.995941222259872,-1.60092545278224,-1.15816583313228,-0.748582354490711,-0.0199502116869315,0.70669767661448,-0.163756140169229,NA,-1.40661043141095,-1.41732378511993,-0.321301070951976,-1.98838873452685,NA,NA,NA,NA,NA
716_S2_20-24,-1.48631570549924,0.194535380757191,-0.824965482714669,-2.14453675872045,-1.97999113604272,-1.34350215776575,-1.99690059982879,-0.166934550100078,-1.6355263367232,-2.52177764640048,-0.749427466193142,-1.99690059982879,-1.90260154387871,-1.10730682274098,-1.01958600865379,-2.30538047183509,1.0845731004104,1.0845731004104,-2.4682236896032,1.0845731004104,-0.245639123116235,-2.09811360023522,1.0845731004104,-0.510612417219647,-1.3879033090964,1.26697270127722,-1.73037178811989,-0.424463855661638,0.0296764820633752,-0.206835204204934,-1.16736301710824,-1.01583683974888,-0.810109896720894,NA,NA,NA,NA
717_S2_1-5,-0.203618658572407,-1.02041687564595,0.933044443281972,-0.398898128188145,1.18062253057598,0.795836209279204,-1.64247965742191,1.59686763175463,-0.372407102883768,0.448468672606035,0.846685282345631,-1.64247965742191,2.83695446190172,1.7166998479675,-0.0519209949239306,-0.6774837548666,-0.418342513120785,-0.418342513120785,-0.67011992997602,-0.418342513120785,1.32748331462227,0.684551222077878,-0.418342513120785,0.946239154958282,-0.301011387830188,2.3449924797655,0.691054449407725,-1.19842916272443,0.529180746081503,1.15504336588739,2.2439784136811,2.23345606642805,-1.19842916272443,-0.707378048975431,NA,NA,NA
