RCBC,site1,site2
-1,1,49
-1,1,48
-0.9952,1,47
-1,1,46
-1,1,45
-1,1,44
-0.997,1,43
-1,1,42
-0.673,1,41
-1,1,40
-1,1,39
-0.9946,1,38
-1,1,37
-1,1,36
-0.9896,1,35
-1,1,34
-1,1,33
-1,1,32
-0.9974,1,31
-0.9882,1,30
-1,1,29
-1,1,28
-1,1,27
-1,1,26
-0.9976,1,25
-1,1,24
0.4096,1,23
-1,1,22
-0.992,1,21
-1,1,20
-1,1,19
-1,1,18
-1,1,17
-0.9992,1,16
-1,1,15
-1,1,14
-0.992,1,13
-1,1,12
-1,1,11
-1,1,10
-1,1,9
-0.9954,1,8
-0.9912,1,7
-1,1,6
-1,1,5
-1,1,4
-1,1,3
-1,1,2
0.1218,10,16
1,10,15
1,10,14
-1,10,13
0.9956,10,12
1,10,11
1,9,69
0.9836,9,68
0.4642,9,67
1,9,66
0.994,9,65
0.4886,9,64
0.6326,9,63
1,9,62
1,9,61
0.9604,9,60
1,9,59
1,9,58
0.9796,9,57
0.5472,9,56
1,9,55
1,9,54
0.9896,9,53
0.8618,9,52
1,9,51
1,9,50
1,9,49
1,9,48
-0.9342,9,47
1,9,46
1,9,45
0.1118,9,44
0.1432,9,43
0.9998,9,42
0.984,9,41
0.8358,9,40
0.867,9,39
-0.5682,9,38
1,9,37
0.2174,9,36
0.1666,9,35
1,9,34
1,9,33
0.8886,9,32
-0.9998,9,31
-0.8936,9,30
1,9,29
1,9,28
0.5626,9,27
1,10,65
1,10,64
-1,10,63
0.9988,10,62
1,10,61
1,10,60
0.9816,10,59
1,10,58
1,10,57
-1,10,56
1,10,55
1,10,54
1,10,53
0.63,10,52
0.996,10,51
0.994,10,50
0.9968,10,49
1,10,48
1,10,47
1,10,46
1,10,45
1,10,44
-1,10,43
1,10,42
1,10,41
1,10,40
1,10,39
0.3224,10,38
1,10,37
0.985,10,36
0.5678,10,35
0.8142,10,34
1,10,33
1,10,32
0.9984,10,31
0.3916,10,30
1,10,29
1,10,28
1,10,27
0.9936,10,26
0.3112,10,25
0.9648,10,24
1,10,23
1,10,22
0.9998,10,21
0.9758,10,20
1,10,19
1,10,18
1,10,17
-1,11,56
1,11,55
1,11,54
0.9986,11,53
-1,11,52
1,11,51
1,11,50
1,11,49
0.9986,11,48
-0.5248,11,47
1,11,46
1,11,45
0.7454,11,44
0.757,11,43
1,11,42
0.9952,11,41
0.9802,11,40
0.8928,11,39
0.3192,11,38
0.9666,11,37
0.2066,11,36
0.3672,11,35
1,11,34
1,11,33
0.988,11,32
-1,11,31
-1,11,30
0.9994,11,29
0.9974,11,28
0.99,11,27
-0.289,11,26
0.3036,11,25
1,11,24
1,11,23
0.983,11,22
-0.7142,11,21
1,11,20
1,11,19
0.9792,11,18
0.9742,11,17
-1,11,16
0.9974,11,15
0.9934,11,14
-1,11,13
1,11,12
1,10,69
1,10,68
0.1598,10,67
1,10,66
1,12,48
0.913,12,47
1,12,46
1,12,45
1,12,44
0.5402,12,43
1,12,42
1,12,41
1,12,40
0.9996,12,39
-1,12,38
1,12,37
0.8834,12,36
0.2058,12,35
1,12,34
1,12,33
1,12,32
0.5762,12,31
-0.2684,12,30
1,12,29
1,12,28
1,12,27
0.8522,12,26
-1,12,25
0.9996,12,24
1,12,23
1,12,22
0.8352,12,21
-0.4306,12,20
1,12,19
1,12,18
1,12,17
0.0580000000000001,12,16
1,12,15
1,12,14
-1,12,13
1,11,69
0.9956,11,68
-1,11,67
1,11,66
0.998,11,65
0.8238,11,64
-1,11,63
1,11,62
1,11,61
0.9784,11,60
0.9964,11,59
0.9998,11,58
0.9912,11,57
-1,13,41
-1,13,40
-1,13,39
-0.9944,13,38
-1,13,37
-0.9008,13,36
-0.961,13,35
-1,13,34
-1,13,33
-1,13,32
-1,13,31
-1,13,30
-1,13,29
-1,13,28
-1,13,27
-1,13,26
-1,13,25
-1,13,24
-1,13,23
-1,13,22
-1,13,21
-0.1094,13,20
-1,13,19
-1,13,18
-1,13,17
-1,13,16
-1,13,15
-1,13,14
1,12,69
1,12,68
0.4006,12,67
1,12,66
1,12,65
1,12,64
-1,12,63
1,12,62
1,12,61
1,12,60
0.9376,12,59
1,12,58
1,12,57
-1,12,56
1,12,55
1,12,54
1,12,53
0.6336,12,52
1,12,51
1,12,50
0.9612,12,49
0.1876,14,35
1,14,34
1,14,33
0.9996,14,32
-0.7902,14,31
-1,14,30
0.9962,14,29
0.9998,14,28
0.9734,14,27
-1,14,26
-1,14,25
1,14,24
1,14,23
1,14,22
0.1162,14,21
0.9908,14,20
1,14,19
1,14,18
0.7036,14,17
-0.4458,14,16
-1,14,15
-1,13,69
-1,13,68
-1,13,67
-1,13,66
-1,13,65
-1,13,64
-0.958,13,63
-1,13,62
-1,13,61
-1,13,60
-1,13,59
-1,13,58
-1,13,57
-0.9388,13,56
-1,13,55
-1,13,54
-1,13,53
-0.9,13,52
-1,13,51
-1,13,50
-1,13,49
-1,13,48
-0.7966,13,47
-1,13,46
-1,13,45
-1,13,44
-0.976,13,43
-1,13,42
-1,15,30
0.9976,15,29
1,15,28
0.988,15,27
-1,15,26
-1,15,25
1,15,24
1,15,23
1,15,22
0.2298,15,21
0.9936,15,20
1,15,19
1,15,18
0.7562,15,17
-0.4078,15,16
1,14,69
0.952,14,68
0.4242,14,67
1,14,66
1,14,65
1,14,64
-1,14,63
1,14,62
1,14,61
0.7148,14,60
1,14,59
1,14,58
0.952,14,57
-1,14,56
1,14,55
1,14,54
1,14,53
0.8878,14,52
1,14,51
1,14,50
1,14,49
1,14,48
0.3738,14,47
1,14,46
1,14,45
0.8816,14,44
-1,14,43
0.9996,14,42
0.992,14,41
0.94,14,40
0.8514,14,39
-1,14,38
1,14,37
0.3676,14,36
-0.9818,16,26
-0.9668,16,25
0.192,16,24
0.5474,16,23
-0.5388,16,22
-1,16,21
-0.389,16,20
-1,16,19
-0.7572,16,18
-1,16,17
1,15,69
0.9568,15,68
0.4372,15,67
1,15,66
1,15,65
0.9994,15,64
-1,15,63
1,15,62
1,15,61
0.7252,15,60
1,15,59
1,15,58
0.9586,15,57
-1,15,56
1,15,55
1,15,54
1,15,53
0.8932,15,52
1,15,51
1,15,50
1,15,49
1,15,48
0.4168,15,47
1,15,46
1,15,45
0.8966,15,44
-1,15,43
1,15,42
0.9978,15,41
0.971,15,40
0.8518,15,39
-1,15,38
1,15,37
0.388,15,36
0.2034,15,35
1,15,34
1,15,33
0.9996,15,32
-0.735,15,31
0.8832,17,23
0.0833999999999999,17,22
-1,17,21
0.9978,17,20
1,17,19
-0.96,17,18
0.2526,16,69
-1,16,68
-0.741,16,67
-0.817,16,66
0.2582,16,65
-0.9862,16,64
-0.9186,16,63
-1,16,62
0.4028,16,61
-0.9648,16,60
-0.7822,16,59
-0.698,16,58
-0.9994,16,57
-0.9118,16,56
-1,16,55
-0.5014,16,54
-0.631,16,53
-0.7258,16,52
-1,16,51
-1,16,50
0.00380000000000003,16,49
0.1492,16,48
-0.9734,16,47
-0.314,16,46
-1,16,45
-0.9968,16,44
-0.9552,16,43
0.5486,16,42
-0.6662,16,41
-1,16,40
-0.9644,16,39
