RCBC,site1,site2
0.5783,1,49
0.6078,1,48
0.7504,1,47
0.5773,1,46
0.3612,1,45
0.5538,1,44
0.8228,1,43
0.5812,1,42
0.6688,1,41
0.9996,1,40
1,1,39
0.9024,1,38
0.606,1,37
0.9522,1,36
1,1,35
0.6662,1,34
0.8264,1,33
0.7504,1,32
0.6914,1,31
0.8816,1,30
0.9814,1,29
0.8278,1,28
0.7104,1,27
0.994,1,26
-0.0746,1,25
0.8305,1,24
0.584,1,23
0.5116,1,22
0.64,1,21
0.261,1,20
0.6144,1,19
0.8702,1,18
0.5656,1,17
0.5788,1,16
0.694,1,15
0.666,1,14
-0.481,1,13
0.5112,1,12
0.7436,1,11
0.8292,1,10
0.6226,1,9
0.4504,1,8
0.0271999999999999,1,7
0.7758,1,6
0.561,1,5
0.6798,1,4
0.5776,1,3
0.7026,1,2
0.5775,10,16
-0.8806,10,15
-0.8792,10,14
0.4698,10,13
-0.9318,10,12
-0.694,10,11
-0.8734,9,69
-0.8894,9,68
0.7288,9,67
-0.934,9,66
-0.8318,9,65
-1,9,64
0.6978,9,63
-0.8956,9,62
-0.9206,9,61
-0.555,9,60
-0.8972,9,59
-0.5414,9,58
-0.3944,9,57
0.9952,9,56
-0.7834,9,55
-0.8876,9,54
-0.937,9,53
0.9294,9,52
-0.7514,9,51
-0.8104,9,50
-0.9054,9,49
-0.9062,9,48
-0.408,9,47
-0.9218,9,46
-0.988,9,45
-0.917,9,44
-0.309,9,43
-0.9128,9,42
-0.9486,9,41
-0.4438,9,40
0.6608,9,39
0.8616,9,38
-0.96,9,37
-0.8178,9,36
0.8536,9,35
-0.8676,9,34
-0.873,9,33
-0.9744,9,32
-0.9252,9,31
0.0926,9,30
-0.8632,9,29
-0.9184,9,28
-0.832,9,27
-0.8262,10,65
-0.8092,10,64
0.5954,10,63
-0.8732,10,62
-0.7312,10,61
-1,10,60
-0.937,10,59
-0.3198,10,58
-0.5488,10,57
0.97,10,56
-0.7734,10,55
-1,10,54
-0.7764,10,53
-1,10,52
-0.8498,10,51
-0.8236,10,50
-0.9416,10,49
-0.9582,10,48
0.3297,10,47
-0.9554,10,46
-0.9256,10,45
-0.866,10,44
0.3861,10,43
-0.9324,10,42
-0.9382,10,41
-1,10,40
-1,10,39
0.7542,10,38
-0.837,10,37
-0.7984,10,36
0.9245,10,35
-0.9502,10,34
-0.9476,10,33
-0.863,10,32
-0.812,10,31
0.5833,10,30
-1,10,29
-0.7802,10,28
-0.6716,10,27
-1,10,26
-1,10,25
-0.9986,10,24
-0.9506,10,23
-0.9446,10,22
0.2466,10,21
-0.8858,10,20
-0.8222,10,19
-0.8074,10,18
-0.6976,10,17
0.9988,11,56
-0.7392,11,55
-0.8504,11,54
-0.8922,11,53
0.0653999999999999,11,52
-1,11,51
-1,11,50
-0.6266,11,49
-1,11,48
-0.3878,11,47
-0.7484,11,46
-1,11,45
-1,11,44
-0.3552,11,43
-0.6286,11,42
-1,11,41
-0.9992,11,40
-1,11,39
0.9686,11,38
-0.9992,11,37
-0.887,11,36
0.8706,11,35
-0.7762,11,34
-0.5432,11,33
-0.9838,11,32
-1,11,31
-0.7476,11,30
-0.8058,11,29
-0.992,11,28
-1,11,27
-0.7136,11,26
-1,11,25
-0.6652,11,24
-0.761,11,23
-1,11,22
-0.834,11,21
-1,11,20
-0.5432,11,19
-0.897,11,18
-0.9778,11,17
-0.8584,11,16
-0.3738,11,15
-0.4126,11,14
0.6948,11,13
-1,11,12
-0.9218,10,69
-0.693,10,68
-1,10,67
-0.917,10,66
-0.9256,12,48
-0.4426,12,47
-0.9376,12,46
-1,12,45
-1,12,44
-0.345,12,43
-0.9582,12,42
-1,12,41
-1,12,40
-1,12,39
-1,12,38
-1,12,37
-1,12,36
0.7474,12,35
-0.9158,12,34
-0.9382,12,33
-1,12,32
-1,12,31
0.00099999999999989,12,30
-1,12,29
-1,12,28
-1,12,27
-1,12,26
-1,12,25
-0.9248,12,24
-0.9378,12,23
-0.936,12,22
-0.6694,12,21
-0.9382,12,20
-1,12,19
-1,12,18
-0.763,12,17
-0.048,12,16
-1,12,15
-1,12,14
-1,12,13
-0.4226,11,69
-0.9746,11,68
-0.7356,11,67
-1,11,66
-0.2612,11,65
-0.9634,11,64
0.1164,11,63
-0.8012,11,62
-0.7358,11,61
-0.9986,11,60
-0.619,11,59
-0.1966,11,58
-0.9876,11,57
0.49,13,41
0.9986,13,40
1,13,39
1,13,38
0.6952,13,37
0.947,13,36
0.9998,13,35
0.4686,13,34
0.3612,13,33
0.788,13,32
0.582,13,31
0.896,13,30
0.985,13,29
0.8644,13,28
0.3384,13,27
0.9904,13,26
0.6936,13,25
0.4826,13,24
-0.1508,13,23
0.2926,13,22
0.7194,13,21
-1,13,20
0.5148,13,19
0.8184,13,18
0.6656,13,17
0.3646,13,16
0.7754,13,15
0.7594,13,14
-0.9662,12,69
-1,12,68
-1,12,67
-1,12,66
-1,12,65
-1,12,64
0.4908,12,63
-1,12,62
-1,12,61
-1,12,60
-0.94,12,59
-1,12,58
-1,12,57
-1,12,56
-1,12,55
-1,12,54
-1,12,53
-1,12,52
-1,12,51
-1,12,50
-0.9522,12,49
0.8902,14,35
-0.9078,14,34
-0.777,14,33
-0.6402,14,32
-0.5472,14,31
0.2346,14,30
-0.2612,14,29
-0.7402,14,28
-0.5286,14,27
0.1374,14,26
0.8732,14,25
-0.8566,14,24
-0.921,14,23
-0.8368,14,22
-0.2414,14,21
-1,14,20
-0.6356,14,19
-0.4532,14,18
-0.6246,14,17
-0.0628,14,16
-1,14,15
0.6542,13,69
0.9112,13,68
0.9682,13,67
-0.0292,13,66
0.917,13,65
0.8694,13,64
0.9998,13,63
0.1138,13,62
0.645,13,61
0.9934,13,60
0.0975999999999999,13,59
0.9996,13,58
0.9994,13,57
1,13,56
0.5194,13,55
0.9418,13,54
0.7604,13,53
1,13,52
0.542,13,51
0.6618,13,50
0.0636000000000001,13,49
0.474,13,48
0.8458,13,47
-0.1528,13,46
0.3578,13,45
0.361,13,44
0.8906,13,43
0.0404,13,42
0.2742,15,30
-0.2198,15,29
-0.6712,15,28
-0.4786,15,27
0.167,15,26
0.884,15,25
-0.8566,15,24
-0.9148,15,23
-0.828,15,22
-0.2404,15,21
-1,15,20
-0.6072,15,19
-0.4396,15,18
-0.6068,15,17
0.0116000000000001,15,16
-0.7478,14,69
-0.4392,14,68
0.9622,14,67
-0.9542,14,66
-0.525,14,65
-0.6762,14,64
0.7792,14,63
-0.9282,14,62
-0.5018,14,61
0.2532,14,60
-0.8372,14,59
0.237,14,58
0.4548,14,57
0.997,14,56
-0.5766,14,55
-0.4234,14,54
-0.5704,14,53
0.9516,14,52
-0.7358,14,51
-0.7956,14,50
-0.8436,14,49
-0.9046,14,48
-0.1136,14,47
-0.9114,14,46
-0.8792,14,45
-0.6014,14,44
-0.00180000000000002,14,43
-0.8444,14,42
-0.9304,14,41
0.3242,14,40
0.937,14,39
0.9594,14,38
-0.6656,14,37
-0.0894,14,36
-0.3398,16,26
-0.4728,16,25
0.5825,16,24
0.3628,16,23
-0.0876,16,22
-0.333,16,21
-0.312,16,20
-0.514,16,19
0.3058,16,18
-0.773,16,17
-0.7312,15,69
-0.388,15,68
0.9642,15,67
-0.8976,15,66
-0.501,15,65
-0.6376,15,64
0.8152,15,63
-0.9256,15,62
-0.4594,15,61
0.285,15,60
-0.8396,15,59
0.266,15,58
0.515,15,57
0.9974,15,56
-0.5388,15,55
-0.378,15,54
-0.5204,15,53
0.9542,15,52
-0.7446,15,51
-0.7694,15,50
-0.8454,15,49
-0.9026,15,48
-0.117,15,47
-0.9128,15,46
-0.8664,15,45
-0.589,15,44
0.00239999999999996,15,43
-0.854,15,42
-0.9296,15,41
0.3922,15,40
0.95,15,39
0.9686,15,38
-0.6322,15,37
-0.0590000000000001,15,36
0.8964,15,35
-0.8828,15,34
-0.797,15,33
-0.6326,15,32
-0.5436,15,31
-0.8368,17,23
-0.732,17,22
-0.5398,17,21
-0.8596,17,20
-0.5936,17,19
-0.358,17,18
0.315,16,69
-0.67,16,68
0.3994,16,67
-0.6544,16,66
0.3534,16,65
-0.2884,16,64
-1,16,63
-0.3848,16,62
-0.607,16,61
-0.5536,16,60
0.3648,16,59
-0.0546,16,58
-0.6656,16,57
0.9998,16,56
-0.2582,16,55
0.1572,16,54
-0.6958,16,53
-1,16,52
0.3274,16,51
0.2056,16,50
0.3538,16,49
0.0394000000000001,16,48
-0.9372,16,47
0.3615,16,46
-0.3112,16,45
-0.0362,16,44
-0.8712,16,43
0.3593,16,42
0.0788,16,41
-0.1438,16,40
0.1478,16,39
0.9734,16,38
-0.8124,16,37
-0.7538,16,36
-0.3266,16,35
0.7356,16,34
0.5838,16,33
-0.2616,16,32
-0.5604,16,31
-0.7614,16,30
0.3166,16,29
-0.321,16,28
-0.4416,16,27
-0.1498,18,21
-1,18,20
-0.3556,18,19
-0.6034,17,69
-0.6318,17,68
-1,17,67
-0.8738,17,66
-0.3616,17,65
-0.6104,17,64
-0.2362,17,63
-0.83,17,62
-0.8482,17,61
-0.7546,17,60
-0.8424,17,59
-0.5314,17,58
-1,17,57
0.9538,17,56
-0.5582,17,55
-0.3098,17,54
-0.9466,17,53
-1,17,52
-0.3414,17,51
-0.3912,17,50
-0.8366,17,49
-0.7014,17,48
-0.7536,17,47
-0.8298,17,46
-0.7994,17,45
-0.4838,17,44
-0.5634,17,43
-0.8388,17,42
-0.6792,17,41
-1,17,40
-1,17,39
0.8502,17,38
-0.8398,17,37
-0.8826,17,36
0.3692,17,35
-0.672,17,34
-0.6914,17,33
-0.7912,17,32
-0.8482,17,31
-0.471,17,30
-0.7622,17,29
-0.7826,17,28
-0.7914,17,27
-0.7664,17,26
-1,17,25
-0.6748,17,24
-1,19,20
-0.6234,18,69
-0.9286,18,68
0.1058,18,67
-0.7192,18,66
-0.8534,18,65
-0.9538,18,64
0.737,18,63
-0.6544,18,62
-0.588,18,61
-0.984,18,60
-0.7618,18,59
-0.5034,18,58
-1,18,57
1,18,56
-0.3172,18,55
-0.6376,18,54
-0.6424,18,53
0.8704,18,52
-0.74,18,51
-0.7852,18,50
-0.7704,18,49
-0.9722,18,48
0.205,18,47
-0.8418,18,46
-0.8854,18,45
-0.6072,18,44
-0.032,18,43
-0.768,18,42
-1,18,41
-0.966,18,40
0.304,18,39
0.9364,18,38
-0.8974,18,37
-0.3496,18,36
0.943,18,35
-0.6878,18,34
-0.7028,18,33
-0.7834,18,32
-0.6628,18,31
0.5,18,30
-0.9796,18,29
-0.9032,18,28
-0.2622,18,27
0.0764,18,26
-0.3464,18,25
-0.7906,18,24
-0.8542,18,23
-1,18,22
-0.674,19,69
-0.7604,19,68
-0.227,19,67
-1,19,66
-0.257,19,65
-0.7828,19,64
0.6386,19,63
-0.9136,19,62
-1,19,61
-0.989,19,60
-0.7842,19,59
0.2364,19,58
-1,19,57
0.991,19,56
-0.8778,19,55
-0.882,19,54
-0.3838,19,53
0.439,19,52
-0.6862,19,51
-0.8284,19,50
-0.7788,19,49
-1,19,48
-0.04,19,47
-0.8206,19,46
-1,19,45
-0.6404,19,44
0.1956,19,43
-0.7766,19,42
-1,19,41
0.134,19,40
0.5338,19,39
0.9108,19,38
-0.775,19,37
0.0276000000000001,19,36
0.8754,19,35
-0.7348,19,34
-0.7372,19,33
-0.8482,19,32
-0.6564,19,31
0.0584,19,30
-0.2428,19,29
-0.9152,19,28
-0.973,19,27
-0.722,19,26
0.3226,19,25
-0.814,19,24
-0.8414,19,23
-1,19,22
-0.2506,19,21
-0.3446,2,30
0.1508,2,29
-0.48,2,28
-0.9812,2,27
-0.9914,2,26
-1,2,25
-0.3202,2,24
0.2161,2,23
-0.3478,2,22
-0.9272,2,21
-0.5444,2,20
-0.921,2,19
0.2048,2,18
-0.7864,2,17
-0.8356,2,16
-0.1422,2,15
-0.1612,2,14
0.3178,2,13
-0.346,2,12
-0.9984,2,11
