RCBC,site1,site2
-0.172,1,47
-0.5866,1,46
-1,1,45
-1,1,44
-1,1,43
-1,1,42
-0.9174,1,41
0.3244,1,40
-1,1,39
-1,1,38
-0.9354,1,37
-0.6104,1,36
-0.668,1,35
-0.9078,1,34
-0.9216,1,33
-1,1,32
-1,1,31
-1,1,30
-1,1,29
-0.836,1,28
0.0988,1,27
-0.0934,1,26
-0.4588,1,25
-0.7222,1,24
-0.9224,1,23
-0.9268,1,22
-1,1,21
-1,1,20
-1,1,19
-0.8072,1,18
0.6081,1,17
-0.6118,1,16
-0.5294,1,15
-0.734,1,14
-0.087,1,13
-0.0106000000000001,1,12
0.6784,1,11
-1,1,10
-1,1,9
-1,1,8
-1,1,7
-0.8332,1,6
-0.6544,1,5
-1,1,4
-1,1,3
-0.5446,1,2
0.797,10,30
-0.1316,10,29
-0.2016,10,28
-0.5598,10,27
-0.5714,10,26
-1,10,25
-1,10,24
-0.5,10,23
-0.4986,10,22
0.9996,10,21
0.7278,10,20
-0.00360000000000005,10,19
-0.193,10,18
-0.0292,10,17
-0.3718,10,16
-1,10,15
-0.9408,10,14
-0.1122,10,13
-0.0522,10,12
0.8952,10,11
1,9,59
1,9,58
0.8466,9,57
0.9022,9,56
-1,9,55
0.9866,9,54
0.9998,9,53
0.9998,9,52
0.998,9,51
-1,9,50
-1,9,49
0.7208,9,48
0.9882,9,47
-1,9,46
0.9828,9,45
1,9,44
0.9968,9,43
1,9,42
0.98,9,41
0.9998,9,40
1,9,39
0.9998,9,38
0.7444,9,37
0.9944,9,36
-1,9,35
1,9,34
0.9062,11,28
0.448,11,27
0.5342,11,26
-1,11,25
-1,11,24
0.4776,11,23
0.4718,11,22
0.8022,11,21
0.9956,11,20
0.9966,11,19
0.1384,11,18
-1,11,17
0.9366,11,16
-1,11,15
0.29,11,14
0.148,11,13
0.2958,11,12
0.8608,10,59
-0.2676,10,58
-0.4224,10,57
0.083,10,56
-0.9886,10,55
-0.2834,10,54
0.9306,10,53
-0.4612,10,52
-0.747,10,51
-0.093,10,50
-1,10,49
0.4078,10,48
0.1832,10,47
-0.1814,10,46
0.6826,10,45
0.7108,10,44
0.9338,10,43
-0.2202,10,42
-0.6098,10,41
0.64,10,40
-0.0222,10,39
-0.0838,10,38
-0.5782,10,37
-0.8752,10,36
-0.5526,10,35
-0.3028,10,34
-0.5898,10,33
-0.2126,10,32
0.9922,10,31
-0.8182,12,27
-0.6972,12,26
-0.9992,12,25
-0.9452,12,24
-0.6896,12,23
-0.6692,12,22
0.9936,12,21
0.4494,12,20
0.0516000000000001,12,19
-0.2748,12,18
-0.1988,12,17
0.2576,12,16
-0.84,12,15
-0.6434,12,14
-1,12,13
0.9882,11,59
0.934,11,58
0.4918,11,57
-0.6904,11,56
-0.2758,11,55
0.0972,11,54
0.8482,11,53
0.9504,11,52
0.9674,11,51
-1,11,50
-1,11,49
-0.7632,11,48
0.6812,11,47
-1,11,46
0.7756,11,45
0.8094,11,44
0.8002,11,43
0.9536,11,42
0.9044,11,41
0.3302,11,40
0.9122,11,39
0.9724,11,38
0.4284,11,37
0.6792,11,36
0.6366,11,35
0.9206,11,34
0.7924,11,33
0.5202,11,32
0.6994,11,31
0.9736,11,30
0.9376,11,29
-0.8184,13,27
-0.7104,13,26
-0.9976,13,25
-0.9752,13,24
-0.684,13,23
-0.682,13,22
0.9932,13,21
0.4414,13,20
0.0124,13,19
-0.2662,13,18
-0.167,13,17
0.2108,13,16
-0.8572,13,15
-0.6812,13,14
0.9476,12,59
0.1018,12,58
-0.6638,12,57
-0.1402,12,56
-0.7732,12,55
-0.822,12,54
0.9072,12,53
0.5456,12,52
0.0862000000000001,12,51
-0.3676,12,50
-0.6006,12,49
-0.3178,12,48
-0.4462,12,47
-0.785,12,46
0.1088,12,45
0.6626,12,44
