RCBC,site1,site2
0.2412,1,47
-0.00560000000000005,1,46
-0.3782,1,45
-0.2772,1,44
0.5646,1,43
0.4864,1,42
-0.1088,1,41
-0.2638,1,40
0.2606,1,39
-0.00619999999999998,1,38
-0.1664,1,37
0.6358,1,36
-1,1,35
0.01,1,34
0.479,1,33
0.3274,1,32
-0.282,1,31
-0.47,1,30
0.1266,1,29
0.0112000000000001,1,28
0.99,1,27
-0.3712,1,26
0.305,1,25
-0.2076,1,24
0.3034,1,23
-0.089,1,22
0.1792,1,21
-0.0804,1,20
-1,1,19
-0.1316,1,18
-0.2056,1,17
0.2388,1,16
0.7788,1,15
-1,1,14
-0.3512,1,13
-0.319,1,12
-0.201,1,11
0.559,1,10
0.0518000000000001,1,9
0.7314,1,8
-1,1,7
-0.2144,1,6
0.4676,1,5
-0.0222,1,4
-0.2182,1,3
0.2018,1,2
-1,10,21
-0.908,10,20
-1,10,19
0.2106,10,18
-1,10,17
-1,10,16
0.6996,10,15
0.9996,10,14
-0.0654,10,13
-0.0528,10,12
0.6296,10,11
-0.4084,9,60
0.6604,9,59
-0.434,9,58
0.3886,9,57
-0.652,9,56
0.6004,9,55
-0.0628,9,54
-0.4028,9,53
-0.6286,9,52
0.103,9,51
-0.3084,9,50
-1,9,49
-1,9,48
-0.659,9,47
0.2892,9,46
-0.7174,9,45
-0.8018,9,44
-0.3176,9,43
-0.169,9,42
-0.4634,9,41
-0.647,9,40
-0.7134,9,39
0.3668,9,38
-0.1818,9,37
-0.2696,9,36
-0.5502,9,35
-0.2732,9,34
0.4974,9,33
0.7494,9,32
-0.6602,9,31
-0.7796,9,30
-0.8452,9,29
-0.6284,9,28
-1,9,27
-0.7242,9,26
0.024,11,18
-0.1272,11,17
0.4592,11,16
0.1746,11,15
0.2002,11,14
-0.3088,11,13
-0.2708,11,12
-1,10,60
0.7248,10,59
0.3162,10,58
0.2124,10,57
-0.3092,10,56
0.982,10,55
0.2746,10,54
0.3248,10,53
0.0691999999999999,10,52
0.5652,10,51
-0.0125999999999999,10,50
-1,10,49
-1,10,48
-1,10,47
0.6606,10,46
-0.1018,10,45
-1,10,44
-1,10,43
0.3454,10,42
0.2982,10,41
0.0336000000000001,10,40
-1,10,39
0.961,10,38
0.0815999999999999,10,37
0.7022,10,36
-1,10,35
0.4462,10,34
0.822,10,33
0.9784,10,32
0.032,10,31
-0.179,10,30
-0.7582,10,29
-1,10,28
1,10,27
-0.0576,10,26
-0.7984,10,25
0.0518000000000001,10,24
0.6984,10,23
-1,10,22
-0.704,12,16
-1,12,15
-1,12,14
-0.8618,12,13
0.2846,11,60
0.7914,11,59
0.129,11,58
0.0072000000000001,11,57
-0.5094,11,56
0.8372,11,55
0.5722,11,54
0.1598,11,53
-0.1722,11,52
0.3122,11,51
-0.4274,11,50
-1,11,49
-1,11,48
0.5132,11,47
0.3386,11,46
0.0234000000000001,11,45
-0.2352,11,44
0.7144,11,43
0.5658,11,42
0.0871999999999999,11,41
-0.2134,11,40
0.511,11,39
0.879,11,38
-0.0332,11,37
0.1604,11,36
-1,11,35
0.3466,11,34
0.6526,11,33
0.9052,11,32
-0.225,11,31
-0.5064,11,30
0.2604,11,29
0.2116,11,28
-1,11,27
-0.3044,11,26
0.5406,11,25
-0.4878,11,24
-0.621,11,23
-0.1954,11,22
0.3286,11,21
0.1138,11,20
-1,11,19
-1,13,15
-1,13,14
0.1325,12,60
0.2622,12,59
0.0703,12,58
