,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-2-D,712_S-3-S,713_S-1-S,713_S-1-M,713_S-1-D,713_S-2-S,713_S-2-M,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,715_S1_1-5,715_S2_10-14,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S3_10-14,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14
711_S-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,1.16127096510737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-D,0.206194981739993,-1.3695147112492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,-0.059152350335758,-1.53945748801629,-1.30785039152304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-3-M,1.14311282682963,1.12378856230808,1.23760853604663,0.255742232366187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-S,1.26492268577374,-1.16165199259916,-1.58907370988606,-1.13196368015172,-1.15213899903148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-M,2.13887537611237,-0.600482352043543,-1.41736000920621,-1.12652273901875,-1.01560887465877,-0.958652536754965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-D,1.36079793347706,-0.766713935054983,-0.243544936579361,-0.282455155693732,-0.11045279158692,-1.92508439966148,-1.05388601767902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,1.24428865573318,-1.25670718587299,-1.41828059905694,-0.750625063947027,-1.48647052846048,-0.548919157079478,-1.12330545779641,-1.08872047119932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,1.84781249955927,0.452388594355838,-0.193886056419968,-0.0536102668229879,0.788217306499222,1.34279031769698,2.11178648377082,1.09721704110061,0.887528809096574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,1.41298719289692,-0.177061061048665,0.216408739781726,-0.505453499083207,0.678137453578108,-0.429620823926095,-0.391987749903217,0.257238182425692,-0.763082752462939,0.553996373035259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,1.79078097856765,-0.248395033637384,0.0650199864775934,-0.270536257141793,-1.33816625155324,-1.25347750922564,-0.758124191674376,-1.39231417579652,-0.970397308234224,1.50416401202172,1.38054441510213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,1.34694971066768,1.8300513103924,1.0761535084656,-0.0729430173972551,0.446732564705219,-1.12452738909144,-0.900014159072639,0.935645588346586,-1.0730681400349,1.11848676670967,1.09942517738126,0.589251913898235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,0.589363847833075,-1.00919865747784,-0.235603798013432,0.0242804741058375,-0.355525786423264,-1.57943100797411,-0.647970949618757,-1.58520143871931,-1.29639897600958,0.172347435762924,-0.682873027572495,-1.08255000193273,0.454854218969516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,0.997148985664388,1.04571483917539,0.711399076134713,0.864215109143057,0.349047127649453,0.696980907555199,0.602609938766965,0.831378907252213,0.654637997652964,0.98964061674263,0.866122983651133,0.726886479936113,0.592802654840421,0.911713042736656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-S,1.9874122052065,-0.484052831170654,-1.39413157312,-1.42646237458827,-0.529525199608753,-1.32427835057707,-0.188313353989287,-0.77647937558918,-0.753139455998874,-0.56856246995198,-0.558070868730057,-0.511785951159639,-0.0773242987756655,-0.555724522325557,0.824160962459099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-M,1.8369850157491,-1.18479385837052,-1.11763967275072,-0.931472110682279,0.80290934001076,-0.913737538257795,-0.705310291317478,-0.720581388636096,-0.853081923545591,2.21025324455071,-0.842807735435722,-0.947769712053937,1.2373154589134,-1.16615630609636,1.1335044077894,1.47443772480914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-D,1.89531363236604,0.458828047882588,-1.5398639709687,-1.47920572819846,0.0817670568411041,-1.78467943892522,-1.24183857606528,-0.94767674896794,-1.34895306424153,1.7434439195709,0.724316708407694,-1.56839964829719,0.725902095985278,-1.67384516691616,0.702163725908252,0.249756515673027,1.14919326292186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X0,0.206194981739993,-1.3695147112492,NA,-1.32016436307638,1.28734688384384,-1.60897325637706,-1.41736000920621,-0.243544936579361,-1.41828059905694,-0.193886056419969,0.216408739781726,0.0650199864775934,1.16756813468204,-0.235603798013432,0.742746611256394,-1.39413157312,-1.11763967275072,-1.5398639709687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-3-X1,0.416623024633224,0.537977931342125,1.14307517561298,-0.285047090414511,0.349047127649452,-1.22640024340618,-1.44544655886578,-0.157863885932241,-1.66975416503122,0.125661965244663,0.197728708369431,-0.299725015366693,-2.02093134205981,-0.263252259507604,0.349047127649453,-0.912567600819634,0.227213340184789,-0.350588548479713,1.14307517561298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_1-5,2.25831012244794,-0.803653903233905,-1.0950471619356,-0.784119249903157,0.21806423855723,-0.460831560769349,-0.419413004714629,-0.751311704989692,-0.915752467752262,2.52077216177559,-0.652078684412442,-0.410278789465261,0.581313938452263,-0.733032741404987,0.971317843033828,2.13053075196478,0.26500887000221,0.0938896404903931,-1.0950471619356,-0.246054573618472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_5-9,0.778821168929394,-0.69430753268557,-1.53694037680087,-1.50745720023701,0.673692130623405,-1.66716420602102,-1.13568579279737,0.508341342949323,-1.03771761584419,0.512208844340046,0.749321204897467,0.64269308102183,1.49079220260499,0.146910927297082,0.859974009025676,-0.902814677252804,-0.622861746503846,-0.868622984380646,-1.53694037680087,-0.342381923697628,-0.611095126888935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S1_10-14,0.62239494675133,-1.29201257138334,0.750004960839319,-1.01352233769416,1.33325023832822,-1.60149275996735,-1.23350793669876,-1.56717325283783,-1.50332403443512,0.12946727203779,-0.0483562362338216,-2.09475435900307,1.42293892499229,-1.99576632078012,0.922993005287831,-1.50571689014893,-1.51620790973094,-1.83241151260356,0.750004960839319,1.13969699530294,-1.51425078374082,-0.477383127304291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_1-5,0.977892545942149,-0.68791827060401,-1.05902434788274,-0.598055831092654,0.00946629177615338,0.345901433323323,2.23898474785703,0.423779368475327,-0.703386336161004,1.44194123041798,-0.532547835907984,-0.0662189744964567,0.171483380285037,-0.371958392488659,0.916490772999087,1.06423939112006,0.863447477104557,1.31177142292023,-1.05902434788274,-0.560450734363906,3.01896635949586,-0.68467604200283,-0.821539626825017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_5-9,-0.669345041224515,-1.4366436429263,-0.265274799157401,-0.827824032927089,-0.592659720392998,-1.4349376239058,-0.93593318681832,-1.1922229678725,-1.5967757756815,-0.938388099524855,-1.10651835463641,-1.17801112807698,0.61595715561994,-0.995257229153733,0.629150646604971,-1.04081905654478,-1.30234870925255,-0.890016022954054,-0.340677077438756,-0.0652608232046344,-1.00787272884647,0.139555487758179,-1.16533834226306,-1.31154291885361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S2_20-24,1.77829350043675,1.14332551902278,0.648900389542539,0.4900178370127,-1.17394779178142,-0.627862615034962,0.424305857427338,0.762652476580441,-0.768643534624907,1.46199353396303,0.78023523599268,-1.10586055648299,-0.822039732875749,0.547158549051078,0.396712759957759,0.0699138787459619,1.7881953769752,0.733108967627562,0.809826189747784,-1.1062799838699,0.81940110791772,0.0736647749946972,1.11039615801681,1.69387093003324,-0.0719979755267681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_1-5,1.0660623563531,0.949048095730181,-0.823530825888709,-0.813310160912583,0.534455994347621,0.86458362483451,2.09950685838157,0.201122103477494,-0.162379330216699,0.70398198342365,1.58047936221476,1.72738203804219,0.784655551696726,0.719977961537013,1.00184740060451,-0.186486844843515,0.353426075605904,0.85237282942589,-0.823530825888709,-0.119203086411426,2.39754014449365,-0.261988057024177,-0.545135616221061,-0.8910282726448,-0.995593217531824,1.10764656902466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_5-9,0.0417222447875106,-0.694567357430189,-1.64287592688693,-1.54725531351357,-0.354442871943941,-1.06011986934113,1.59501519492123,-0.921071041893307,-0.845117014743492,0.45233047413539,-0.495055543835938,-0.744666251220596,0.0351696719054536,-0.359189451194096,0.871749240928979,-0.0997694721423051,0.267037358759997,0.285965595207384,-1.64287592688693,-0.803640860404843,1.88473838352441,-1.21662052008971,-1.70684395764269,-0.815363392860193,-1.12504888348616,0.57234537553243,-0.598184647931558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_10-14,0.186164499857334,-0.722124390637202,-0.891851585490589,-0.60994336494387,0.346189854774878,-0.929511330501056,-0.54342985298536,-1.04562321466184,-1.04905779884736,0.28375406517648,-0.337389538207117,-1.09441259739723,0.975156923208678,-1.06077930555275,0.733629114923264,-0.610336965705056,-1.10930089536032,-0.345099817957914,-0.891851585490589,0.204346420510528,-0.59293340902947,-0.515763687386016,-1.65593201656956,-0.879753847190486,-1.41855997055507,1.39764142580041,-0.00540713184358272,-0.626126445212045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_S3_20-24,0.416623024633224,0.537977931342125,1.14307517561298,-0.285047090414511,0.349047127649452,-1.22640024340618,-1.44544655886578,-0.157863885932241,-1.66975416503122,0.125661965244663,0.197728708369431,-0.299725015366693,-2.02093134205981,-0.263252259507604,0.349047127649453,-0.912567600819634,0.227213340184789,-0.350588548479713,1.14307517561298,NA,-0.246054573618472,-0.342381923697628,1.13969699530294,-0.560450734363906,-0.0652608232046344,-1.1062799838699,-0.119203086411426,-0.803640860404843,0.204346420510528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S1_1-5,-0.27640511810206,-0.586106460441081,-0.808175632848878,-0.398014392096148,0.315266382849077,1.01057980406062,2.23665654106957,0.363137488096649,0.514333011180262,-0.967810131362412,-0.646261485236863,0.064493272176566,0.601616408771858,0.448627216077065,0.964263877746899,-0.571572741902556,1.88935971835702,0.672920234442311,-0.808175632848878,-0.251298026435617,-0.145466933571018,-0.348213348460326,-0.764868584971355,0.27144224155313,-0.924361111729096,1.41705295693085,-0.831329131026587,-0.685618982869545,0.340530137342561,-0.251298026435617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S2_10-14,1.40850550488455,1.25395188597579,-0.634099449831115,0.461060336424254,-0.771991089270096,-0.234425775239924,-0.00345585600166324,0.967290621941538,-0.178851420681727,1.30763039598138,0.968648580173397,0.813338042472774,-1.00185834115974,1.58712077399682,0.988419802661098,0.68278682631818,2.21757294787855,0.290786893587463,-0.390913996205978,-2.15607241454612,1.62727536969352,0.220550189343967,0.593559975958234,0.614013974684417,0.799747512350377,-1.16784104257349,1.47487309323003,1.6519571278345,1.98013976953793,-2.15607241454612,1.5872087879684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_S3_20-24,0.405947741174987,-0.88549225803527,-0.294226459910916,0.748578633371945,0.206262063813073,1.99302886006083,-0.491367369812228,0.888560735285643,-1.04042503317736,-0.0162757029101181,-0.869944337164606,0.653754329982568,0.0863657792460813,-0.797319711115591,1.04930291625552,-1.07859898999659,-0.879753895178381,0.346417227060603,-0.271369092166986,-0.208596448679163,-1.05463525003923,-0.170972134806,0.118861245027916,-0.778472629714068,-1.27123865575294,0.649793169230745,-0.242857778083704,-1.00017431603253,-1.29920652935649,-0.208596448679163,-0.298335268024869,0.152245583623798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
