RCBC,site1,site2
0.4482,10,16
-0.8324,10,15
0.4138,10,14
-1,10,13
0.6955,10,12
-1,10,11
-0.51,9,23
0.5464,9,22
0.1746,9,21
0.209,9,20
0.6444,9,19
0.959,9,18
0.1594,9,17
0.1504,9,16
0.2972,9,15
0.1344,9,14
0.5614,9,13
0.9251,9,12
-0.1738,9,11
-0.5282,9,10
0.0593999999999999,8,23
-1,8,22
0.1748,8,21
0.1766,8,20
-1,8,19
0.5268,8,18
0.1743,8,17
0.168,8,16
-0.338,8,15
-0.3044,8,14
-1,8,13
0.325,8,12
-1,8,11
-0.2582,8,10
-1,8,9
-0.2502,7,23
-0.7546,7,22
-0.3674,7,21
-0.251,7,20
0.3848,7,19
0.2722,7,18
-0.3534,7,17
-0.721,14,16
-0.2302,14,15
0.0624,13,23
0.8916,13,22
0.2308,13,21
0.3202,13,20
0.9592,13,19
0.8818,13,18
0.2162,13,17
0.2378,13,16
-1,13,15
-1,13,14
0.6288,12,23
0.9456,12,22
0.1194,12,21
0.1168,12,20
0.6806,12,19
0.9045,12,18
0.1169,12,17
0.1168,12,16
0.5016,12,15
0.5689,12,14
0.9255,12,13
-0.986,11,23
0.3626,11,22
-0.157,11,21
-0.1282,11,20
0.5318,11,19
0.0105999999999999,11,18
-0.1482,11,17
0.445,11,16
-1,11,15
0.1914,11,14
0.3208,11,13
0.7025,11,12
-0.9162,10,23
-0.8916,10,22
-0.3482,10,21
-0.3284,10,20
-1,10,19
0.2954,10,18
-0.3758,10,17
-1,2,22
0.0571999999999999,2,21
0.0563,2,20
0.7225,2,19
-1,2,18
0.0566,2,17
-0.8866,2,16
0.2857,2,15
-1,2,14
-1,2,13
0.118,2,12
0.4368,2,11
0.4354,2,10
-1,2,9
0.1773,2,8
-1,2,7
-1,2,6
0.0612999999999999,2,5
0.2838,2,4
0.2817,2,3
1,1,23
1,1,22
0.9664,1,21
0.9894,1,20
0.9862,1,19
-1,1,18
0.9672,1,17
0.9556,1,16
-1,1,15
-1,1,14
0.9988,1,13
-1,1,12
0.9984,1,11
-1,1,10
1,1,9
-1,1,8
-1,1,7
1,1,6
0.8872,1,5
-1,1,4
0.9996,1,3
0.985,1,2
-0.5102,22,23
-1,21,23
-1,21,22
-1,20,23
-1,20,22
-0.8852,20,21
-0.6136,19,23
0.672,19,22
0.4032,19,21
0.4168,19,20
0.0662,18,23
-0.7966,18,22
0.1154,18,21
0.1734,18,20
0.4144,18,19
-1,17,23
-1,17,22
-0.8852,17,21
-0.8814,17,20
-1,17,19
-1,17,18
-1,16,23
-1,16,22
0.0572999999999999,16,21
0.0593999999999999,16,20
0.7103,16,19
-1,16,18
0.0544,16,17
-1,15,23
0.1458,15,22
-0.7752,15,21
-0.7328,15,20
-1,15,19
0.1534,15,18
-0.7662,15,17
0.2802,15,16
-0.2044,14,23
0.3296,14,22
-0.69,14,21
-0.6262,14,20
0.43,14,19
0.0454000000000001,14,18
-0.7068,14,17
-0.1294,5,7
-1,5,6
-0.024,4,23
-0.0194,4,22
0.2868,4,21
0.2831,4,20
-0.6398,4,19
0.6012,4,18
0.2916,4,17
0.2763,4,16
0.1458,4,15
-0.0466,4,14
-0.0396,4,13
-0.2028,4,12
-0.684,4,11
0.0875999999999999,4,10
0.024,4,9
-1,4,8
0.104,4,7
-1,4,6
-0.724,4,5
-0.4334,3,23
0.1564,3,22
-0.5358,3,21
-0.5178,3,20
-0.6948,3,19
0.707,3,18
-0.5564,3,17
0.2827,3,16
-0.9544,3,15
-0.339,3,14
0.6204,3,13
0.5065,3,12
-0.4642,3,11
0.0489999999999999,3,10
0.3226,3,9
-1,3,8
0.5642,3,7
0.3916,3,6
-0.6096,3,5
-0.8376,3,4
-1,2,23
-0.3742,7,16
0.3374,7,15
0.1476,7,14
-0.8136,7,13
0.3772,7,12
-0.444,7,11
-0.4266,7,10
0.1766,7,9
0.2442,7,8
-1,6,23
0.9836,6,22
0.7224,6,21
0.7838,6,20
0.7072,6,19
0.9998,6,18
0.6946,6,17
0.6844,6,16
-1,6,15
-1,6,14
0.9714,6,13
-1,6,12
0.7964,6,11
0.5434,6,10
0.77,6,9
-1,6,8
0.9376,6,7
0.3945,5,23
-1,5,22
0.0616000000000001,5,21
0.0581,5,20
-1,5,19
0.2664,5,18
0.0601,5,17
0.0570999999999999,5,16
0.2879,5,15
0.3357,5,14
-1,5,13
0.1171,5,12
-1,5,11
-0.3416,5,10
-1,5,9
-0.8156,5,8
